DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Falcon Fuel,2024-12-10,Pass W/ Conditions,TRUE,FALSE,FALSE,4002 W Chicago Ave,CHICAGO,IL,60651.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CERTIFIED FOOD MANAGER ON SITE AT THE TIME OF INSPECTION WHILE TCS FOODS ARE BEING STORED/PREPARED/SERVED. INSTRUCTED THAT A CERTIFIED FOOD MANAGER WITH A VALID CITY OF CHICAGO FOOD SERVICE CERTIFICATE MUST BE PRESENT AT ALL TIMES WHILE TCS FOODS ARE PREPARED/STORED. PRIORITY FOUNDATION VIOLATION 7-38-012. CITATION ISSUED. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARDBOARD USED TO LINE THE SHELVES IN THE PREP TABLE COOLER IN THE PREP AREA. INSTRUCTED TO REMOVE CARDBOARD AND PROVIDE LINING THAT IS EASY TO CLEAN AND MAINTAIN.  | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO EMPLOYEES ON DUTY AT THE TIME OF THE INSPECTION WITH FOOD HANDLER CERTIFICATE. INSTRUCTED TO PROVIDE.",41.8954759659814,-87.7262185013236,FALCON FUEL,4002 W CHICAGO AVE,POINT (-87.7262185013236 41.8954759659814),HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299,,,22.0,HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299
North & Pulaski Fresh Market,2024-02-07,Pass W/ Conditions,FALSE,TRUE,TRUE,3850 W North Ave,CHICAGO,IL,60647.0,"22. PROPER COLD HOLDING TEMPERATURES - Comments: FOUND TCS FOOD AT IMPROPER COLD HOLDING TEMPERATURE.FOUND 10 POUNDS OF SHREDDED COOKED PORK ON TOP OF MEAT COOLER AT 64.9F.PRIORITY FOUNDATION.CITATION ISSUED.7-38-005. DISPOSED OF 10 POUNDS OF PORK VALUE OF 50.00 DOLLARS. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: FOUND BULK FOOD NOT LABELED AT HOT FOOD PREPARATION AREAS.(FLOUR,SUGAR,ETC.)MUST LABEL. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: FOUND FOLLOWING NOT CLEAN:DAIRY COOLER SHELVING UNITS, INTERIOR OF ICE CREAM FREEZERS, AND COUNTER SPACE AT PRODUCE PREPARATION AREAS.MUST CLEAN.",41.9100281926949,-87.7235137036418,NORTH PULASKI FRESH MARKET,3850 W NORTH AVE,POINT (-87.7235137036418 41.9100281926949),HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299,,,22.0,HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299
Grand Ave Food Market,2023-09-12,Pass W/ Conditions,FALSE,TRUE,TRUE,3962 W Grand Ave,CHICAGO,IL,60651.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO SANITIZER RATED EFFECTIVE AGAINST NOROVIRUS ON SITE. INSTRUCTED TO OBTAIN AND MAINTAIN ON SITE AT TIMES. PRIORITY FOUNDATION VIOLATION 7-38-005 NO CITATION ISSUED. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-204.12. OBSERVED NO BACKFLOW PREVENTION DEVICE INSTALLED ON UTILITY SINK IN EMPLOYEE WASHROOM. INSTRUCTED TO INSTALL BACKFLOW PREVENTION DEVICE ON UTILITY SINK SO THAT IT CAN BE EASILY LOCATED AND SERVICED. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-205.15 OBSERVED DRAIN PIPE LEAKING FROM UTILITY SINK LOCATED IN EMPLOYEE WASHROOM. INSTRUCTED TO REPAIR AND MAINTAIN.,41.9061645883161,-87.7261185197001,GRAND AVE FOOD MARKET,3962 W GRAND AVE,POINT (-87.7261185197001 41.9061645883161),HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299,,,22.0,HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299
La Esmeralda,2021-06-10,Pass W/ Conditions,TRUE,FALSE,TRUE,1005 N Pulaski Rd,CHICAGO,IL,60651.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO VOMIT AND DIARRHEA CLEANING PROCEDURE ON PREMISES. INSTRUCTED MANAGER MUST PROVIDE A VOMIT AND DIARRHEA CLEANING PROCEDURE WITH ALL NECESSARY ITEMS AS OUTLINED IN POLICY ON PREMISES. PRIORITY FOUNDATION 7-38-005. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 1/4 INCH GAP AT FRONT ENTRANCE DOOR SWEEP. MUST RODENT PROOF SAID DOOR. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: WASHROOM HANDWASH BOWL MISSING COLD WATER HANDLE. MUST PROVIDE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NO COVERED TRASH RECEPTACLE IN WASHROOM. MUST PROVIDE.",41.8992277968862,-87.7260522690509,LA ESMERALDA,1005 N PULASKI RD,POINT (-87.7260522690509 41.8992277968862),HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299,,,22.0,HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299
Fair Deals,2019-09-17,Pass W/ Conditions,TRUE,FALSE,TRUE,3805 W Chicago Ave,CHICAGO,IL,60651.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO VALID CITY OF CHICAGO CERTIFIED MANAGER ON DUTY/SITE WHILE TCS FOODS ARE BEING HANDLED SUCH AS FISH. INSTRUCTED MANAGER THAT A CITY CERTIFIED MANAGER MUST BE ON DUTY AT ALL TIME. PRIORITY FOUNDATION CITATION ISSUED #7-38-012. | 3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: ** PREMISES HAS NO EMPLOYEE HEALTH POLICY. INSTRUCTED MANAGER TO COMPLY WITH THE NEW CODES OR CITATIONS WILL FOLLOW. PRIORITY FOUNDATION VIOLIATION #7-38-010. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: ** PREMISES HAS NO CLEAN UP PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN A PROCEDURE AND SUPPLIES. PRIORITY FOUNDATION VIOLATION #7-38-005. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CUTTING BOARD AT THE FRONT SERVICE COUNTER WITH DEEP OPEN SEEMS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN THE COUNTER TOPS AND PREP TABLE TO REMOVE DEBRIS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS NEED CLEANING THROUGH OUT TO REMOVE DEBRIS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: WALLS NEED CLEANING BEHIND THE FRONT PREP TABLE TO REMOVE FOOD SPLATTER. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: PREMISES HAS COOKING EQUIPMENT IN THE REAR PREP AREA. INSTRUCTED MANAGER THAT ALL COOKING EQUIPMENT MUST BE UNDER A VENTILATION SYSTEM.",41.895301068393,-87.7214340533975,FAIR DEALS,3805 W CHICAGO AVE,POINT (-87.7214340533975 41.895301068393),HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299,,,22.0,HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299
3J'S,2019-05-30,Pass W/ Conditions,FALSE,TRUE,TRUE,3814 W Chicago Ave,CHICAGO,IL,60651.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: **PREMISES HAS NO CLEAN UP PROCEDURES. INSTRUCTED MANAGER TO COMPLY WITH THE NEW CODES OR CITATIONS WILL FOLLOW. PRIORITY FOUNDATION VIOLATION #7-38-005. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: INSTRUCTED MANAGER TO PROVIDE A BARRIER BEWTEEN THE DISH WASHING AREA AND CUSTOMER AREA.",41.8955158470598,-87.7218953407143,3JS,3814 W CHICAGO AVE,POINT (-87.7218953407143 41.8955158470598),HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299,,,22.0,HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299
Evelyn'S Food Market,2019-02-01,Pass W/ Conditions,FALSE,TRUE,TRUE,1001 N Pulaski Rd,CHICAGO,IL,60651.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: PREMISES HAS NO CLEAN UP PROCEDURES. INSTRUCTED MANAGER TO COMPLY WITH THE NEW CODES OR CITATIONS WILL FOLLOW. PROIRITY FOUNDATION VIOLATION #7-38-005. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN WORKING THERMOMETERS INSIDE ALL COOLERS AND FREEZERS.,41.899113731888900,-87.726048799664,EVELYNS FOOD MARKET,1001 N PULASKI RD,POINT (-87.726048799664 41.899113731888896),HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299,,,22.0,HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299
Avers Express Food Llc,2025-04-03,Pass,TRUE,FALSE,TRUE,3825 W Chicago Ave,CHICAGO,IL,60651.0,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments:  OBSERVED IMPROPER STORAGE OF FOOD ITEMS (SODA POP) STORED ON THE FLOOR IN THE WALK-IN COOLER AND THE REAR OF THE FACILITY. INSTRUCTED TO PROPERLY STORE BY ELEVATING AT LEAST SIX INCHES FROM THE FLOOR ON RAISED SHELVING UNITS.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO SELF-CLOSING DOOR FEATURE ON THE EMPLOYEE WASHROOM DOOR. INSTRUCTED TO PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED OLD/UNUSED/BROKEN ITEMS THROUGHOUT THE FACILITY. INSTRUCTED TO REMOVE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments:  OBSERVED NO LIGHTS IN THE WALK-IN COOLER. INSTRUCTED TO PROVIDE.",41.8952920844304,-87.7223493894229,AVERS EXPRESS FOOD LLC,3825 W CHICAGO AVE,POINT (-87.7223493894229 41.8952920844304),HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299,,,22.0,HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299
"M & M Mini Market, Inc.",2025-04-02,Pass,FALSE,TRUE,FALSE,4036 W Division St,CHICAGO,IL,60651.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15 OBSERVED SMALL GAP AT THE FRONT FACILITY DOOR. INSTRUCTED TO REPAIR AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-202.11 OBSERVED NO LIGHTBULB COVERING/SHIELDING OVERHEAD IN THE FRONT LOBBY AREA. INSTRUCTED TO PROVIDE COVERING/SHIELDING.",41.9027559300004,-87.7279415078022,M M MINI MARKET INC,4036 W DIVISION ST,POINT (-87.7279415078022 41.9027559300004),HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299,,,22.0,HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299
Aitron Inc.,2025-03-31,Pass,FALSE,TRUE,TRUE,3741-3743 W Chicago,CHICAGO,IL,60651.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.14 OBSERVED NO HAND WASHING SIGNAGE IN EMPLOYEE WASHROOM #1. INSTRUCTED TO PROVIDE. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15 OBSERVED A 1/4"" GAP AT THE BOTTOM OF THE FRONT ENTRANCE DOOR OF THE FACILITY. INSTRUCTED TO CORRECT; MUST PROVIDE A TIGHT FITTING SEAL AT ALL OUTER OPENINGS TO PREVENT THE ENTRY OF PESTS. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: 3-305.11 OBSERVED FOOD ITEMS STORED IMPROPERLY; 2 LITER SODA POP CONTAINERS STORED ON THE FLOOR THROUGHOUT THE FACILITY. INSTRUCTED MANAGER TO PROPERLY STORE FOOD ITEMS BY ELEVATING AT LEAST SIX INCHES FROM THE FLOOR ON RAISED SHELVING UNITS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C) OBSERVED A BUILD UP OF MOLD IN ONE OF THE COOLER UNITS. INSTRUCTED TO CLEAN, SANITIZE AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 5-501.17 OBSERVED NO COVERED RECEPTACLES TOILET ROOMS. INSTRUCTED TO PROVIDE.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114 OBSERVED OLD/UNUSED EQUIPMENT IN THE REAR AND OUTSIDE REAR OF THE FACILITY. INSTRUCTED TO REMOVE FROM SITE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11 OBSERVED WATER-STAINED CEILING TILES IN THE REAR OF THE FACILITY AT THE BOILER ROOM #2 AREA AND EMPLOYEE WASHROOM #2 ALONG WITH BROKEN CEILING TILES IN EMPLOYEE WASHROOM #2. INSTRUCTED TO CLEAN, REPLACE AND MAINTAIN.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-202.11 OBSERVED SEVERAL LIGHT SHIELDS MISSING THROUGHOUT FACILITY. INSTRUCTED TO REPLACE AND MAINTAIN.",41.895312599106900,-87.7203686628541,AITRON INC,37413743 W CHICAGO,POINT (-87.7203686628541 41.895312599106894),HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299,,,22.0,HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299
