DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Hyde Park Bp Am Pm,2025-04-21,Pass,TRUE,FALSE,FALSE,5130 S Lake Park Ave,CHICAGO,IL,60615.0,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED THE HAND SINK IN THE FRONT PREP AREA WITH A SLOW DRAIN. MUST REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS INSIDE THE WALK IN COOLERS AND FREEZER NEED TO BE CLEAN TO REMOVE DEBRIS AND SPILLS.",41.801456552461,-87.5877418621558,HYDE PARK BP AM PM,5130 S LAKE PARK AVE,POINT (-87.5877418621558 41.801456552461),HYDE PARK,45105380.1732,41.0,41.0,29746.7082016,,,40.0,HYDE PARK,45105380.1732,41.0,41.0,29746.7082016
"Hyde Park Produce, Ltd",2025-03-05,Pass,FALSE,TRUE,TRUE,1226 E 53Rd St,CHICAGO,IL,60615.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE TOP OF THE FRONT DOORS NOT TIGHT FITTING. MUST SEAL TO PREVENT ENTRY POINT FOR PESTS. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RAW WOOD USED AS SHELVING INSIDE THE WALK IN COOLER. SHELVING MUST BE SMOOTH AND EASILY CLEANABLE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE INTERIOR SHOOT OF THE ICE MACHINE DIRTY. MUST CLEAN AND MAINTAIN.",41.7995768021671,-87.5955129218999,HYDE PARK PRODUCE LTD,1226 E 53RD ST,POINT (-87.5955129218999 41.7995768021671),HYDE PARK,45105380.1732,41.0,41.0,29746.7082016,,,40.0,HYDE PARK,45105380.1732,41.0,41.0,29746.7082016
Whole Foods Market,2025-01-21,Pass,FALSE,TRUE,TRUE,5118 S Lake Park,CHICAGO,IL,60615.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS NEED CLEANING AROUND COOKING EQUIPMENT AND IN THE SUSHI PREP AREA TO REMOVE SPILLS,DEBRIS AND/OR GREASE.",41.8018296311675,-87.5878260476961,WHOLE FOODS MARKET,5118 S LAKE PARK,POINT (-87.5878260476961 41.8018296311675),HYDE PARK,45105380.1732,41.0,41.0,29746.7082016,,,40.0,HYDE PARK,45105380.1732,41.0,41.0,29746.7082016
"Ingleside Food Market, Inc.",2024-10-22,Pass,FALSE,TRUE,TRUE,5117 S Ingleside Ave,CHICAGO,IL,60615.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE FRONT DOOR WITH A 1/4"" GAP AT THE BOTTOM AND OPENING AT THE REAR EXIT DOOR. MUST REPAIR AND MAINTAIN TO PREVENT ENTRY POINTS FOR PESTS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN THE INTERIOR OF THE REACH IN COOLER TO REMOVE SPILLS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS NEED CLEANING IN THE WALK IN COOLERS TO REMOVE SPILLS AND DEBRIS.",41.8017550296982,-87.6027277063338,INGLESIDE FOOD MARKET INC,5117 S INGLESIDE AVE,POINT (-87.6027277063338 41.8017550296982),HYDE PARK,45105380.1732,41.0,41.0,29746.7082016,,,40.0,HYDE PARK,45105380.1732,41.0,41.0,29746.7082016
Target Store T-3219,2024-10-21,Pass W/ Conditions,FALSE,TRUE,TRUE,1330 E 53Rd St,CHICAGO,IL,60615.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO VALID CITY OF CHICAGO CERTIFIED MANAGER ON DUTY/SITE WHILE TCS FOODS ARE BEING PREPARED, HANDLED AND SERVED SUCH AS BREAKFAST SANDWICHES (W/ EGGS AND SAUSAGES). INSTRUCTED MANAGER THAT A VAILD CITY CERITED MANAGER MUST BE ON DUTY AT ALL TIMES. PRIORITY FOUNDATION CITATION ISSUED #7-38-012. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS NEED DETAIL CLEANING IN THE REAR STORAGE AREA AROUND THE COMPACTOR. FLOORS AND WALLS NEED CLEANING IN THE STARBUCK COFFEE SERVICE COUNTER.",41.7995978693896,-87.5937610368808,TARGET STORE T3219,1330 E 53RD ST,POINT (-87.5937610368808 41.7995978693896),HYDE PARK,45105380.1732,41.0,41.0,29746.7082016,,,40.0,HYDE PARK,45105380.1732,41.0,41.0,29746.7082016
Trader Joe'S #706,2024-08-23,Pass,FALSE,TRUE,TRUE,1528 E 55Th St,CHICAGO,IL,60615.0,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE INTERIOR OF THE DISPLAY COOLERS AND FREEZER DIRTY IN THE SELLING AREA. MUST CLEAN AND MAINTAIN | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED LITTER ON THE GROUND INSIDE THE ENCLOSED GARBAGE CORRAL. MUST CLEAN AND MAINTAIN TO PREVENT POSSIBLE HARBORAGE FOR PESTS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN THE FLOORS INSIDE THE WALK IN DAIRY COOLER TO REMOVE DEBRIS. ALSO DEFOST AND CLEAN THE WALK IN FREEZER.",41.7953009590868,-87.5881970892806,TRADER JOES 706,1528 E 55TH ST,POINT (-87.5881970892806 41.7953009590868),HYDE PARK,45105380.1732,41.0,41.0,29746.7082016,,,40.0,HYDE PARK,45105380.1732,41.0,41.0,29746.7082016
Valley Of Jordan I Corp.,2024-08-14,Pass W/ Conditions,TRUE,FALSE,TRUE,1009 E 53Rd St,CHICAGO,IL,60615.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO EMPLOYEE HEALTH POLICY AS REQUIRED; MUST PROVIDE. INSTRUCTED THE PERSON IN CHARGE TO PROVIDE DOCUMENTATION OF EMPLOYEES RESPONSIBILITY TO REPORT ANY ILLNESS TRANSMISSIBLE THROUGH FOOD. PRIORITY FOUNDATION VIOLATION 7-38-010. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO VOMIT AND DIARRHEA CLEAN UP KIT ON PREMISES; MUST PROVIDE AND MAINTAIN.  INSTRUCTED THE PERSON IN CHARGE TO PROVIDE A VOMIT KIT TO USE IN THE EVENT OF A VOMIT AND DIARRHEAL INCIDENT ON PREMISES.  PRIORITY FOUNDATION VIOLATION 7-38-005. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: FOUND NO HANDWASHING SIGNS AT EXPOSED HANDSINK OR IN WASHROOM; INSTRUCTED TO PROVIDE.  CORRECTED ON SITE. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED A HALF INCH OPENING AT THE BOTTOM LEFT SIDE OF THE FRONT ENTRANCE DOOR; INSTRUCTED TO SEAL OPENING TO AVOID POSSIBLE RODENT ENTRY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOME MISSING AND DAMAGED FLOOR TILE IN THE REAR PREP AREA AND BEHIND FRONT SERVING COUNTER; INSTRUCTED TO REPLACE FLOOR TILE WHERE NEEDED.  OBSERVED SOME WATER STAINED AND DAMAGED CEILING TILE; INSTRUCTED TO REPLACE TILE WHERE NEEDED.  OBSERVED ON STAINED LIGHT SHIELD IN REAR OF STORE; INSTRUCTED TO REPLACE SHIELD.",41.7992983426866,-87.6009323625761,VALLEY OF JORDAN I CORP,1009 E 53RD ST,POINT (-87.6009323625761 41.7992983426866),HYDE PARK,45105380.1732,41.0,41.0,29746.7082016,,,40.0,HYDE PARK,45105380.1732,41.0,41.0,29746.7082016
Kc Treats,2017-10-03,Fail,TRUE,FALSE,TRUE,5650 S Woodlawn Ave,CHICAGO,IL,60637.0,"9. WATER SOURCE: SAFE, HOT & COLD UNDER CITY PRESSURE - Comments: NO HOT RUNNING WATER FOUND AT EXPOSED HAND SINK; MUST PROVIDE.  CRITICAL VIOLATION 7-38-030. | 16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: INADEQUATE FOOD PROTECTION.  MUST BE ABLE TO LOCK AWAY ALL FOODS TO AVOID POSSIBLE CONTAMINATION. SERIOUS VIOLATION 7-38-005(A) | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: FOUND NO PEST CONTROL LOG BOOK WITH NECESSARY ITEMS; MUST PROVIDE FROM A LICENSED COMPANY. SERIOUS VIOLATION 7-38-020. | 24. DISH WASHING FACILITIES: PROPERLY DESIGNED, CONSTRUCTED, MAINTAINED, INSTALLED, LOCATED AND OPERATED - Comments: FOUND NO THREE COMP SINK ON PREMISES FOR WASH RINSE AND SANITIZING; MUST INSTALL SINK. SERIOUS VIOLATION 7-38-030.",41.79176183164310,-87.5966116676222,KC TREATS,5650 S WOODLAWN AVE,POINT (-87.5966116676222 41.79176183164311),HYDE PARK,45105380.1732,41.0,41.0,29746.7082016,,,40.0,HYDE PARK,45105380.1732,41.0,41.0,29746.7082016
Hyde Park Market,2014-04-22,Out Of Business,TRUE,FALSE,FALSE,5700 S Maryland Ave,CHICAGO,IL,60637.0,,41.7912606178355,-87.6050849120059,HYDE PARK MARKET,5700 S MARYLAND AVE,POINT (-87.6050849120059 41.7912606178355),HYDE PARK,45105380.1732,41.0,41.0,29746.7082016,,,40.0,HYDE PARK,45105380.1732,41.0,41.0,29746.7082016
University Market,2012-02-17,Out Of Business,TRUE,FALSE,FALSE,1323 E 57Th St,CHICAGO,IL,60637.0,,41.7913632394343,-87.5938625902885,UNIVERSITY MARKET,1323 E 57TH ST,POINT (-87.5938625902885 41.7913632394343),HYDE PARK,45105380.1732,41.0,41.0,29746.7082016,,,40.0,HYDE PARK,45105380.1732,41.0,41.0,29746.7082016
