DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Cermak Produce,2025-04-09,Pass W/ Conditions,FALSE,TRUE,TRUE,4234 N Kedzie Ave,CHICAGO,IL,60618.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED LARGE POTS BLOCKING ACCESS TO EXPOSED HANDWASHING SINK IN THE REAR COOKING AREA. INSTRUCTED THE PERSON IN CHARGE TO ENSURE ALL HANDWASHING SINKS REMAIN ACCESSIBLE FOR EMPLOYEES TO WASH THEIR HANDS. PRIORITY FOUNDATION VIOLATION 7-38-030(c), CITATION ISSUED. EMPLOYEE REMOVED POTS BLOCKING ACCESS TO HANDSINK DURING INSPECTION. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD ITEMS BEING STORED ON FLOOR IN DAIR WALK-IN COOLER. INSTRUCTED THE PERSON IN CHARGE TO ELEVATE ALL FOOD ITEMS SIX INCHES FROM FLOOR AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED TORN/DAMAGED RUBBER GASKETS ON DOOR OF CHICKEN WALK-IN COOLER IN THE REAR. INSTRUCTED THE PERSON IN CHARGE TO REPAIR OR REPLACE GASKET ABD MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARDBOARD BEING USED AS LINER ON STORAGE RACKS IN THE HOT FOODS WALK-IN COOLER. INSTRUCTED THE PERSON IN CHARGE TO REMOVE CARDBOARD AND ENSURE ALL NONFOOD-CONTACT SURFACES REMAIN SMOOTH AND EASILY CLEANABLE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED UNFINISHED WOOD ON THE SHELVING UNITS IN REAR COOKING AREA. INSTRUCTED THE PERSON IN CHARGE TO FINISH THE WOOD ON THE SHELVING UNITS, SO THAT THEY ARE SMOOTH AND EASILY CLEANABLE AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED ACCUMULATED GREASE AND FOOD DEBRIS ON INTERIOR AND EXTERIOR SURFACES OF COOKING EQUIPMENT, AND PREP TABLES IN REAR COOKING AREA. INSTRUCTED THE PERSON IN CHARGE TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED ACCUMULATED GREASE AND FOOD DEBRIS ON FLOOR IN REAR COOKING AREA. INSTRUCTED THE PERSON IN CHARGE TO CLEAN AND MAINTAIN.",41.9585967246828,-87.7083095758954,CERMAK PRODUCE,4234 N KEDZIE AVE,POINT (-87.7083095758954 41.9585967246828),IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,,15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938
All For Dad Llc,2023-11-24,Pass W/ Conditions,TRUE,FALSE,FALSE,4333 W Irving Park Rd,CHICAGO,IL,60641.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PERSON IN CHARGE WITH NO SANITATION MANAGER CERTIFICATE.MUST PROVIDE. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: FOUND NO CITY OF CHICAGO SANITATION MANAGER CERTIFICATE ON PREMISES WHILE HANDLING TCS FOODS.(HANDLES CUT MELON,CUT FRUITS,ETC.)PRIORITY FOUNDATION.CITATION ISSUED.7-38-012.MUST PROVIDE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: FOUND FOLLOWING NOT CLEAN:3COMPARTMENT SINK AND EXTERIOR OF ICE MACHINE.MUST CLEAN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO BACKFLOW PREVENTION DEVICE AT ICE MACHINE WATERLINE.MUST PROVIDE WHERE IT CAN BE LOCATED AND SERVICED.",41.9534325550446,-87.7368608700917,ALL FOR DAD LLC,4333 W IRVING PARK RD,POINT (-87.7368608700917 41.9534325550446),IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,,15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938
7-Eleven,2023-11-16,Pass W/ Conditions,TRUE,FALSE,FALSE,2800 W Irving Park Rd,CHICAGO,IL,60618.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND PAPER TOWELS PROVIDED IN THE WASHROOM NEXT TO THE WALK-IN-COOLER AND AT REAR HAND SINK NEXT TO THE 3-COMPARTMENT SINK.INSTRUCTED TO PROVIDE AND MAINTAIN HAND PAPER TOWELS AT ALL HAND WASHING SINKS AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-030(C),CITATION ISSUED. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED A TORN DOOR GASKET INSIDE OF THE 1 DOOR COOLER NEXTTO THE HOT DOG ROLLER SYSTEM AT FRONT PREP AREA.INSTRUCTED TO REPLACE THE TORN DOOR GASKET AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND ORGANIZE REAR DRY STORAGE ROOM/3-COMPARTMENT SINK AREA AND REMOVE UNNECESSARY ARTICLES DUE TO POTENTIAL PEST HARBORAGE AND ELEVATE STOCK ITEMS OFF THE FLOOR AT LEAST 6"" INCHES TO FACILITATE CLEANING AND MAINTAIN.  | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: PREVIOUS INSPECTION REPORT SUMMARY FROM (04/22/2020) WAS NOT DISPLAYED FOR THE PUBLIC TO VIEW.TODAY'S INSPECTION REPORT SUMMARY WAS ISSUED AND DISPLAYED FOR THE PUBLIC TO VIEW.PRIORITY FOUNDATION VIOLATION 7-42-010 (B),CITATION ISSUED.",41.954083317714700,-87.6983027700702,7ELEVEN,2800 W IRVING PARK RD,POINT (-87.6983027700702 41.954083317714705),IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,,15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938
Super Savings Food,2020-04-30,Pass W/ Conditions,FALSE,TRUE,TRUE,4422-4424 W Belmont Ave,CHICAGO,IL,60641.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: No procedure for vomiting and diarrheal events. Instructed to provide and provide cleaning supplies kit. Priority Foundation 7-38-005. No citation issued. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: Front entrance door with 1/4 of an inch gap on the bottom of the door. Instructed to rodent/insects proofed the door. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: All stocks, canned/bottled soda, bottled water, canned juice stored on the floor inside the walk in cooler and on the floor by the display shelvings must be elevated 6""off the floor or provide raised shelving to store such items(no soda and milk crate). | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Damaged and water stained ceiling tiles throughout the store. Must replace and maintain.  Floor tiles in the front entrance door cracked/broken. Must replace/repair and maintain. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: Ventilation inside the washroom not working. Must repair and maintain.",41.9390585951025,-87.7380362452783,SUPER SAVINGS FOOD,44224424 W BELMONT AVE,POINT (-87.7380362452783 41.9390585951025),IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,,15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938
Alzaytouna Mart,2020-02-28,Pass W/ Conditions,TRUE,FALSE,TRUE,4346 N Pulaski Rd,CHICAGO,IL,60641.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO EMPLOYEE HEALTH POLICY ON SITE. MUST PROVIDE.  PRIORITY FOUNDATION 7-38.010 NO CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO CLEAN UP PROCEDURE FOR VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND PROVIDE CLEANING SUPPLIES KIT.  PRIORITY FOUNDATION 7-38.005 NO CITATION ISSUED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: I/4 GAP ON THE BOTTOM OF THE EXIT DOOR. INSTRUCTED TO RODENT/INSECT PROOFED THE DOOR. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: FOUND MILK CRATE BEING USED FOR ELEVATION OF FOOD STOCK. INSTRUCTED TO PROVIDE RAISED SHELVINGS TO STORE FOOD STOCKS. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: RUBBER GASKET ON THE DOOR OF THE 3 DOOR REACH IN COOLER RIPPED OFF. MUST REPAIR AND MAINTIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST DETAIL CLEAN AND SANITIZE THE FOLLOWING: PREP TABLE BOTTOM SHELVES, EXTERIOR OF ALL COOLERS, PREP TABLES,INTERIOR BOTTOM OF THE REACH IN COOLERS,3 COMPARTMENT SINK, EXPOSED HAND SINK AND ALL SHELVING  IN THE PREP AREA AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: HEAVY LEAK ON THE PIPE UNDER THE 3 COMPARTMENT SINK. MUST REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CEILING VENT COVER OF THE VENTILATION OF THE WASHROOM WITH DUST BUILD UP. MUST CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOOR IN THE BASEMENT AND PREP AREA FIRST FLOOR NEEDS DETAIL CLEANING AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: UNNECESSARY ITEMS/ARTICLES THRU-OUT BASEMENT. INSTRUCTED TO ORGANIZE, CLEAN THE AREA, ELEVATE ALL ITEMS OFF THE FLOOR AND DISCARD ITEMS NOT BEING USED TO PREVENT RODENT/INSECTS HARBORAGE.",41.9604777635538,-87.7279616641295,ALZAYTOUNA MART,4346 N PULASKI RD,POINT (-87.7279616641295 41.9604777635538),IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,,15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938
Dollar Tree #06621,2019-03-14,Pass W/ Conditions,TRUE,FALSE,FALSE,3363 N Milwaukee Ave,CHICAGO,IL,60641.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED FACILITY TO DEVELOP AND MAINTAIN A PROCEDURE/PLAN AND TO MAINTAIN ANY APPROPRIATE SUPPLIES ON SITE.  PRIORITY FOUNDATION VIOLATION #7-38-005. NO CITATION ISSUED. - | 22. PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED TCS FOODS STORED AT IMPROPER TEMPERATURES INSIDE OF THE 3 DOOR STAND-UP COOLER. OBSERVED SOUR CREAM AT 48.9F, FETA CHEESE AT 51.1F,KIDS HAM LUNCHABLES AT 48.1F,MILK AT 48.9F,EGGS AT 48.6F,YOGURTS AT 44.7F,HOT DOGS AT 48.1F,SAUSAGE AT 48.6F,HERSHEY'S MILK AT 55.4F,ITALIAN STYLE SHREDDED CHEESE AT 47.1F,STRING CHEESE STICKS AT 49.1F,GEL PARFAIT JELLO 48.2F,. MANAGEMENT VOLUNTARILY DISCARDED APPROXIMATELY 100# OF FOOD WORTH $900. PRIORITY 7-38-005. CITATION ISSUED. COS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND SANITIZE POTATO CHIP SHELVINGS TO REMOVE SPILT FOOD DEBRIS AND TO MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN UNDERNEATH SHELVINGS THROUGHOUT THE GROCERY ISLES TO REMOVE ACCUMULATIONS OF DEBRIS AND TO MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO REPLACE WATER STAINED CEILING TILES THROUGHOUT THE PREMISES AND TO MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: INSTRUCTED TO REMOVE DUSTS ACCUMULATIONS FROM VENTILATION COVERS IN WASH ROOMS AND TO MAINTAIN.",41.942383513445,-87.7290108595133,DOLLAR TREE 06621,3363 N MILWAUKEE AVE,POINT (-87.7290108595133 41.942383513445),IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,,15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938
Drake Quick Mart,2014-10-10,Pass W/ Conditions,TRUE,FALSE,TRUE,3530 W Irving Park Rd,CHICAGO,IL,60618.0,"11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: NO EXPOSED HAND SINK FOR HAND WASHING AT FRONT AND REAR PREP AREAS, MUST PROVIDE IF ANY COOKING OR SERVING OF FOODS IS TO BE DONE ON SITE, INSTRUCTED TO DISCONTINUE OPERATION AT THIS TIME, INSTRUCTED PREVIOUSLY THAT IF OPERATION OF SELLING ONLY PACKAGED FOODS CHANGED MUST CONTACT THE CDPH, THAT WAS NOT DONE, ONCE HAND SINKS ARE INSTALLED MUST CONTACT THE CDPH FOR INSPECTION, IF SERVING OF FOODS IS TO BE DONE,    CRITICAL CITATION ISSUED: 7-38-030 | 21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: NO FOOD CERTIFIED MANAGER ON DUTY WITH A CITY OF CHICAGO SANITATION CERTIFICATE, POSTED OR AVAILABLE, WHILE POTENTIALLY HAZARDOUS FOODS ARE COOKED AND SERVED, SEE BELOW, AT THIS TIME OF INSPECTION, INSTRUCTED TO ENROLL IN A CLASS WITH PROOF OF ENROLLMENT OR ACTUAL CERTIFICATE MUST BE AVAILABLE, AND A CERTIFIED MANAGER MUST BE ON DUTY AT ALL TIMES FOODS ARE COOKED, SERVED AND PREPARED,    SERIOUS CITATION ISSUED: 7-38-012 | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: INSTRUCTED TO DETAIL CLEAN FLOORS THRU-OUT FURNACE ROOM AND STORAGE AREA.   | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: MUST REMOVE CLUTTER REAR STORAGE AREA, CLEAN AND BETTER MAINTAIN ALL AREAS,",41.953912901253,-87.7166523277809,DRAKE QUICK MART,3530 W IRVING PARK RD,POINT (-87.7166523277809 41.953912901253),IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,,15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938
"Tony'S Finer Foods Enterprises, Inc.",2025-04-07,Pass,FALSE,TRUE,TRUE,4137 N Elston Ave,CHICAGO,IL,60618.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARDBOARD BEING USED AS LINER ON FLOOR IN REAR COOKING AREA. INSTRUCTED THE PERSON IN CHARGE TO REMOVE CARDBOARD AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED ACCUMULATED GREASE AND FOOD DEBRIS ON INTERIOR AND EXTERIOR SURFACES OF COOKING EQUIPMENT, PREP TABLES, AND COOLERS IN THE REAR COOKING, AND BAKERY AREAS. INSTRUCTED THE PERSON IN CHARGE TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED ACCUMULATED FOOD DEBRIS ON THE FLOOR IN ALL PREP AREAS. INSTRUCTED THE PERSON IN CHARGE TO CLEAN FLOORS IN ALL PREP AREAS AND MAINTAIN.",41.9561262014791,-87.7224828262917,TONYS FINER FOODS ENTERPRISES INC,4137 N ELSTON AVE,POINT (-87.7224828262917 41.9561262014791),IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,,15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938
Windy City Market,2025-04-02,Pass,FALSE,TRUE,TRUE,3334-3348 N Pulaski Rd,CHICAGO,IL,60641.0,,41.941840039345,-87.7274151794978,WINDY CITY MARKET,33343348 N PULASKI RD,POINT (-87.7274151794978 41.941840039345),IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,,15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938
J & C Food Market Inc,2025-02-19,Pass,FALSE,TRUE,TRUE,3404 W Irving Park Rd,CHICAGO,IL,60618.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CUTTING BOARDS IN THE REAR PREP AREA WITH OPEN SEAMS AND DARK STAINS. INSTRUCTED TO REFINISH OR REPLACE DAMAGED OR STAINED CUTTING BOARDS AND MAINTAIN AT ALL TIMES.   | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED RECEPTACLE FOR PROPER DISPOSAL OF SANITARY NAPKINS IN ALL-GENDER WASHROOM IN BASEMENT. INSTRUCTED TO PROVIDE COVERED WASTE RECEPTACLE.",41.953963260566300,-87.7131376540815,J C FOOD MARKET INC,3404 W IRVING PARK RD,POINT (-87.7131376540815 41.953963260566304),IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,,15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938
