DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
South Loop Market,2025-02-11,Pass W/ Conditions,FALSE,TRUE,TRUE,2953-2955 N Sheffield Ave,CHICAGO,IL,60657.0,"23. PROPER DATE MARKING AND DISPOSITION - Comments: OBSERVED READY-TO-EAT, TIME/TEMPERATURE CONTROL FOR SAFETY (TCS) FOODS CHICKEN SALAD WITH CRANBERRYS, CHICKEN SALAD, VARIETY OF CHOPPED SALAD IN WALK-IN COOLER AND IN COFFEE STATION COOLER NOT DATE MARKED TO INDICATE THE PRODUCT'S NAME AND DATE IN WHICH THE FOOD MUST BE SOLD, DISCARDED OR CONSUMED WITHIN 7 DAYS. PERSON IN CHARGE DISCARDED AND DENATURED APPROXIMATELY 22 LBS VALUED AT $125. INSTRUCTED TO PROVIDE PROPER LABELS FOR DATE MARKING AND DISCARD DATE FOR REFRIGERATED, READY-TO-EAT, TCS FOODS HELD OVER 24HRS PLACED IN ALL COLD-HOLDING UNITS. PRIORITY FOUNDATION VIOLATION #7-38-005. CITATION ISSUED."" | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: NOTED BULK INGREDIENTS, GRANOLA/OATS AND DRY SEASONINGS IN CONTAINERS AT DELI MARKET WITH OUT LABELS. INSTRUCTED TO PROVIDE LABELS OF COMMON NAME OR ITEMS REMOVED FROM ITS ORIGINAL CONTAINER. | 40. PERSONAL CLEANLINESS - Comments: NOTED FOOD HANDLERS IN DELI MARKET WITH OUT PROPER HAIR RESTRAINTS. INSTRUCTED TO PROVIDE AND MAINTAIN HAIRNETS ON SITE FOR FOOD HANDLERS.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED CUTTING BOARDS IN DELI MARKET STAINED WITH DEEP CUTS. INSTRUCTED TO DEEP CLEAN AND RESTORE TO A SMOOTH AND EASY TO CLEAN SURFACE BY SANDING AND SEALING OR REPLACE AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CRATES BEING USED TO ELEVATE FOOD FROM GROUND IN WALK IN COOLER AND UNDERCOUNTER AT DELI MARKET COFFEE STATION. INSTRUCTED NOT TO USE CRATES, PROVIDE AND MAINTAIN PROPER SHELVING THAT IS NON-POROUS, SMOOTH AND EASY TO CLEAN AND A MINIMUM OF 6 INCHES FROM THE GROUND. ALSO NOTED FOIL USED AS SHELF LINER AT DELI MARKET. INSTRUCTED TO REMOVE AND USE PROPER LINERS THAT IS SOLID, NON-POROUS AND EASY TO CLEAN | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: NOTED COMPARTMENTS UNDER FRYERS AT DELI MARKET NOT CLEAN. INSTRUCTED TO DEEP CLEAN AND SANITIZE | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: NOTED LEAK FROM BASE OF WATER FAUCET AT 3 COMPARTMENT SINK AND AT MOP SINK, ALSO NOTED SLOW DRAIN AT MOP SINK. INSTRUCTED TO REPAIR. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NOTED NO COVERED RECEPTACLE IN REAR EMPLOYEE WASHROOM. INSTRUCTED TO PROVIDE WASTE BIN WITH LID. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: NOTED ENCLOSED REFUSE AREA IN NEED OF CLEANING. OBSERVED LEAVES AND DEBRIS CRATES AND SCRAP WOOD AND WOOD PALLETS ALONG THE WALLS. INSTRUCTED TO REMOVE ALL ITEMS. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED GREASE ON EXTERIOR SURFACE OF GREASE RECEPTACLE. INSTRUCTED TO DEEP CLEAN, SANITIZE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED EXCESSIVE CLUTTER IN REAR STORAGE AREA, AND IN EMPLOYEE WASHROOM FOOD PRODUCTS ON THE FLOOR. INSTRUCTED TO REMOVE ALL UNNECESSARY ITEMS. ALL KEPT ITEMS SHOULD BE STORED ON PROPER SHELVING. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO PROOF OF TRAINING FOR ALL FOOD HANDLERS. INSTRUCTED TO PROVIDE AND MAINTAIN RECORDS ON SITE AT ALL TIMES. | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: OBSERVED MOST RECENT INSPECTION SUMMARY REPORT NOT POSTED IN FACILITY. (SUMMARY POSTED BEHIND FRONT REGISTER IS DATED MAY 11, 2023 AND THE SUMMARY POSTED IN DELI MARKET IS DATED FEBRUARY 4, 2022 - THE MOST RECENT INSPECTION WAS JANUARY 24, 2024. INSTRUCTED MUST POST MOST RECENT INSPECTION SUMMARY REPORT IN PLAIN VIEW AT ALL TIMES. OPERATOR PROVIDED WITH TODAY'S SUMMARY DURING INSPECTION.  PRIORITY FOUNDATION VIOLATION 7-42-010(B).",41.9360391459856,-87.6538287232103,SOUTH LOOP MARKET,29532955 N SHEFFIELD AVE,POINT (-87.6538287232103 41.9360391459856),LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,,5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677
7-Eleven #37759 A,2024-09-25,Pass W/ Conditions,TRUE,FALSE,FALSE,1027 W Addison St,CHICAGO,IL,60613.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: FOUND EXPIRED CITY OF CHICAGO SANITATION CERTIFICATE ON PREMISES FOR MANAGERS WHILE HANDLING TCS FOODS. (HANDLES HOT DOGS AND WINGS, ETC.) PRIORITY FOUNDATION VIOLATION, 7-38-012. CITATION ISSUED. MUST PROVIDE UPDATED CERTIFICATES FOR CERTIFIED MANAGER ON SITE DURING HOURS OF OPERATION.  | 22. PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED THE FOLLOWING TCS FOODS AT IMPROPER COLD HOLDING TEMPERATURES IN 1 DOOR REACH IN COOLER AT FRONT PREP AREA NEAR HOT HOLDING: HOT DOGS AT 48.9F, DELI MEAT SNACK PACKS AT 50.1F, AND CHEESE AT 50.1F. MANAGER VOLUNTARILY DISCARDED AND ALL ITEMS AT TIME OF INSPECTION. APPROX. 10 LBS WITH A $50 VALUE. PRIORITY VIOLATION 7-38-005, CITATION ISSUED. INSTRUCTED TO MAINTAIN ALL TCS COLD FOODS AT 41F OR BELOW AT ALL TIMES. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARDBOARD USED AS A LINER ON SHELVES IN THE WALK IN COOLER. INSTRUCTED MANAGER TO PROVIDE A SMOOTH, EASILY CLEANABLE, AND NON ABSORBENT SURFACE.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED SPILLAGED OF LIQUID AND FOOD DEBRIS BUILD UP ON THE COUNTERS BEHIND THE DRINK DISPENER AND SLUSHEE STATIONS ON THE WEST WALL OF FACILITY. INSTRUCTED TO DETAIL CLEANAND MAINTAIN FREE OF SPILLAGE AND FOOD DEBRIS BUILD UP. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED LOOSE FOOD DEBRIS AND EMPTY CUPS ON THE FLOOR BELOW THE DRINK, SODA, AND COFFEE DISPENSER AREA ON THE WEST WALL. INSTRUCTED MANAGER TO DETAIL CLEAN AND MAINTAIN AREAS FREE OF EXCESSIVE BUILD UP.",41.947116537075,-87.6554598732655,7ELEVEN 37759 A,1027 W ADDISON ST,POINT (-87.6554598732655 41.947116537075),LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,,5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677
New York Market,2024-09-09,Pass W/ Conditions,FALSE,TRUE,TRUE,3660 N Lake Shore Dr,CHICAGO,IL,60613.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURE OR PLAN IN PLACE FOR CLEANING UP OF VOMITING AND DIARRHEA EVENTS AS WELL AS A KIT WITH ALL NECESSARY ITEMS AS STATED IN THE CHICAGO ORDINANCE. INSTRUCTED TO PROVIDE PROCEDURE AND KIT WITH APPROPRIATE SUPPLIES. PRIORITY FOUNDATION VIOLATION, 7-38-005. CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SIGNAGE AVAILABLE AT THE FRONT HANDWASHING SINK BEHIND THE CASHIER. MANAGER RECENTLY CHANGED THE FRONT PREPARATION SINK TO A HAND SINK. SOAP AND PAPER TOWELS WERE AVAILABLE AT TIME OF INSPECTION. INSTRUCTED MANAGER TO PROVIDE APPROPRIATE HANDWASHING SIGNAGE AT THE HAND SINK. | 35. APPROVED THAWING METHODS USED - Comments: OBSERVED BAG OF SMALL TACOS AND BAG OF WINGS THAWING ON TABLE IN REAR OF FACILITY. INSTRUCTED TO THAW ALL FROZEN ITEMS APPROPRIATELY UNDER REFRIGERATION OR AS STATED IN REGULATIONS. | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: OBSERVED ICE SCOOP STORED ON TOP OF ICE MACHINE IN UNPROTECTED AREA. INSTRUCTED MANAGER TO STORE ICE SCOOP IN CLEAN AND DRY LOCATION IN BETWEEN USE.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED GASKETS OF TWO DOOR STANDING FREEZER IN REAR TO BE HEAVILY TORN AND DAMAGED. INSTRUCTED MANAGER TO REPLACE TORN GASKETS IN STANDING FREEZER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MOP STORED IN BUCKET IN REAR OF FACILITY NEAR UTILITY SINK. INSTRUCTED TO STORE MOP TO ALLOW FOR DRYING IN BETWEEN USE.",41.9501725646257,-87.6445481581548,NEW YORK MARKET,3660 N LAKE SHORE DR,POINT (-87.6445481581548 41.9501725646257),LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,,5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677
7-Eleven #29726G,2023-11-17,Pass W/ Conditions,TRUE,FALSE,FALSE,3700 N Broadway,CHICAGO,IL,60613.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NOTED NO CERTIFIED FOOD MANAGER ON DUTY WITH THE ORIGINAL CITY OF CHICAGO FOOD SERVICE CERTIFICATE ON SITE WHILE TCS FOODS (CHICKEN, PIZZA, ETC.) WERE BEING PREPARED AND SERVED. INSTRUCTED MANAGEMENT THAT A CERTIFIED FOOD MANAGER WITH THE CITY OF CHICAGO ORIGINAL FOOD SERVICE CERTIFICATE MUST BE PRESENT AT ALL TIMES TCS FOODS ARE PREPARED AND SERVED. ALSO, THE PERSON IN CHARGE MUST HAVE A CITY OF CHICAGO CERTIFICATE BY NEXT INSPECTION (UPON BEING INSPECTED) PRIORITY FOUNDATION VIOLATION 7-38-012. CITATION ISSUED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: NOTED SOME PEST ACTIVITY (RATS AT THE EXTERIOR OF THE PROPERTY. INSTRUCTED TO CLEAN, SANITIZE AND MAINTAIN.(NO EVIDENCE NOTED INSIDE PREMISE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED CARDBOARD BOXES USED TO LINE SHELVES IN THE DISPLAY AREA. INSTRUCTED TO CLEAN AND REMOVE ALL CARDBOARD BOXES TO PREVENT HIDING PLACES FOR PEST. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED SOME USE OF MILK CRATES FOR ELEVATION  THROUGHOUT. INSTRUCTED NOT TO USE MILK CRATES FOR ELEVATION TO PREVENT HIDING PLACES FOR PEST. MUST PROVIDES APPROPRIATE SHELVING FOR STORAGE. ALL FOOD ITEMS MUST ALSO BE STORED 6"" AWAY FROM THE WALL. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED UNFINISHED WOOD (POROUS WOOD)USED FOR SHELVING AT THE REAR STORAGE AREA. INSTRUCTED TO PROVIDE SHELVES WITH NON-POROUS WOOD THAT ARE EASILY CLEANABLE AND MAINTAINED. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO CLEAN AND MAINTAIN COUNTER TOPS BEHIND THE PREP COUNTER WITH DIRT AND FOOD DEBRIS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED HEAVY DIRT, DEBRIS, FOOD PARTICLES, AND SPILLS ON FLOORS ALONG THE WALL BASE AND UNDERNEATH EQUIPMENT THROUGHOUT THE BACK COUNTER FOOD PREP AREA. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED HEAVY CLUTTER THROUGHOUT ON FLOORS AT THE BASEMENT DRY STORAGE AREA. INSTRUCTED TO DETAIL CLEAN, ORGANIZE, AND REMOVE ALL UNNECESSARY OR UNUSED ARTICLES AND EQUIPMENT TO PREVENT HIDING PLACES FOR PEST.",41.9491572433655,-87.6485266178884,7ELEVEN 29726G,3700 N BROADWAY,POINT (-87.6485266178884 41.9491572433655),LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,,5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677
Deli & More,2023-10-24,Pass W/ Conditions,TRUE,FALSE,TRUE,330 W Diversey Pkwy,CHICAGO,IL,60657.0,"22. PROPER COLD HOLDING TEMPERATURES - Comments: TCS FOOD AT IMPROPER TEMPERATURE: 6 GALLON EACH(48oz)OF ALMOND MILK(PARISHABLE KEEP REFRIGERATORE).8 EACH CARTON OF 1/2 GALLON OF ORGANIC MILK AT TEMP OF 46.4F TO 47.2F; 6 DOZEN OF FRESH EGGS AT TEMP OF 46.7F TO 47.3F; 9 EACH(8oz) OF NON-FAT GREEK YOGURT AT TEMP OF 45.3F;BEEF HOT  DOG AT TEMP OF 46.4F; 2 PACKAGE OF SMOKED TURKEY AT TEMP OF 46.8F;SLICE TOMATOES STORED INSIDE PREP COOLER AT TEMP OF46.4F TO 53.1F.ALL FOOD MENTIONED WAS DISCARDED  AND DENATURED BY THE EMPLOYEE ON DUTY.POUND 20, VALUE 400. PRIORITY VIOLATION:7-38-005,CITATION ISSUED | 33. PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL - Comments: FOUND DISPLAY SELF-SERVING COOLER AT IMPROPER TEMPERATURE FROM AIR TEMP OF 46.6F TO 47.9F.TCS FOOD WAS STORED INSIDE THE COOLER UNIT: MILK, FRESH EGGS, CHEESE, ETC. TAGGED UNIT"" HELD FOR INSPECTION"" DO NOT USE. PRIORITY VIOLATION:7-38-005, CITATION ISSUED. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: HANDWASHING SINK SLOWLY DRAINING.REPAIR ISSUE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: COVER IS REQUIRED FOR RECEPTACLE INSIDE GENDER WASHROOM, | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: NO FOOD HANDLER TRAINING CERTIFICATE PROVIDED ON SITE.INSTRUCTED TO PROVIDE",41.9330419872191,-87.6380227109498,DELI MORE,330 W DIVERSEY PKWY,POINT (-87.6380227109498 41.9330419872191),LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,,5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677
Walmart #5645,2021-09-21,Pass W/ Conditions,FALSE,TRUE,TRUE,2844 N Broadway,CHICAGO,IL,60657.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: 2-101.11  THE PERSON IN CHARGE DURING THE INSPECTION DOES NOT HAVE A CITY OF CHICAGO SANITATION CERTIFICATE. PRIORITY FOUNDATION VIOLATION. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: 2-101.11  NO CITY OF CHICAGO CERTIFIED FOOD MANAGER WAS ON-SITE DURING INSPECTION WHILE TCS FOODS WERE BEING PREPARED AND SERVED. REVIEWED A CITY OF CHICAGO CERTIFIED FOOD MANAGER MUST BE ON-SITE DURING INSPECTION WHILE TCS FOODS ARE BEING PREPARED AND SERVED. PRIORITY FOUNDATION VIOLATION 7-38-012 CITATION ISSUED.",41.9340361651041,-87.6445537289157,WALMART 5645,2844 N BROADWAY,POINT (-87.6445537289157 41.9340361651041),LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,,5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677
3600 Commissary,2019-11-20,Pass W/ Conditions,TRUE,FALSE,FALSE,3600 N Lake Shore Dr,CHICAGO,IL,60613.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO WRITTEN EMPLOYEE HEALTH POLICY ON SITE. MUST PROVIDE FOR ALL EMPLOYEES. PRIORITY FOUNDATION VIOLATION. NO CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO WRITTEN CLEANING PROCEDURE OR REQUIRED EQUIPMENT FOR A VOMITING OR DIARRHEA EVENT. MUST PROVIDE. PRIORITY FOUNDATION VIOLATION. NO CITATION ISSUED. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: NO METAL STEM THERMOMETER ON SITE FOR MEASURING FOOD TEMPERATURES UPON RECEIVING COLD FOODS. MUST PROVIDE. PRIORITY FOUNDATION VIOLATION. NO CITATION ISSUED.",41.9486836743748,-87.6436497585055,3600 COMMISSARY,3600 N LAKE SHORE DR,POINT (-87.6436497585055 41.9486836743748),LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,,5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677
Mariano'S #8538,2025-04-02,Pass,FALSE,TRUE,TRUE,3030 N Broadway,CHICAGO,IL,60657.0,,41.9373384373094,-87.6444564715052,MARIANOS 8538,3030 N BROADWAY,POINT (-87.6444564715052 41.9373384373094),LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,,5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677
Afc Sushi @ Jewel Osco # 2940,2025-03-21,Pass,TRUE,FALSE,FALSE,2940 N Ashland Ave,CHICAGO,IL,60657.0,,41.9354720327317,-87.6686545431426,AFC SUSHI JEWEL OSCO 2940,2940 N ASHLAND AVE,POINT (-87.6686545431426 41.9354720327317),LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,,5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677
Paulina Market,2025-03-17,Pass,TRUE,FALSE,TRUE,3501 N Lincoln Ave,CHICAGO,IL,60657.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NOTED NO HANDWASH SIGNAGE AT REAR HANDWASH SINKS IN PREP AREA, NORTH EMPLOYEE WASHROOMS AND NORTH WEST PREP AREA. INSTRUCTED TO PROVIDE AND MAINTAIN.",41.9452541583595,-87.6723897931988,PAULINA MARKET,3501 N LINCOLN AVE,POINT (-87.6723897931988 41.9452541583595),LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,,5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677
