DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Big Apple Finer Foods Inc,2024-08-06,Pass W/ Conditions,FALSE,TRUE,TRUE,2345 N Clark St,CHICAGO,IL,60614.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: OBSERVED PERSON IN CHARGE WITHOUT PROOF OF FOOD SAFETY MANAGEMENT TRAINING DURING TIME OF INSPECTION. MUST PROVIDE.  | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED FACILITY FOOD HANDLERS PREPARING AND HANDLING�TIME AND TEMPERATURE CONTROL FOR SAFETY(TCS) FOODS WITHOUT ORIGINAL CITY OF CHICAGO FOOD SERVICE MANAGER AND CERTIFICATE ON SITE. INFORMED PERSON IN CHARGE CITY OF CHICAGO ORIGINAL FOOD SERVICE CERTIFICATE MUST REMAIN POSTED ON SITE AND CERTIFIED MANAGER ON SITE DURING TCS FOOD PREP, COOKING, SERVING AND OPERATING HOURS. PRIORITY FOUNDATION VIOLATION #7-38-012. CITATION ISSUED. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED RUSTED SHELVES IN FRONT HOLDING PACKAGED BREAD. INSTRUCTED TO RESTORE TO A SMOOTH AND EASILY CLEANABLE SURFACE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED ALL CUTTING SURFACES IN PRODUCE PLATFORM AREA WITH DEEP CUTS. INSTRUCTED TO CLEAN AND SANITIZE AND RESTORE TO SMOOTH AND EASY TO CLEAN SURFACE OR REPLACE AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED CRATES BEING USED THROUGHOUT PREP AREA, PRODUCE, WALK-IN COOLERS AND STORAGE AREAS. INSTRUCTED TO PROVIDE AND USE PROPER SHELVING THAT IS A MINIMUM OF SIX INCHES OFF THE GROUND. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: NOTED AN EXCESSIVE AMOUNT OF ICE BUILDUP ON THE FLOOR/WALLS/CEILING OF THE WALK IN FREEZER. MUST REMOVE EXCESS ICE, DETAIL CLEAN, AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED UNUSED EQUIPMENT AND BOXES ON THE FLOOR IN NON-FOOD STORAGE CLOSET ADJACENT TO DRY FOOD STORAGE AREA. INSTRUCTED TO REMOVE UNUSED/UNNECESSARY ITEMS AND ELEVATE KEPT ITEMS ON SHELVES A MINIMUM OF SIX INCHES OFF THE FLOOR | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED DUST ON CEILINGS OF DAIRY AND PRODUCE WALK-IN COOLERS. INSTRUCTED TO CLEAN AND MAINTAIN. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: NOTED EXPIRED FOOD HANDLER CERTIFICATES. INSTRUCTED TO MAINTAIN RECORDS AT ALL TIMES.",41.924966179088,-87.6399260189657,BIG APPLE FINER FOODS INC,2345 N CLARK ST,POINT (-87.6399260189657 41.924966179088),LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714,,,6.0,LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714
Buzz Market,2024-03-05,Pass W/ Conditions,FALSE,TRUE,TRUE,2451 N Lincoln Ave,CHICAGO,IL,60614.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: PERSON IN CHARGE UNABLE TO PROVIDE CLEAN UP PROCEDURE OR SUPPLIES TO RESPOND TO VOMIT AND DIARREAL EVENTS. INSTRUCTED TO PROVIDE PROCEDURE AND NECESSAY ITEMS. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARDBOARD USED AS A LINER ON REAR FODD STORAGE SHELVING. INSTRUCTED TO REMOVE CARDBOARD AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED FACILITY WITHOUT UTILITY/ SERVICE SINK. MUST INSTALL A SERVICE SINK FOR                          PROPER DISPOSAL OF DIRT MOP WATER WITH HOT AND COLD RUNNING WATER. MUST PROVIDE A BACKFLOW PREVENTOR DEVICE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE REEPTACLE PROVIDED IN THE CUSTOMERS WASHROOM. MUST PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MOPS STORED ON THE FLOOR IN REAR OF PREMISS. MUST PROPERLY STORE MOPS AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER AND UNNECESSARY ITEMS IN REAR FOOD STORAGE AREA. MUST REMOVE UNNECESSARY ITEMS CLEAN AND ORGANIZE AREA. MUST ELEVATE ALL ITEMS 6INCHES OF THE FLOOR INSIDE WALK-IN COOLER AND REAR FOOD STORAGE AREA. UNUSED 2-DOOR PEPSI COOLER MUST BE REMOVE FROM PREMISES. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED NO VENTILATION PROVIDED IN THE CUSTOMER AND EMPLOYEE WASHROOMS. MUST PROVIDE MECHANICAL REFRIGERATION AND MAINTAIN AT ALL TIMES.",41.9266067678079,-87.6501730579423,BUZZ MARKET,2451 N LINCOLN AVE,POINT (-87.6501730579423 41.9266067678079),LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714,,,6.0,LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714
7-Eleven #33875B,2023-12-15,Pass W/ Conditions,TRUE,FALSE,TRUE,1349 W Fullerton Ave,CHICAGO,IL,60614.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO CERTIFIED FOOD MANAGER ON SITE WHILE TCS FOODS WERE BEING PREPARED AND SERVED(PIZZA, WINGS). INSTRUCTED TO HAVE A CERTIFIED FOOD MANAGER ON SITE AT ALL TIMES WHILE TCS FOODS ARE BEING PREPARED AND SERVED. PRIORITY FOUNDATION VIOLATION. 7-38-012. CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO SOAP AT HAND WASHING SINK LOCATED AT FRONT PREP AREA. MUST PROVIDE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION. 7-38-030(C). CITATION ISSUED. EMPLOYEE PROVIDED BAR SOAP AT HAND SINK DURING INSPECTION. | 16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: INSTRUCTED TO CLEAN PINK MINERAL SUBSTANCE INSIDE OF ICE DISPENSER AT SODA MACHINE AND DISPENSERS AT THE LATTE MACHINE. | 21. PROPER HOT HOLDING TEMPERATURES - Comments: OBSERVED HOTDOGS AT IMPROPER HOT HOLDING TEMPERATURE AT 100F AT HOT HOLDING UNIT. OBSERVED TAQUITO TACO MEAT WITH CHEESE AND TAQUITO BUFFALO CHICKEN AT HOT HOLDING UNIT RANGING FROM 96F-100F. TCS FOODS MUST BE HELD AT 135F OR ABOVE. PRIORITY VIOLATION. 7-38-005. CITATION ISSUED. FOOD DISCARDED VOLUNTARILY BY EMPLOYEE. FOOD WEIGHING APPROXIMATELY 10 LBS AT A COST OF $50.00.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE EQUIPMENT THERMOMETER IN GRAB AND GO COOLER. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO COLD FAUCET HANDLE AT 3-COMPARTMENT SINK AND NO COLD WATER. MUST PROVIDE HANDLE AND COLD RUNNING WATER AT 3-COMPARTMENT SINK. OBSERVED HAND SINK IN DISH WASHING AREA PULLED OFF OF WALL. INSTRUCTED TO PROPERLY SEAL. OBSERVED MINOR LEAK AT 3-COMPARTMENT SINK FAUCET HEAD WHEN WATER IS RUNNING. MUST REPAIR. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO FOOD HANDLER TRAINING CERTIFICATES. MUST PROVIDE. | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: SUMMARY REPORT NOT POSTED VISIBLE TO THE PUBLIC FROM LAST INSPECTION ON 12/3/2019, REPORT #2352587. MUST POST RECENT SUMMARY REPORT VISIBLE TO THE PUBLIC AT ALL TIMES. PRIORITY FOUNDATION VIOLATION. 7-42-010(B). CITATION ISSUED.",41.9251207416313,-87.662477152592,7ELEVEN 33875B,1349 W FULLERTON AVE,POINT (-87.662477152592 41.9251207416313),LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714,,,6.0,LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714
Creative Mini Market,2022-08-04,Pass W/ Conditions,TRUE,FALSE,FALSE,701 W Willow St,CHICAGO,IL,60614.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: 2-102.14(O): NO EMPLOYEE HEALTH POLICY/TRAINING ON-SITE. INSTRUCTED FACILITY TO ESTABLISH AN APPROPRIATE EMPLOYEE HEALTH POLICY/TRAINING SYSTEM AND MAINTAIN WITH VERIFIABLE DOCUMENTS ON SITE.  PRIORITY FOUNDATION VIOLATION 7-38-010.",41.913754848395500,-87.6460099487933,CREATIVE MINI MARKET,701 W WILLOW ST,POINT (-87.6460099487933 41.913754848395506),LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714,,,6.0,LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714
Trader Joe'S,2021-10-18,Pass W/ Conditions,FALSE,TRUE,TRUE,667 W Diversey Pkwy,CHICAGO,IL,60614.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICY ON SITE. MUST PROVIDE AND MAINTAIN. PRIORITY FOUNDATION VIOLATION 7-38-010. NO CITATION WAS ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEAL CLEAN-UP PROCEDURE AND KIT ON SITE. MUST PROVIDE AND MAINTAIN. FOUNDATION VIOLATION 7-38-005 NO CITATION ISSUED",41.9326660116695,-87.6461872718154,TRADER JOES,667 W DIVERSEY PKWY,POINT (-87.6461872718154 41.9326660116695),LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714,,,6.0,LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714
Cvs/Pharmacy #8737,2020-04-28,Pass W/ Conditions,TRUE,FALSE,FALSE,2414 N Lincoln Ave,CHICAGO,IL,60614.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN AND KIT FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED FACILITY TO DEVELOP AND MAINTAIN A PROCEDURE/PLAN AND TO MAINTAIN ANY APPROPRIATE SUPPLIES ON SITE.  PRIORITY FOUNDATION VIOLATION 7-38-005.  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED A CUSTOMER COME WITH A LARGE DOG AT PHARMACY AREA. NOT A SERVICE ANIMAL. REVIEWED WITH MANAGER THAT LIVE ANIMALS MAY NOT BE ALLOWED ON THE PREMISES OF A RETAIL FOOD ESTABLISHMENT. PRIORITY FOUNDATION VIOLATION 7-40-060. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments:  WASTE PIPE ABOVE THE FOOD ITEMS IN BASEMENT STORAGE AREA.SAID PIPES MUST BE ENCASED OR RELOCATE ITEMS. SURFACE MUST BE SMOOTH CLEANABLE AND NON-ABSORBENT SURFACE  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  MUST NOT USE MILK CRATES AS A MEANS OF ELEVATION FOR STORED ITEMS. PROVIDE SHELVES 6""0FF THE PREMISES  | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: NO VENTILATION PROVIDED IN  BASEMENT BOTH WASHROOMS,INSTRUCTED TO PROVIDE  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: BROKEN,MISSING AND HEAVILY STAINS CEILING TILES THROUGHOUT THE PREMISES. INSTRUCTED TO REPLACE SAID TILES. BROKEN METAL FLOOR SHEET IN FRONT OF THE EXIT DOOR AT FIRST FLOOR STORAGE AREA. BROKEN AND MISSING FLOOR TILES AT FRONT SELLING AREA BY THE WALK-IN COOLER AND REAR STORAGE AREA. BROKEN NORTH WALL AND PEELING PAINT IN BASEMENT STORAGE AREA,WERE FOOD ITEMS ARE STORED. SURFACE MUST BE SMOOTH CLEANABLE AND NON-ABSORBENT SURFACE | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: EXCESS DUST AND DEBRIS UNDER SHELVES IN SELLING AREA AND THROUGHOUT BASEMENT STORAGE AREAS.MUST CLEAN AND MAINTAIN.ELEVATE ITEMS FROM FLOOR 6"" ABOVE THE FLOOR.",41.9257269082396,-87.6493680146439,CVSPHARMACY 8737,2414 N LINCOLN AVE,POINT (-87.6493680146439 41.9257269082396),LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714,,,6.0,LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714
The Market By Foxtrot,2014-10-23,Pass W/ Conditions,TRUE,FALSE,FALSE,2229 N Clybourn Ave,CHICAGO,IL,60614.0,,41.922259675517700,-87.6650826192254,THE MARKET BY FOXTROT,2229 N CLYBOURN AVE,POINT (-87.6650826192254 41.922259675517694),LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714,,,6.0,LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714
Andale Market,2025-03-10,Pass,FALSE,TRUE,TRUE,725 W Wrightwood Ave,CHICAGO,IL,60614.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE DOOR AT THE FRONT ENTRANCE TO NOT BE TIGHTLY SEALED TO THE FLOOR, WITH A GAP GREATER THAN 1/4 INCH PRESENT ALONG BOTTOM OF DOOR. INSTRUCTED TO PEST PROOF FRONT DOOR. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED BOTH BATHROOMS (2) TO NOT HAVE A SELF CLOSING DOOR AT TIME OF INSPECTION. INSTRUCTED MANAGER TO PROVIDE SELF CLOSING DOOR AT BOTH BATHROOMS.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSEREVED NO COVERED TRASH CAN IN BOTH (2) BATHROOMS AT TIME OF INSPECTION. INSTRUCTED MANAGER TO PROVIDE COVERED TRASH CAN IN EACH UNISEX/WOMEN'S BATHROOM.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE HAND SINK IN BATHROOM IN REAR STORAGE/OFFICE AREA TO HAVE MISSING COVING PRESENT AROUND WATER PIPES AT TIME OF INSPECTION.   OBSERVED MISSING BASEBOARD/COVING PRESENT ALONG THE FLOORS IN THE REAR DRY STORAGE/OFFICE AREA, IN THE FRONT BATHROOM LOCATED OFF THE MAIN STOREFRONT AREA, IN THE FRONT DRINK PURCHASE AREA BEHIND THE COUNTER, AND IN THE DRY STORAGE/DRINK CLOSET LOCATED BETWEEN THE SHELVES IN MAIN STORE AREA. INSTRUCTED MANAGER TO REPLACE/PROVIDE APPROPRIATE COVING/COVER FOR ALL GAPS UNDER SINK AND ALONG ALL FLOOR/WALL JUNCTIONS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE CORNER OF THE REAR BATHROOM WALL AND CEILING TO NOT BE FINISHED, SMOOTH AND EASILY CLEANABLE. INSTRUCTED MANAGER TO PROVIDE A SMOOTH AND EASILY CLEANABLE SURFACE BY FINISHING AND PAINTING THE UNFINISHED DRY WALL REPAIRS.  OBSERVED AN ELEVATED AND CARPET COVERED STAGE/SHELF DIRECTLY NEXT TO THE MOP SINK IN THE REAR DRY STORAGE/OFFICE AREA. INSTRUCTED MANAGER TO REMOVE CARPET SURFACE AND PROVIDE A SMOOTH AND EASILY CLEANABLE SURFACE.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXPOSED WOOD/STUDS AND JOISTS ABOVE THE DOOR IN THE DRINK/SMALL STORAGE CLOSET LOCATED IN BETWEEN THE SHELVES; IN THE CORNER OF THE DRINK/SMALL STORAGE CLOSET BETWEEN THE SHELVES; AND ABOVE THE DOOR LEADING TO THE MECHANICAL ROOM IN THE DRINK PURCHASE AREA BEHIND THE COUNTER. INSTRUCTED MANAGER TO FULL SEAL AROUND ALL THESE AREAS OF EXPOSED WOOD AND OPEN WALL CAVITIES.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED NO MECHANICAL VENTIALATION PRESENT/AVAILABLE IN THE BATHROOM LOCATED IN THE REAR DRY STORAGE/OFFICE ARE. INSTRUCTED MANAGER TO PROVIDE MECHANICAL VENTILATION OF SUFFICIENT CAPACITY IN BATHROOM.",41.92898568984630,-87.6475176294288,ANDALE MARKET,725 W WRIGHTWOOD AVE,POINT (-87.6475176294288 41.92898568984631),LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714,,,6.0,LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714
Carnival Grocery Store,2025-02-04,Pass,FALSE,TRUE,TRUE,458 W Dickens Ave,CHICAGO,IL,60614.0,"44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments: OBSERVED SCOOPS AND SPOONS STORED WITH FOOD CONTACT SURFACES EXPOSED NEAR THE COOKING EQUIPMENT IN THE 2ND FLOOR PREP KITCHEN. INSTRUCTED MANAGER TO INVERT ALL UTENSILS TO PROTECT FOOD CONTACT SURFACES.  | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAK FROM BASE OF LOOSE FAUCET OF 3 COMPARTMENT SINK IN UPSTAIRS PREP AREA. INSTRUCTED TO SERVICE LEAK AND MAINTAIN IN GOOD REPAIR.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOILED MOP STORED IN BUCKET IN SECOND FLOOR PREP AREA. INSTRUCTED TO HANG OR STORE APPROPRIATELY TO ALLOW FOR AIR DRYING IN BETWEEN USE.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BASEBOARD ON WALLS IN SMALL HALL BEHIND REFRIGERATION UNITS AT BACK OF STORE IN STORAGE AREA TO BE BROKEN, IN POOR REPAIR, AND HANGING FROM THE WALL. INSTRUCTED MANAGER TO REPAIR OR REPLACE THE TORN AND DAMAGED BASEBOARDS AND MAINTAIN IN GOOD REPAIR.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED HEAVY DUST BUILD UP ON BOTH FAN COVERS OF UNITS IN WALK IN COOLER/FREEZER COMBO IN 1ST FLOOR PREP AREA. INSTRUCTED MANAGER TO DETAIL CLEAN AND MAINTAIN FREE OF EXCESSIVE DUST BUILD UP.",41.9202201056737,-87.6412429212164,CARNIVAL GROCERY STORE,458 W DICKENS AVE,POINT (-87.6412429212164 41.9202201056737),LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714,,,6.0,LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714
The Fresh Market Of Illinois,2024-10-22,Pass,FALSE,TRUE,TRUE,2730 N Halsted St,CHICAGO,IL,60614.0,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments:  3-307.11-- MUST INSTALL A SPLASH GUARD ON THE LEFT WASHBOWL WASHBASIN OF THE THREE COMPARTMENT SINK IN THE SPECIALTY CHEESE PREP AREA.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: : 4-101.11(B, C, D, E)--- TORN/MISSING COOLER DOOR CURTAIN IN THE WALK-IN COOLER OF THE MAIN MIDDLE FOOD PREP AREAS. MUST REPLACE.",41.9324600353997,-87.6491496096579,THE FRESH MARKET OF ILLINOIS,2730 N HALSTED ST,POINT (-87.6491496096579 41.9324600353997),LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714,,,6.0,LINCOLN PARK,88316400.4728,7.0,7.0,49478.4277714
