DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Iguala Grocery,2019-07-15,Pass W/ Conditions,FALSE,TRUE,TRUE,2700 W Francis Pl,CHICAGO,IL,60647.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: Violation Codes: 2-102.14(O)  Inspector Comments: OBSERVED NO SIGNED EMPLOYEES HEALTH POLICIES .MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION-NO CITATION ISSUED | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: Violation Codes: 2-501.11  Inspector Comments: OBSERVED NO CLEAN-UP POLICY PROCEDURE AND ITEMS FOR VOMITING AND DIARRHEA.MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION- NO CITATION ISSUED | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: Violation Codes: 5-204.11  Inspector Comments: OBSERVED NO HAND WASHING SINK IN REAR PREP/DISH WASHING AREA.MUST INSTALL A HAND SINK WITH HOT AND COLD RUNNING WATER AND MAINTAIN.(PRIORITY FOUNDATION-NO CITATION ISSUED | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: Violation Codes: 3-307.11  Inspector Comments: MUST PROVIDE A SPLASH GUARD BETWEEN 3- COMPARTMENT SINK AND MOP SINK | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: Violation Codes: 4-601.11(C)  Inspector Comments: MUST DEFROST ICE CREAM FREEZER | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: Violation Codes: 5-204.12  Inspector Comments: MUST PROVIDE A BACKFLOW DEVICE ON MOP SINK | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: Violation Codes: 5-205.15  Inspector Comments: MUST REPAIR OR REPLACE LEAKY FAUCET AT 3- COMPARTMENT SINK,CRACKED HAND SINK BASIN IN TOILET ROOM | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: Violation Codes: 5-501.17  Inspector Comments: MUST PROVIDE A LID ON GARBAGE CAN IN UNISEX TOILET ROOM | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Violation Codes: 6-201.11  Inspector Comments: MUST CLEAN DEBRIS AND DIRT BUILD UP FROM WALLS IN DISH WASHING AREAS | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Violation Codes: 6-501.13  Inspector Comments: MUST CLEAN DEBRIS FROM FLOOR UNDER,AROUND,ALONG WALL BASES THROUGHOUT PREMISES | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Violation Codes: 6-201.13  Inspector Comments: MUST REPAIR OR REPLACE DAMAGED AND MISSING FLOOR TILES ON SALES FLOOR AND SERVICE COUNTER AREAS AND WHERE NEEDED | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Violation Codes: 6-501.114  Inspector Comments: MUST ELEVATE,REMOVE AND ORGANIZE ARTICLES OFF OF FLOOR ANS AWAY FROM WALLS IN BASEMENT  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: Violation Codes: 6-202.11  Inspector Comments: MUST REPLACE BURNOUT AND MISSING LIGHT SHIELDS OVER DELI DISPLAY UNIT | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: Violation Codes: 2-102.13  Inspector Comments: MUST PROVIDE FOOD HANDLERS TRAINING FOR ALL EMPLOYEES",41.9193700796648,-87.6944211011287,IGUALA GROCERY,2700 W FRANCIS PL,POINT (-87.6944211011287 41.9193700796648),LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,,21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488
Go Grocer,2022-05-19,Pass W/ Conditions,TRUE,FALSE,TRUE,2255 N Milwaukee Ave,CHICAGO,IL,60647.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN UP SUPPLIES ON THE PREMISES TO RESPOND TO VOMIT AND DIARRHEAL EVENTS.  MANAGEMENT INSTRUCTED TO PROVIDE.  PRIORITY FOUNDATION VIOLATION 7-38-005. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE FRONT DOORS WITH A 1/2"" GAP ALONG THE BOTTOM.  MANAGEMENT INSTRUCTED TO RODENT PROOF ALL OUTER OPENINGS. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD STORAGE SHELVES TO BE STORED UNDERNEATH OVERHEAD WASTE LINES MARKED ""KITCHEN WASTE.""  MANAGEMENT INSTRUCTED TO PROPERLY SHIELD ALL SEWAGE LINES TO INTERCEPT POTENTIAL DRIPS. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE PROVIDED IN THE UNISEX WASHROOM.  MANAGEMENT INSTRUCTED TO PROVIDE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: THE WASHROOM DOOR LACKS A SELF-CLOSING DOOR DEVICE.  MANAGEMENT INSTRUCTED TO INSTALL.",41.92191766437,-87.695516379056,GO GROCER,2255 N MILWAUKEE AVE,POINT (-87.695516379056 41.92191766437),LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,,21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488
Brisa Foods Inc.,2022-07-08,Pass W/ Conditions,FALSE,TRUE,TRUE,2156 N Kimball Ave,CHICAGO,IL,60647.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED THE EXPOSED HAND WASHING SINK IN THE MEAT PREP AREA NOT ACCESSIBLE FOR USE.  THE HAND WASHING SINK WAS BLOCKED BY A TABLE SAW USED TO CUT MEAT.  MANAGEMENT INSTRUCTED THAT THE EXPOSED HAND WASHING SINK MUST BE ACCESSIBLE FOR USE AT ALL TIMES.  PRIORITY FOUNDATION VIOLATION 7-38-030(C).  CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO PAPER TOWELS WERE PROVIDED AT THE EXPOSED HAND WASHING SINK IN THE MEAT PREP AREA.  MANAGEMENT INSTRUCTED TO PROVIDE PAPER TOWELS AT ALL HAND WASHING SINKS AT ALL TIMES.  PRIORITY FOUNDATION VIOLATION 7-38-030(C).  SEE VIOLATION #10 ABOVE FOR CITATION. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED UNLABELED BREAD, HOT DOG BUNS AND HAMBURGER BUNS ON THE RETAIL SHELVES.  MANAGEMENT INSTRUCTED THAT ALL FOODS MUST BE PROPERLY LABELED. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RUST ON THE GREASE TRAP.  MUST PAINT OR REMOVE RUST. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: CLEAN THE DELI PREP COOLERS AND PREP TABLES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CLEAN THE FLOOR IN THE WALK-IN COOLER.",41.9208952794154,-87.7121341024579,BRISA FOODS INC,2156 N KIMBALL AVE,POINT (-87.7121341024579 41.9208952794154),LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,,21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488
Farmers Pride Produce & Market,2020-05-28,Pass W/ Conditions,FALSE,TRUE,TRUE,2110 N Milwaukee Ave,CHICAGO,IL,60647.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO WRITTEN EMPLOYEE HEALTH POLICY ON THE PREMISES.  MANAGEMENT INSTRUCTED TO HAVE A SIGNED EMPLOYEE HEALTH POLICY FOR EACH EMPLOYEE.  PRIORITY FOUNDATION 7-38-010.  NO CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN UP PROCEDURE AND SUPPLIES ON THE PREMISES TO RESPOND TO VOMIT AND DIARRHEAL EVENTS.  MANAGEMENT INSTRUCTED TO PROVIDE BOTH.  PRIORITY FOUNDATION 7-38-005.  NO CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND SOAP PROVIDED AT THE EXPOSED HAND WASHING SINK IN THE PREP AREA.  MANAGEMENT PROVIDED HAND SOAP AT THE HAND WASHING SINK AT MY REQUEST.  MANAGEMENT INSTRUCTED TO PROVIDE HAND SOAP AT ALL HAND WASHING SINKS AT ALL TIMES.  PRIORITY FOUNDATION 7-38-030(C).  NO CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO PAPER TOWELS PROVIDED AT THE EXPOSED HAND WASHING SINK IN THE PREP AREA.  MANAGEMENT PROVIDED PAPER TOWELS AT MY REQUEST.  MANAGEMENT INSTRUCTED TO PROVIDE PAPER TOWELS AT ALL HAND WASHING SINKS AT ALL TIMES.  PRIORITY FOUNDATION 7-38-030(C).  NO CITATION ISSUED. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO METAL STEM PROBE THERMOMETER ON THE PREMISES TO TAKE FOOD TEMPERATURES.  MANAGEMENT INSTRUCTED TO PROVIDE A METAL STEM PROBE THERMOMETER ON PREMISES TO TAKE FOOD TEMPERATURES.  PRIORITY FOUNDATION 7-38-005.  NO CITATION ISSUED. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED NO LABELS ON FOOD PACKAGED ON THE PREMISES SUCH AS CUT MELON, DRIED TOMATOES, PEPPERS AND PEELED GARLIC.  MANAGEMENT INSTRUCTED TO LABEL ALL FOODS PACKAGED ON THE PREMISES WITH NAME AND ADDRESS OF PREMISES, NET CONTENTS AND INGREDIENTS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: CLEAN THE TOP AND INTERIORS OF THE PREP COOLERS, PREP TABLES, PANINI PRESS, AND 3 COMPARTMENT SINK. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: CLEAN THE HAND WASHING SINK AND TOILET IN THE WASHROOM. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NO COVERED WASTE RECEPTACLE WAS PROVIDED IN THE WASHROOM.  MUST PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CLEAN THE FLOOR IN THE FOOD PREP AREA. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: MUST PROVIDE A WORKING VENTILATION FAN IN THE WASHROOM.",41.9195077710299,-87.6920305629099,FARMERS PRIDE PRODUCE MARKET,2110 N MILWAUKEE AVE,POINT (-87.6920305629099 41.9195077710299),LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,,21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488
Aldi Foods Store #30,2017-09-07,Pass,FALSE,TRUE,TRUE,4030 W Wrightwood Ave,CHICAGO,IL,60639.0,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN AND MAINTAIN THE BREAD DISPLAY SHELVING TO REMOVE DUST. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS NEED DETAIL CLEANING INSIDE THE DAIRY WALK IN COOLER UNDERNEATH THE RACK/SHELVING TO REMOVE SPILLS, LITTER AND DEBRIS.  | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVER THE DOOR SWEEPS LOOSE ON THE EXTERIOR DOORS. MUST REPAIR AND MAINTAIN TO PREVENT ENRTY POINT FOR PESTS.",41.9282078544235,-87.7281585580287,ALDI FOODS STORE 30,4030 W WRIGHTWOOD AVE,POINT (-87.7281585580287 41.9282078544235),LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,,21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488
Dona Mari'S Corporation,2024-10-21,Pass,FALSE,TRUE,TRUE,3757-3759 W Fullerton Ave,CHICAGO,IL,60647.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED 1-DOOR UPRIGHT COOLER (NEAR KITCHEN ENTRANCE) MISSING INTERNAL AMBIENT AIR THERMOMETER. INSTRUCTED TO PROVIDE AT LEAST ONE INTERNAL AMBIENT AIR THERMOMETER IN A CONSPICUOUS AND EASILY-VIEWABLE LOCATION IN ALL EQUIPMENT USED TO COLD-HOLD TCS FOOD ITEMS AND MAINTAIN AT ALL TIMES. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED BAGS OF NON-TCS AND NON-ALLERGEN FOOD ITEMS (DRIED BEANS, BAKING MATERIALS) PACKAGED ON-SITE LABELED AS 'MISC.' AND PRESENTED FOR SALE. INSTRUCTED TO UPDATE LABELS FOR ITEMS PACKAGED ON-SITE WITH ADEQUATE FOOD IDENTITY INFORMATION AS REQUIRED BY THE LAW AND MAINTAIN. PERSON-IN-CHARGE VOLUNTARILY REMOVED ITEMS FROM SALE UNTIL LABELS ARE UPDATED. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED NON-TCS MUFFINS IN ORIGINAL CONTAINER PROVIDED FOR SALE WITHOUT LABEL CONTAINING INFORMATION OF ORIGINAL MANUFACTURER (COSTCO). INSTRUCTED TO PROVIDE LABEL WITH ADEQUATE FOOD INFORMATION SUCH AS THE NAME AND ADDRESS OF THE MANUFACTURER AND MAINTAIN AT ALL TIMES. | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: OBSERVED IN-USE KNIVES STORED IN BETWEEN WALL AND CUTTING BOARD AT THE KITCHEN AREA PREP TABLE. INSTRUCTED TO REMOVE KNIVES FROM BETWEEN WALL AND STORE IN-USE UTENSILS ON A CLEAN, SANITIZED SURFACE BETWEEN USES AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED NONFOOD-CONTACT SURFACES OF BAND SAW MEAT CUTTER TO BE SOILED WITH DRIED FOOD DEBRIS. INSTRUCTED TO CLEAN NONFOOD-CONTACT SURFACES AT ADEQUATE FREQUENCY TO PREVENT BUILD UP OF SOIL AND MAINTAIN.",41.924434563962,-87.7217392176522,DONA MARIS CORPORATION,37573759 W FULLERTON AVE,POINT (-87.7217392176522 41.924434563962),LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,,21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488
Tony'S Fresh Market,2024-11-21,Pass,FALSE,TRUE,TRUE,3607 W Fullerton Ave,CHICAGO,IL,60647.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND CEILING INSIDE MEAT PREPARATION COOLER NOT CLEAN. MUST CLEAN.",41.9244900939976,-87.717288130979,TONYS FRESH MARKET,3607 W FULLERTON AVE,POINT (-87.717288130979 41.9244900939976),LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,,21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488
Rico Fresh Market,2024-11-18,Pass,FALSE,TRUE,TRUE,3552 W Armitage Ave,CHICAGO,IL,60647.0,,41.9174041107537,-87.7156725023968,RICO FRESH MARKET,3552 W ARMITAGE AVE,POINT (-87.7156725023968 41.9174041107537),LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,,21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488
Dill Pickle Food Co-Op,2024-11-26,Pass,FALSE,TRUE,TRUE,2746 N Milwaukee Ave,CHICAGO,IL,60647.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED LATCH AT MAIN KITCHEN AREA WALK-IN COOLER DOOR IN POOR REPAIR, PREVENTS COOLER DOOR FROM FULLY CLOSING. WALK-IN COOLER MAINTAINS ADEQUATE INTERNAL AIR TEMPERATURE OF 37.1F FOR COLD-HOLDING. INSTRUCTED TO REPAIR OR REPLACE WALK-IN COOLER DOOR LATCH AND MAINTAIN ALL EQUIPMENT IN GOOD REPAIR AND PROPER ADJUSTMENT. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED HANDWASHING LAVATORIES PROVIDED WITH DISPOSABLE PAPER TOWELS THROUGHOUT KITCHEN AREA MISSING WASTE RECEPTACLES AT EACH LAVATORY OR WITHIN ADEQUATE DISTANCE. INSTRUCTED TO PROVIDE WASTE RECEPTACLES AT EACH HANDWASHING LAVATORY FOR THE IMMEDIATE DISPOSAL OF USED PAPER TOWELS AND MAINTAIN.",41.9309887557474,-87.7107851682832,DILL PICKLE FOOD COOP,2746 N MILWAUKEE AVE,POINT (-87.7107851682832 41.9309887557474),LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,,21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488
Tamazula Grocery Inc.,2024-11-14,Pass,FALSE,TRUE,TRUE,2458 W Moffat St,CHICAGO,IL,60647.0,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED ALL TOOLS AND PERSONAL ITEMS STORED NEXT TO FOOD. STORE TOOLS AND PERSONAL ITEMS AWAY FOOD AND FOOD PREP AREAS. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED CLOG IN PLUMBING UNDER 3 COMPARTMENT SINK (FAR RIGHT SIDE). THE CLOG CAUSES A LEAKING CONDITION THAT BYPASSES THE GREASE TRAP AND EMPTIES INTO A CLOSEBY FLOOR DRAIN. REMOVE CLOG IN PLUMBING UNDER 3 COMPARTMENT SINK. ALL WASTE WATER FORM 3 COMARTMENT SINK MUST PASS THOUGH GREASE TRAP. 3 COMPARTMENT SINK AND GREASE TRAP MUST BE MAINTAINED AND IN GOOD REPAIR AT ALL TIMES.",41.9149458424169,-87.6896629672747,TAMAZULA GROCERY INC,2458 W MOFFAT ST,POINT (-87.6896629672747 41.9149458424169),LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,,21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488
