DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Circle K,2024-12-26,Pass W/ Conditions,TRUE,FALSE,FALSE,2 N Wabash Ave,CHICAGO,IL,60602.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON THE PREMISES WHILE TCS FOODS (BREAKFAST SANDWICHES, CHEESEBURGERS, CHICKEN SANDWICHES, HOT DOGS, ETC) WERE BEING PREPARED AND SERVED. INSTRUCTED PERSON IN CHARGE THAT A CITY OF CHICAGO CERTIFIED FOOD MANAGER MUST BE PRESENT AT ALL TIMES WHILE TCS FOODS ARE BEING PREPARED OR SERVED. PRIORITY FOUNDATION, 7-38-012. CITATION ISSUED. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: MUST PROVIDE MORE SHELVING OR ELEVATE BEVERAGES AT LEAST 6 INCHES ABOVE THE FLOOR IN THE WALK-IN COOLER. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN FOOD RESIDUE FROM REACH-IN FREEZERS IN THE REAR STORAGE AREA | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER AND UNNECESSARY ARTICLES STORED THROUGHOUT THE REAR STORAGE AREAS. MUST DE CLUTTER, DETAIL CLEAN AREA, AND ORGANIZE ALL REMAINING ARTICLES AND STORE THEM ON SHELVING 6"" OFF THE FLOOR TO ENSURE ADEQUATE FACILITY CLEANING.",41.8821345537885,-87.6263633033626,CIRCLE K,2 N WABASH AVE,POINT (-87.6263633033626 41.8821345537885),LOOP,46335565.4586,32.0,32.0,39428.6729962,,,31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962
7-Eleven,2024-11-25,Pass W/ Conditions,TRUE,FALSE,FALSE,318 W Adams St,CHICAGO,IL,60606.0,2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: FOUND NO CITY OF CHICAGO FOOD SERVICE SANITATION MANAGER OR VALID CERTIFICATE ON SITE WHILE TIME/TEMPERATURE CONTROL FOR SAFETY FOODS (CHICKEN) ARE BEING PREPARED AND SERVED TO THE PUBLIC.  A VALID CITY OF CHICAGO FOOD SERVICE SANITATION MANAGER CERTIFICATE MUST BE ON SITE AT ALL TIMES WHILE TCS FOODS ARE PREPARED AND SERVED TO THE PUBLIC. PRIORITY FOUNDATION VIOLATION. 7-38-012. CITATION ISSUED.,41.87947279718,-87.6358074810281,7ELEVEN,318 W ADAMS ST,POINT (-87.6358074810281 41.87947279718),LOOP,46335565.4586,32.0,32.0,39428.6729962,,,31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962
Go! Grocer,2024-11-19,Pass W/ Conditions,TRUE,FALSE,FALSE,820 S Michigan Ave,CHICAGO,IL,60605.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEA PROCEDURE OR CLEANING MATERIALS TO CLEAN UP SAID INCIDENT ON SITE. FACILITY MUST PROVIDE PROCEDURES AND CLEANING MATERIALS (GLOVES, MASK, DISPOSABLE MOP, DISINFECTANT RATED FOR NOROVIRUS) FOR EMPLOYEES TO FOLLOW AND USE WHEN RESPONDING TO VOMITING OR DIARRHEAL EVENTS. INSTRUCTED MANAGER TO PROVIDE. PRIORITY FOUNDATION VIOLATION. 7-38-005. CITATION ISSUED. | 22. PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED TIME/TEMPERATURE CONTROL FOR SAFETY FOODS (MILK) AT IMPROPER COLD HOLDING TEMPERATURES RANGING FROM 49F - 50F LOCATED IN THE REACH IN COOLER AT BARISTA. MANAGER VOLUNTARILY DISCARDS AND DENATURES ALL SAID TCS FOODS, APPROX 4 GAL OF MILK AT 430. INSTRUCTED TO MAINTAIN A MINIMUM COLD HOLDING TEMPERATURE OF 41F. PRIORITY VIOLATION. 7-38-005. CITATION ISSUED. | 33. PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL - Comments: OBSERVED REACH IN COOLER AT AN IMPROPER COLD HOLDING TEMPERATURE OF 50F AT TIME OF INSPECTION. REACH IN COOLER TAGGED AND HELD FOR INSPECTION BY THE CHICAGO DEPARTMENT OF PUBLIC HEALTH.  INSTRUCTED TO DISCARD ALL TCS FOODS AND NOT USE REACH IN COOLER. UNTIL IT MAINTAINS A COLD HOLDING TEMPERATURE OF 41F OR BELOW AND IS RE-INSPECTED BY THE CHICAGO DEPARTMENT OF PUBLIC HEALTH. PRIORITY VIOLATION. 7-38-005. CITATION ISSUED.",41.8715767088999,-87.6243095156687,GO GROCER,820 S MICHIGAN AVE,POINT (-87.6243095156687 41.8715767088999),LOOP,46335565.4586,32.0,32.0,39428.6729962,,,31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962
Circle K,2024-11-19,Pass W/ Conditions,TRUE,FALSE,FALSE,211 W Adams St,CHICAGO,IL,60606.0,2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: FOUND NO CITY OF CHICAGO FOOD SERVICE SANITATION MANAGER OR VALID CERTIFICATE ON SITE WHILE TIME/TEMPERATURE CONTROL FOR SAFETY FOODS (pork) ARE BEING PREPARED AND SERVED TO THE PUBLIC.  A VALID CITY OF CHICAGO FOOD SERVICE SANITATION MANAGER CERTIFICATE MUST BE ON SITE AT ALL TIMES WHILE TCS FOODS ARE PREPARED AND SERVED TO THE PUBLIC. PRIORITY FOUNDATION VIOLATION. 7-38-012. CITATION ISSUED.  | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING,41.87927283877670,-87.6341031983783,CIRCLE K,211 W ADAMS ST,POINT (-87.6341031983783 41.87927283877671),LOOP,46335565.4586,32.0,32.0,39428.6729962,,,31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962
Amazon Go,2024-11-08,Pass W/ Conditions,FALSE,TRUE,TRUE,113 S Franklin St,CHICAGO,IL,60606.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO FOOD SERVICE SANITATION MANAGER ON SITE NOR AN ORIGINAL CITY OF CHICAGO FOOD SERVICE SANITATION MANAGER'S CERTIFICATE POSTED WHILE TCS FOODS (milk, sandwiches) ARE BEING PREPARED HANDLED AND SERVED TO THE PUBLIC. INSTRUCTED A CITY OF CHICAGO FOOD SERVICE SANITATION MANAGER WITH AN ORIGINAL/VALID CERTIFICATE POSTED MUST BE ON SITE AT ALL TIMES THE FACILITY IS OPEN AND OPERATING. PRIORITY FOUNDATION. CITATION ISSUED 7-38-012.",41.8803054368115,-87.6351228719314,AMAZON GO,113 S FRANKLIN ST,POINT (-87.6351228719314 41.8803054368115),LOOP,46335565.4586,32.0,32.0,39428.6729962,,,31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962
7-Eleven #33511C,2024-11-05,Pass W/ Conditions,TRUE,FALSE,FALSE,33 E Adams St,CHICAGO,IL,60603.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON THE PREMISES WHILE TCS FOODS (CHICKEN, TAQUITOS, HOT DOGS & PIZZA) WERE BEING PREPARED AND SERVED. INSTRUCTED MANAGEMENT THAT A CITY OF CHICAGO CERTIFIED FOOD MANAGER MUST BE PRESENT AT ALL TIMES WHILE TCS FOODS ARE BEING PREPARED OR SERVED. PRIORITY FOUNDATION VIOLATION, 7-38-012. CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN DEBRIS AND SPILLAGE FROM FLOORS UNDERNEATH SODA MACHINE AND THREE COMPARTMENT SINK IN THE REAR STORAGE/DISHWASHING AREA.",41.879401253648,-87.6264870995865,7ELEVEN 33511C,33 E ADAMS ST,POINT (-87.6264870995865 41.879401253648),LOOP,46335565.4586,32.0,32.0,39428.6729962,,,31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962
7-Eleven #38183B,2024-06-03,Pass W/ Conditions,TRUE,FALSE,FALSE,135 W Madison St,CHICAGO,IL,60602.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON SITE WHILE TCS FOODS SUCH AS HOT DOGS, PIZZA, AND WINGS, ARE BEING PREPARED AND SERVED. INSTRUCTED MANAGER THAT A CITY OF CHICAGO CERTIFIED FOOD MANAGER MUST BE PRESENT AT ALL TIMES WHILE TCS FOODS ARE BEING PREPARED OR SERVED. PRIORTIY FOUNDATION VIOLATION, 7-38-012. CITATION ISSUED. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED ACCUMULATION OF COFFEE GROUNDS AND COFFEE SPILLAGE ON THE SIDES OF DRINK AND COFFEE DISPENSING EQUIPMENT IN REAR OF STORE. INSTRUCTED MANAGER TO CLEAN, SANITIZE, AND MAINTAIN AREA FREE OF SPILLAGE AND COFFEE GROUNDS. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAKING PIPE UNDERNEATH HANDWASHING SINK IN REAR UTILITY AREA. INSTRUCTED TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED HEAVY SOIL ACCUMULATION AND FOOD DEBRIS ON FLOOR UNDER THE 3 COMPARTMENT SINK AND UNDER SHELVES IN THE REAR DRY STORAGE AREA. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN AREAS FREE OF HEAVY SOIL ACCUMULATION AND FOOD DEBRIS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MOP WAS FOUND STORED INCORRECTLY IN BETWEEN USE IN BUCKET OF STANDING WATER IN REAR UTILITY SINK AREA. MOPS SHALL BE PLACED IN A POSITION THAT ALLOWS THEM TO AIR-DRY WITHOUT SOILING WALLS, EQUIPMENT, AND SUPPLIES.  | 60. PREVIOUS CORE VIOLATION CORRECTED - Comments: PREVIOUS CORE VIOLATION FROM REPORT #2564109 DATED 9/22/2022 NOT CORRECTED: VIOLATION #57 ""2-102.13 OBSERVED 1 EMPLOYEE WORKING WITHOUT FOOD HANDLER CERTIFICATES. INSTRUCTED ALL EMPLOYEES MUST COMPLETE FOOD HANDLER TRAINING AND MAINTAIN RECORDS THERE OF ON SITE AT ALL TIMES"" INSTRUCTED MANAGEMENT TO RENEW AND MEET REQUIREMENT."" INSTRUCTED TO CORRECT PREVIOUS CORE VIOLATION. PRIORITY FOUNDATION VIOLATION, 7-42-090. CITATION ISSUED.",41.8818567436378,-87.6318961615518,7ELEVEN 38183B,135 W MADISON ST,POINT (-87.6318961615518 41.8818567436378),LOOP,46335565.4586,32.0,32.0,39428.6729962,,,31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962
South Loop Market,2024-05-29,Pass W/ Conditions,FALSE,TRUE,TRUE,235 W Van Buren St,CHICAGO,IL,60607.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: OBSERVED NO PERSON IN CHARGE WITH VALID CHICAGO FOOD SANITATION CERTIFICATE. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CERTIFIED FOOD MANAGER ON DUTY WHILE TCS FOODS ARE BEING PREPARED, HANDLED, AND SERVED, SUCH AS (SANDWICHES AND EGGS) MUST BE ON SITE AT ALL TIMES. PRIORITY FOUNDATION 7-38-012. CITATION ISSUED. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED MILK CRATES BEING USED AS SHELVING THROUGHOUT THE PREP AND STORAGE AREAS. MUST REMOVE AND PROVIDE SHELVING 6"" OFF THE FLOOR AND PROVIDE FLOOR ACCESSIBILITY TO ENSURE ADEQUATE FACILITY CLEANING.",41.8767221605108,-87.6347104702576,SOUTH LOOP MARKET,235 W VAN BUREN ST,POINT (-87.6347104702576 41.8767221605108),LOOP,46335565.4586,32.0,32.0,39428.6729962,,,31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962
"Gatwaystand News Stand, Inc.",2022-09-23,Pass W/ Conditions,TRUE,FALSE,FALSE,10 S Wacker Dr,CHICAGO,IL,60606.0,33. PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL - Comments: FOUND THREE COOLERS AT IMPROPER COLD HOLDING TEMPERATURES RANGING FROM 70F - 65F. MUST PROVIDE A MINIMUM COLD HOLDING TEMPERATURE OF 41F AT ALL TIMES. PRIORITY VIOLATION. 7-38-005. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: FOUND COOLERS FILLED WITH BLACK MOLD LIKE SUBSTANCE. INSTRUCTED MANAGER TO CLEAN SANITIZE AND MAINTAIN.,41.88172245680930,-87.6371636182007,GATWAYSTAND NEWS STAND INC,10 S WACKER DR,POINT (-87.6371636182007 41.88172245680929),LOOP,46335565.4586,32.0,32.0,39428.6729962,,,31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962
Walgreens # 07179,2020-05-12,Pass W/ Conditions,TRUE,FALSE,FALSE,2 E Roosevelt Rd,CHICAGO,IL,60605.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING CLEANSER AT HANDWASHING SINK IN RESTROOM. ALL HANDWASHING SINKS MUST BE EQUIPPED WITH HAND CLEANING LIQUID AT ALL TIMES. INSTRUCTED MANAGER TO PROVIDE. PRIORITY FOUNDATION VIOLATION. 7-38-030-(C). NO CITATION ISSUED. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: FOUND MILK AND BEVERAGES STORED ON FLOOR LOCATED IN WALK IN COOLER. FOUND WINE LOCATED IN STORAGE AREA ON FLOOR INSTRUCTED MANAGER TO STORE ITEMS 6 FT ABOVE FLOOR.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: FOUND ALL SHELVES LOCATED IN WALK IN COOLER FILLED WITH DUST, FOOD RESIDUE AND A GREY MOLD LIKE SUBSTANCE. MUST CLEAN SANITIZE AND MAINTAIN.  | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND BACK FLOW PREVENTION DEVICE ABOVE UTILITY SINK LOCATED IN CLOSET PROFUSELY LEAKING. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND FLOORS THROUGHOUT FACILITY FILLED WITH  AN ACCUMULATION OF FOOD RESIDE,AND DEBRIS. INSTRUCTED MANAGER TO CLEAN SANITIZE AND MAINTAIN.",41.8675238585078,-87.6273838638983,WALGREENS 07179,2 E ROOSEVELT RD,POINT (-87.6273838638983 41.8675238585078),LOOP,46335565.4586,32.0,32.0,39428.6729962,,,31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962
