DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
A One Food And Beauty Supplies,2020-08-12,Pass W/ Conditions,FALSE,TRUE,TRUE,1329 W 18Th St,CHICAGO,IL,60608.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11 OBSERVED NO WRITTEN PROCEDURE NOR ADEQUATE SUPPLIES ON SITE TO PROPERLY RESPOND TO VOMIT AND DIARRHEA EVENTS THAT CAN POTENTIALLY OCCUR INSIDE OF THE FACILITY. INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION 7-38-005. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 5-204.11 OBSERVED NO HANDWASHING SINK LOCATED AT THE FRONT OF THE STORE WHERE THE SLUSHY MACHINE IS LOCATED. INSTRUCTED TO INSTALL A HAND WASHING SINK BY THE SLUSHY MACHINE OR REMOVE THE SLUSHY MACHINE. PRIORITY FOUNDATION 7-38-030(C). | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.14 OBSERVED NO HAND WASHING SIGN LOCATED IN THE TOILET ROOM. INSTRUCTED TO PROVIDE. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: 4-302.12 OBSERVED NO METAL STEM THEROMETER ON SITE TO PROPERLY TAKE TEMPERATURE OF COLD FOODS. INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION 7-38-005. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.13 OBSERVED INSECT TRAPS HANGING FROM THE CEILING INSIDE OF THE FACILITY. INSTRUCTED TO REMOVE AND ONLY ALLOW PEST CONTROL TO INSTALL INSECT CONTROL DEVICES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114 OBSERVED CLUTTER IN THE REAR OF THE FACILITY. INSTRUCTED TO REMOVE CLUTTER OR ORGANIZE. | 64. MISCELLANEOUS / PUBLIC HEALTH ORDERS - Comments: OBSERVED FACILITY ALLOWING CUSTOMERS INSIDE WITHOUT FACE MASKS, OBSERVED ABOUT 4 CUSTOMERS WALK INSIDE OF THE STORE WITHOUT FACE MASKS. INSTRUCTED TO ONLY ALLOW CUSTOMERS WEARING FACE MASKS PROPERLY. WARNING ISSUED.",41.8577853758897,-87.6601113445657,A ONE FOOD AND BEAUTY SUPPLIES,1329 W 18TH ST,POINT (-87.6601113445657 41.8577853758897),LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,,30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036
Bonnie'S Food Mart,2019-08-22,Pass W/ Conditions,FALSE,TRUE,TRUE,1942 S Carpenter St,CHICAGO,IL,60608.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPPLOYEE HEALTH POLICY ON PREMISES. INSTRUCTED TO MAINTAIN RECORDS OF HEALTH POLICY WITH SIGNATURES OF EACH EMPLOYEE ON PREMISES.PRIORITY FOUNDATION VIOLATION 7-38-010, NO CITAITON ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEAL CLEAN UP KIT AND PROCEDURE ON PREMISES. INSTRUCTED TO MAINTAIN PROCEDURE AND KIT WITH ALL NECESSARY ITEMS AND A SANITIZER RATED AS EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION VIOLATION 7-38-005, NO CITATION ISSUED. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RAW WOOD IN FOOD PREP AREA AND ON SHELVES. INSTRUCTED TO SEAL. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CRACKED AND BROKEN TILES IN STORE IN FRONT OF COOLERS ON SOUTH SIDE OF STORE. INSTRUCTED TO REPAIR AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED NEW DRYWALL IN THE DISH ROOM, INSTRUCTED TO SEAL.",41.8552787970162,-87.6532797867966,BONNIES FOOD MART,1942 S CARPENTER ST,POINT (-87.6532797867966 41.8552787970162),LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,,30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036
Miranda'S Grocery Store,2025-02-27,Pass,FALSE,TRUE,TRUE,1037 W 19Th St,CHICAGO,IL,60608.0,"40. PERSONAL CLEANLINESS - Comments: 2-402.11 OBSERVED A FOOD HANDLER PREPARING FOOD WITHOUT A PROPER HAIR RESTRAINT, SUCH AS A CAP OR A HAIR NET. INSTRUCTED TO PROVIDE AT ALL TIMES. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-203.13 OBSERVED NO UTILITY SINK AVAILABLE (FACILITY WAS LICENSED WITH A UTILITY SINK). INSTRUCTED TO PROVIDE.",41.8565338647473,-87.6530462379788,MIRANDAS GROCERY STORE,1037 W 19TH ST,POINT (-87.6530462379788 41.8565338647473),LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,,30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036
Supermarket La Familia,2025-02-18,Pass,FALSE,TRUE,FALSE,2300 W 23Rd St,CHICAGO,IL,60608.0,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 5-501.17 OBSERVED NO COVERED RECEPTACLE INSIDE OF THE TOILET ROOM. INSTRUCTED TO PROVIDE.",41.8503596218188,-87.6832675098056,SUPERMARKET LA FAMILIA,2300 W 23RD ST,POINT (-87.6832675098056 41.8503596218188),LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,,30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036
La Providencia Food Mart,2024-11-14,Pass,FALSE,TRUE,TRUE,1658 W 21St St,CHICAGO,IL,60608.0,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: 3-601.11 OBSERVED NO BUSINESS NAME AND ADDRESS ON THE PREPACKAGED ITEMS FOR SALE IN THE 3-DOOR COOLER (GUACAMOLE, PICO DE GALLO, RICE). INSTRUCTED TO PROVIDE THE BUSINESS NAME AND ADDRESS ON PREPACKAGED-TO-GO ITEMS THAT ARE FOR SALE. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-501.112 OBSERVED DEAD INSECTS ON AN INSECT TRAP LOCATED ON THE FLOOR UNDER THE 3-COMPARTMENT SINK BEHIND THE GREASE TRAP. INSTRUCTED TO REMOVE SOILED TRAPS AS SOON AS POSSIBLE. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: 4-603.15 OBSERVED NO WRITTEN PROCEDURE AVAILABLE FOR WASHING, RINSING, AND SANITIZING LARGE EQUIPMENT THAT IS TOO LARGE TO BE SUBMERGED INTO THE 3-COMPARTMENT SINK. INSTRUCTED TO PROVIDE A WRITTEN PROCEDURE ON WASHING, RINSING, AND SANITIZING LARGE EQUIPMENT OR REMOVE LARGE EQUIPMENT OR PROVIDE A LARGER 3-COMPARTMENT SINK. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-203.13 OBSERVED NO UTILITY SINK AVAILABLE ON SITE. INSTRUCTED TO INSTALL A UTILITY SINK. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 5-501.17 OBSERVED NO COVERED RECEPTACLES INSIDE OF THE TOILET ROOMS. INSTRUCTED TO PROVIDE.",41.8542193741702,-87.6684581590821,LA PROVIDENCIA FOOD MART,1658 W 21ST ST,POINT (-87.6684581590821 41.8542193741702),LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,,30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036
Carniceria Maribel Inc,2024-10-22,Pass,FALSE,TRUE,TRUE,1801 W Cermak Rd,CHICAGO,IL,60608.0,"16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: 4-602.11(B-E) OBSERVED THE INTERIOR OF THE ICE MACHINE WITH A BROWNISH SUBSTANCE LOCATED BY THE ICE MAKER. INSTRUCTED TO CLEAN AND SANITIZE. | 45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED - Comments: 4-502.13 OBSERVED CARDBOARD BEING REUSED AS A SHELF LINER ON THE LOWER SHELF OF PREP TABLES IN THE FOOD PREP AREA. INSTRUCTED NOT TO REUSE CARDBOARD. ALL SURFACES MUST BE SMOOTH AND EASILY CLEANABLE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-204.12 UNABLE TO LOCATE THE BACK FLOW PREVENTION DEVICE ON THE ICE MACHINE. INSTRUCTED TO LOCATE OR PROVIDE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 6-501.19 OBSERVED NO SELF CLOSING DEVICE ON THE TOILET ROOM DOOR THAT LEADS TO THE FOOD PREP AREA. INSTRUCTED TO PROVIDE A SELF CLOSING DEVICE.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.12 OBSERVED FLOORS NEED TO BE CLEANED IN THE FOOD PREP AREA UNDER THE 3 COMPARTMENT SINK. INSTRUCTED TO CLEAN.",41.8521364295494,-87.6710577489758,CARNICERIA MARIBEL INC,1801 W CERMAK RD,POINT (-87.6710577489758 41.8521364295494),LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,,30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036
88 Marketplace,2024-09-17,Pass,FALSE,TRUE,TRUE,2105 S Jefferson St,CHICAGO,IL,60616.0,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: 3-602.11(A; B:1-4,6,7; C; D): OBSERVED NO FOOD LABEL ON PREPACKAGE FOOD ITEMS STORED IN THE SELF-SERVICE DISPLAY COOLER. THE FOLLOWING ITEMS HAD NO FOOD LABELS: SEASONED COW STOMACH, DRIED MEAT, AND PORK AND VEGETABLES. INSTRUCTED MANAGER TO PROVIDE THE COMMON NAME OF THE FOOD, A LIST OF INGREDIENTS; THE NAME AND PLACE OF BUSINESS OF THE MANUFACTURER, PACKER, OR DISTRIBUTOR; AND THE NAME OF THE FOOD SOURCE FOR EACH MAJOR FOOD ALLERGEN CONTAINED IN THE FOOD. INSTRUCTED TO PROVIDE. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15: OBSERVED AN OPENING AT THE BOTTOM OF THE DOOR LEADING TO THE OUTDOOR GARBAGE AREA ON THE 1ST FLOOR IN THE WAREHAOUSE. INSTRUCTED TO RODENT PROOF MENTIONED DOOR AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.12: OBSERVED THE CUTTING BOARDS IN THE FRONT BUTCHER PREP AREA WITH DISCOLORATION AND DEEP CUTS ON THE SURFACES. INSTRUCTED TO RESURFACE OR REPLACE MENTIONED CUTTING BOARDS IN ORDER TO MAKE SURFACES SMOOTH AND EASILY CLEANABLE.",41.8540710350634,-87.641600343301,88 MARKETPLACE,2105 S JEFFERSON ST,POINT (-87.641600343301 41.8540710350634),LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,,30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036
Park To Shop Supermarket Canal,2024-07-11,Pass,FALSE,TRUE,TRUE,1835 S Canal St,CHICAGO,IL,60616.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.14: OBSERVED NO HANDWASHING SIGNAGE AT THE HANDWASING SINK IN THE REAR BAKING AND FRONT KITCHEN PREP AREAS. INSTRUCTED TO PROVIDE AND MAINTAIN.  | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: 3-307.11: OBSERVED BREAD COOLING ON SHEET TRAYS AND NOT COVERED, WHILE UNATTENDED. INSTURCTED TO COVER READY TO EAT FOOD ITEMS, WHILE UNATTENDED TO AVOID POTENTIAL CONTAMINATION. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.12: OBSERVED THE CUTTING BOARDS IN THE SEAFOOD PREP AREA WITH DEEP CUTS AND DISCOLORATION. INSTRUCTED TO RESURFACE OR REPLACE TO MAKE SMOOTH AND EASILY CLEANABLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.13: OBSERVED DEBRIS ON THE FLOORS THROUGHOUT THE REAR BAKERY PREP AREA AND UNDER THE PALLETS IN THE WALK-IN COOLER. INSTRUCTED TO CLEAN MENTIONED FLOORS AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11: OBSERVED THE ENCASING FOR THE PIPES ON THE WALL UNDER THE THREE COMPARTMENT SINK IN THE REAR BAKERY PREP AREA DAMAGED AND NOT SMOOTH AND EASILY CLEANABLE. OBSERVED A DEAD ROACH IN THE DAMAGED ENCASING. INSTRUCTED TO REPLACE OR REPAIR TO MAKE SMOOTH AND EASILY CLEANABLE.",41.8566571781598,-87.638753345317,PARK TO SHOP SUPERMARKET CANAL,1835 S CANAL ST,POINT (-87.638753345317 41.8566571781598),LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,,30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036
Cermak Produce,2024-06-06,Pass,FALSE,TRUE,TRUE,1711 W Cermak Rd,CHICAGO,IL,60608.0,"16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: 4-602.11(B-E) OBSERVED STAINED CUTTING BOARDS LOCATED IN THE PREPARED FOOD PREP AREA. INSTRUCTED TO REMOVE STAINS OR REPLACE ALL CUTTING BOARDS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C) OBSERVED A BLACK/PINKISH SUBSTANCE ON THE WALL LOCATED BY THE 3-COMPARTMENT SINK IN THE REAR RAW MEAT FOOD PREP AREA. INSTRUCTED TO CLEAN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.12 OBSERVED ACCUMULATED DUST DEBRIS ON THE VENTS LOCATED IN THE MEAT PREP AREA. INSTRUCTED TO CLEAN.",41.852167863628,-87.6689750406636,CERMAK PRODUCE,1711 W CERMAK RD,POINT (-87.6689750406636 41.852167863628),LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,,30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036
Supermercado El Guero No. 8,2024-04-15,Pass,FALSE,TRUE,TRUE,2101-2115 W Cermak Rd,CHICAGO,IL,60608.0,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-205.15 OBSERVED THE COLD WATER KNOB NOT PROPERLY TURNING ON AT THE HAND WASHING SINK AND NO COLD WATER KNOB AT THE 3-COMPARTMENT SINK THAT IS LOCATED IN THE REAR WALK-IN COOLER/MEAT PREP AREA. INSTRUCTED TO REPAIR AND REPLACE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.12 OBSERVED ACCUMULATED DIRT DEBRIS ON THE FLOOR UNDER THE HOT HOLDING UNIT AND IN THE MEAT WALK-IN COOLER/MEAT PREP AREA. INSTRUCTED TO CLEAN ALL.",41.8520256918151,-87.6784122433433,SUPERMERCADO EL GUERO NO 8,21012115 W CERMAK RD,POINT (-87.6784122433433 41.8520256918151),LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036,,,30.0,LOWER WEST SIDE,81550723.6377,31.0,31.0,43229.3727036
