DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
County Fair Foods,2025-04-29,Pass W/ Conditions,TRUE,FALSE,TRUE,10800 S Western Ave,CHICAGO,IL,60643.0,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: INTERIOR OF ICE MACHINE IN NEED OF DETAIL CLEANING TO REMOVE ALL BUILD UP. INSTRUCTED TO REMOVE ALL BUILD UP AND MAINTAIN.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NEW CUTTING BOARDS NEEDED IN SERVICE DEPARTMENTS. INSTRUCTED TO DEEP CLEAN OR REPLACE ALL BOARDS WHEN IN POOR REPAIR. CORRECT AND MAINTAIN  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: ALL COOKING EQUIPMENT IN DELI DEPARTMENT AND IN POPCORN AREA IN NEED OF DETAIL CLEANING TO REMOVE ALL BUILD UP OF FFOD SPILLS AND GREASE. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN.  | 50. HOT & COLD WATER AVAILABLE; ADEQUATE PRESSURE - Comments: OBSERVED HOT WATER AT 72-77 DEGREES AT ALL HANDSINKS AND 3 COMPARTMENT SINKS. INSTRUCTED MANAGER TO CORRECT AND MAINTAIN HOT WATER AT 100 DEGREES AT HANDSINKS AND 110 DEGREES AT 3 COMPARTMENT SINKS.  PRIORITY VIOLATION 7-38-030(C) CITATION ISSUED  PLUMBER ARRIVED ON SITE TO CORRECT ISSUE. OFFICE NOTIFIED  WATER HEATER RECOVERED HOT WATER AT ADEQUATE TEMPERATURE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS IN DELI COOLER, DELI SERVICE AREA, AND POP CORN AREA IN NEED OF DETAIL CLEANING TO REMOVE ALL BUILD UP. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN  | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: ALL EMPLOYEES IN NEED OF FOOD HANDLER CERTIFICATES. INSTRUCTED TO OBTAIN AND MAINTAIN  | 58. ALLERGEN TRAINING AS REQUIRED - Comments: ALL SANITATION CERTIFICATE HOLDERS IN NEED OF ALLERGAN CERTIFICATES. INSTRUCTED TO OBTAIN AND MAINTAIN",41.6972382087802,-87.6814748041818,COUNTY FAIR FOODS,10800 S WESTERN AVE,POINT (-87.6814748041818 41.6972382087802),MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,,74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362
Family Dollart #32124,2019-01-09,Pass W/ Conditions,TRUE,FALSE,FALSE,1633 W Monterey Ave,CHICAGO,IL,60643.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN UP POLICY AVAILABLE FOR VOMITING OR DIARRHEAL EVENTS. INSTRUCTED MANAGER TO PROVIDE CLEAN UP POLICY. PRIORITY FOUNDATION 7-38-005 | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED NUMEROUS FOOD ITEMS STORED ON FLOOR. INSTRUCTED MANAGER TO ELEVATE ALL STOCK SIX INCHES OFF FLOOR.",41.6894319268334,-87.6630144739319,FAMILY DOLLART 32124,1633 W MONTEREY AVE,POINT (-87.6630144739319 41.6894319268334),MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,,74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362
Target Store #T-2344,2016-09-07,Pass W/ Conditions,FALSE,TRUE,TRUE,11840 S Marshfield Ave,CHICAGO,IL,60643.0,"21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: NO CHICAGO FOOD SANITATION MANAGER ON DUTY OR CERTIFICATE POSTED WHEN POTENTIALLY HAZARDOUS FOODS(PIZZA, SANDWICHES, PASTA, HOT DOGS, SPECIALTY COFFEE) ARE PREPARED AND SERVED. A CHICAGO CERTIFIED MANAGER MUST BE ON SITE AT ALL TIMES POTENTIALLY HAZARDOUS FOODS ARE PREPARED AND SERVED. SERIOUS VIOLATION 7-38-012A | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN INTERIOR AND EXTERIOR OF ALL BEVERAGE MACHINES NOZZLES AND SPIGOTS, PREP COOLERS, PREP FREEZERS, AND SURFACES UNDER FRONT COUNTER IN STARBUCKS AND PIZZA HUT CAFE AREAS. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN FLOOR DRAIN UNDER COUNTER IN STARBUCKS PREP AREA. CLEAN FLOORS IN ALL STORAGE AND ELECTRICAL ROOMS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CLEAN WALLS BEHIND DISHMACHINE(SPILLS) AND CEILING ABOVE OVEN(DUST BUILDUP)IN PIZZA HUT CAFE. SEAL OPENINGS ALONG BASEBOARDS NEAR UTENSIL STORAGE RACK. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: ORGANIZE ALL STORAGE AND ELECTRICAL ROOMS TO PREVENT PEST HARBORAGE.",41.678120412663,-87.6626390271619,TARGET STORE T2344,11840 S MARSHFIELD AVE,POINT (-87.6626390271619 41.678120412663),MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,,74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362
Jewel Food Store,2025-04-03,Pass,FALSE,TRUE,TRUE,11730 S Marshfield Ave,CHICAGO,IL,60643.0,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: INTERIOR OF ICE MACHINE IN NEED OF CLEANING TO REMOVE ALL BUILD UP INSTRUCTED TO DETAIL CLEAN AND MAINTAIN | 40. PERSONAL CLEANLINESS - Comments:  ALL FOOD HANDLERS IN SERVICE DEPARTMENTS MUST HAVE LONG HAIR TIED UP AND ALL HAIR MUST BE IN HAIR RESTRAINT AT ALL TIMES. INSTRUCTED TO CORRECT AND MAINTAIN  | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: ALL WIPING CLOTHS MUST BE KEPT IN A CLEAN SANITING SOLUTION WHENNOT IN USE. CORRECT AND MAINTAIN AT ALL TIMES. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: CUTTING BOARDS IN FRUIT PROCESSING ROOM IN NEED OF REPLACING. WORN, DISCOLORED. INSTRUCTED TO CORRECT AND MAINTAIN | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  DELI WINDOW IN NEED OF REPAIR. MISSING HANDLE. INSTRUCTED TO CORRECT AND MAINTAIN | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: ALL COOKING EQUIPMENT IN DELI AREA AND BAKERY AREA IN NEED OF CLEANING TO REMOVE ALL FOOD BUILD UP.AND SPLATTER. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: ALL PREP TABLES, TABLE LEGS AND WHEELS IN FRUIT PROCESSING ROOM, DELI AND BAKERY IN NEED OF DETAIL CLEANING TO REMOVE ALL BUILD UP OF SPLATTER. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS IN NEED OF DETAIL CLEANING UNDER ALL EQUIPMENT, PREP TABLES, AND 3 COMP SINKS IN BAKERY, DELI, AND FRUIT PROCESSING AREA. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  WALLS AND COVING IN NEED OF DETAIL CLEANING IN BAKERY, DELI AND PRODUCE SERVICE AREAS TO REMOVE ALL SPLATTER AND BUILD UP. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: AIR VENTS IN BAKERY AND DELI AREA IN NEED OF DETAIL CLEANING TO REMOVE ALL DUST BUILD UP ON VENT AND CEIL TILES. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN",41.680332205334500,-87.6625846787389,JEWEL FOOD STORE,11730 S MARSHFIELD AVE,POINT (-87.6625846787389 41.680332205334494),MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,,74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362
Ruka Market,2025-02-03,Pass,FALSE,TRUE,TRUE,10708 S Western Ave,CHICAGO,IL,60643.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: HANDWASHING SIGN NEEDED IN EMPLOYEE WASHROOM INSTRUCTED TO OBTAIN AND MAINTAIN.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: REACH IN COOLERS 2 OUT 3 IN NEED OF THERMOMETER. INSTRUCTED TO INSTALL AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: COVING NEEDED IN REAR AREA ALONG WALL BASES. INSTRUCTED TO INSTALL AND MAINTAIN.",41.698783623177,-87.6815248555534,RUKA MARKET,10708 S WESTERN AVE,POINT (-87.6815248555534 41.698783623177),MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,,74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362
Longwood Foods,2024-12-17,Pass,FALSE,TRUE,TRUE,11106 S Longwood Dr,CHICAGO,IL,60643.0,"41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: ALL WIPING CLOTHS MUST BE STORED IN A CLEAN SANITIZING SOLUTION AT ALL TIMES INSTRUCTED TO CORRECT AND MAINTAIN.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: CUTTING BOARDS NEEDED  INSTRUCTED TO OBTAIN AND MAINTAIN.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: ALL HEATING EQUIPMENT IN NEED OF CLEANING TO REMOVE ALL FOOD SPILLS. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS THROUGHOUT FRONT PREP AREA, REAR STRAGE AREA AND SALES FLOOR ALL IN NEED OF CLEANING UNDER AND AROUND ALL SHELVES. INSTRUCTED TO CLEAN AND MAINTAIN.",41.6917195613277,-87.6721142446102,LONGWOOD FOODS,11106 S LONGWOOD DR,POINT (-87.6721142446102 41.6917195613277),MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,,74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362
Citgo 111Th,2023-08-02,Pass,TRUE,FALSE,TRUE,1526-1530 W 111Th St,CHICAGO,IL,60643.0,"45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED - Comments:  OBSERVED SINGLE SERVICE CONTAINERS NOT INVERTED IN PREP AREA. INSTRUCTED MANAGER TO INVERT ALL SINGLE SERVICE ARTICLES TO PROTECT FROM CONTAMINATION. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED DUST, DIRT, AND DEBRIS ON INTERIOR AND EXTERIOR SURFACES OF SHELVING UNITS, BEHIND FRONT COUNTER IN PREP, SALES, AND STORAGE AREAS, CABINETS IN BEVERAGE AREA. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  OBSERVED OPENINGS IN WALLS IN WASHROOM AND FRONT COUNTER AREAS. INSTRUCTED MANAGER TO SEAL ALL OPENINGS IN WALLS AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DIRT AND DEBRIS ON FLOORS UNDER ALL EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN PREP AND STORAGE AREAS.INSTRUCTED MANAGER TO CLEAN AND MAINTAIN.",41.6922324031782,-87.6614025054255,CITGO 111TH,15261530 W 111TH ST,POINT (-87.6614025054255 41.6922324031782),MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,,74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362
Lil'S Dietary Specialty Shop,2023-04-20,Pass,TRUE,FALSE,TRUE,2736-2738 W 111Th St,CHICAGO,IL,60655.0,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO UTILITY SINK ON SITE. INSTRUCTED MANAGER TO INSTALL UTILITY SINK WITH HOT AND COLD RUNNING WATER FOR PROPER WASTE WATER DISPOSAL. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE IN WASHROOMS. INSTRUCTED MANAGER TO PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNFINISHED FLOORS IN WEST SALES AREA AND MISSING BASEBOARDS ALONG WALLS IN REAR NEAR WASHROOM IN EAST SALES AREA. INSTRUCTED MANAGER TO REPAIR/REPLACE AND MAINTAIN.",41.6918076756553,-87.6899478189605,LILS DIETARY SPECIALTY SHOP,27362738 W 111TH ST,POINT (-87.6899478189605 41.6918076756553),MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,,74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362
M & D Variety Store,2011-11-29,Pass,TRUE,FALSE,TRUE,1300 W 111Th St,CHICAGO,IL,60643.0,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: All food and non-food contact equipment and utensils shall be smooth, easily cleanable, and durable, and shall be in good repair. SEAL RAW WOOD SHELVING IN REAR STORAGE AREA.    | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: All food and non-food contact surfaces of equipment and all food storage utensils shall be thoroughly cleaned and sanitized daily. CLEAN ALL SHELVES, DISPLAY RACKS, COUNTERS, ETC.    | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: The floors shall be constructed per code, be smooth and easily cleaned, and be kept clean and in good repair. FLOORS NEED CLEANING UNDER ALL COOLERS, EQUIPMENT, ETC ALONG WALLS AND IN ALL CORNERS IN SALES AND STORAGE AREAS. REPLACE DAMAGED FLOOR TILES IN ALL AREAS.   | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned. WALLS NEED REPAIR, CLEANING AND PAINTING IN SALES AND STORAGE AREAS. SEAL OPENINGS IN WALLS AND CEILINGS, AROUND PIPE FITTINGS AND ELECTRICAL OUTLETS IN SALES AND STORAGE AREAS.  CEILING NEED REPAIR IN SALES AREA. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: All parts of the food establishment and all parts of the property used in connection with the operation of the establishment shall be kept neat and clean and should not produce any offensive odors. REMOVE UNUSED AND EQUIPMENT AND UNNECESSARY ARTICLES IN STORAGE AREAS TO PREVENT PEST HARBORAGE.",41.6923196265895,-87.6546632113255,M D VARIETY STORE,1300 W 111TH ST,POINT (-87.6546632113255 41.6923196265895),MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,,74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362
San Corp,2011-07-22,Pass,TRUE,FALSE,TRUE,1622 W Monterey Ave,CHICAGO,IL,60643.0,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: All food and non-food contact equipment and utensils shall be smooth, easily cleanable, and durable, and shall be in good repair.  NON-TOXIC PAINT RAW WOOD SURFACES NEAR FRONT DOOR (CHIPPED PAINT). | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: All food and non-food contact surfaces of equipment and all food storage utensils shall be thoroughly cleaned and sanitized daily.  CLEAN ALL LEDGES ALONG SOUTH WALL, SHELVES, ETC (DUST BUILDUP). | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: The floors shall be constructed per code, be smooth and easily cleaned, and be kept clean and in good repair.  REPLACE DAMAGED FLOOR TILES IN ALL AREAS. FLOORS NEED CLEANING UNDER ALL COOLERS, EQUIPMENT, ETC ALONG WALLS AND IN ALL CORNERS IN SALES AND STORAGE AREAS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: STORE STOCK AWAY FROM WALLS IN REAR STORAGE AREA FOR EASY CLEANING AND PEST CONTROL. WALLS AND BASEBOARDS NEED REPAIR NEAR WASHROOM. REPLACE STAINED CEILING TILES. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: REPLACE DAMAGED FAUCET ON 3-COMP SINK.",41.6895747691934,-87.6627231455803,SAN CORP,1622 W MONTEREY AVE,POINT (-87.6627231455803 41.6895747691934),MORGAN PARK,91877340.6988,75.0,75.0,46396.419362,,,74.0,MORGAN PARK,91877340.6988,75.0,75.0,46396.419362
