DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Circle K,2024-11-06,Pass W/ Conditions,TRUE,FALSE,FALSE,601 N Dearborn St,CHICAGO,IL,60654.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NOTED PERSON IN CHARGE WITHOUT ORIGINAL CITY OF CHICAGO FOOD SERVICE MANAGER CERTIFICATE ON SITE WHILE PREPARING AND HANDLING TIME AND TEMPERATURE CONTROL FOR SAFETY(TCS) FOODS DURING INSPECTION. PRESENTED SERVSAFE CERT WITH 7/21/22 EXAM DATE. INFORMED PERSON IN CHARGE CITY OF CHICAGO ORIGINAL FOOD SERVICE CERTIFICATE MUST REMAIN POSTED ON SITE AND CERTIFIED MANAGER ON SITE DURING TCS FOOD PREP, COOKING, SERVING AND OPERATING HOURS.  PRIORITY FOUNDATION VIOLATION #7-38-012. CITATION ISSUED.",41.8924913615036,-87.6295307322501,CIRCLE K,601 N DEARBORN ST,POINT (-87.6295307322501 41.8924913615036),NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,,7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516
"Green Apple Mini Mart, Inc",2024-10-10,Pass W/ Conditions,TRUE,FALSE,TRUE,1435 N Sedgwick St,CHICAGO,IL,60610.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: NO CITY OF CHICAGO CERTIFIED FOOD SERVICE MANAGER ON SITE.  | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO MANAGER ON SITE WHILE TCS FOODS ARE BEING PREPARED AND SERVED (GROUND BEEF AND ITALIAN BEEF) INFORMED THAT MANAGER MUST PROVIDE CITY OF CHICAGO FOOD SERVICE MANAGER CERTIFICATION ON SITE AT ALL TIMES WHILE FACILITY IS OPEN AND OPERATING. PRIORITY FOUNDATION VIOLATION 7-38-012 CITATION ISSUED. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO SELF CLOSING DEVICE ON REAR STAFF REST ROOM DOOR. INSTRUCTED TO REPAIR AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE STAFF TOILET ROOM WITHOUT A DOOR HANDLE.  INSTRUCTED TO REPLACE AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FLOORS THROUGHOUT FACILITY UNDER AND AROUND EQUIPMENT WITH A HEAVY BUILD UP OF DIRT AND DUST.  INSTRUCTED TO CLEAN AND MAINTAIN ALL AREAS.",41.908551211947,-87.6383656608268,GREEN APPLE MINI MART INC,1435 N SEDGWICK ST,POINT (-87.6383656608268 41.908551211947),NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,,7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516
Target Store T-2613,2024-10-03,Pass W/ Conditions,FALSE,TRUE,TRUE,1200 N Larrabee St,CHICAGO,IL,60610.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED MANAGER ON SITE WITHOUT VALID CITY OF CHICAGO FOOD SERVICE MANAGER CERTIFICATION WHILE TCS FOODS (PASTRIES,SANDWICHES,MILK) ARE BEING PREPARED AND SERVED. INFORMED THAT FACILITY MUST HAVE A CERTIFIED MANAGER ON SITE AT ALL TIMES WHILE FACILITY IS OPEN AND OPERATING. PRIORITY FOUNDATION VIOLATION 7-38-012 CITATION ISSUED. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 0BSERVED A BUILD UP OF DEBRIS ON THE FLOORS OF ALL THE LARGE WALK IN UNITS IN THE REAR 2A STORAGE AREAS.  INSTRUCTED TO CLEAN AND MAINTAIN ALL AREAS.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED A HEAVY BUILD UP OF DUST ON THE REAR AND SIDES OF THE COOKING EQUIPMENT IN THE STARBUCKS AREA.  INSTRUCTED TO CLEAN AND MAINTAIN ALL EQUIPMENT AND NON COOKING EQUIPMENT.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FLOOR AREAS IN THE REAR DRY STORAGE AREAS WITH A HEAVY BUILD UP OF DIRT AND DEBRIS ON THE FLOORS UNDER THE SHELVING UNITS AS WELL AS SPILLAGE FROM BUSTED SODA BOTTLES WHERE SODAS ARE STORED.  INSTRUCTED TO CLEAN AND MAINTAIN ALL AREAS AS A MEANS OF PREVENTING POSSIBLE PEST AND OR INSECT FEEDING, BREEDING AND HARBORING.",41.9037696063775,-87.6433689398758,TARGET STORE T2613,1200 N LARRABEE ST,POINT (-87.6433689398758 41.9037696063775),NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,,7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516
7-Eleven #33725,2024-08-20,Pass W/ Conditions,TRUE,FALSE,FALSE,201 E Ohio St,CHICAGO,IL,60611.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HAND SINK IN PREP FRONT AREA NOT ACCESSIBLE, SINK WAS BLOCKED BY DELIVERY BIN AND EMPTY CARDBOARD BOXES. INSTRUCTED THAT SINK MUST BE ACCESSIBLE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION #7-38-030(C). CITATION ISSUED.  | 22. PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED REFRIGERATION UNIT CONTAINING HOTDOG CONDIMENTS SUCH AS DICED TOMATO AND PICO DE GALLO SALSA AT IMPROPER COLD HOLD TEMP, 1/2# DICED TOMATO AT 46.1F AND 1/2# PICO DE GALLO SALSA FOUND AT 48.6F. COLD HOLDING UNIT INTERNAL AMBIENT AIR TEMPREATURE WAS AT 41.9F MANAGER DISCARDED PRODUCT. INSTRUCTED MUST HAVE COLD HOLDING FOODS AT 41.0F OR BELOW.APPX. 1 POUND AT $3.50  PRIORITY 7-38-005 CITATION ISSUED | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED MILK CRATES BEING USED AS SHELVING THROUGHOUT THE STORAGE AREAS. MUST REMOVE AND PROVIDE SHELVING THAT IS 6"" OFF THE FLOOR AND PROVIDES FLOOR ACCESSIBILITY TO ENSURE ADEQUATE FACILITY CLEANING.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE INTERIOR OF THE REACH IN COOLERS, COLD HOLDING UNITS, IN NEED OF CLEANING. INSTRUCTED TO DETAIL CLEAN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERED HAND SINK IN FRONT PREP FAUCET WRAPPED WITH TAPE WATER LEAKING FROM ALL SIDES, 3 COMPARTMENT SINK FAUCET LEAKING.  INSTRUCTED TO REAPIR AND MAINTAIN | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESS AMOUNTN OF FOOD DEBRIS IN FRONT PREP UNDER EQUIPMENT AND PREP TABLES, INSTRCUTED TO INCREASE CLEANING FREQUENCY AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER STORED IN THE FOLLOWING AREAS, 2-102.13EQUIPMENT, BROKEN MICROWAVE FILLED WITH VARIETY OF ARTICLES i.e. PRICE GUN, STICKER, AND PAPERS IN FRONT PREP AND REAR STORAGE AREA. INSTRUCTED MANAGER TO REMOVE ALL UNUSED ARTICLES AND EQUIPMENT TO PREVENT PEST HARBORAGE.          | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED ALL VENTILATION FANS THROUGHOUT WITH EXCESIVE AMOUNT OF DUST, INSTRCUTED TO CLEAN AND MAINTAIN.",41.8924518013869,-87.6225664489639,7ELEVEN 33725,201 E OHIO ST,POINT (-87.6225664489639 41.8924518013869),NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,,7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516
Riverside Market,2024-02-27,Pass W/ Conditions,FALSE,TRUE,TRUE,1240 N Halsted St,Chicago,IL,60642.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN-UP SUPPLIES ON THE PREMISES TO RESPOND TO A VOMIT OR DIARRHEAL EVENT.  MANAGEMENT INSTRUCTED TO PROVIDE.  PRIORITY FOUNDATION VIOLATION 7-38-005. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NO COVERED WASTE RECEPTACLE PROVIDED IN THE WASHROOM.  MANAGEMENT INSTRUCTED TO PROVIDE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: THE WASHROOM DOOR LACKS A SELF-CLOSING DOOR DEVICE.  MANAGEMENT INSTRUCTED TO INSTALL.",41.9047069631444,-87.6482703647429,RIVERSIDE MARKET,1240 N HALSTED ST,POINT (-87.6482703647429 41.9047069631444),NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,,7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516
East Delaware Pantry,2022-03-17,Pass W/ Conditions,FALSE,TRUE,TRUE,200 E Delaware Pl,CHICAGO,IL,60611.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments:  No certified food service manager on site, No certificate posted. facility slice deli meat on site, prepare and sell deli sandwiches that made on site. priority foundation violation 7-38-012. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO vomit and diarrhea clean kit/ no procedure  on site. instructed to obtain. | 16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: Inadequate utensils  washing and sanitizing, facility not washing  nor sanitizing multi-use utensils used in deli meat slicing and sandwich making, no 3-comp sink available to perform such required task. priority violation 7-38-025. manager removed meat slicer and all deli operation. per manager "" open food operation will be discontinued at once"". | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: refer to violation #16 for description.",41.8993547394438,-87.621791301926,EAST DELAWARE PANTRY,200 E DELAWARE PL,POINT (-87.621791301926 41.8993547394438),NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,,7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516
Copperfields Market,2020-04-28,Pass W/ Conditions,FALSE,TRUE,TRUE,70 W Huron St,CHICAGO,IL,60654.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO KIT AND PROCEDURE ON SITE FOR RESPONDING TO VOMIT AND DIARRHEA. LEFT TEMPLATE AND INSTRUCTED TO MAINTAIN A KIT WITH ALL NECESSARY SUPPLIES INCLUDING A SANITIZER RATED AS EFFECTIVE AGAINST NOROVIRUS AND PROCEDURE ON SITE FOR RESPONDING TO VOMIT AND DIARRHEA. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED.,41.8949481089098,-87.6308659470667,COPPERFIELDS MARKET,70 W HURON ST,POINT (-87.6308659470667 41.8949481089098),NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,,7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516
Cvs/Pharmacy #3742,2020-04-01,Pass W/ Conditions,TRUE,FALSE,FALSE,121 W Kinzie St,CHICAGO,IL,60610.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: VISIBLE AND WORKING THERMOMETER NEEDED AT THE REACH-IN COOLER WHERE PREPACKAGED HAM AND CHEESES ARE STORED. MUST PROVIDE AND MAINTAIN. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED A BIG GAP ON BOTTOM OF FRONT ENTRANCE DOORS. MUST MAKE DOORS TIGHT FITTING TO PREVENT PEST ENTRY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DIRT AND FOOD DEBRIS ON FLOOR UNDERNEATH STORAGE SHELVING INSIDE MILK WALK-IN COOLER AND REAR STORAGES AREAS. MUST CLEAN AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED HEAVY DUST BUILD UP ON CEILING VENTILATION VENTS INSIE WASHROOMS. MUST CLEAN AND MAINTAIN. | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: PREVIOUS INSPECTION REPORT SUMMARY FROM 11/25/13 REPORT#1391281 WAS NOT POSTED AT THE PALIN VIEW OF ESTABLISHMENT CUSTOMERS. MANAGER WAS GIVEN A COPY OF TODAYS  INSPECTION SUMMARY REPORT AND WAS INSTRUCTED TO POST IN VIEW OF ALL CUSTOMERS. PRIORITY FOUNDATION VIOLATION 7-42-010(b)NO CITATION ISSUED.",41.8890871454162,-87.6320084936841,CVSPHARMACY 3742,121 W KINZIE ST,POINT (-87.6320084936841 41.8890871454162),NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,,7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516
Whole Foods Market,2025-04-04,Pass,FALSE,TRUE,TRUE,1550 N Kingsbury St,CHICAGO,IL,60642.0,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: CLEAN THE GREASE AND FOOD DEBRIS ON THE TOP AND REAR LEDGE OF THE ROTISSERIE CHICKEN OVENS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CLEAN THE FLOOR UNDER THE EQUIPMENT IN THE SANDWICH PREP AREA.  CLEAN THE FLOOR OF THE FISH DEPARTMENT WALK-IN FREEZER.",41.9093987878094,-87.6530506978941,WHOLE FOODS MARKET,1550 N KINGSBURY ST,POINT (-87.6530506978941 41.9093987878094),NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,,7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516
Mariano'S #8534,2025-03-24,Pass,FALSE,TRUE,TRUE,1500 N Clybourn Ave,CHICAGO,IL,60610.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED THE LOWER SHELVING UNITS IN THE COFFEE PREP AREA WORN AND EXPOSED PRESSED WOOD. INSTRUCTED TO REPAIR AS A MEANS OF BEING ABLE TO CLEAN AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED THE LEFT SLIDING DOOR IN THE MEAT DEPARTMENT AREA WHERE THE GROUND BEED IS HELD FALLS LOOSE FROM THE TRACKS OF THE UNIT. INSTRUCTED TO REPAIR AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE FLOORS IN THE FOLLOWING AREAS WITH A BUILD UP OF DIRT AND DEBRIS ON THE FLOOR AND OR UNDER THE SHELVING UNITS: THE FLOOR OF THE PERISHABLE WALK IN FREEZER. THE BAKERY DISH WASHING AREA FLOOR UNDER AND AROUND DISH WASHING UNIT AND IN CORNERS. THE FLOOR OF THE DELI WALK IN AREA UNDER THE SHELVING UNITS. INSTRUCTED TO CLEAN AND MAINTAIN ALL AREAS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE SIDES OF THE COOKING EQUIPMENT IN THE REAR OF THE HOT PREP AREA WITH GREASE AND SPILLAGE ALONG THE SIDES OF THE EQUIPMENT AND THE WALL AREAS BEHIND IT. INSTRUCTED TO CLEAN AND MAINTAIN ALL. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE WALL DAMAGED AND OPEN AT THE ENTRY OF THE MEAT AREA IN THE REAR. INSTRUCTED TO SEAL/REPAIR WALL AS A MEANS OF PREVENTING POSSIBLE PEST AND OR INSECT ACTIVITY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FLOOR PANELS IN THE REAR WALK IN FREEZER COMING LOOSE FROM THE FLOOR. INSTRUCTED TO REPAIR AND MAINTAIN AS A MEANS OF BEING ABLE TO KEEP CLEAN AND MAINTAIN AS WELL AS REPAIR TO PREVENT TRIP HAZARD. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FLOORS IN THE FOLLOWING AREAS IN NEED OF CLEANING AND MAINTAINING. THE COFFEE DRINK AREA IN THE CORNERS ALONG THE WALLS. THE FLOOR IN THE CAKE DECORATING AREA AS WELL AS BETWEEN THE BAKERY SHOWCASE DISPLAYS. INSTRUCTED TO CLEAN AND MAINTAIN ALL AREAS.",41.9085601353684,-87.6464526857252,MARIANOS 8534,1500 N CLYBOURN AVE,POINT (-87.6464526857252 41.9085601353684),NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,,7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516
