DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
South Loop Market,2024-12-23,Pass W/ Conditions,FALSE,TRUE,TRUE,2135 S Michigan Ave,CHICAGO,IL,60616.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CERTIFIED FOOD MANAGER WITH THE ORIGINAL CITY OF CHICAGO FOOD SERVICE MANAGER CERTIFICATE ON SITE, WHILE OPEN AND OPERATING. ORIGINAL CITY OF CHICAGO FOOD SERVICE MANAGER CERTIFICATE MUST BE POSTED AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-012, CITATION ISSUED   | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SIGNAGE AT THE HANDWASHING SINK IN THE FRONT FOOD PREP/ SERVICE AREA. INSTRUCTED TO PROVIDE AND MAINTAIN. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED NO SPLASH GUARD AT THE HANDWASHING SINK IN THE REAR FOOD PREP AREA. INSTRUCTED TO INSTALL A SMOOTH AND EASILY CLEANABLE SPLASH GUARD AT MENTIONED HANDWASHING SINK AND MAINTAIN. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OBSERVED ONE SINK STOPPER MISSING FOR THE THREE COMPARTMENT SINK. INSTRUCTED TO PROVIDE AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO RECEPTACLE WITH A LID IN THE EMPLOYEE TOILET ROOM. INSTRUCTED TO PROVIDE AND MAINTAIN FOR DISPOSAL OF FEMININE PRODUCTS.",41.8531816057252,-87.6236788696113,SOUTH LOOP MARKET,2135 S MICHIGAN AVE,POINT (-87.6236788696113 41.8531816057252),NEAR SOUTH SIDE,49769639.4541,33.0,33.0,45053.1651038,,,32.0,NEAR SOUTH SIDE,49769639.4541,33.0,33.0,45053.1651038
Go! Grocer,2024-10-23,Pass W/ Conditions,TRUE,FALSE,FALSE,1400 S Michigan Ave,CHICAGO,IL,60605.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING CLEANSER AT HANDWASHING SINK IN DISH ROOM. ALL HANDWASHING SINKS MUST BE EQUIPPED WITH HAND CLEANING LIQUID AT ALL TIMES. INSTRUCTED MANAGER TO PROVIDE. PRIORITY FOUNDATION VIOLATION. 7-38-030-(C). CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND DRYING PROVISION AT HANDWASHING SINK IN DISH ROOM. ALL HANDWASHING SINKS MUST BE EQUIPPED WITH A HAND DRYING PROVISION AT ALL TIMES. INSTRUCTED MANAGER TO PROVIDE.CORRECTED ON SITE. PRIORITY FOUNDATION. 7-38-030(C). CITATION CONSOLIDATED WITH ABOVE VIOLATION. | 50. HOT & COLD WATER AVAILABLE; ADEQUATE PRESSURE - Comments: FOUND NO HOT WATER ON SITE, HANDWASHING SINKS WATER TEMPERATURE AND 3 COMP SINK WATER TEMPERATURE IS RANGING FROM 81F - 83F. HOT WATER GENERATION AND DISTRIBUTION SYSTEMS SHALL BE SUFFICIENT TO MEET THE PEAK HOT WATER DEMANDS THROUGHOUT THE RETAIL FOOD ESTABLISHMENT. PRIORITY VIOLATION. 7-38-030(C). CITATION ISSUED.",41.8640015435498,-87.6242257291397,GO GROCER,1400 S MICHIGAN AVE,POINT (-87.6242257291397 41.8640015435498),NEAR SOUTH SIDE,49769639.4541,33.0,33.0,45053.1651038,,,32.0,NEAR SOUTH SIDE,49769639.4541,33.0,33.0,45053.1651038
Mccormick Market,2024-08-15,Pass W/ Conditions,FALSE,TRUE,TRUE,80 E Cermak Rd,CHICAGO,IL,60616.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.14: OBSERVED NO HANDWASHING SIGNAGE AT THE HANDWASHING SINK IN THE REAR DISHWASHING AREA. INSTRUCTED TO PROVIDE AND MAINTAIN. | 35. APPROVED THAWING METHODS USED - Comments: 3-501.13: OBSERVED A PACK OF CHICKEN IMPROPERLY THAWING IN A CONTAINER WITH WATER ON THE DRAIN BOARD OF THE THREE COMPARTMENT SINK. INSTRUCTED TO USE PROPER THAWING METHODS SUCH AS: WALK-IN COOLER OVERNIGHT, OR UNDER COLD RUNNING WATER.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: 4-204.112(B): OBSERVED NO AMBIENT AIR THEROMETER INSIDE THE DISPLAY COOLER WITH PREPACKAGED TCS FOOD ITEMS (TUNA SALAD). INSTRUCTED TO PROVIDE AND MAINTAIN.  | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: 4-301.12: OBSERVED TWO MISSING SINK STOPPERS FOR THE THREE COMPARTMENT SINK. INSTRUCTED TO PROVIDE AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.17: OBSERVED WATER-STAINED CEILING TILE NEAR THE SHOPPING AREA NEAR THE DELI PREP. INSTRUCTED TO REPLACE AND MAINTAIN.  | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: OBSERVED PREVIOUS SUMMARY REPORT FROM 08/07/2024, REPORT #2598788, POSTED ON THE BACK OF A MONACO COLD HOLDING UNIT FACING THE REAR DELI PREP AREA AND NOT POSTED FOR PUBLIC VIEW. OBSERVED SUMMARY REPORT FROM 12/19/2023 POSTED FOR PUBLIC VIEW. A NEW SUMMARY REPORT GIVEN AND POSTED AT THIS TIME. PRIORITY FOUNDATION VIOLATION 7-42-010(B), CITATION ISSUED",41.852973826132,-87.6238956826966,MCCORMICK MARKET,80 E CERMAK RD,POINT (-87.6238956826966 41.852973826132),NEAR SOUTH SIDE,49769639.4541,33.0,33.0,45053.1651038,,,32.0,NEAR SOUTH SIDE,49769639.4541,33.0,33.0,45053.1651038
South Loop Market,2024-02-06,Pass W/ Conditions,FALSE,TRUE,TRUE,1720 S Michigan Ave,CHICAGO,IL,60616.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CERTIFIED FOOD MANAGER WITH THE ORIGINAL CITY OF CHICAGO FOOD SERVICE MANAGER CERTIFICATE ON SITE, WHILE OPEN AND OERATING. INSTRUCTED A CERTIFIED FOOD MANAGER MUST BE ON SITE WITH THE ORIGINAL CITY OF CHICAGO FOOD SERVICE MANAGER CERTIFICATE POSTED AT ALL TIMES WHILE OPEN AND OPERATING.  PRIORITY FOUNDATION VIOLATION 7-38-012, CITATION ISSUED | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO AMBIENT AIR THERMOMETER IN COLD HOLDING UNITS WITH TCS FOODS (BLOCKS OF CHEESE, MILK, DELI MEAT) STORED INSIDE. INSTRUCTED TO PROVIDE AND MAINTAIN. | 40. PERSONAL CLEANLINESS - Comments: OBSERVED ONE FOOD HANDLER IN THE FOOD PREP AREA WITH NO HAIR RESTRAINT. INSTRUCTED MANAGER ALL FOOD HANDLERS MUST HAVE ON PROPER HAIR RESTRAINTS (BASEBALL CAPS AND HAIR NETS) WHILE IN THE FOOD PREP AREA. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OBSERVED ONE SINK STOPPER MISSING FOR THE THREE COMPARTMENT SINK. INSTRUCTED TO PROVIDE AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE IN UNISEX (EMPLOYEE) WASHROOM; MUST PROVIDE A COVER FOR WASTE RECEPTACLE FOR DISPOSAL OF FEMININE PRODUCTS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FLOORS UNDER THE FLOOR MAT IN THE REAR DISHWASHING AREA WITH DEBRIS BUILD UP. INSTRUCTED TO CLEAN SAID FLOOR AND FLOOR MAT AND MAINTAIN.",41.8584377721792,-87.6240934145977,SOUTH LOOP MARKET,1720 S MICHIGAN AVE,POINT (-87.6240934145977 41.8584377721792),NEAR SOUTH SIDE,49769639.4541,33.0,33.0,45053.1651038,,,32.0,NEAR SOUTH SIDE,49769639.4541,33.0,33.0,45053.1651038
South Loop Market,2020-04-15,Pass W/ Conditions,FALSE,TRUE,TRUE,1331 S Prairie Ave,CHICAGO,IL,60605.0,37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: NO ALLERGEN WARNING LABEL ON PACKAGED SALADS IN COOLER; MUST PROVIDE.  INSTRUCTED THAT AN ALLERGEN WARNING LABEL MUST BE ON ALL PACKAGED FOOD ITEMS THAT CONTAIN AN INGREDIENT THAT IS ON THE ALLERGEN LIST.  PRIORITY FOUNDATION VIOLATION 7-38-005.,41.8651219500733,-87.6208097201053,SOUTH LOOP MARKET,1331 S PRAIRIE AVE,POINT (-87.6208097201053 41.8651219500733),NEAR SOUTH SIDE,49769639.4541,33.0,33.0,45053.1651038,,,32.0,NEAR SOUTH SIDE,49769639.4541,33.0,33.0,45053.1651038
Super Deal Food Liquor,2010-08-10,Pass W/ Conditions,TRUE,FALSE,FALSE,2115 S State St,CHICAGO,IL,60616.0,"12. HAND WASHING FACILITIES: WITH SOAP AND SANITARY HAND DRYING DEVICES, CONVENIENT AND ACCESSIBLE TO FOOD PREP AREA - Comments: FOUND NO SOAP NOR PAPER TOWELS AT WASHBOWL IN STAFF TOILET ROOM. INSTRUCTED TO PROVIDE SAME AT ALL TIMES. MANAGER PROVIDED SOAP AND PAPER TOWELS AT WASHBOWL IN STAFF TOILET ROOM. CRITICAL 7-38-030 ISSUED. | 31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: INSTRUCTED TO PROPERLY STORE KNIVES AT PREP AREA IN CLEAN DESIGNATED AREA AND OR INVERT IN KNIFE RACK-REMOVE FROM STORING BETWEEN WALL AND PREP TABLE. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: PAINT RUSTY FOOD AISLE SHELVES AND RACKS INSIDE MEAT WALK-IN COOLER. DEFROST ICE CREAM AND MEAT CHEST FREEZERS TO REMOVE ICE BUILD-UP. REMOVE CARDBOARD LINING FROM PRODUCE DISPLAY COOLER AND STORAGE SHELF ABOVE THREE COMPARTMENT SINK.  | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN AND SANITIZE THE FOLLOWING: GASKETS AROUND DELI/MEAT DISPLAY COOLER, INTERIOR OF PRODUCE DISPLAY COOLERS, INTERIOR/EXTERIOR OF MEAT WALK-IN COOLER, UNDER, AROUND FOOD AISLE SHELVES, INTERIOR OF MEAT SLICER BLADE,INTERIOR OF REFRIGERATION UNITS, INTERIOR OF THREE COMPARTMENT SINK/HAND WASH SINK. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: The floors shall be constructed per code, be smooth and easily cleaned, and be kept clean and in good repair.    INSTRUCTED TO REMOVE STANDING WATER SECTIONS IN BASEMENT-NO FOOD STORAGE IN BASEMENT. CLEAN FLOORS ALONG WALL BASE THROUGHOUT 1ST. FLOOR AND BASEMENT. REPAIR CRACKED FLOOR TILES AS NEEDED AT FOOD AISLES AND PROVIDE FLOOR TILES FOR MISSING SECTIONS IN FRONT OF DELI/MEAT DISPLAY COOLERS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned.    SEAL ALL OPENINGS AT CEILING, WALLS, AND WALL BASE AS NEEDED BEHIND REFRIGERATION UNITS, PREP AREA, REAR STORAGE AREA.  | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: REPLACE NON WORKING LIGHT BULBS ABOVE BUTCHER PREP AREA AND PROVIDE ADEQUATE LIGHTING AT REAR WAREHOUSE FOOD AND DRY STORAGE AREA.  | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: INSTRUCTED TO PROVIDE INTERNAL THERMOMETER INSIDE MEAT WALK-IN COOLER.",41.8537680963443,-87.6269573595826,SUPER DEAL FOOD LIQUOR,2115 S STATE ST,POINT (-87.6269573595826 41.8537680963443),NEAR SOUTH SIDE,49769639.4541,33.0,33.0,45053.1651038,,,32.0,NEAR SOUTH SIDE,49769639.4541,33.0,33.0,45053.1651038
Jewel Food  Store # 3345,2024-08-15,Pass,FALSE,TRUE,TRUE,1224 S Wabash Ave,CHICAGO,IL,60605.0,,41.8667243540556,-87.6259611483775,JEWEL FOOD STORE 3345,1224 S WABASH AVE,POINT (-87.6259611483775 41.8667243540556),NEAR SOUTH SIDE,49769639.4541,33.0,33.0,45053.1651038,,,32.0,NEAR SOUTH SIDE,49769639.4541,33.0,33.0,45053.1651038
Mariano'S,2024-04-22,Pass,FALSE,TRUE,TRUE,1615 S Clark St,CHICAGO,IL,60616.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO THERMOMETERS INSIDE COLD HOLDING UNITS IN ALL PREP AREAS CONSPICUOUSLY POSTED TO MONITOR THE AMBIENT TEMPERATURE OF EQUIPMENT. INSTRUCTED TO PROVIDE ACCURATE AMBIENT AIR THERMOMETERS IN ALL REFRIGERATION UNITS AND MAINTAIN. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED THREE FOOD STORAGE BINS IN THE FRONT SUSHI PREP AREA NOT LABELED. INSTRUCTED TO LABEL FOOD STORAGE CONTAINERS WITH THE ITEMS WITH COMMON NAME AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED THE MIDDLE DOOR ON THE PREP COOLER IN THE FRONT SUSHI PREP AREA NOT ABLE TO REMAIN CLOSED. INSTRUCTED TO REPAIR MENTIONED PREP COOLER AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED PUSH CARTS IN THE REAR HOT/COLD FOOD PREP AREA WITH FOOD DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED HANDWASHING SINK ON THE SIDE OF THE BAXTER PROOFER IN THE FRONT BAKERY PREP AREA CONTINUE TO RUN ONCE WATER PETAL IS RELEASED. INSTRUCTED TO REPAIR MENTIONED SINK AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FLOORS UNDER THE COOKING AND STORAGE EQUIPMENT IN THE REAR HOT/COLD FOOD PREP AREA WITH FOOD DEBRIS AND GREASE BUILD UP. ALSO, OBSERVED IN THE WALK-IN COOLER WHERE MILK AND JUICES ARE STORED FOR DISPLAY WITH A STICKY LIQUID SUBSTANCE. INSTRUCTED TO CLEAN ALL MENTIONED FLOORS AND MAINTAIN.",41.8596296773128,-87.630124899277,MARIANOS,1615 S CLARK ST,POINT (-87.630124899277 41.8596296773128),NEAR SOUTH SIDE,49769639.4541,33.0,33.0,45053.1651038,,,32.0,NEAR SOUTH SIDE,49769639.4541,33.0,33.0,45053.1651038
L'Afrique Market,2024-01-04,Pass,FALSE,TRUE,TRUE,2011 S State St,CHICAGO,IL,60616.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED A DEAD BUG ON THE CUTTING BOARD IN PREP AREA AND ON THE BASE BOARD IN THE DRY STORAGE AREA. INSTRUCTED REMOVE DEAD BUGS AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RAW WOOD USED AS A DISPLAY UNIT FOR PRODUCE IN THE SHOPPING AISLE. INSTRUCTED TO SEAL RAW WOOD TO MAKE SURFACE SMOOTH AND EASILY CLEANABLE AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-205.15: OBSERVED LEAKING PIPE IN UTILITY CLOSET IN WASHROOM. INSTRUCTED PERSON IN CHARGE TO REPAIR AND MAINTAIN.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO RECEPTACLE WITH A LID IN THE EMPLOYEE TOILET ROOM. INSTRUCTED TO PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114: OBSERVED BOXES STORED ON THE FLOOR IN REAR PREP AREA. INSTRUCTED PERSON IN CHARGE TO MAINTAIN ALL ITEMS AT LEAST SIX INCHES FROM FLOOR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11: OBSERVED PEELING PAINT ON WALLS IN RESTROOM INSTRUCTED PERSON IN CHARGE TO REPAIR AND MAINTAIN.",41.8551052117902,-87.6269913646014,LAFRIQUE MARKET,2011 S STATE ST,POINT (-87.6269913646014 41.8551052117902),NEAR SOUTH SIDE,49769639.4541,33.0,33.0,45053.1651038,,,32.0,NEAR SOUTH SIDE,49769639.4541,33.0,33.0,45053.1651038
Lori'S Hallmark Shop #178,2011-02-18,Pass,TRUE,FALSE,FALSE,2525 S Michigan Ave,CHICAGO,IL,60616.0,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN FLOORS NEXT TO DASANI REFRIGERATOR TO REMOVE DUST. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: All food establishments that display, prepare, or store potentially hazardous foods shall have calibrated metal stem thermometers, provided and conspicuous, for refrigerated and hot food units.",41.8467169566465,-87.6233697276121,LORIS HALLMARK SHOP 178,2525 S MICHIGAN AVE,POINT (-87.6233697276121 41.8467169566465),NEAR SOUTH SIDE,49769639.4541,33.0,33.0,45053.1651038,,,32.0,NEAR SOUTH SIDE,49769639.4541,33.0,33.0,45053.1651038
