DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
West Loop Market,2025-04-11,Pass W/ Conditions,FALSE,TRUE,TRUE,1222 W Madison St,CHICAGO,IL,60607.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED MISSING HANDWASH SIGNAGE AT DELI PREP AREA.  INSTRUCTED TO INSTALL AND MAINTAIN. | 22. PROPER COLD HOLDING TEMPERATURES - Comments: NOTED IMPROPER INTERNAL TEMPERATURES OF THE FOLLOWING TIME/TEMPERATURE CONTROL FOR SAFETY FOOD ITEMS INSIDE THE FOOD DISPLAY COOLER. IMPROPER: PORK 47.6 F TO 50.5 F. MANAGER IMMEDIATELY AND VOLUNTARILY DISPOSED OF 10 LBS OF PRODUCTS WORTH $60.00 THROUGH THE DENATURING PROCESS. PRIORITY VIOLATION #7-38-005. CITATION ISSUED. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED CASES OF WINE STORED INSIDE THE WASHROOM. INSTRUCTED MANAGEMENT THAT FOOD MAY NOT BE STORED INSIDE WASHROOMS. MUST RELOCATE AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED MILK CRATES BEING USED AS SHELVING INSIDE WALK-IN BEVERAGE COOLER AND EMPLOYEE RESTROOM. MUST REMOVE AND PROVIDE SHELVING 6"" OFF THE FLOOR AND PROVIDES FLOOR ACCESSIBILITY TO ENSURE ADEQUATE FACILITY CLEANING. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO FOOD HANDLERS' CERTIFICATES ON SITE. INSTRUCTED MANAGER TO COMPLY WITH THE IDPH FOOD HANDLER REQUIREMENT.  | 58. ALLERGEN TRAINING AS REQUIRED - Comments: OBSERVED FOOD SERVICE SANITATION MANAGER WITHOUT FOOD ALLERGEN TRAINING CERTIFICATE. INSTRUCTED TO MEET REQUIREMENT.",41.8817093278156,-87.65806721526,WEST LOOP MARKET,1222 W MADISON ST,POINT (-87.65806721526 41.8817093278156),NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,,27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406
Jewel Food Store #3344,2025-02-06,Pass W/ Conditions,FALSE,TRUE,TRUE,1220 S Ashland Ave,CHICAGO,IL,60608.0,10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 5-203.11 OBSERVED A PREP TABLE WITH CROCKPOTS OF CHOCOLATE (FOR PREPARING CHOCOLATE-COVERED STRAWBERRIES) SET UP IN AN AREA WITHOUT A HAND-WASHING SINK. INSTRUCTED TO PROVIDE A HAND WASHING SINK IN ALL AREAS OF FOOD PREP OR REMOVE THE CHOCOLATE-COVERED STRAWBERRIES PREP STATION TO A PREP AREA WITH AN ADEQUATE HAND WASHING SINK. THE MANAGER MOVED THE TABLE AND CROCKPOTS TO THE FRUIT PREP AREA WITH A HAND-WASHING SINK. PRIORITY FOUNDATION. CITATION ISSUED 7-38-030(C). | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.11 OBSERVED NO HAND WASHING CLEANSER AT THE HAND WASHING SINK LOCATED IN THE RAW MEAT PREP AREA. INSTRUCTED TO PROVIDE HAND WASHING CLEANSER AT ALL TIMES. THE MANAGER PROVIDED HAND WASHING CLEANSER DURING THE INSPECTION. PRIORITY FOUNDATION 7-38-030(C). CITATION ISSUED UNDER VIOLATION ABOVE.,41.8662541761428,-87.6665241401311,JEWEL FOOD STORE 3344,1220 S ASHLAND AVE,POINT (-87.6665241401311 41.8662541761428),NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,,27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406
Whole Foods Market,2024-10-21,Pass W/ Conditions,FALSE,TRUE,TRUE,1101 S Canal St,CHICAGO,IL,60607.0,10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO PAPER TOWELS AT THE HAND-SINK IN THE SEAFOOD PREP AREA. INFORMED PERSON IN CHARGE THAT PAPER TOWELS MUST BE AVAILABLE AT HAND SINKS AT ALL TIMES. FOOD HANDLER OBTAINED PAPER TOWELS FOR HAND SINK DURING TIME OF INSPECTION PRIORITY FOUNDATION VIOLATION #7-38-030(C). SEE ABOVE. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO PAPER TOWELS AT THE HAND-SINK IN THE DELI PREP AREA. INFORMED PERSON IN CHARGE THAT PAPER TOWELS MUST BE AVAILABLE AT HAND SINKS AT ALL TIMES. FOOD HANDLER OBTAINED PAPER TOWELS FOR HAND SINK DURING TIME OF INSPECTION PRIORITY FOUNDATION VIOLATION #7-38-030(C). CITATION ISSUED.,41.8688897111121,-87.639098928088,WHOLE FOODS MARKET,1101 S CANAL ST,POINT (-87.639098928088 41.8688897111121),NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,,27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406
H Mart,2024-07-17,Pass W/ Conditions,FALSE,TRUE,TRUE,711 W Jackson Blvd,CHICAGO,IL,60661.0,"16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVED A FEW CUTTING BOARDS WITH DARK OPEN SEEMS IN THE REAR PRODUCE AREA AND FRONT FRESH FISH PREP/SERVING AREA. MUST REPLACE AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED THE SPRAYER AT THE 3 COMP REAR SINK WITH LEAKS IN THE MEAT WALK IN PREP COOLER.. MUST REPAIR AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED HOT WATER IN THE WOMEN WASHROOM AT 65.6F AND MEN WASHROOM AT 71F. INSTRUCTED MANAGER THAT HOT RUNNING WATER AT THE HAND SINK SHOULD MAINTAIN A PROPER TEMP OF 100F FOR PROPER HAND WASHING. PRIORITY CITAION ISSUED #7-38-030(C). | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE AIR VENT IN THE CEILING OF THE PRODUCE PREP COOLER DUSTY. MUST CLEAN AND MAINTAIN.",41.8778717386318,-87.6445094596491,H MART,711 W JACKSON BLVD,POINT (-87.6445094596491 41.8778717386318),NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,,27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406
Jewel Food Store #2500,2024-01-23,Pass W/ Conditions,FALSE,TRUE,TRUE,1340 S Canal St,CHICAGO,IL,60607.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HANDS IN EMPLOYEE RESTROOM NOT STOCKED WITH HAND SOAP. INFORMED PERSON IN CHARGE THAT HAND SOAP MUST BE AVAILABLE AT HANDSINKS AT ALL TIMES. FOOD HANDLERS OBTAINED HAND SOAP FOR THE HAND SINK DURING THE TIME OF INSPECTION. PRIORITY FOUNDATION VIOLATION #7-38-030(C). CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO PAPER TOWELS AT THE HAND-SINK IN THE BAKERY PREP AREA. INFORMED PERSON IN CHARGE THAT PAPER TOWELS MUST BE AVAILABLE AT HAND SINKS AT ALL TIMES. FOOD HANDLER OBTAINED PAPER TOWEL FOR HAND SINK DURING TIME OF INSPECTION PRIORITY FOUNDATION VIOLATION #7-38-030(C). | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED LOOSE MEAT DEBRIS INSIDE THE MEAT PACKAGING MACHINE IN THE MEAT DEPARTMENT. INSTRUCTED TO DETAIL CLEAN AND INCREASE CLEANING FREQUENCY OF THIS PACKAGING MACINE. MUST MAINTAIN AT ALL TIMES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED GREASE BUILDUP ON THE FLOOR UNDER COOKING EQUIPMENT AT THE REAR DELI PREP AREA.  INSTRUCTED TO CLEAN AND MAINTAIN.",41.864521193743500,-87.6393040996356,JEWEL FOOD STORE 2500,1340 S CANAL ST,POINT (-87.6393040996356 41.864521193743506),NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,,27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406
7-Eleven #33731J,2023-08-14,Pass W/ Conditions,TRUE,FALSE,FALSE,954 W Monroe St,CHICAGO,IL,60607.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: 2-101.11   OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON THE PREMISES WHILE TCS FOODS (CHICKEN WINGS, HOT DOGS) WERE BEING PREPARED AND SERVED. INSTRUCTED MANAGEMENT THAT A CITY OF CHICAGO CERTIFIED FOOD MANAGER MUST BE PRESENT AT ALL TIMES WHILE TCS FOODS ARE BEING PREPARED OR SERVED. PRIORITY FOUNDATION 7-38-012. CITATION ISSUED.",41.8805221706436,-87.6518544629789,7ELEVEN 33731J,954 W MONROE ST,POINT (-87.6518544629789 41.8805221706436),NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,,27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406
Campus Market,2023-05-01,Pass W/ Conditions,FALSE,TRUE,TRUE,1523 W Taylor St,CHICAGO,IL,60607.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON THE PREMISES WHILE TCS FOOD (CHICKEN) WAS HANDLED (ADDING TO HOT-HOLDING UNIT). INSTRUCTED MANAGEMENT THAT A CITY OF CHICAGO CERTIFIED FOOD MANAGER MUST BE PRESENT AT ALL TIMES WHILE TCS FOODS ARE BEING PREPARED OR SERVED. PRIORITY FOUNDATION 7-38-012. CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT/DIARRHEA CLEANUP KIT OR WRITTEN PROCEDURES ON SITE AT TIME OF INSPECTION. INSTRUCTED MANAGEMENT TO PROVIDE. PRIORITY FOUNDATION 7-38-005. CITATION ISSUED.  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SINK IN THE REAR STORAGE ROOM. THAT ROOM HAS BEEN TRANSFORMED INTO A FOOD DISPENSING AREA. THIS AREA INCLUDES A THREE-COMPARTMENT SINK AND A FOOD WARMER/HOT-HOLDING UNIT LOCATED ON TOP OF A TABLE. INSTRUCTED MANAGEMENT THAT A HANDWASHING SINK MUST BE LOCATED INSIDE THIS AREA TO ALLOW FOR CONVENIENT USE BY EMPLOYEES. MUST INSTALL A HANDWASHING SINK IN SAID AREA. PRIORITY FOUNDATION 7-38-030(C). MANAGEMENT UNPLUGGED THE HOT-HOLDING UNIT AND WILL NOT USE THE REAR AREA FOR DISHWASHING OR FOOD PREP/DISPENSING. HOT-HOLDING UNIT IS TAGGED AND CANNOT BE USED UNTIL APPROVED BY CDPH. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED APPROXIMATELY 1-INCH GAPS AT THE BOTTOM AND SIDES OF THE FRONT ENTRY DOOR. INSTRUCTED MANAGEMENT TO SEAL GAPS TO PREVENT PEST/RODENT ENTRY AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST CLEAN ALL PLUMBING FEATURES INSIDE THE TOILET ROOM AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE INSIDE THE UNISEX WASHROOM. MUST PROVIDE AND MAINTAIN.",41.8691754848222,-87.6650663240853,CAMPUS MARKET,1523 W TAYLOR ST,POINT (-87.6650663240853 41.8691754848222),NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,,27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406
Ins Market,2019-09-03,Pass W/ Conditions,TRUE,FALSE,FALSE,111 N Canal St,CHICAGO,IL,60606.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO WRITTEN PROCEDURES OR SUPPLIES FOR RESPONDING TO VOMITING OR DIARRHEAL EVENTS. SUPPLIES MUST INCLUDE ADEQUATE SANITIZER THAT ELIMINATES NOROVIRUS. INSTRUCTED FACILITY TO PROVIDE CLEAN UP POLICY AND SUPPLIES TO PROPERLY HANDLE BODILY FLUID SPILLS ON SITE.  PRIORITY FOUNDATION VIOLATION #7-38-005. NO CITATION ISSUED. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED A BURNED OUT LIGHT-BULB IN THE CEILING LIGHT UNIT ABOVE PACKAGED CANDIES. INSTRUCTED TO REPLACE BULB AND MAINTAIN LIGHTING IN THE UNIT.,41.8835653127592,-87.6396372836809,INS MARKET,111 N CANAL ST,POINT (-87.6396372836809 41.8835653127592),NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,,27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406
Suarez Market,2025-04-29,Pass,FALSE,TRUE,FALSE,131 N Clinton St,CHICAGO,IL,60661.0,,41.8841875071278,-87.6411196668322,SUAREZ MARKET,131 N CLINTON ST,POINT (-87.6411196668322 41.8841875071278),NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,,27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406
1 Stop Market & Grill,2025-02-18,Pass,TRUE,FALSE,FALSE,2132-2134 W Washington Blvd,CHICAGO,IL,60612.0,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-602.13  CLEAN THE FOLLOWING ITEMS IN THE RESTAURANT PREP AREA: PREP TABLES, DEEP FRYERS, MICROWAVE, WIRE STORAGE SHELVES, TOP AND INTERIOR OF THE FREEZER, PREP COOLERS, ICE MACHINE AND CAN OPENER BLADE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-205.15  REPAIR THE DRAIN LINE WATER LEAK BENEATH THE 3 COMPARTMENT SINK IN THE MEAT PREP AREA.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.12  CLEAN THE FLOOR BENEATH THE RETAIL FOOD STORAGE SHELVES AND STORAGE RACKS AND RESTAURANT PREP AREA BENEATH THE COOKING EQUIPMENT. CLEAN THE WALLS OF THE RESTAURANT PREP AREA. CLEAN THE FLOOR OF THE WALK-IN COOLERS. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-501.14  CLEAN THE GREASE BUILDUP ON THE VENTILATION HOOD AND FILTERS ABOVE THE COOKING EQUIPMENT. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13  OBSERVED A FOOD HANDLING EMPLOYEE WITHOUT A FOOD HANDLER CERTIFICATE. MANAGEMENT INSTRUCTED THAT ALL FOOD HANDLING EMPLOYEES MUST SHOW PROOF OF FOOD HANDLER TRAINING.",41.8831944724282,-87.6804664902161,1 STOP MARKET GRILL,21322134 W WASHINGTON BLVD,POINT (-87.6804664902161 41.8831944724282),NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,,27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406
