DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Universal Fruit Market,2024-04-15,Pass W/ Conditions,TRUE,FALSE,TRUE,1940 W 51St St,CHICAGO,IL,60609.0,"22. PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED APPROXIMATELY 2.5 LBS TCS FOOD AT IMPROPER TEMPERATURES: CHICKEN BREAST AT 47.5 F, CHICKEN CUTLETS AT 45.1.F, BEEF CUTLETS AT 46.9 F.  PIC VOLUNTARILY DISCARDED AND DENATURED 5 LBS OF CHICKEN AT $25 2.5 LBS OF BEEF AT $15. INSTRUCTED THE PERSON IN CHARGE THAT ALL COLD-HELD FOOD MUST BE AT 41.0 F OR BELOW.  PRIORITY VIOLATION #7-38-005. CITATION ISSUED | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO FOOD HANDLER'S TRAINING CERTIFICATION FROM EMPLOYEE. INSTRUCTED THAT ALL EMPLOYEES MUST COMPLY WITH FOOD HANDLER'S TRAINING BY THE FOOD HANDLING REGULATION ENFORCEMENT ACT.",41.8013512686615,-87.6736923091162,UNIVERSAL FRUIT MARKET,1940 W 51ST ST,POINT (-87.6736923091162 41.8013512686615),NEW CITY,134636963.254,61.0,61.0,48133.595961,,,60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961
Granado'S Supermercado,2024-04-15,Pass W/ Conditions,FALSE,TRUE,TRUE,1855 W 47Th St,CHICAGO,IL,60609.0,"22. PROPER COLD HOLDING TEMPERATURES - Comments: NOTED IMPROPER INTERNAL TEMPERATURES OF THE FOLLOWING TIME/TEMPERATURE CONTROL FOR SAFETY FOOD ITEMS INSIDE THE FOOD DISPLAY COOLER TO BE IMPROPER: GROUND BEEF AT 53.0 F, CHICKEN FAJITAS AT 49.3 F, PORK AT 48.3 F, BEEF FAJITAS AT 50.0 F AND CHICHEN GIZZARDS AT 45.3 F. MANAGER IMMEDIATELY AND VOLUNTARILY DISPOSED OF 50 LBS OF PRODUCTS WORTH $280.00 THROUGH DENATURING PROCESS. PRIORITY VIOLATION #7-38-005. CITATION ISSUED. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED A COUPLE OF LARGE FOOD CONTAINERS AND A PLASTIC BAG WITH DRY PRODUCTS. (OREGANO, PIMENTA, AND ONION POWDER) WITHOUT PROPER COMMON FOOD NAME MARKINGS. MUST LABEL BULK AND WORKING FOOD CONTAINERS WITH CONTENTS COMMON NAME. MUST LABEL FOOD STORAGE CONTAINERS WHEN FOOD IS NOT IN ORIGINAL PACKAGE.",41.8084242837601,-87.6720246337983,GRANADOS SUPERMERCADO,1855 W 47TH ST,POINT (-87.6720246337983 41.8084242837601),NEW CITY,134636963.254,61.0,61.0,48133.595961,,,60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961
"Little Munchkins Produce,Inc",2024-02-22,Pass W/ Conditions,FALSE,TRUE,TRUE,2022 W 51St St,CHICAGO,IL,60609.0,"21. PROPER HOT HOLDING TEMPERATURES - Comments: OBSERVED THE FOLLOWING FOOD NOT MEETING REQUIRED TEMPERATURE OF 135F DEGREES OR ABOVE IN THE DESIGNATED HOT-HOLDING UNIT:  PASTA WITH HOT DOGS 118.5F. MANAGER IMMEDIATELY AND VOLUNTARILY DISPOSED OF 4 1/2 LBS OF PRODUCTS WORTH $40.00 THROUGH DENATURING PROCESS. PRIORITY VIOLATION #7-38-005. CITATION ISSUED. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED FOOD STORED IN FOOD-GRADE CONTAINERS IN ALL THE COOLERS WITHOUT PROPER LABELING OF NAME. INSTRUCTED THE PERSON IN CHARGE TO PROVIDE A LABEL REFLECTING THE FOOD ITEM'S NAME WHEN FOOD HAS BEEN REMOVED FROM ITS ORIGINAL PACKAGING. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD CONTAINERS AND BAGS OF FOOD STORED ON THE FLOOR IN THE WALK-IN COOLER, PREP AND STORAGE AREAS. INSTRUCTED MANAGER TO PROPERLY STORE AND PROTECT FOOD ITEMS FROM CONTAMINATION WHILE STORED BY ELEVATING AT LEAST SIX INCHES FROM THE FLOOR ON RAISED SHELVING UNITS. | 40. PERSONAL CLEANLINESS - Comments: OBSERVED FOOD HANDLERS PREPPING FOOD WITHOUT HAIR RESTRAINTS. INSTRUCTED PERSON IN CHARGE THAT ALL FOOD HANDLERS MUST WEAR A HAIR RESTRAINT. EMPLOYEE WERE PROVIDED WITH HAIR RESTRAINTS DURING THE INSPECTION. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED FROZEN FOOD STORED IN PLASTIC GROCERY BAGS IN THE CHEST FREEZER. MANAGEMENT INSTRUCTED TO USE PROPER FOOD-GRADE STORAGE BAGS AND CONTAINERS ONLY. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARDBOARD USED AS LINER ON THE SHELVES IN THE AISLE/GROCERY AND PRODUCE AREA. INSTRUCTED TO REMOVE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MOP IN A POSITION THAT DOES NOT ALLOW IT TO DRY PROPERLY AND PREVENT PEST HARBORAGE. MUST STORE MOP AFTER USE IN A MOUNTED POSITION THAT ALLOWS FOR AIR-DRYING WITHOUT SOILING AND PEST HARBORAGING. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO PROOF OF TRAINING FOR ALL FOOD HANDLERS. INSTRUCTED TO PROVIDE AND MAINTAIN RECORDS AT ALL TIMES.",41.8013292640119,-87.6755727327648,LITTLE MUNCHKINS PRODUCEINC,2022 W 51ST ST,POINT (-87.6755727327648 41.8013292640119),NEW CITY,134636963.254,61.0,61.0,48133.595961,,,60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961
Speedy Convienient,2022-08-24,Pass W/ Conditions,TRUE,FALSE,FALSE,5000 S Ashland Ave,CHICAGO,IL,60609.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: THE PERSON IN CHARGE HAD NO VALID CITY OF CHICAGO FOOD SERVICE MANAGERS CERTIFICATE.  INSTRUCTED THE PERSON IN CHARGE TO OBTAIN A VALID CITY OF CHICAGO FOOD SANITATION CERTIFICATE.  PRIORITY FOUNDATION VIOLATION 7-38-012 ISSUED. | 3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO SIGNED EMPLOYEE HEALTH POLICIES ON PREMSIES AS REQUIRED; INSTRUCTED THE PERSON IN CHARGE TO HAVE SIGNED EMPLOYEE HEALTH POLICIES AND KEEP ON PREMISES FOR REVIEW DURING INSPECTIONS.  PRIORITY FOUNDATION VIOLATION 7-38-010 ISSUED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED AN APPX.""1/2-3/4"" GAP IN CENTER OF DOUBLE FRONT DOOR. MUST MAKE DOOR TIGHT FITTING. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO CLEAN THE BOTTOM AREA OF THE FRYERS, CLEAN STORAGE SHELVES IN REAR OF STORE AND BEHIND FRONT COUNTER AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WATER STAINED CEILING TILE IN VARIOUS AREAS; INSTRUCTED TO REPLACE TILE WHERE NEEDED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO ORGANIZE AND MAINTAIN STORAGE AREA BY REMOVING CLUTTER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN FLOORS UNDER AND AROUND COOKING EQUIPMENT AND ALL SHELVES AND REFRIGERATION UNITS ON SELLING FLOOR. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: INSTRUCTED TO CLEAN THE VENTS IN THE HOODED SYSTEM ABOVE THE COOKING EQUIPMENT IN REAR PREP AREA.",41.8030468398221,-87.6649686436697,SPEEDY CONVIENIENT,5000 S ASHLAND AVE,POINT (-87.6649686436697 41.8030468398221),NEW CITY,134636963.254,61.0,61.0,48133.595961,,,60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961
Walgreens #03074,2018-12-04,Pass W/ Conditions,FALSE,TRUE,TRUE,4700 S Halsted St,CHICAGO,IL,60609.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: Must provide written procedure for vomit and diarrhea clean up. Priority foundation violation 7-38-005.  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: Observed 1-2 gap along bottom of right front entry door. Must keep all exterior doors tight fitting to prevent pest entry. Must maintain same.  | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: Observed items stored directly on the floor of walk in cooler. Must elevate all stock at least 6 inches above the floor to prevent contamination. Must maintain same. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED LIDS FOR REFUSE RECPTACLES NOT CLOSED,NOT TIGHT FITTED AND MISSING UNABLE TO CLOSE. MUST REPAIR AND MAINTAIN. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED GARBAGE AND REFUSE FULL AND REQUIRE MORE REMOVALS CONDITION FOR PEST HARBORAGE. MUST INCREASE THE FREQUENCY OF REFUSE REMOVAL AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Observed excessive dirt build and debris on floors under shelves in isles and on floors behind under equipment throughout the stores. Observed debris on floors of walk in freezer/cooler. Must throughout clean all floors throughout store but pulling shelves and equipment away from walls. Must maintain same.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Observed excessive clutter in cabinets in break room, photo counter, and under counter in beauty department. Must keep all cabinets clean and organized. Must maintain same.",41.80881503929610,-87.6456829531519,WALGREENS 03074,4700 S HALSTED ST,POINT (-87.6456829531519 41.80881503929609),NEW CITY,134636963.254,61.0,61.0,48133.595961,,,60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961
Aldi'S #47,2018-02-01,Pass W/ Conditions,FALSE,TRUE,TRUE,1508 W 47Th St,CHICAGO,IL,60609.0,"1. SOURCE SOUND CONDITION, NO SPOILAGE, FOODS PROPERLY LABELED, SHELLFISH TAGS IN PLACE - Comments: Observed thick, white, fuzzy, mold-like substance growing on peaches (in bags) in produce section of sales floor. Instructed must discard any foods that appear spoiled, expired, or denatured. Operator voluntarily discarded denatured peaches during inspection. Critical violation 7-38-005(a).  | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: Observed excessive debris in 2 compartment, and utility sinks in rear storage area. Must detail clean and sanitize. Must maintain same. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: Observed excessive staining on wall under trash compactor door. Must detail clean and sanitize. Must maintain same.  | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Observed slow draining 2 compartment and utility sink in rear storage area. Must repair and maintain same.  | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: Observed thermometers placed in rears of walk in coolers/ display cases. Instructed must provide thermometers in a conspicuous spot in all refrigeration units. Must maintain same.",41.808741388438700,-87.662911628538,ALDIS 47,1508 W 47TH ST,POINT (-87.662911628538 41.808741388438705),NEW CITY,134636963.254,61.0,61.0,48133.595961,,,60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961
Fairplay Foods,2025-04-08,Pass,TRUE,FALSE,TRUE,4640 S Halsted St,CHICAGO,IL,60609.0,"41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: OBSERVED WIPING CLOTHES AT THE FISH DELI AREA STORED ALONG FOOD-CONTACT SURFACES OF PREP TABLES AND HANDWASHING SINK EDGES WHILE AIR DRYING. INSTRUCTED TO PROVIDE A DESIGNATED AREA FOR AIR DRYING OF WIPING CLOTHES THAT DOES NOT POSE RISK OF CONTAMINATION OF FOOD OR FOOD-CONTACT SURFACES OF EQUIPMENT AND MAINTAIN. | 44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments: OBSERVED SOILED LINENS (CLOTH GLOVES) ON FOOD- AND NONFOOD-CONTACT SURFACES OF EQUIPMENT THROUGHOUT THE REAR MEAT PREP WALK-IN COOLER. INSTRUCTED TO STORE SOILED LINENS IN A DESIGNATED AREA SUCH AS NONABSORBENT RECEPTACLES OR WASHABLE LAUNDRY BAGS TO PREVENT CONTAMINATION OF FOOD OR CLEAN EQUIPMENT AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED FOOD-CONTACT SURFACES OF WEIGHT SCALE COVERS IN THE REAR MEAT PREP WALK-IN COOLER TO BE SEVERALY TORN AND WARPED AND NO LONGER EASILY-CLEANABLE. INSTRUCTED TO REPAIR OR REPLACE WEIGHT SCALE COVERS TO ALLOW FOR EASY CLEANING AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED GASKETS AND GLASS DISPLAY COOLER DOOR FRAMES MISISNG OR IN POOR REPAIR IN SEVERAL DISPLAY COOLERS THROUGHOUT THE FISH AND MEAT DELI AREAS. INSTRUCTED TO REPAIR OR REPLACE GASKETS AND GLASS DOOR FRAMES AND MAINTAIN ALL EQUIPMENT IN GOOD REPAIR AND PROPER ADJUSTMENT. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED FLOOR-MOUNTED DRAIN GRATE AT THE DELI SERVICE AREA TO BE CRACKED AND IN POOR REPAIR. INSTRUCTED TO REPAIR OR REPLACE FLOOR-MOUNTED DRAIN GRATE AT THE DELI SERVICE AREA AND MAINTAIN ALL PLUMBING FIXTURES IN GOOD REPAIR.",41.809629768022,-87.6457075651288,FAIRPLAY FOODS,4640 S HALSTED ST,POINT (-87.6457075651288 41.809629768022),NEW CITY,134636963.254,61.0,61.0,48133.595961,,,60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961
Super Mercado El Guerro,2024-12-04,Pass,FALSE,TRUE,TRUE,1701 W 47Th St,CHICAGO,IL,60609.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.12 OBSERVED CUTTING BOARDS WITH OPEN SEAMS AND DARK STAINS IN THE MEAT PREP AREA. MUST REFINISH OR REPLACE DAMAGED OR STAINED CUTTING BOARDS.",41.808471238307,-87.6674545132944,SUPER MERCADO EL GUERRO,1701 W 47TH ST,POINT (-87.6674545132944 41.808471238307),NEW CITY,134636963.254,61.0,61.0,48133.595961,,,60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961
Supermercado La Raza Corp,2024-10-04,Pass,FALSE,TRUE,TRUE,1645 W 47Th St,CHICAGO,IL,60609.0,"41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: 4-901.12 NOTED DIRTY WIPING CLOTHS ON PREP TABLES AND RACKS AT REAR PREP AREAS NOT PROPERLY STORED. INSTRUCTED PROPERLY TO STORE ALL WASHCLOTHS IN A SANITIZING SOLUTION, ESPECIALLY WHEN NOT IN USE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-202.11 OBSERVED MISSING PROTECTIVE SHIELDING IN EMPLOYEES' BATHROOM. INSTRUCTED TO PROVIDE AND MAINTAIN.",41.8084778560859,-87.6667453512548,SUPERMERCADO LA RAZA CORP,1645 W 47TH ST,POINT (-87.6667453512548 41.8084778560859),NEW CITY,134636963.254,61.0,61.0,48133.595961,,,60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961
La Bonita Supermarket Inc,2024-06-18,Pass,FALSE,TRUE,TRUE,5257 S Ashland Ave,CHICAGO,IL,60609.0,,41.7978225881267,-87.6645368782813,LA BONITA SUPERMARKET INC,5257 S ASHLAND AVE,POINT (-87.6645368782813 41.7978225881267),NEW CITY,134636963.254,61.0,61.0,48133.595961,,,60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961
