DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Speedway # 8317,2024-12-17,Pass W/ Conditions,TRUE,FALSE,FALSE,3354 N Damen Ave,CHICAGO,IL,60618.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CERTIFIED MANAGER ON SITE AT THE TIME OF INSPECTION WHILE TCS ITEMS SUCH AS HOT DOGS WERE PREPARED. INSTRUCTED TO MAINTAIN AN EMPLOYEE HOLDING A VALID CITY OF CHICAGO FOODSERVICE MANAGER CERTIFICATE ON SITE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-012. CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BUILD-UP OF DEBRIS AND GRIME ON FLOOR IN REAR STORE ROOM. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN IN GOOD CONDITION.",41.943049987813300,-87.678594616867,SPEEDWAY 8317,3354 N DAMEN AVE,POINT (-87.678594616867 41.943049987813296),NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,,4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542
Jewel Food Store #0901,2024-11-05,Pass W/ Conditions,FALSE,TRUE,TRUE,3400 N Western Ave,CHICAGO,IL,60618.0,"14. REQUIRED RECORDS AVAILABLE: SHELLSTOCK TAGS, PARASITE DESTRUCTION - Comments: OBSERVED TWO SHELLSTOCK TAGS IN OYSTERS CONTAINERS WITH TWO DIFFERENT HARVEST DATES. ALSO OBSERVED TWO SHELLSTOCK TAGS IN CLAMS CONTAINER WITH TWO DIFFERENT HARVEST DATES. Ensuring that SHELLSTOCK from one tagged or labeled container are not COMMINGLED with SHELLSTOCK from another container with different CERTIFICATION NUMBERS; different harvest dates; or different growing areas as identified on the tag or label before being ordered by the CONSUMER. PRIORITY FOUNDATION VIOLATION. 7-38-005. CITATION ISSUED. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED WATER DRIPPING FROM PIPE BELOW 3-COMPARTMENT SINK (WASH BASIN). MUST REPAIR.",41.9431873731824,-87.6883020207019,JEWEL FOOD STORE 0901,3400 N WESTERN AVE,POINT (-87.6883020207019 41.9431873731824),NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,,4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542
Clybourn Market,2020-07-13,Pass W/ Conditions,FALSE,TRUE,TRUE,2807 N Clybourn Ave,CHICAGO,IL,60618.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO WRITTEN CLEANING PROCEDURE OR REQUIRED EQUIPMENT FOR A VOMIT/DIARRHEA EVENT. MUST PROVIDE. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: MUST PROVIDE A METAL STEM THERMOMETER FOR CHECKING FOOD TEMPERATURES UPON DELIVERIES. PRIORITY FOUNDATION VIOLATION. NO CITATION ISSUED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: REAR EXIT DOUBLE DOORS AT THE GARBAGE AREA WITH 1"" OPEN GAPS AND OPEN SEAMS IN BOTH CORNERS AND ON THE SIDES OF THE DOORS. MUST PROVIDE A TIGHT FITTING SEAL ON ALL SIDES OF THE DOORS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: PRESSED WOODEN BOARD UNDER THE CUSTOMER MICROWAVE OVEN MUST BE PAINTED/SEALED TO BE SMOOTH AND CLEANABLE.----INTERIOR OF THE UTILITY SERVICE SINK EXTREMELY DIRTY. MUST CLEAN AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INTERIOR OF THE CUSTOMER MICROWAVE AND THE TALL REACH-IN COOLER DIRTY. MUST CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: HOLE IN THE WALL PATCHED WITH CARDBOARD AND TAPE IN THE REAR STORAGE NEAR THE ONE COMPARTMENT SINK. MUST PROPERLY SEAL/REPAIR TO BE SMOOTH AND CLEANABLE.",41.9325791837158,-87.6783274559718,CLYBOURN MARKET,2807 N CLYBOURN AVE,POINT (-87.6783274559718 41.9325791837158),NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,,4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542
L & M Fine Foods,2025-04-11,Pass,FALSE,TRUE,TRUE,4361-4365 N Lincoln Ave,CHICAGO,IL,60618.0,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD ITEMS BEING STORED ON FLOOR UNDERNEATH STORAGE RACKS IN THE WALK-IN COOLER AND FREEZER IN THE BASEMENT. INSTRUCTED THE PERSON IN CHARGE TO ELEVATE ALL FOOD ITEMS SIX INCHES FROM FLOOR AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED SLOW DRAINING EXPOSED HANDWASHING SINK IN MEAT PREP AREA. INSTRUCTED THE PERSON IN CHARGE TO REPAIR HANDWASHING SINK AND MAINTAIN.",41.9612703620835,-87.6835889979736,L M FINE FOODS,43614365 N LINCOLN AVE,POINT (-87.6835889979736 41.9612703620835),NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,,4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542
Mariano'S #8504,2025-03-04,Pass,FALSE,TRUE,TRUE,3350 N Western Ave,CHICAGO,IL,60618.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED MULTIPLE CUTTING BOARDS ON PREP SUFACES IN DELI PREP AREA WITH DEEP SCRATCHES AND STAINS. INSTRUCTED THE PERSON IN CHARGE TO RESURFACE/REPLACE CUTTING BOARDS AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FOOD SPLATTER ON WALLS IN REAR JUICING ROOM. ---ALSO OBSERVED FOOD DEBRIS ON FLOOR THROUGHOUT THE PRODUCE COOLER. INSTRUCTED THE PERSON IN CHARGE TO DETAIL CLEAN WALLS IN REAR JUICING ROOM AND FLOOR IN PRODUCE COOLER AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED STORAGE AREA NEAR REAR EXIT DOOR IN REAR RECEIVING AREA WITH CLUTTER AND ITEMS ON FLOOR. INSTRUCTED THE PERSON IN CHARGE TO ORGANIZE STORAGE AREA AND KEEP ITEMS ELEVATED OFF OF FLOORS AND MAINTAIN.",41.9427471951637,-87.6883543214963,MARIANOS 8504,3350 N WESTERN AVE,POINT (-87.6883543214963 41.9427471951637),NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,,4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542
Afc Sushi @ Jewel Osco #3454,2025-02-25,Pass,TRUE,FALSE,FALSE,4250 N Lincoln Ave,CHICAGO,IL,60618.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FOD DEBRIS ON FLOOR THROUGHOUT SUSHI PREP AREA. INSTRUCTED THE PERSON IN CHARGE TO DETAIL CLEAN FLOOR AND MAINTAIN.",41.9591004330378,-87.6823922417421,AFC SUSHI JEWEL OSCO 3454,4250 N LINCOLN AVE,POINT (-87.6823922417421 41.9591004330378),NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,,4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542
Trader Joe'S,2023-01-13,Pass,FALSE,TRUE,TRUE,3745 N Lincoln Ave,CHICAGO,IL,60613.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NOTED NO CERTIFIED FOOD MANAGER ON DUTY AT THE TIME OF INSPECTION. HOWEVER NO FOODS ARE PREPARED AND/OR SERVED AT THIS TIME. INSTRUCTED MANAGEMENT THAT A CERTIFIED FOOD MANAGER MUST BE PRESENT AT ALL TIMES WHEN FOOD IS PREPARED AND SERVED. PRIORITY FOUNDATION VIOLATION#7-38-012. NO CITATION ISSUED TODAY. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: NOTED FOOD CONTAINERS IN BOXES STORED ON FLOOR INSIDE WALK-IN FREEZERS. MUST PROVIDE PROPER, RAISED SHELVING TO STORE FOOD CONTAINERS 6"" OFF FLOOR.",41.949961171142,-87.675671129255,TRADER JOES,3745 N LINCOLN AVE,POINT (-87.675671129255 41.949961171142),NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,,4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542
Aldi Inc #58,2020-07-09,Pass,FALSE,TRUE,TRUE,2431 W Montrose Ave,CHICAGO,IL,60618.0,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INTERIOR UTILITY SERVICE SINK FOUND WITH EXCESSIVE DIRT. MUST CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOOR OF THE WALK-IN FREEZER WITH PRODUCT DEBRIS. MUST CLEAN AND MAINTAIN.",41.9611940986368,-87.6899669704006,ALDI INC 58,2431 W MONTROSE AVE,POINT (-87.6899669704006 41.9611940986368),NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,,4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542
Gopuff,2019-11-08,Pass,TRUE,FALSE,FALSE,1801 W Warner Ave,CHICAGO,IL,60613.0,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments:  OBSERVED CEILING WASTE WATER AND RADIATOR PIPING OVER DRY FOOD STORAGE SHELVING IN THE REAR STORAGE ROOMS. MUST ENCASE LINES TO INTERCEPT POTENTIAL DRIPS OR REMOVE FOOD STORAGE SHELVES FROM UNDER LINES. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments:  NO BACK FLOW PREVENTION DEVICE LOCATED ON THE UTILITY MOP SINK. MUST PROVIDE.",41.9568456832889,-87.6743946694658,GOPUFF,1801 W WARNER AVE,POINT (-87.6743946694658 41.9568456832889),NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,,4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542
Clark,2014-12-16,Pass,TRUE,FALSE,TRUE,2801 N Damen Ave,CHICAGO,IL,60618.0,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: MUST PAINT/SEAL ALL RAW WOODEN SHELVING AT RACKS IN THE REAR STORAGE ROOM AREA AND AT THE AREA IN FRONT OF THE DESK WHERE THE CIGARRETTES ARE STORED. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN AND REMOVE EXCESSIVE ICE/FROST BUILD UP AT THE ICE CREAM ICE BOX FREEZER.  MUST DETAIL CLEAN AND REMOVE EXCESSIVE DIRT/GRIME BUILD UP AT ALL DUST FAN GUARD COVERS IN ALL 2DR REACH-IN COOLERS. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST REPAIR BROKEN FLOOR TILE UNDER THE LOTTERY TICKET DISPENSING RACK.",41.9323310673919,-87.6779887285664,CLARK,2801 N DAMEN AVE,POINT (-87.6779887285664 41.9323310673919),NORTH CENTER,57054167.85,5.0,5.0,31391.6697542,,,4.0,NORTH CENTER,57054167.85,5.0,5.0,31391.6697542
