DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Leamington Foods Inc,2025-03-28,Pass W/ Conditions,FALSE,TRUE,TRUE,3240 W Roosevelt Rd,CHICAGO,IL,60624.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON SITE WITH VALID ORIGINAL CERTIFICATE DURING TIME OF INSPECTION WHILE PREPARING GROUND BEEF, PORK, CHICKEN. INSTRUCTED TO PROVIDE AT LEAST ONE CERTIFICATE HOLDER ON SITE AT ALL TIMES WHILE OPEN AND OPERATING. PRIORITY FOUNDATION VIOLATION. #7-38-012. CITATION ISSUED.",41.8664973081259,-87.7073377871256,LEAMINGTON FOODS INC,3240 W ROOSEVELT RD,POINT (-87.7073377871256 41.8664973081259),NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,,28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627
Blue Sky Market Inc,2021-05-05,Pass W/ Conditions,FALSE,TRUE,TRUE,3364 W Ogden Ave,CHICAGO,IL,60623.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINING NOROVIRUS AND MAINTAIN ON SITE. PRIORITY FOUNDATION 7-38-010 | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: RAW WOOD SURFACES IN REAR AROUND DOOR FRAME. INSTD TO SEAL RAW WOOD",41.856418419853,-87.7101804657595,BLUE SKY MARKET INC,3364 W OGDEN AVE,POINT (-87.7101804657595 41.856418419853),NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,,28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627
Brother'S 7 Food And Liquor,2021-02-18,Pass W/ Conditions,TRUE,FALSE,FALSE,3034 W Roosevelt Rd,CHICAGO,IL,60612.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments:  OBSERVED NO CLEAN-UP POLICY PROCEDURE AND ITEMS FOR VOMITING AND DIARRHEA.MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-005)(NO CITATION ISSUED) | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: Violation Codes: 6-301.14 Inspector Comments: MUST PROVIDE HAND WASHING SIGNS AT HAND SINKS. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: Violation Codes: 6-202.15 Inspector Comments: OBSERVED AN APPX.""2-3"" GAP IN CENTER OF DOUBLE DOORS AND ALONG BOTTOM.MUST MAKE DOORS TIGHT FITTING. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: Violation Codes: 4-501.11 Inspector Comments: MUST APPLY A SEALANT OR PAINT RAW WOOD TRIM AT SNEEZE GUARDS AT SERVICE COUNTER. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: Violation Codes: 4-601.11(C) Inspector Comments: MUST CLEAN DEBRIS BUILD UP FROM WALK IN COOLER SHELVING UNITS AND SLEEVES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Violation Codes: 6-201.11 Inspector Comments: MUST CLEAN DUST BUILD UP FROM WALLS AND CEILINGS IN WALK IN COOLERS.",41.8665516962158,-87.7020767820531,BROTHERS 7 FOOD AND LIQUOR,3034 W ROOSEVELT RD,POINT (-87.7020767820531 41.8665516962158),NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,,28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627
Roosevelt And Kostner / Amoco,2020-06-18,Pass W/ Conditions,TRUE,FALSE,FALSE,4402-4416 W Roosevelt Rd,CHICAGO,IL,60624.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON SITE OR VALID ORIGINAL CERTIFICATE POSTED FOR PUBLIC VIEW. INSTRUCTED TO PROVIDE AND MAINTAIN ON SITE FOR PUBLIC VIEW WHILE SERVING TIME/TEMPERATURE CONTROL FOR SAFETY FOODS (MILK, AND CREAMER FOR COFFEE). PRIORITY FOUNDATION VIOLATION. 7-38-012. NO CITATION ISSUED. | 3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO SIGNED EMPLOYEE HEALTH POLICY ON SITE. INSTRUCTED FACILITY TO PROVIDE AND MAINTAIN WITH VERIFIABLE DOCUMENTS ON SITE FOR REVIEW. PRIORITY FOUNDATION VIOLATION. 7-38-010. NO CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO WRITTEN PROCEDURE ONO SITE OR NECESSARY ITEMS OUTLINED IN POLICY AVAILABLE ON SITE FOR RESPONDING TO VOMIT AND DIARRRHEA EVENTS THAT CAN OCCUR IN THE FOOD ESTABLISHMENT. INSTRUCTED TO PROVIDE AND MAINTAIN. PRIORITY FOUNDATION VIOLATION. 7-38-005. NO CITATION ISSUED | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED SELF SERVICE CAPPUCCINO, AND COFFEE MACHINE IN PLACE IN DESIGNATED AREA WHERE HANDSINK IS NOT IN PLACE FOR PROPER HAND-WASHING. INSTRUCTED TO INSTALL A HAND-SINK WITH HOT AND COLD RUNNING WATER UNDER CITY'S PRESSURE, WITH SOAP AND PAPER-TOWELS AVAILABLE. PRIORITY FOUNDATION VIOLATION. MUST MAINTAIN. PRIORITY FOUNDATION VIOLATION. 7-38-030 (c). NO CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE ITEMS (CAR OILS) AND OTHER UNNECESSARY ITEMS STORED INSIDE TOILET ROOM ON FLOORS THROUGHOUT. INSTRUCTED TO ELEVATE 6 INCHES OFF FLOOR AND MAINTAIN PREMISE",41.8661397658181,-87.7351652567942,ROOSEVELT AND KOSTNER AMOCO,44024416 W ROOSEVELT RD,POINT (-87.7351652567942 41.8661397658181),NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,,28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627
Tima Market,2018-08-17,Pass W/ Conditions,TRUE,FALSE,FALSE,3616 W 16Th St,CHICAGO,IL,60623.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: 2-102.14(A) OBSERVED NO EMPLOYEES HEALTH POLICY PROCEDURE.MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION) | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11 OBSERVED NO VOMITING AND DIARRHEAL CLEN-UP POLICY PROCEDURE.(PRIORITY FOUNDATION) | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-501.111(C)(E)(C) OBSERVED AN APPX.""1/2-3/4"" GAP ALONG FRONT DOOR ALONG BOTTOM AND SIDES AND GLASS ON DOOR AND ,SCREEN DOOR ALONG TOP.BOTH REAR DOORS ALONG BOTTOM.MUST MAKE DOORS TIGHT FITTING TO PREVENT RODENT ENTRY. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11 (B) MUST CLEAN ICE CREAM FREEZER. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C)MUST CLEAN DEBRIS FROM LIGHT SHIELDS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.13 MUST PROVIDE MISSING FLOORING AT SERVICE COUNTER.",41.8590737324522,-87.7160006560181,TIMA MARKET,3616 W 16TH ST,POINT (-87.7160006560181 41.8590737324522),NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,,28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627
Moe'S Food & Deli Inc.,2025-04-03,Pass,TRUE,FALSE,TRUE,3959 W Roosevelt Rd,CHICAGO,IL,60624.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE WORKING THERMOMETERS INSIDE COOLING UNITS ON PREMISE. MUST MAINTAIN. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD ITEMS STORED ON WALK IN COOLER FLOOR. INSTRUCTED TO PROVIDE ADEQUATE SHELVING UNITS AT LEAST 6 INCHES OFF FLOOR TO PREVENT CONTAMINATION. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED DISPLAY COOLER COTAINING DELI MEAT, MICROWAVE LOCATED IN PREP AREA WITH DRIED DEBRIS ON INTERIOR AND EXTERIOR SURFACES OF EQUIPMENT. NOTED CLEAR STORAGE RACKS USED INSIDE WALK IN COOLER WITH EXCESSIVE DUST AND DIRT BUILD UP. INSTRUCTED TO CLEANAND MAINTAIN",41.8660632606992,-87.7251065164844,MOES FOOD DELI INC,3959 W ROOSEVELT RD,POINT (-87.7251065164844 41.8660632606992),NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,,28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627
Bossman Market & Fast Food,2024-12-30,Pass,TRUE,FALSE,FALSE,1945 S Keeler Ave,CHICAGO,IL,60623.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARD BOARD AND FOIL LINING TOP OF MICROWAVE UNDER COFFEE POTS AND UNDER THE SMALL DEEP FRYER UNITS IN THE FRONT SERVICE AREA.  INSTRUCTED TO REMOVE AS A MEANS OF PREVENTING POSSIBLE HARBORING SPACE FOR INSECTS.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED STANDING WATER IN THE BASEMENT AREA JUST LEFT OF THE DEEP FREEZER AREA.  INSTRUCTED TO CLEAN AND MAINTAIN.",41.854372897033,-87.7295654406356,BOSSMAN MARKET FAST FOOD,1945 S KEELER AVE,POINT (-87.7295654406356 41.854372897033),NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,,28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627
Fine Fair Food & Liquor,2024-12-30,Pass,TRUE,FALSE,FALSE,3357-3359 W 16Th St,CHICAGO,IL,60623.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED THE FLOORS IN THE WALK IN COOLING UNITS WITH A BUILD UP OF DIRT AND DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN ALL UNITS.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED VERY HEAVY ICE BUILD UP IN REAR WALK IN FREEZER.  FLOOR COVERED WITH ICE, COMING OUT OF THE DOOR.  INSTRUCTED TO DEFROST, CLEAN AND MAINTAIN FREEZER UNIT.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED A TWO DOOR PREP COOLING UNIT IN THE REAR FOOD PREP AREA ACROSS FROM THE DELI MEAT OUT OF ORDER NOT BEING USED.  INSTRUCTED TO REMOVE AS A MEANS OF PREVENTING POSSIBLE HARBORING SPACE FOR PEST AND OR INSECTS.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED A HEAVY BUILD UP OF DIRT, DUST AND DEBRIS THROUGHOUT THE FACILITY.  IN THE REAR STORAGE AREA UNDER AND AROUND PALLETS AND SHELVING.  IN THE FRONT AREA NEAR THE OLD COOLING UNIT (USED FOR SHELVING) ALSO IN THE FOOD SERVICE AREA UNDER AND AROUND THE EQUIPMENT.  INSTRUCTED TO CLEAN AND MAINTAIN ALL AREAS.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED TWO OF THE SLIDING DOORS IN THE REAR MEAT COOLING UNIT WITH BROKEN GASKET SEALS (TAPPED ) INSTRUCTED TO REPAIR AND MAINTAIN COOLING UNIT AS A MEANS OF KEEPING PROPER TEMPERATURES.",41.8589206858733,-87.7101738892696,FINE FAIR FOOD LIQUOR,33573359 W 16TH ST,POINT (-87.7101738892696 41.8589206858733),NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,,28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627
Eddy'S Food Mart,2024-12-12,Pass,TRUE,FALSE,FALSE,3661 W Ogden Ave,CHICAGO,IL,60623.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.11 REFRIGERATOR'S DOOR DOOR HELD CLOSED WITH TAPE. INSTD TO REPLACE DOOR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.13 MUST REPAIR OR REPLACE DAMAGED, LOOSE AND STAINED CEILING TILES IN MAIN STORE AND KITCHEN AREA, AND BROKEN FLOOR TILES IN FRONT OF EMPLOYEE'S BATHROOM AND CONCRETE THROUGHOUT PREP AMD DISHWASHING AREAS. MUST CLEAN FOOD DEBRIS BUILD UP FROM FLOOR THROUGHOUT PREMISES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114  MUST REMOVE OR ORGANIZE EXCESSIVE CLUTTER THROUGHOUT THE STORE, PARTICULARLY IN THE BACK OF THE KITCHEN AND IN THE UNUSED COOLER. MUST REMOVE ALL UNNECESSARY ITEMS, PROPERLY ELEVATE STOCK 6"" OFF THE FLOOR AND AWAY FROM THE WALLS FOR BETTER CLEANING AND PEST MONITORING. INSTRUCTED TO MAINTAIN. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: 2-202.13 NOTED CERTIFIED FOOD MANAGERS ON DUTY WITH NO ALLERGEN TRAINING CERTIFICATION. INSTRUCTED MANAGEMENT THAT ALL FOOD SERVICE MANAGERS ARE REQUIRED TO HAVE THE ALLERGEN TRAINING CERTIFICATION.",41.8535726600133,-87.7172542890669,EDDYS FOOD MART,3661 W OGDEN AVE,POINT (-87.7172542890669 41.8535726600133),NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,,28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627
Kifah Food Market,2024-07-01,Pass,FALSE,TRUE,TRUE,3906 W Roosevelt Rd,CHICAGO,IL,60624.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED COOLING UNIT IN REAR STORAGE FACILITY WITHOUT THERMOMETER, INSTRUCTED TO PROVIDE AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: INSTRUCTED TO REMOVE ALL BLACK MILK CRATES USED FOR ELEVATIONS THROUGH OUR FACILITY. MUST PROVIDE ADEQUATE SHELVING UNITS THAT ARE SMOOTH AND EASILY CLEANABLE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED INADEQUATE SELF-CLOSING DOOR ON TOILET ROOM IN REAR FACILITY. INSTRUCTED TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED STORED UNUSED EQUIPMENT AND MISCELLANEOUS ITEMS STACKED UP IN BASEMENT STORAGE. INSTRUCTED TO REMOVE ALL UNNECESSARY ITEMS AND ELEVATE TO PREVENT HIDING SPACES FOR PESTS.",41.8663116411928,-87.7230322641453,KIFAH FOOD MARKET,3906 W ROOSEVELT RD,POINT (-87.7230322641453 41.8663116411928),NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,,28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627
