DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Supermercado Chapala,2025-02-25,Pass W/ Conditions,FALSE,TRUE,TRUE,7117 N Clark St,CHICAGO,IL,60626.0,"16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments:  INTERIOR OF ICE MACHINE COMPARTMENTS NOT CLEAN (INTERIOR TOP AND BIN). ICE IS USED FOR HUMAN CONSUMPTION. INSTRUCTED TO CLEAN, SANITIZE AND MAINTAIN UNIT. | 22. PROPER COLD HOLDING TEMPERATURES - Comments: WE OBSERVED TCS FOOS AT IMPROPER TEMPERATURE:RICOTTA CHEESE(4.69LB VALUE 15.99) AT TEMP OF 44.3F TO 45.1F;2 PIECES OF POLISH HAM (4.99LB; VALUE 85.03)AT TEMP OF 44.8F TO 45.3F,PRODUCTS WERE STORED AT DISPLAY IN BUTCHERS'S AREA. ALSO OBSERVED COOKED FOOD STORED INSIDE THE WALK-IN COOLER  AT IMPROPER TEMPERATURE: COOKED BEEF TONGUE(16 LB;VALUE 95.84) AT TEMP OF 47.5F TO 48.9F.COOKED AND SLICED TRIPE(25 LB;VALUE 39.75) AT TEMP OF 50.7F TO 60.9F.PER MANAGER STATEMENT .COOKED FOOD WAS COOKED ON 2-24-25.NO TIME AND TEMPERATURE LOG PROVIDED. MAINTAIN COLD FOOD AT TEMP OF 41F AND BELOW.FOOD DISCARDED AND DENATURED BY OWNER. POUNDS 51;VALUE 237 PRIORITY VIOLATION:7-38-005,CITATION ISSUED | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: DRY FOOD IN PLASTIC CONTAINER AT REAR STORAGE AREA NOT LABELED WITH COMMON NAME:FLOUR,SUGAR,ETC. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: REMOVE DEAD INSECTS FROM UNDER THE SHELVES  AND ALONG BASEBOARD WALLS IN REAR STORAGE AREA.CLEAN AND MAINTAIN | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: MUST STORE WIPING CLOTHS IN PREP AREAS IN SANITIZER BUCKET BETWEEN USES TO PREVENT CROSS CONTAMINATION. INSTRUCTED TO MAINTAIN. | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: ICE SCOOP MUST BE STORED IN A CLEAN CONTAINER BETWEEN USE TO MINIMIZE SOURCE OF CONTAMINATION | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  BROKEN RUBBER GASKETS INSIDE OF THREE DOOR REACH-IN COOLERS IN SELLING AREA ACROSS FROM PRODUCE SHEVES.  REPAIR/REPLACE | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  MUST NOT USE DUCT TAPE AS A MEANS OF REPAIR ON THE DOOR/GLASS OF DISPLAY COOLER AT BUTCHER'S AREA(NORTH SITE OF UNIT) SURFACE MUST BE SMOOTH AND CLEANABLE.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: SOME CUTTING BOARDS IN BUTCHER'S AREA WITH DARK STAINS AND DEEP CUTS,MUST REFINISH OR REPLACE SAID CUTTING BOARDS | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  ACCUMULATED GREASE AND FOOD DEBRIS ON  UTILITY CONNECTIONS AND EQUIPMENT SURFACES  MUST CLEAN AND MAINTAIN.UNDER TWO CARNITAS POTS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  REPLACE  BROKEN FLOOR TILES  INSIDE THE WALK-IN COOLER AT REAR STORAGE AREA.",42.0119757995118,-87.6743840577693,SUPERMERCADO CHAPALA,7117 N CLARK ST,POINT (-87.6743840577693 42.0119757995118),ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757
Casa Roman,2025-01-07,Pass W/ Conditions,TRUE,FALSE,FALSE,6978 N Clark St,CHICAGO,IL,60626.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PERSON IN CHARGE AT THE TIME OF INSPECTION DOES NOT HAVE A CITY OF CHICAGO SANITATION CERTIFICATE. PRIORITY FOUNDATION VIOLATION. NO CITATION ISSUED - | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO CERTIFIED FOOD MANAGER WITH CITY SANITATION CERTIFICATE ON SITE WHEN TCS FOODS ARE COOKED,STORED AND SERVED. A LEAST ONE CERTIFIED FOOD MANAGER MUST BE ON SITE WHEN FOOD IS HANDLED.  PRIORITY FOUNDATION: 7-38-012, CITATION ISSUED. | 16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments:  INTERIOR OF ICE MACHINE COMPARTMENTS NOT CLEAN (INTERIOR TOP). ICE IS USED FOR FOOD. INSTRUCTED TO CLEAN, SANITIZE AND MAINTAIN UNIT. | 22. PROPER COLD HOLDING TEMPERATURES - Comments: WE OBSERVED COOKED CHICKEN STORED INSIDE THE WALK-IN COOLER AT TEMP OF 46.9F,47.6F AND 50F.FOOD WAS COOKED ON 1-6-2025.ALSO FOUND 6 CONTAINERS OF  SOLID LARD FROM COOKED PORK STORED IN PUBLIC VIEW ON TOP SERVING BUTCHER'S DISPLAY COOLER AT TEMP OF 60F. COLD PRODUCTS MUST MAINTAIN 41F AND BELOW. BOTH FOOD PRODUCTS WERE DISCARDED AND DENATURED.POUNDS 26.VALUE 28. PRIORITY VIOLATION 7-38-005 CITATION ISSUED. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: MUST LABEL FOOD CONTAINERS WITH COMMON NAME AT STORAGE AND WALK-IN COOLER. | 43. IN-USE UTENSILS: PROPERLY STORED - Comments:  OBSERVED MULTI USE UTENSILS  USED FOR COOKING IMPROPERLY STORED HANGED ON WALL.  MUST RELOCATE  AND PROTECTED FROM SOURCE OF CONTAMINATION. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  MUST NOT USE MILK CRATES AS A MEANS OF ELEVATION FOR STORED ITEMS THROUGHOUT THE PREMISES | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  MUST NOT USE CARDBOARD ON TOP SHELVES IN BASEMENT STORAGE AREA.REMOVE,CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments:  LEAKING FAUCET KNECK AT THREE COMPARTMENT SINK IN BUTCHER'S AREA.REPAIR ISSUE.  | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments:  DRAIN HOSES ATTACHED TO CONDENSER UNIT INSIDE THE WALK-IN COOLER AND FREEZER,RELEASE WATER ON FLOORS. MUST RELOCATE TO A FLOOR DRAIN.   | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MISSING FLOOR TILES IN FRONT OF BUTCHER'S AREA. REPLACE SAID FLOOR TILES. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments:  FOOD HANDLER TRAINING CERTIFICATE PROVIDED ON SITE ARE EXPIRED,MUST RENEW EVERY THREE YEARS.INSTRUCTED TO PROVIDE.ALSO MUST PROVIDE SAID CERTIFICATE FOR NEW EMPLOYEE. | 58. ALLERGEN TRAINING AS REQUIRED - Comments:  ADDITIONAL ALLERGEN TRAINING CERTIFICATES  MUST BE PROVIDED ON SITE. INSTRUCTED TO PROVIDE FOR ALL CERTIFIED FOOD SERVICE MANAGERS",42.00885647224090,-87.6740803739619,CASA ROMAN,6978 N CLARK ST,POINT (-87.6740803739619 42.00885647224089),ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757
Paulina Certified,2023-07-20,Pass W/ Conditions,TRUE,FALSE,FALSE,7622-7626 N Paulina Ave,CHICAGO,IL,60626.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICIES ON SITE. PRIORITY FOUNDATION VIOLATION 7-38-010 NO CITATION ISSUED | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO THERMOMETERS IN UNITS. MUST HAVE THERMOMETER INSIDE ALL REFRIGERATION UNITS. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED EXCESS ICE ACCUMULATION IN WALK IN FREEZER. DEFROST AND MAINTAIN WALK IN FREEZER. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RAW WOOD USED AS DRY STORAGE SHELVES. MUST PAINT OR SEAL ALL RAW WOOD THROUGHOUT FACILTY. ALL SURFACES SHOULD BE RESTORED TO A SMOOTH EASILY CLEANABLE CONDITION AND MAINTAINED. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO SERVICE SINK ON SITE WITH HOT AND COLD RUNNING WATER. MUST INSTALL SERVICE SINK WITH HOT AND COLD RUNNING WATER AND PROPER BACK FLOW PREVENTION DEVICE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED ALL FLOORS NEED TO BE CLEANED IN DETAIL UNDER ALL SHELVING UNITS THROUGHOUT STORE. CLEAN AND MAINTAIN ALL FLOORS THOUGHOUT REAR OF FACILITY. RESTORE ALL FLOORS IN WALK IN REFRIGERATORS TO A SMOOTH EASILY CLEANABLE CONDITION AND MAINTAIN.",42.0200873149518,-87.6732345632377,PAULINA CERTIFIED,76227626 N PAULINA AVE,POINT (-87.6732345632377 42.0200873149518),ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757
Marin Convenience Store,2023-05-10,Pass W/ Conditions,TRUE,FALSE,FALSE,1417 W Morse Ave,CHICAGO,IL,60626.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN UP KIT PROCEDURE OR VOMIT AND DIARREAH KIT ON SITE. PRIORITY FOUNDATION VIOLATION NO CITATION ISSUED | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RAW WOOD SHELVES FOR STORAGE NEED TO BE PAINTED AND SEALED. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED MOP SINK NEEDED WITH HOT AND COLD RUNNING WATER AND PROPER BACK FLOW PREVENTION DEVICE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WALLS WITH PEELING AND CHIPPING PAINT. RESTORE SURFACE TO A SMOOTH AND EAILY CLEANABLE CONDITION AND MAINTAIN WALLS.",42.0077845828844,-87.6666365164158,MARIN CONVENIENCE STORE,1417 W MORSE AVE,POINT (-87.6666365164158 42.0077845828844),ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757
Meron Injera,2020-08-27,Pass W/ Conditions,TRUE,FALSE,FALSE,6637 N Clark St,CHICAGO,IL,60626.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NOTED NO EMPLOYEE HEALTH POLICY ON SITE AT THE TIME OF INSPECTION FOLLOWING THE NEW CODE AND GUIDELINES. INSTRUCTED TO HAVE VERIFICATION OF POLICY FOR EACH EMPLOYEE ONE ON SITE AT ALL TIMES. PRIORITY FOUNDATION #7-38-010. NO CITATION ISSUED TODAY  | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: MANAGEMENT UNABLE TO PROVIDE A PROCEDURE FOR CLEANING UP VOMITING AND DIARRHEA.INSTRUCTED TO HAVE ONE INCLUDING THE CHEMICALS AND SUPPLIES NEEDED. PRIORITY FOUNDATION #7-38-005. NO CITATION ISSUED  | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: NO SPLASH GUARD BETWEEN FRONT BAR EXPOSED HAND SINK AND DRAINBOARD OF 3 COMPARTMENT SINK. MUST INSTALL A WASHABLE SPLASH GUARD. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NOTED WASH ROOMS ON PREMISE WITH GARBAGE RECEPTACLES AND NO LIDS. INSTRUCTED TO PROVIDE TRASH CANS WITH LIDS AT ALL WOMEN WASH ROOMS AND UNISEX WASH ROOMS",42.0027987040458,-87.6720827375879,MERON INJERA,6637 N CLARK ST,POINT (-87.6720827375879 42.0027987040458),ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757
Howard Mini Market,2020-06-19,Pass W/ Conditions,TRUE,FALSE,FALSE,7519 N Paulina St,CHICAGO,IL,60626.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NOTED NO EMPLOYEE HEALTH POLICY ON SITE AT THE TIME OF INSPECTION FOLLOWING THE NEW CODE AND GUIDELINES. INSTRUCTED TO HAVE VERIFICATION OF POLICY FOR EACH EMPLOYEE ONE ON SITE AT ALL TIMES. PRIORITY FOUNDATION #7-38-010. NO CITATION ISSUED TODAY  | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: MANAGEMENT UNABLE TO PROVIDE A PROCEDURE FOR CLEANING UP VOMITING AND DIARRHEA.INSTRUCTED TO HAVE ONE INCLUDING THE CHEMICALS AND SUPPLIES NEEDED. PRIORITY FOUNDATION #7-38-005. NO CITATION ISSUED. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  NOTED ICE BUILD UP INSIDE THE UPRIGHT FREEZER DOOR. INSTRUCTED TO REPAIR AND MAINTAIN THE CONDENSATION UNITS.",42.0184481487627,-87.6728974983993,HOWARD MINI MARKET,7519 N PAULINA ST,POINT (-87.6728974983993 42.0184481487627),ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757
North Shore Food & Liquor,2020-03-19,Pass W/ Conditions,TRUE,FALSE,FALSE,6701-6703 N Clark St,CHICAGO,IL,60626.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: MANAGEMENT UNABLE TO PROVIDE A PROCEDURE FOR CLEANING UP VOMITING AND DIARRHEA.INSTRUCTED TO HAVE ONE INCLUDING THE CHEMICALS AND SUPPLIES NEEDED. PRIORITY FOUNDATION #7-38-005. NO CITATION ISSUED  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NOTED NO SOAP AT THE BATHROOM HAND WASH SINKS. INSTRUCTED TO HAVE SOAP AND PAPER TOWELS AT ALL HAND WASH SINKS. PRIORITY FOUNDATION #7-38-030(C). NO CITATION ISSUED TODAY. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NOTED NO PAPER TOWELS AT THE BATHROOM HAND WASH SINK. INSTRUCTED MANAGEMENT TO HAVE PAPER TOWELS AND SOAP AT ALL TIMES. MANAGER IMMEDIATELY HAD EMPLOYEES PUT SOAP AND PAPER TOWELS. PRIORITY FOUNDATION #7-38-030(C) CONSOLIDATED WITH ABOVE CITATION. NO CITATIONS ISSUED TODAY. | 15. FOOD SEPARATED AND PROTECTED - Comments: NOTED RAW EGGS STORED ABOVE READY TO EAT FOODS (MILKS, CHEESE) INSIDE WALK IN DISPLAY COOLER. INSTRUCTED TO ALWAYS STORE READY TO EAT FOODS ABOVE (RAW) FOODS. FOOD MUST ALSO BE COVERED AND PROTECTED. PRIORITY VIOLATION #7-38-005. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: NOTED NO THERMOMETERS INSIDE REFRIGERATION UNIT CONSPICUOUSLY POSTED TO MONITOR THE AMBIENT TEMPERATURE OF EQUIPMENT. INSTRUCTED TO EQUIP ALL REFRIGERATION UNITS WITH ACCURATE AND WORKING THERMOMETERS. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED TORN RUBBER GASKET INSIDE THE DOOR OF THE BEER/DAIRY WALK IN COOLER AT THE DISPLAY AREA. INSTRUCTED TO DETAIL REPAIR AND MAINTAIN AND/OR REPLACE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED ICE BUILD UP INSIDE THE ICE CREAM CHEST FREEZER AT THE DISPLAY AREA. INSTRUCTED TO DEFROST, CLEAN AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED SOME USE OF MILK CRATES FOR ELEVATION AT THE REAR DRY STORAGE AREA ON THE FIRST FLOOR. INSTRUCTED NOT TO USE MILK CRATES FOR ELEVATION TO PREVENT HIDING PLACES FOR PEST. MUST PROVIDE APPROPRIATE SHELVING FOR STORAGE. ALL FOOD ITEMS MUST ALSO BE STORED 6"" AWAY FROM THE WALL. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NOTED WASH ROOMS ON PREMISE WITH GARBAGE RECEPTACLES AND NO LIDS. INSTRUCTED TO PROVIDE TRASH CANS WITH LIDS AT ALL WOMEN WASH ROOMS AND UNISEX WASH ROOMS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED HEAVY CLUTTER THROUGHOUT ESTABLISHMENT ON SHELVES, FLOORS UNUSED EQUIPMENT AND IN STORAGE AREAS AT THE BASEMENT FOOD/DRY STORAGE AND THE FIRST FLOOR REAR STORAGE. INSTRUCTED TO DETAIL CLEAN, ORGANIZE AND REMOVE ALL UNNECESSARY OR UNUSED ARTICLES AND EQUIPMENT TO PREVENT HIDING PLACES FOR PEST. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS AT THE FOLLOWING AREAS:-  ....FLOORS THROUGH OUT THE BASEMENT ALONG WALL BASE AND UNDERNEATH EQUIPMENT AT THE REAR FOOD DRY STORAGE AREA ON THE FIRST FLOOR. ....HOLE ON FLOOR AT THE ENTRANCE OF THE WALK IN COOLER. MUST REPAIR AND MAINTAIN. ....FLOORS INSIDE WALK IN COOLER ....UNFINISHED WALLS AND CEILING AT SOME SECTIONS OF THE BASEMENT FOOD DRY STORAGE.",42.0035849742532,-87.6723519318927,NORTH SHORE FOOD LIQUOR,67016703 N CLARK ST,POINT (-87.6723519318927 42.0035849742532),ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757
Jewel Osco # 3538,2025-02-26,Pass,FALSE,TRUE,TRUE,1763 W Howard St,CHICAGO,IL,60626.0,,42.0192885500881,-87.6750585093878,AFC SUSHI JEWEL OSCO 3538,1763 W HOWARD ST,POINT (-87.6750585093878 42.0192885500881),ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757
Romanian Kosher Sausage Co,2025-02-14,Pass,TRUE,FALSE,TRUE,7200 N Clark St,CHICAGO,IL,60626.0,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments:  SPLASH GUARD IS NEEDED BETWEEN PREP COUNTER (WHERE FOOD IS SLICED AND DICED)AND SERVING COUNTER. SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT MATERIAL | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: A BUCKET WITH SANITIZE SOLUTION AND LINEN MUST BE PROVIDED AT PREP/SERVICE COUNTER,OPEN FOOD   | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FAUCET AT THREE COMPARTMENT SINK NOT MAINTAINED TOO LOOSE.REPAIR ISSUE | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: HOLE ON FLOOR IN FRONT SELLING FREZEER BY HANDWASHING.REPAIR ISSUE.",42.0126785024364,-87.6747930363413,ROMANIAN KOSHER SAUSAGE CO,7200 N CLARK ST,POINT (-87.6747930363413 42.0126785024364),ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757
Wild Onion Market,2025-02-03,Pass,FALSE,TRUE,TRUE,7007 N Clark St,CHICAGO,IL,60626.0,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: SPLASH GUARD IS NEEDED BETWEEN  HANDWASHING SINK AND PREP TABLE HOT FOOD AREA.SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT MATERIAL | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  MUST NOT USE MILK CRATES AS A MEANS OF ELEVATION FOR STORED ITEMS. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: REMOVE EXCESS CAULKING AROUND  MECHANICAL DRAIN INSIDE OF THREE COMPARTMENT SINK OR PROVIDE INFORMATION  OF THE CAULKING  IF IS FOOD GRADE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: REMOVE FROM FLOOR SOME DEBRIS INSIDE THE WALK-IN FREEZER.CLEAN AND MAINTAIN | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments:  OBSERVED ONE FOOD HANDLER TRAINING CERTIFICATE ON SITE OUT OF 14 EMPLOYEE.INSTRUCTED TO PROVIDE",42.0092528888816,-87.6738739239952,WILD ONION MARKET,7007 N CLARK ST,POINT (-87.6738739239952 42.0092528888816),ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757
