DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Albux Market,2024-12-03,Pass W/ Conditions,FALSE,TRUE,TRUE,10345 S Halsted St,CHICAGO,IL,60628.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURES AND SUPPLIES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN. PRIORITY FOUNDATION 7-38-005 | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGN AT HAND WASHING SINK IN WASHROOM. INSTRUCTED MANAGER TO PROVIDE HAND WASHING SIGN AT ALL HAND WASHING SINKS USED BY EMPLOYEES. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO BACKFLOW DEVICE ON UTILITY SINK. INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED NO MECHANICAL VENTILATION IN WASHROOM. INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN.,41.705584457990900,-87.6426469367646,ALBUX MARKET,10345 S HALSTED ST,POINT (-87.6426469367646 41.705584457990895),ROSELAND,134313706.73,49.0,49.0,56632.7954292,,,48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292
Mobil On Cottage Inc.,2024-10-31,Pass W/ Conditions,TRUE,FALSE,FALSE,9452 S Cottage Grove Ave,CHICAGO,IL,60619.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: THE FRONT HAND WASHING SINK WAS NOT ACCESSIBLE. A DEEP FRYER AND PRODUCT WAS STACKED IN FRONT/AROUND IT. INSTRUCTED TO HAVE ALL HAND WASHING SINKS ACCESSIBLE AND TO USE THEM BY PROPERLY WASHING HANDS.  PRIORITY FOUNDATION 7-38-030(c) CITATION ISSUED | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HAND WASHING SIGNS AT NONE OF THE HAND WASHING SINKS IN THE PREP AREA NOR TOILET ROOMS. INSTRUCTED TO PROVIDE SIGNAGE AND MAINTAIN AT SINKS. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: NO THERMOMETER FOUND IN THE REAR COOLER BY THE OFFICE. INSTRUCTED TO OBTAIN AND MAINTAIN ONE IN COOLER AT ALL TIMES. | 40. PERSONAL CLEANLINESS - Comments: FOOD HANDLERS NOT WEARING A HAIR RESTRAINT. INSTRUCTED TO HAVE ALL FOOD HANDLERS/EMPLOYEES HANDLING FOOD AND/OR IN THE FOOD PREP AREA TO WEAR A HAIR RESTRAINT. MAINTAIN SAME. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: THE INTERIOR OF THE HAND WASHING SINK IN THE FOOD PREP AREA AND THE LOWER SURFACE OF THE COOLERS WITH DIRT, SPILLS AND STAINS. INSTRUCTED TO CLEAN AND MAINTAIN ALL. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: THE INTERIOR OF THE FLOOR DRAIN UNDER THE 3-COMPARTMENT SINK AND FLOORS IN THE CORNERS, UNDER/AROUND HEAVY EQUIPMENT WITH DIRT, DEBRIS AND STAINS. INSTRUCTED TO CLEAN AND MAINTAIN FLOOR DRAINS AND FLOORS THROUGHOUT. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: ALL CHICAGO CERTIFIED FOOD MANAGERS (CFM) MUST OBTAIN AND MAINTAIN A CURRENT ALLERGEN TRAINING CERTIFICATE.",41.7225683543427,-87.6046393626626,MOBIL ON COTTAGE INC,9452 S COTTAGE GROVE AVE,POINT (-87.6046393626626 41.7225683543427),ROSELAND,134313706.73,49.0,49.0,56632.7954292,,,48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292
Sams Food & Deli,2024-09-12,Pass W/ Conditions,TRUE,FALSE,TRUE,10658 S State St,CHICAGO,IL,60628.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: OBSERVED NO PERSON IN CHARGE WTIH VALID CHICAGO FOOD SANITATION CERTIFICATE. INSTRUCTED MANAGER TO DESIGNATE PERSON IN CHARGE DURING ALL HOURS OF OPERATION. PRIORITY FOUNDATION | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CHICAGO FOOD SANITATION MANAGER ON SITE WHEN TCS FOOD (ITALIAN BEEF 147.2F, GROUND BEEF 165.9F)) PREPARED AND SERVED. A CHICAGO FOOD SANITATION MANAGER MUST BE ON SITE AND VALID CERTIFICATE POSTED AT ALL TIMES TCS FOOD PREPARED AND SERVED. PRIORITY FOUNDATION 7-38-012 CITATION ISSUED | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNS AT HAND WASHING SINKS IN WASHROOM AND PREP AREA. INSTRUCTED MANAGER TO PROVIDE HAND WASHING SIGNS AT ALL HAND WASHING SINKS USED BY EMPLOYEES. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HOT OR COLD RUNNING WATER AT HAND WASHING SINK INSIDE WASHROOM. INSTRUCTED MANAGER TO PROVIDE AT LEAST 100F WATER AT HAND WASHING SINK. PRIORTY 7-38-030(C) CITATION ISSUED | 44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments: OBSERVED MULIT-USE POT AND STRAINER STORED INSIDE WASHROOM. INSTRUCTED MANAGER TO REMOVE ALL MULTI-USE EQUIPMENT AND UTENSILS FROM WASHROOM. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED SOILED CARDBOARD TRAYS ON CHIP DISPLAY. INSTRUCTED MANAGER TO REPLACE AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED FOOD DEBRIS AND SPILLS ON INTERIOR AND EXTERIOR SURFACES OF COOKING EQUIPMENT, HOLDING UNITS, BULK CONTAINERS, SLICER, COOLERS, FREEZERS, PREP TABLES, SHELVING UNITS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED HAND WASHING SINK NOT SECURE TO WALL INSIDE WASHROOM. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED NO COVERED RECEPTACLE IN PREP AREA. INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DEBRIS ON FLOOR UNDER ALL EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN PREP, STORAGE, FRONT COUNTER, WASHROOM AND SALES AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN.",41.6999134699819,-87.6234615028566,SAMS FOOD DELI,10658 S STATE ST,POINT (-87.6234615028566 41.6999134699819),ROSELAND,134313706.73,49.0,49.0,56632.7954292,,,48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292
Wentworth Food Mart,2023-07-18,Pass W/ Conditions,TRUE,FALSE,TRUE,156 W 95Th St,CHICAGO,IL,60628.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMITING AND DIARRHEA PROCEDURE AND CLEAN-UP KIT ON PREMISES DURING THE INSPECTION. INSTRUCTED TO HAVE SAID PROCEDURE ALONG WITH REQUIRED EQUIPMENT FOR CLEAN-UP.  PRIORITY FOUNDATION VIOLATION 7-38-005, CITATION ISSUED | 22. PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED IMPROPER TEMPERATURES OF TCS FOODS SUCH AS MILK (48.6F), EGGS (45.9F), AND SLICED CHEESE (45.0F). ALL MENTIONES ITEMS WERE STORED IN COLD HOLDING UNIT FOR OVER 24 HOURS. MANAGER DISCARDED ALL PRODUCT. INSTRCTED TO MAINTAIN COLD FOODS AT 41F OR BELOW AT ALL TIMES. 84 EGGS (7 DOZEN), 12- 1/2 GALLONS OF MILK, 5 PACKAGES OF SLICED CHEESE DISCARDED AT THIS TIME. PRIORITY 7-38-005, CITATION ISSUED | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED THE FACILITY MISSING AMBIENT AIR THERMOMETER IN THE REAR TWO DOOR COOLER. INSTRUCTED TO PROVIDE AND MAINTAIN. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE REAR EXIT DOOR NOT RODENT PROOF AT THE BOTTOM. INSTRUCTED TO RODENT PROOF SAID DOOR AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO LID FOR THE RECEPTACLE IN THE EMPLOYEE TOILET ROOM. INSTRUCTED TO PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNNECESSARY ITEMS STORED IN THE REAR WALK-IN COOLER THAT IS OUT OF ORDER SUCH AS ONE DEEP FRYING UNIT, METAL FRYING BASKETS, A NOVELTY ICE CREAM FREEZER UNIT, HOT HOLDING UNITS, AND STOVE TOP BURNERS. INSTRUCTED TO REMOVE ALL SAID EQUIPMENT THAT IS NOT USED FOR DAILY OPERATION AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FLOOR AT THE REAR OF THE DISHWASHING AREA NOT COMPLETE. INSTRUCTED TO REPAIR SAID FLOOR TO MAKE SMOOTH AND EASILY CLEANABLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE REAR DISHWASHING AREA NOT MAINTAINED. THERE WAS A LADDER, CONSTRUCTION SUPPLIES STORED THROUGHOUT AREA, AND THE FLOORS WEREN'T CLEAN. INSTRUCTED TO MAINTAIN AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FLOORS BEHIND THE SERVICE COUNTER AND UNDER THE SHELVING UNITS AND COLD HOLDING UNITS IN THE AISLES WITH SLIGHT DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN.",41.7217708542888,-87.6285206382168,WENTWORTH FOOD MART,156 W 95TH ST,POINT (-87.6285206382168 41.7217708542888),ROSELAND,134313706.73,49.0,49.0,56632.7954292,,,48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292
Big Boy Food Market,2022-02-18,Pass W/ Conditions,TRUE,FALSE,TRUE,255 W 95Th St,CHICAGO,IL,60628.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURES OR SUPPLIES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED MANAGER TO PROVIDE. PRIORITY FOUNDATION 7-38-005 | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 1/4"" GAP ON BOTTOM OF ENTRANCE DOOR. INSTRUCTED MANAGER TO SEAL ALL OUTER OPENINGS ON DOOR TO PREVENT PEST ENTRY. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAK UNDER DRAINPIPE NEAR GREASE TRAP IN REAR. INSTRUCTED MANAGER TO REPAIR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING CEILING TILES IN REAR STORAGE AREA. INSTRUCTED MANAGER TO REPLACE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNFINISHED CONCRETE FLOOR IN WALK-IN COOLER. INSTRUCTED MANAGER TO REPAIR. FLOORS SHALL BE SMOOTH AND EASILY CLEANABLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNUSED ARTICLES AND EQUIPMENT IN REAR STORAGE AREA. INSTRUCTED MANAGER TO REMOVE ALL UNNECESSARY ARTICLES IN STORAGE AREAS TO PREVENT PEST HARBORAGE. | 64. MISCELLANEOUS / PUBLIC HEALTH ORDERS - Comments: OBSERVED NO MASK REQUIRED SIGNAGE POSTED. ALL BUSINESS SHALL POST SIGNAGE AT ENTRANCE AND AT LEAST ONE LOCATION INSIDE THE BUSINESS INFORMING PATRONS THAT MASKS ARE REQUIRED TO BE WORN INDOORS REGARDLESS OF VACCINATION STATUS. PUBLIC HEALTH ORDER 2-112-340",41.7215173442304,-87.6308915722665,BIG BOY FOOD MARKET,255 W 95TH ST,POINT (-87.6308915722665 41.7215173442304),ROSELAND,134313706.73,49.0,49.0,56632.7954292,,,48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292
Blak'S Corner Store,2020-06-25,Pass W/ Conditions,TRUE,FALSE,TRUE,703 W 103Rd St,CHICAGO,IL,60628.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: PREMISES HAS NO CLEAN UP PROCEDURE OR SUPPLIES FOR RESPONDING TO VOMITING AND/OR DIARRHEA EVENTS. INSTRUCTED MANAGER TO COMPLY OR CITATIONS WILL FOLLOW. PRIORITY FOUNDATION VIOLATION #7-38-005. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: INSTRUCTED MANAGER TO INSTALL/PROVIDE AND MAINTAIN A MOP SINK WITH COLD AND HOT RUNNING WATER W/BACK FLOW DEVICE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING AND DAMAGED CEILING TILES. INSTRUCTED MANAGER TO REPLACE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN FLOORS THROUGH OUT TO REMOVE DEBRIS.",41.706836683546,-87.6405477797223,BLAKS CORNER STORE,703 W 103RD ST,POINT (-87.6405477797223 41.706836683546),ROSELAND,134313706.73,49.0,49.0,56632.7954292,,,48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292
107Th Food Mart,2025-03-14,Pass,TRUE,FALSE,TRUE,10701 S Wentworth Ave,CHICAGO,IL,60628.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGN AT HAND WASHING SINK IN DISH WASHING AREA. INSTRUCTED MANAGER TO PROVIDE HAND WASHING SIGNS AT ALL HAND WASHING SINKS USED BY EMPLOYEES. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RAW WOOD SURFACES BEHIND UTILITY SINK. INSTRUCTED MANAGER TO SEAL ALL RAW WOOD SURFACES AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CRATES USED AS SHELVING IN PREP AREA. INSTRUCTED MANAGER TO REMOVE ALL CRATES AND PROVIDE ADEQUATE SHELVING FOR STORAGE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED FOOD DEBRIS, SPILLS AND GREASE BUILDUP ON INTERIOR AND EXTERIOR SURFACES OF FRYERS, SLICERS, PREP TABLES, HOLDING UNITS, COOLERS, SHELVING UNITS, BEVERAGE MACHINES. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAKING VALVE UNDER HAND WASHING SINK IN PREP AREA. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO BACKFLOW DEVICE ON UTILITY SINK. INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNUSED ARTICLES AND EQUIPMENT IN REAR STORAGE AND BASEMENT AREAS. INSTRUCTED MANAGER TO REMOVE ALL UNNECESSARY ITEMS TO PREVENT PEST HARBORAGE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FOOD SPILLS AND DEBRIS ON WALLS IN PREP AREA, ON FLOOR ALONG WALLS AND CORNERS IN PREP AND STORAGE AREAS. OBSERVED DUST BUILDUP ON VENTILATION FAN IN WASHROOM. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DAMAGED FLOOR TILES IN PREP, SALES, STORAGE, WALK-IN COOLER AND FRONT COUNTER AREAS. INSTRUCTED MANAGER TO REPLACE ALL DAMAGED FLOOR TILES AND MAINTAIN. OBSERVED LOOSE BASEBOARDS AND OPENINGS AROUND PIPE FITTINGS IN PREP AREA. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN.",41.6997705864983,-87.6279401550534,107TH FOOD MART,10701 S WENTWORTH AVE,POINT (-87.6279401550534 41.6997705864983),ROSELAND,134313706.73,49.0,49.0,56632.7954292,,,48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292
M & H Food & Deli,2025-02-05,Pass,TRUE,FALSE,TRUE,10500 S Michigan Ave,CHICAGO,IL,60628.0,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED PACKAGED SANDWICHES NOT PROPERLY LABELED IN DISPLAY COOLER. INSTRUCTED MANAGER TO PROPERLY LABEL ALL PACKAGED SANDWICHES DISPLAYED FOR CUSTOMER SERVICE, WITH INGREDIENTS, BUSINESS NAME, ADDRESS, ETC. | 45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED - Comments: OBSERVED SINGLE SERVICE ARTICLES STORED ON FLOOR IN REAR STORAGE AREA. INSTRUCTED MANAGER TO ELEVATE ALL SINGLE SERVICE ARTICLES SIX INCHES OFF FLOOR. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RAW WOOD KNIFE RACK ABOVE 3-COMPARTMENT SINK. INSTRUCTED MANAGER TO PROPERLY SEAL ALL RAW WOOD SURFACES AND PROVIDE MATERIAL THAT IS NON-ABSORBENT, NON-CORROSIVE, SMOOTH AND EAILY CLEANBALE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED ONLY ONE STOPPER FOR 3-COMPARTMENT SINK. INSTRUCTED MANAGER TO PROVIDE ADEQUATE STOPPERS FOR 3-COMPARTMENT SINK AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO BACKFLOW DEVICE ON UTILITY SINK. INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED RECEPTACLE IN UNISEX WASHROOM. INSTRUCTED MANAGER TO PROVIDE COVERED RECEPTACLE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DEBRIS ON FLOORS UNDER ALL EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN REAR STORAGE AREAS. INSTRUCTED MANAGER TO CLEAN FLOORS AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING AND STAINED CEILING TILES IN REAR STORAGE AREA. INSTRUCTED MANAGER TO REPLACE CEILING TILES AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNUSED ARTICLES AND EQUIPMENT IN REAR STORAGE AREAS. INSTRUCTED MANAGER TO REMOVE ALL UNNECESSARY ITEMS TO PREVENT PEST HARBORAGE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOILED MOP HEADS ON FLOOR NEAR UTILITY SINK. INSTRUCTED MANAGER TO PROPERLY HANG MOP HEADS TO DRY AND PREVENT INSECT BREEDING. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED GREASE BUILDUP ON FILTERS INSIDE VENTILATION HOOD. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN.",41.703415218678,-87.6208096791161,M H FOOD DELI,10500 S MICHIGAN AVE,POINT (-87.6208096791161 41.703415218678),ROSELAND,134313706.73,49.0,49.0,56632.7954292,,,48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292
K & M Quick Mart,2024-12-05,Pass,TRUE,FALSE,FALSE,11334 S Michigan Ave,CHICAGO,IL,60628.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NI HAND WASHING SIGN AT HAND WASHING SINK IN PREP AREA. INSTRUCTED MANAGER TO PROVIDE HAND WASHING SIGN AT ALL HAND WASHING SINKS USED BY EMPLOYEES. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED PACKAGED MELON DISPLAYED FOR CUSTOMER SERVICE IN COLLER AND NOT PROPERLY LABELED. INSTRUCTED MANAGER TO PROPERLY LABEL ALL PACKAGED FOOD ITEMS WITH INGREDIENTS, BUSINESS, NAME, ADDRESS, ETC | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED FLY STRIPS HANGING IN CEILING IN PREP AREA. INSTRUCTED MANAGER TO REMOVE ALL FLY STRIPS FROM PREP AREA. | 45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED - Comments: OBSERVED SINGLE SERVICE CONTAINERS NOT INVERTED. INSTRUCTED MANAGER TO INVERT ALL SINGLE SERVICE CONTAINERS TO PROTECT FROM CONTAMINATION. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED SOILED CARDBOARD TRAYS ON CHIP DISPLAT SHELVES. INSTRUCTED MANAGER TO REPLACE ALL SOILED CARDBOARD TRAYS AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED DEBRIS ON INTERIOR AND EXTERIOR SURFACES OF COOLERS, FREEZERS, PREP TABLES, SHELVING UNITS, SLICER, ETC. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAKING FAUCET ON UTILITY SINK. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DAMAGED AND MISSING FLOOR TILES IN PREP AREA. OBSERVED MOLD-LIKE SUBSTANCE ON WALLS IN WASHROOM. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN.",41.6879579423947,-87.6211380630312,K M QUICK MART,11334 S MICHIGAN AVE,POINT (-87.6211380630312 41.6879579423947),ROSELAND,134313706.73,49.0,49.0,56632.7954292,,,48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292
Express Food Mart & Cellular 1,2024-12-04,Pass,TRUE,FALSE,FALSE,11058 S Wentworth Ave,CHICAGO,IL,60628.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNS AT HAND WASHING SINKS IN PREP AND DISH WASHING AREAS. INSTRUCTED MANAGER TO PROVIDE HAND WASHING SIGNS AT ALL HAND WASHING SINKS USED BY EMPLOYEES. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED PACKAGED CHEESECAKE AND OTHER FOOD ITEMS DISPLAYED FOR CUSTOMER SERVICE AND NOT PROPERLY LABELED WITH BUSINESS NAME, ADDRESS, INGREDIENTS, ETC. INSTRUCTED MANAGER TO PROPERLY LABEL ALL PACKAGED FOOD ITEMS DISPLAYED FOR CUSTOMER SERVICE. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD ITEMS STORED ON FLOOR BEHIND FRONT COUNTER, IN SALES, PREP STORAGE AND WALK-IN COOLER AREAS. INSTRUCTED MANAGER TO ELEVATE ALL FOOD ITEMS SIX INCHES OFF FLOOR. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED INADEQUATE STOPPERS FOR 3-COMPARTMENT SINK. INSTRUCTED MANAGER TO PROVIDE ADEQUATE STOPPERS AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED SOILED CARDBOARD TRAYS ON CHIP DISPLAY SHELVES. INSTRUCTED MANAGER TO REPLACE SOILED TRAYS AND MAINTAIN. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OBSERVED NO WRITTEN ALTERNATIVE PROCEDURE FOR MANUAL WASHING OF MULTI-USE EQUIPMENT TOO LARGE TO FIT IN 3-COMPARTMENT SINK. INSTRUCTED MANAGER TO PROVIDE ALTERNATIVE WRITTEN SANITIZING PROCEDURE FOR LARGE EQUIPMENT. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED FOOD SPILLS AND DEBRIS ON INTERIOR AND EXTERIOR SURFACES OF PREP TABLE, COOLER, SLICER IN PREP AREA. OBSERVED DUST BUILDUP ON SHELVING UNITS BEHIND FRONT COUNTER AND IN SALES AREA. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED RECEPTACLE IN STAFF WASHROOM. INSTRUCTED MANAGER TO PROVIDE COVERED RECEPTACLE IN STAFF WASHROOM.",41.6925731483279,-87.6280528939856,EXPRESS FOOD MART CELLULAR 1,11058 S WENTWORTH AVE,POINT (-87.6280528939856 41.6925731483279),ROSELAND,134313706.73,49.0,49.0,56632.7954292,,,48.0,ROSELAND,134313706.73,49.0,49.0,56632.7954292
