DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Supermercado Santos,2024-11-27,Pass W/ Conditions,FALSE,TRUE,TRUE,4045-4047 W 31St St,CHICAGO,IL,60623.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: OBSERVED NO PERSON IN CHARGE WITH VALID CHICAGO FOOD SANITATION CERTIFICATE.    | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NOTED �FACILITY DID NOT PROVIDE A VALID CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE FOR EMPLOYEES WORKING ON SITE. INFORMED A CERTIFIED MANAGER WITH A CURRENT CITY OF CHICAGO CERTIFICATE MUST BE ON PREMISES AT ALL TIMES AND A VALID MUST REMAIN POSTED ON SITE WHENEVER TIME AND TEMPERATURE CONTROL FOR SAFETY(TCS) FOODS ARE BEING PREPARED, HANDLED AND/OR SERVED. PRIORITY FOUNDATION VIOLATION #7-38-012. CITATION ISSUED.  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO PAPER TOWELS IN THE WASHROOM AT THE WASHBOWL SINK. INFORMED PERSON IN CHARGE THAT PAPER TOWELS MUST BE AVAILABLE AT HAND SINKS AT ALL TIMES. FOOD HANDLER OBTAINED PAPER TOWELS FOR HAND SINK DURING TIME OF INSPECTION PRIORITY FOUNDATION VIOLATION #7-38-030(C). CITATION ISSUED. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: NOTED THE INTERIOR OF THE REACH-IN AND WALK-IN COOLERS IN NEED OF CLEANING. INSTRUCTED TO DETAIL CLEAN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED LOOSE DEBRIS, DIRT AND DUST BUILDUP ON THE FLOORS AND CORNERS THROUGHOUT THE FACILITY. INSTRUCTED TO DETAIL CLEAN AND INCREASE CLEANING FREQUENCY OF FLOORS. MUST MAINTAIN AT ALL TIMES.",41.8367499607579,-87.726132656829,SUPERMERCADO SANTOS,40454047 W 31ST ST,POINT (-87.726132656829 41.8367499607579),SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,,29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102
Supermercado Cuauhtemoc Inc,2024-11-06,Pass W/ Conditions,FALSE,TRUE,TRUE,2502-2506 S Kedzie Ave,CHICAGO,IL,60623.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: OBSERVED NO PERSON IN CHARGE WITH VALID CHICAGO FOOD SANITATION CERTIFICATE. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CERTIFIED FOOD MANAGER ON DUTY WHILE TCS FOODS ARE BEING PREPARED, HANDLED AND SERVED SUCH AS (CHICKEN, STEAK, PORK,ETC) MUST BE ON SITE AT ALL TIMES. PRIORITY FOUNDATION 7-38-012. CITATION ISSUED.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARBOARD USED AS FLOOR MATS IN REAR PREP AREA. INSTRUCTED TO REMOVE AND INSTALL MATS THAT ARE SMOOTH EASILY CLEANABLE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED MILK CRATES BEING USED AS SHELVING THROUGHOUT THE PREP AND STORAGE AREAS. MUST REMOVE AND PROVIDE SHELVING THAT IS 6"" OFF THE FLOOR AND PROVIDES FLOOR ACCESSIBILITY TO ENSURE ADEQUATE FACILITY CLEANING.",41.8461850649061,-87.7052374842698,SUPERMERCADO CUAUHTEMOC INC,25022506 S KEDZIE AVE,POINT (-87.7052374842698 41.8461850649061),SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,,29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102
La Estrella,2024-10-25,Pass W/ Conditions,TRUE,FALSE,TRUE,3835 W 26Th St,CHICAGO,IL,60623.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: OBSERVED NO PERSON IN CHARGE WITH VALID CHICAGO FOOD SANITATION CERTIFICATE.    | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CERTIFIED FOOD MANAGER ON DUTY WHILE TCS FOODS ARE BEING PREPARED, HANDLED AND SERVED SUCH AS (TACOS, BURRITOS, STEAK, ETC) MUST BE ON SITE AT ALL TIMES. PRIORITY FOUNDATION 7-38-012. CITATION ISSUED.  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO PAPER TOWELS IN THE WASHROOM AT THE WASHBOWL SINK. INFORMED PERSON IN CHARGE THAT PAPER TOWELS MUST BE AVAILABLE AT WASHBOWL SINK AT ALL TIMES. FOOD HANDLER OBTAINED PAPER TOWELS FOR WASHBOWL SINK DURING TIME OF INSPECTION PRIORITY FOUNDATION VIOLATION #7-38-030(C). CITATION ISSUED. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD ITEMS STORED ON FLOOR IN REAR PREP AREA. INSTRUCTED MANAGER TO ELEVATE ALL FOOD SIX INCHES OFF FLOOR. | 40. PERSONAL CLEANLINESS - Comments: OBSERVED FOOD HANDLERS PREPPING FOOD WITHOUT HAIR RESTRAINTS. INSTRUCTED PERSON IN CHARGE THAT ALL FOOD HANDLERS MUST WEAR A HAIR RESTRAINT. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED DEBRIS AROUND DUMPSTER. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED GREASE BUILDUP AND FOOD DEBRIS ON FLOOR UNDER COOKING EQUIPMENT, ALONG WALLS AND IN ALL CORNERS AT REAR STOVE AREA. IN INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: OBSERVED NO INSPECTION REPORT SUMMARY POSTED ON THE PREMISES. MANAGEMENT WAS GIVEN A COPY OF TODAY'S INSPECTION REPORT AND WAS INSTRUCTED TO POST IT IN PUBLIC VIEW. PRIORITY FOUNDATION 7-42-010(B). CITATION ISSUED.",41.8441880803,-87.7209498689437,LA ESTRELLA,3835 W 26TH ST,POINT (-87.7209498689437 41.8441880803),SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,,29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102
Zavala'S Grocery Store Inc,2024-07-15,Pass W/ Conditions,FALSE,TRUE,TRUE,2657 S Kolin Ave,CHICAGO,IL,60623.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDSOAP AVAILABLE AT THE BUTCHER PREP AREA DURING THE TIME OF INSPECTION. INSTRUCTED TO PROVIDE AND MAINTAIN AT ALL TIMES. PRIORITY FOUNDATION VIOLATION.7-38-030 (c). CITATION ISSUED. PIC PROVIDED AT THIS TIME. | 22. PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED APPROXIMATELY 50 LBS SAUSAGES AS WELL AS 50 LBS PORK SKIN WITH MEAT ATTACHED HANGING ON POLES RANGING BETWEEN 75F-85F LOCATED IN REAR PREP AREA DURING TIME OF INSPECTION. INSTRUCTED TO HOLD ALL COLD TCS FOOD AT 41F OR BELOW AT ALL TIMES AND MAINTAIN. PRIORITY VIOLATION. #7-38-005. CITATION ISSUED. PERSON IN CHARGE DISCARDED DURING THIS TIME. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED CONTAINERS IN THE GROCERY AISLE WITHOUT LABELS (BREADCRUMBS). INSTRUCTED TO PROVIDE AND MAINTAIN | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RAW MEAT STORED INSIDE GROCERY BAGS INSIDE WALK-IN COOLER. INSTRUCTED TO FIND FOOD-GRADE BAGS FOR FOOD STORAGE AND MAINTENANCE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED INTERIOR SURFACES OF REFRIGERATION UNIT IN BUTCHER PREP AREA WITH EXCESSIVE DRIED FOOD BUILD UP. INSTRUCTED TO REMOVE FROM CRACKS AND CREVICES OF EQUIPMENT.",41.8424234569744,-87.7328725676993,ZAVALAS GROCERY STORE INC,2657 S KOLIN AVE,POINT (-87.7328725676993 41.8424234569744),SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,,29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102
Sn Grocery Store Inc.,2020-11-17,Pass W/ Conditions,FALSE,TRUE,TRUE,2802 S Karlov Ave,CHICAGO,IL,60623.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO SIGNED  EMPLOYEE HEALTH POLICIES ON SITE FOR ALL FOOD HANDLERS. INSTRUCTED TO PROVIDE AND MAINTAIN ONSITE FOR REVIEW. PRIORITY FOUNDATION VIOLATION. 7-38-010. NO CITATION ISSUED. DOCUMENTS PROVIDED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO WRITTEN PROCEDURE POSTED ON SITE OR NECESSARY ITEMS OUTLINED IN THE POLICY AVAILABLE ON SITE FOR RESPONDING TO VOMIT AND DIAARHEAL EVENTS THAT CAN OCCUR IN THE FOOD ESTABLISHMENT. PRIORITY FOUNDATION VIOLATION. 7-38-005. NO CITATION ISSUED. DOCUMENTS PROVIDED. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARDBOARD LINERS ON SHELVING UNITS IN PREP AREA. MUST REMOVE AND PROVIDE SMOOTH AND EASILY CLEANABLE SURFACES | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED STORED KITCHEN EQUIPMENT/UTENSILS WITH DRIED DEBRIS ON SURFACES STORED ON ROLLING CART NEAR PREP AREA. MUST CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE ITEMS STORED ON THE FLOOR BEHIND THE COUNTER AS WELL AS BLACK MILK CRATES USED FOR ELEVATION. INSTRUCTED TO REMOVE CLUTTER, ELEVATE ALL ITEMS AT LEAST 6 INCHES OFF THE FLOOR AND REMOVE CRATES TO PREVENT HIDING PLACES FOR PEST. MUST MAINTAIN.",41.84038414735,-87.72702717734,SN GROCERY STORE INC,2802 S KARLOV AVE,POINT (-87.72702717734 41.84038414735),SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,,29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102
Carneceria Iguala Guerrero,2020-11-02,Pass W/ Conditions,FALSE,TRUE,TRUE,2714 W Cermak Rd,CHICAGO,IL,60608.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: MUST INSTALL HAND WASHING SINK BEHIND BUTCHER COUNTER WITH HOT & COLD WATER, SOAP, AND PAPER TOWELS.  PRIORITY FOUNDATION 7-38-030(C) NO CITATION ISSUED. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: MUST LABEL CANDY SOLD AT FRONT COUNTER WITH INGREDIENTS, NAME, AND PLACE OF MANUFACTURER, PACKER, OR DISTRIBUTOR. INSTRUCTED TO MAINTAIN. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: MUST STORE WIPING CLOTHS IN PREP AREAS IN SANITIZER BUCKET BETWEEN USES TO PREVENT CROSS CONTAMINATION. INSTRUCTED TO MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST REMOVE RUST ACCUMULATION FROM STORAGE RACKS ON WALK-IN COOLER, SURFACE MUST BE SMOOTH AND EASILY CLEANABLE, AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: MUST REPAIR LEAKY DRAIN PIPE UNDER HANDWASHING SINK IN REAR PREP AREA, AND LEAKY HOT WATER KNOB ON HANDWASHING SINK IN TOILET ROOM.  ALSO, REPAIR SLOW DRAIN IN HAND SINK IN PREP AREA. INSTRUCTED TO MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST PROVIDE A COVERED RECEPTACLE IN STAFF TOILET ROOM FOR FEMININE HYGIENE NEEDS, INSTRUCTED TO MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST DETAIL CLEAN LOOSE FOOD DEBRIS FROM FLOORS THROUGHOUT FACILITY. ALSO, CLEAN DRIED FOOD DEBRIS ON WALLS IN REAR PREP AREA, INSTRUCTED TO MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: MUST INSTALL AND HOOD VENTILATION SYSTEM IN REAR FOOD PREP AREA, WHERE LARGE BURNERS ARE USED TO COOK FOOD, TO PREVENT FOOD CONTAMINATION. INSTRUCTED TO PROHIBIT USING BURNERS UNTIL HOOD IS INSTALLED AND MAINTAINED.",41.8520347380503,-87.6936969080781,CARNECERIA IGUALA GUERRERO,2714 W CERMAK RD,POINT (-87.6936969080781 41.8520347380503),SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,,29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102
Tiendita Gutierrez,2019-03-01,Pass W/ Conditions,TRUE,FALSE,TRUE,3158 S Harding Ave,CHICAGO,IL,60623.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE AND MAINTAIN SUPPLIES NOTED ON PROCEDURE. ENSURE DISINFECTANT TO BE USED EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION VIOLATION 7-38-005. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HAND DRYING PROVISION AT HANDWASH SINK IN PREP AREA OR IN TOILET ROOM. INSTD TO PROVIDE AND MAINTAIN AT ALL TIMES. SEE ABOVE FOR VIOLATION ISSUED. PRIORITY FOUNDATION 7-38-030(C). | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HANDWASH CLEANSER AT HANDSINK IN PREP AREA OR AT HANDWASH SINK IN TOILET ROOM. INSTD TO PROVIDE AT ALL TIMES. PRIORITY FOUNDATION 7-38-030(C). CITATION ISSUED. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OPEN FOOD PREPARATION  AND WAREWASHING AREA NOTED. NO BARRIER/SEPARATION NOTED WHERE EMPLOYEE ACTIVELY PREPARING PORK FOR TACOS;  AND FLAT TOP GRILL, HOT HOLDING UNIT, 2 BURNER STOVE, PROPANE TANK AND 3-COMPARTMENT SINK AND HANDWASH SINK LOCATED. PRIORITY VIOLATION 7-38-005. CITATION ISSUED.",41.835175396604900,-87.7232334326494,TIENDITA GUTIERREZ,3158 S HARDING AVE,POINT (-87.7232334326494 41.835175396604896),SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,,29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102
Fruteria Andy #2,2019-01-29,Pass W/ Conditions,FALSE,TRUE,TRUE,2458 S Springfield Ave,CHICAGO,IL,60623.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO EMPLOYEE HEALTH POLICY IN PLACE. INSTD TO PROVIDE AND MAINTAIN. PRIORITY FOUNDATION 7-38-010. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURE IN PLACE FOR VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE AND MAINTAIN. PRIORITY FOUNDATION 7-38-005. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: RAW WOOD SURFACE AT FRONT COUNTER. INSTD TO SEAL ALL RAW WOOD. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: NO MECHANICAL VENTILATION IN TOILET ROOM. INSTD TO PROVIDE AND MAINTAIN.",41.8462131486915,-87.7223105916295,FRUTERIA ANDY 2,2458 S SPRINGFIELD AVE,POINT (-87.7223105916295 41.8462131486915),SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,,29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102
Donaldo'S Chiles & Spices,2010-07-02,Pass W/ Conditions,TRUE,FALSE,TRUE,3759 W 26Th St,CHICAGO,IL,60623.0,"21. * CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE  PREPARED AND SERVED - Comments: A certified food service manager must be present in all establishments at which potentially hazardous food is prepared or served.    NO CERTIFIED FOOD MANAGER ON SITE WHEN POTENTIALLY HAZARDOUS FOODS ARE PREPARED AND SERVED.  HAS CITY CERTIFICATE FOR DONALD MCCLUSKEY, BUT PERSON NOT ON DUTY AT TIME OF INSPECTION.  MUST HAVE CERTIFIED FOOD MANAGER ON DUTY AT ALL TIME.  SERVING NACHO WITH CHEESE AND ICE CREAM AT THIS TIME.  CITATION ISSUED 7-38-012 SERIOUS. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: All utensils shall be thoroughly cleaned and sanitized after each usage.    MUST CLEAN-SANITIZE; DISPLAY SHELVES THRU-OUT PREMISES, MOP AND EXPOSED SINKS.  | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: The floors shall be constructed per code, be smooth and easily cleaned, and be kept clean and in good repair.    MUST CLEAN FLOORS THRU-OUT KITCHEN, WASHROOM, AND STORAGE ROOMS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned.    MUST REPLACE DAMAGED CEILING PANELS THRU-OUT KITCHEN. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: The flow of air discharged from kitchen fans shall always be through a duct to a point above the roofline.    MUST PROVIDE ADEQUATE VENTILATION FOR STOVE IN KITCHEN OR REMOVE. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: All food establishments that display, prepare, or store potentially hazardous foods shall have calibrated metal stem thermometers, provided and conspicuous, for refrigerated and hot food units.    MUST PROVIDE THERMOMETER FOR MILK COOLER. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: EXCESSIVE CLUTTER THRU-OUT REAR STORAGE ROOMS, MUST REMOVE UNNECESSARY ARTICLES, CLEAN AND ORGANIZE TO PREVENT PEST HARBORAGE.  ARTICLES MUST BE STORED OFF FLOORS, AWAY FROM WALLS.",41.844207794964900,-87.7196119261066,DONALDOS CHILES SPICES,3759 W 26TH ST,POINT (-87.7196119261066 41.844207794964895),SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,,29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102
El Progresso,2025-04-17,Pass,TRUE,FALSE,TRUE,3937 W 31St St,CHICAGO,IL,60623.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: -204.112(B) OBSERVED MISSING THERMOMETERS INSIDE COOLING UNIT CONTAINING MILK, EGGS, SOURCREAM, BOTH WALK IN COOLERS CONTAINING TCS FOODS. INSTRUCTED TO PROVIDE. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: 3-601.11 OBSERVED WORKING INGREDIENTS (BREADING, SEASONINGS, HERBS ) STORED IN MEAT AND REAR PREP WITHOUT LABELS. INSTRUCTED TO PROVIDE COMMON NAME | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: 4-901.12 OBSERVED SOILED WIPING CLOTHS STORED IMPROPERLY THROUGHOUT PREP AREAS ON PREP TABLES. INSTRUCTED TO STORE INSIDE SANITIZER BUCKET WITH SANITIZING SOLUTION AT @ LEAST 50PPM. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-102.11 OBSERVED GROCERY STORE BAGS USED TO STORE CARNITAS, TAMALES, CHICKEN, BEEF, DELI MEAT. INSTRUCTED TO RSTORE FOOD ITEMS IN FOOD GRADE BAGS/ STORAGE CONTAINERS ONLY | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 6-501.19 OBSERVED TOILETROOM DOOR NOT SELF CLOSING. INSTRUCTED TO PROVIDE | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13 OBSERVED NO FOOD HANDLER CERTIFICATES ON SITE FOR REVIEW DURING TIME OF INSPECTION. INSTRUCTED TO PROVIDE.",41.8367884830205,-87.7233568547893,EL PROGRESSO,3937 W 31ST ST,POINT (-87.7233568547893 41.8367884830205),SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102,,,29.0,SOUTH LAWNDALE,127998297.867,30.0,30.0,49904.0452102
