DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
The Unit,2024-11-20,Pass W/ Conditions,TRUE,FALSE,FALSE,2523 E 75Th St,CHICAGO,IL,60649.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: THE PERSON IN CHARGE HAS NO CITY OF CHICAGO FOOD SERVICE MANAGERS CERTIFICATE. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: THE PERSON IN CHARGE HAS NO CITY OF CHICAGO FOOD SERVICE MANAGERS CERTIFICATE. MUST OBTAIN AND MAINTAIN.  PRIORITY FOUNDATION VIOLATION 7-38-012 CITATION ISSUED. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAKING FROM THE FAUCET OF THE THREE COMP SINK AND LEAKING FROM THE BOTTOM OF THE THIRD COMPARTMENT OF THE THREE COMP SINK; INSTRUCTED TO REPAIR LEAKS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING WALL TILE ABOVE THE DOOR TO THE MEAT CUTTING ROOM; INSTRUCTED TO REPLACE.  ALSO MISSING WALL TILE BY THE THREE COMP SINK; REPLACE WHERE NEEDED.  OBSERVED WATER STAINED CEILING TILE; REPLACE WHERE NEEDED.",41.7589223174373,-87.5628760391371,THE UNIT,2523 E 75TH ST,POINT (-87.5628760391371 41.7589223174373),SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,,42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173
Amstar Fuel & Mini Mart,2020-09-02,Pass W/ Conditions,TRUE,FALSE,FALSE,2352 E 75Th St,CHICAGO,IL,60649.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SINK IN COFFEE PREP AND DISH WASHING AREA. INSTRUCTED MANAGER TO INSTALL HAND WASHING SINK WITH HOT AND COLD RUNNING WATER IN COFFEE PREP AND DISH WASHING AREA. PRIORITY FOUNDATION 7-38-030(C) | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED PACKAGED TUNA SANDWICHES DISPLAYED FOR SALE IN COOLER AND NOT PROPERLY LABELED WITH INGREDIENTS, NET WEIGHT, BUSINESS NAME AND ADDRESS. INSTRUCTED MANAGER TO LABEL ALL PACKAGED SANDWICHES. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED BOXES OF CANDY STORED ON FLOOR BEHIND FRONT COUNTER. INSTRUCTED MANAGER TO ELEVATE SIX INCHES OFF FLOOR. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED DUST BUILDUP ON INTERIOR SURFACES AND FAN GUARDS INSIDE WALK-IN COOLER. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAKING FAUCET ON 3-COMPARTMENT SINK. INSTRUCTED MANAGER TO REPAIR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DEBRIS ON FLOOR IN SALES AND STORAGE AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED NO LIGHT SHIELD IN WALK-IN COOLER. INSTRUCTED MANAGER TO PROVIDE.",41.7590939802399,-87.5666892139346,AMSTAR FUEL MINI MART,2352 E 75TH ST,POINT (-87.5666892139346 41.7590939802399),SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,,42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173
S. A. A. Food & Liquors,2012-07-18,Pass W/ Conditions,TRUE,FALSE,FALSE,2561 E 75Th St,CHICAGO,IL,60649.0,"2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: REACH IN COOLER MAINTAINED AT IMPROPER COLD TEMPERATURE OF 47.9F.COOLER MUST MAINTAIN 40F OR BELOW.MUST COOLER MUST BE TAGGED.HELD FOR INSPECTION. DO NOT USE UNIT.CRITICAL CITATION ISSUED 7-38-005A | 3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: FOUND POTENTIALLY HAZARDOUS FOODS MAINTAINED INSIDE REACH IN COOLER MAINTAINED AT IMPROPER TEMPERATURES.(EGGS AT 50.4F,MILK AT 46.4F-49.8F),WAS REMOVED AND DISCARDED,-CDI-TOTAL COST APPROX $75.00,TOTAL 40LBS.CRITICAL CITATION ISSUED | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments:  COOLERS ON PREMISES,USED/UNUSED NOT CLEAN INTERIOR/EXTERIOR,UNSED HOT PLATE AREA IN REAR.MUST CLEAN/MAINTAIN. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS NOT CLEAN ON PREMISES AND FLOORS BEHIND FRONT COUNTER..MUST CLEAN/MAINTAIN. AND REPAIR FLOORS BEHIND COUNTER. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OPENINGS IN WALLS/CEILING.MUST SEAL. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: MUST REMOVE CLUTTER AND ARTICLES NOT USING FROM REAR.ALSO UNSED,UNCLEAN COOKING EQUIPMENT/HOT PLATE. | 70. NO SMOKING REGULATIONS - Comments: OBSERVED EMPLOYEE SMOKING ON PREMISES BEHIND FRONT COUNTERIN PUBLIC PLACES AND PLACE OF EMPLOYMENT.INSTRUCTED EMPLOYEE SMOKING IS NOT ALLOWED ON PREMISES.EMPLOYEE PUT CIGARETTE OUT.CDI CITATION ISSUED 7-32-015",41.758939922801,-87.5616454178865,S A A FOOD LIQUORS,2561 E 75TH ST,POINT (-87.5616454178865 41.758939922801),SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,,42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173
Big Sharks,2025-03-05,Pass,TRUE,FALSE,FALSE,2424 E 75Th St,CHICAGO,IL,60649.0,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO CLEAN AND MAINTAIN THE FOLLOWING: EXTERIOR SURFACES OF ALL COOKING EQUIPMENT (FRYERS, GRILL), PREP TABLES, UNDERNEATH GRILL TO REMOVE DUST, GREASE AND OTHER MATTER AND INTERIOR OF REFRIGERATION UNITS WHERE NEEDED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: THE FLOORS NEED DETAIL CLEANING AROUND AND UNDER ALL COOKING EQUIPMENT TO REMOVE GREASE AND OTHER MATTER; CLEAN AND MAINTAIN. CLEAN WALLS AROUND AND BEHIND EQUIPMENT WHERE NEEDED. CLEAN THE EXTERIOR SURFACE OF THE GREASE RECEPTOR AT THE THREE COMP SINK.",41.7591095906384,-87.5653834123844,BIG SHARKS,2424 E 75TH ST,POINT (-87.5653834123844 41.7591095906384),SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,,42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173
Citgo,2024-12-10,Pass,TRUE,FALSE,FALSE,7600 S Exchange Ave,CHICAGO,IL,60649.0,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO CLEAN THE INTERIORS OF THE PREP COOLERS IN THE PREP AREA AND CLEAN THE BOTTOM OF THE PREP TABLE.   ALSO CLEAN THE CAN OPENER BLADE AT THE PREP COUNTER. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAKING FROM THE EXPOSED HANDSINK IN THE DISHWASHING AREA; INSTRUCTED TO REPAIR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED HEAVY DUST ON SOME CEILING TILE AND LIGHT SHIELDS ON SELLING FLOOR; INSTRUCTED TO CLEAN AND REMOVE DUST.  OBSERVED THE FLOORS IN THE STORAGE AREA, DISHWASHING AREA AND ON SELLING FLOOR UNDER SHELVES AND IN BETWEEN FREEZER UNITS IN NEED OF CLEANING; CLEAN AND MAINTAIN.",41.7571563598016,-87.55840891305,CITGO,7600 S EXCHANGE AVE,POINT (-87.55840891305 41.7571563598016),SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,,42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173
Jeffery Big Market Inc.,2024-11-26,Pass,FALSE,TRUE,FALSE,2016 E 71St St,CHICAGO,IL,60649.0,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO CLEAN THE INTERIORS OF REFRIGERATION UNITS WHERE NEEDED, THE MEAT SLICER AND MEAT GRINDER AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE WALL COVING ALONG THE BASE OF THE WALL IN THE REAR STORAGE AREA IN POOR REPAIR; INSTRUCTED TO REATTACH TO WALLBASE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN THE FLOORS UNDER THE SHELVES IN THE STORAGE AREA AND ON THE SELLING FLOOR, CLEAN IN BUTCHER AREA UNDER EQUIPMENT AND IN BOTH THE WALK-IN COOLER AND FREEZER. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED AN EXPIRED FOOD HANDLER TRAINING CERTIFICATE; MUST OBTAIN A VALID CERTIFICATE.  THE FOOD HANDLER ON SITE IN THE BUTCHER AREA HAS NO FOOD HANDLER TRAINING CERTIFICATE; MUST OBTAIN A CERTIFICATE.",41.7663585634322,-87.5755671311993,JEFFERY BIG MARKET INC,2016 E 71ST ST,POINT (-87.5755671311993 41.7663585634322),SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,,42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173
"South Shore Mini Mart, Inc",2024-11-18,Pass,TRUE,FALSE,TRUE,7603-7643 S South Chicago Ave,CHICAGO,IL,60619.0,"40. PERSONAL CLEANLINESS - Comments: FOOD HANDLER NOT WEARING A HAIR NOR BEARD RESTRAINT. INSTRUCTED TO OBTAIN AND WEAR BOTH WHILE IN THE FOOD PREP AREA AND HANDLING TCS FOODS. MAINTAIN SAME. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: INTERIOR OF 3-COMPARTMENT SINK WITH STAINS, DIRT AND DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN THE INTERIOR OF THE 3-COMP. SINK. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INTERIOR OF REAR HAND WASHING SINK WITH DIRT AND DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN SINK. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: WASHBOWL IN THE TOILET ROOM LEAKS PROFUSELY FROM THE PIPE UNDERNEATH. INSTRUCTED TO FIX AND MAINTAIN GOOD PLUMBING. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: TRASH AND DEBRIS AROUND THE OUTSIDE DUMPSTERS. INSTRUCTED TO CLEAN AND MAINTAIN AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MISSING/DAMAGED AND WITH MOLD LIKE SUBSTANCES ON THE CEILING TILES IN THE TOILET ROOM. INSTRUCTED TO REPLACE AND PROVIDE CEILING TILES. MAINTAIN SAME. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: POOR LIGHTING IN THE DISH WASHING/STORAGE AREA. INSTRUCTED TO PROVIDE ADEQUATE LIGHTING AND MAINTAIN.",41.7568558348046,-87.5928141734443,SOUTH SHORE MINI MART INC,76037643 S SOUTH CHICAGO AVE,POINT (-87.5928141734443 41.7568558348046),SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,,42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173
Ekiosa Market Llc,2024-09-13,Pass,FALSE,TRUE,TRUE,2234 E 75Th St,CHICAGO,IL,60649.0,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED PRE PACKAGED SPICES ON SELLING SHELF WITHOUT PROPER LABELS; INSTRUCTED TO LABEL PROPERLY WITH COMMON NAME, INGREDIENTS, NAME OF MANUFACTURER, PACKER, DISTRIBUTOR, NAME AND PLACE OF BUSINESS AND ANY ALLERGENS. ALSO OBSERVED PREPACKAGED FROZEN MEATS IN FREEZERS NOT LABELED INCLUDING FISH, TURKEY, BEEF; INSTRUCTED TO LABEL ALL PREPACKAGED FROZEN MEATS AS REQUIRED. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: NO UTILITY SINK ON PREMISES AS REQUIRED FOR DISPOSING OF WASTE WATER WHEN MOPPING AND CLEANING; INSTRUCTED TO INSTALL A MOP SINK WITH HOT AND COLD RUNNING WATER AND A BACKFLOW DEVICE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED HOLES IN THE WALLS AROUND THE FAUCET KNOBS AND ABOVE THE FAUCETS OF THE TWO SHOWERS FOUND IN THE REAR AREA; INSTRUCTED TO SEAL ALL OPENINGS IN WALL.",41.7590594116518,-87.5698772654043,EKIOSA MARKET LLC,2234 E 75TH ST,POINT (-87.5698772654043 41.7590594116518),SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,,42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173
Jewel Food Store #3030,2024-08-21,Pass,FALSE,TRUE,TRUE,7530 S Stony Island Ave,CHICAGO,IL,60649.0,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED FAUCET KNOB AT HANDWASHING SINK IN THE BAKERY AREA IN POOR REPAIR; REPAIR OR REPLACE KNOB FOR HOT WATER.  OBSERVED LEAKING FROM ONE FAUCET AT THE THREE COMPARTMENT SINK IN DELI AREA; INSTRUCTED PERSON IN CHARGE TO REPAIR AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NORTH FACING UNISEX RESTROOM WITHOUT COVERED RECEPTACLE. INSTRUCTED PERSON IN CHARGE PROVIDE RECEPTACLES WITH LIDS.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING CEILING TILE IN SOUTH FACING RESTROOM. INTRUCTED PERSON IN CHARGE TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SMALL PUDDLES OF WATER ON FLOOR OF PRODUCE WALK IN COOLER; INSTRUCTED TO REMOVE STANDING WATER. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED BUILD-UP IN VENTILATION HOOD OVER EQUIPMENT IN HOT FOODS AREA. INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN.",41.7578056585432,-87.5862682580187,JEWEL FOOD STORE 3030,7530 S STONY ISLAND AVE,POINT (-87.5862682580187 41.7578056585432),SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,,42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173
Local Market,2024-08-21,Pass,FALSE,TRUE,TRUE,2101 E 71St St,CHICAGO,IL,60649.0,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: FOUND BULK STORAGE CONTAINERS IN THE BAKERY AREA NOT LABELED; INSTRUCTED TO LABEL CONTAINER WITH THE NAME OF THE PRODUCT INSIDE OF THE CONTAINER. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  INSTRUCTED TO CLEAN AND MAINTAIN THE FOLLOWING: INTERIOR BOTTOM OF FRYERS TO REMOVE GREASE, EXTERIOR SURFACES OF FRYERS AND OTHER COOKING EQUIPMENT, PREP TABLES AND SOME SHELVES INSIDE OF WALK-IN UNITS. INSTRUCTED TO CLEAN VENT FAN COVERS IN WALK-IN UNITS WHERE NEEDED TO REMOVE DUST. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED THE EXPOSED HANDSINK IN THE BAKERY SERVING AREA DRAINING SLOWLY; INSTRUCTED TO CORRECT. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN THE FLOOR DRAINS UNDER SINKS WHERE NEEDED. INSTRUCTED TO CLEAN THE FLOORS UNDER COOKING EQUIPMENT WHERE NEEDED TO REMOVE GREASE, CLEAN BEHIND PROOFER IN BAKERY TO REMOVE STANDING WATER, CLEAN IN WALK-IN UNITS UNDER SHELVES WHERE NEEDED. INSTRUCTED TO CLEAN WALLS AND CEILING VENTS AROUND AND BEHIND EQUIPMENT WHERE NEEDED IN THE KTICHEN AREAS. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: INSTRUCTED TO CLEAN THE VENTS IN THE HOODED SYSTEM ABOVE COOKING EQUIPMENT IN REAR KITCHEN AREA.",41.7659900011406,-87.5737873366541,LOCAL MARKET,2101 E 71ST ST,POINT (-87.5737873366541 41.7659900011406),SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,,42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173
