DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Lakeside Maati Market,2025-04-10,Pass W/ Conditions,FALSE,TRUE,TRUE,4725 N Sheridan Rd,CHICAGO,IL,60640.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES,  FACE MASKS,  DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY  THAT KILLS NOROVIRUS) .PRIORITY FOUNDATION VIOLATION 7-38-005       | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE THERMOMETER VISIBLE INSIDE ALL REACH-IN DISPLAY COOLER. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: BACKFLOW PREVENTER DEVICE NOT LOCATED AT THE MOPSINK FAUCET. INSTRUCTED TO INSTALL SO THAT IT CAN BE LOCATED TO BE SERVICED AND MAINTAINED. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: TOILET ROOM DOOR MUST BE SELF CLOSING. INSTRUCTED TO INSTALL SELF CLOSING DEVICE.",41.9680754167857,-87.6546623542131,LAKESIDE MAATI MARKET,4725 N SHERIDAN RD,POINT (-87.6546623542131 41.9680754167857),UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549
Finest Food & Subs,2025-03-07,Pass W/ Conditions,TRUE,FALSE,TRUE,4759 N Sheridan Rd,CHICAGO,IL,60640.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PERSON IN CHARGE DOES NOT HAVE A CURRENT CITY OF CHICAGO SANITATION CERTIFICATE. PRIORITY FOUNDATION VIOLATION. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: FOUND CERTIFIED FOOD MANAGER WITH EXPIRED CITY OF CHICAGO CERTIFICATE ON SITE WHILE TCS FOODS (CHICKEN, BEEF, SALAD ETC) ARE BEING PREPARED AND SERVED. INSTRUCTED PERSON IN CHARGE, A CERTIFIED FOOD MANAGER WITH CURRENT ORIGINAL CITY OF CHICAGO FOODSERVICE SANITATION CERTIFICATE MUST BE PRESENT AT ALL TIMES THAT TIME/TEMPERATURE CONTROL FOR SAFETY (TCS) FOOD ARE BEING HANDLED. PRIORITY FOUNDATION VIOLATION  7-38-012         CITATION ISSUED  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-101.19 INSTRUCTED NOT TO USE PLASTIC SODA CRATES OR MILK CRATES AS A MEANS OF ELEVATION THROUGHOUT. MUST USE PROPER RAISED SHELVES 6"" OF THE FLOOR FOR EASY ACCESS ON CLEANING AND TO PREVENT CONTAMINATION. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.16  INSTRUCTED TO SEAL HOLES ON WALL AROUND REAR PREP/DISHWASHING AREA | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOOR UNDERNEATH 2 DOOR REACH-IN COOLER IN POOR REPAIR IN REAR DISHWASHING AREA. INSTRUCTED TO REPAIR AND MAINTAIN.",41.9690466747172,-87.6546740589761,FINEST FOOD SUBS,4759 N SHERIDAN RD,POINT (-87.6546740589761 41.9690466747172),UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549
Spot Stop Deli & Grocery,2024-11-20,Pass W/ Conditions,TRUE,FALSE,TRUE,1122 W Wilson Ave,CHICAGO,IL,60640.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: NO PERSON IN CHARGE PRESENT AT THE TIME OF INSPECTION. PRIORITY FOUNDATION VIOLATION. NO CITATION ISSUED. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO MANAGER WITH A VALID CITY OF CHICAGO FOOD CERTIFICATE ON SITE AT TIME OF INSPECTION. INSTRUCTED CURRENT PERSON IN CHARGE THAT A MANAGER WITH A VALID CITY OF CHICAGO FOOD CERTIFICATE MUST BE PRESENT DURING ALL HOURS OF OPERATION WHILE TCS FOODS SUCH AS COFFEE AND SANDWICHES ARE HANDLED AND PREPARED. PRIORITY FOUNDATION VIOLATION, #7-38-012. CITATION ISSUED. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED BOXES OF FOOD STORED ON THE FLOOR IN THE WALK IN COOLER AND IN THE WALK IN FREEZER. INSTRUCTED MANAGER TO ELEVATE ALL FOOD ITEMS AT LEAST 6 INCHES FROM GROUND.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED EXTERIOR OF SOFT SERVE/ICE CREAM MACHINE AND VARIOUS EQUIPMENT THROUGHOUT THE HAVE PROTECTIVE PLASTIC LAYERS TORN. INSTRUCTED MANAGER TO REMOVE ALL TORN PROTECTIVE PLASTIC LAYERS ON MACHINES TO PROVIDE A SMOOTH AND EASILY CLEANABLE AREA.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED SIGNIFICANT ICE BUILD UP BEHIND THE FANS IN THE WALK IN FREEZER. INSTRUCTED MANAGER TO REMOVE ALL BUILD UP OF ICE IN WALK IN FREEZER.  | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED THE RIGHT SIDE OF FAUCET OF 2 COMPARTMENT SINK TO BE LEAKING WHEN HOT OR COLD WATER ARE TURNED ON. INSTRUCTED MANAGER TO SERVICE FAUCET AND MAINTAIN IN GOOD REPAIR.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED EMPLOYEE PERSONAL ITEMS AND CLOTHING STORED ON EQUIPMENT AND BOXES THROUGHOUT FACILITY. INSTRUCTED MANAGER TO DESIGNATE AN AREA FOR EMPLOYEES TO STORE ALL PERSONAL ITEMS AND ENSURE THIS AREA IS USED.",41.965497036127300,-87.6584028095484,SPOT STOP DELI GROCERY,1122 W WILSON AVE,POINT (-87.6584028095484 41.965497036127296),UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549
"Uptown Shop & Save Inc.,",2024-11-13,Pass W/ Conditions,TRUE,FALSE,TRUE,4605 N Sheridan Rd,CHICAGO,IL,60640.0,"21. PROPER HOT HOLDING TEMPERATURES - Comments: OBSERVED COOKED CHICKEN THIGHS (110F), RICE (82F), AND TACO BEEF (79.3F) STORED ON TOP OF THE TURNED OFF HOT HOLDING UNIT IN HOT HOLDING AREA IN SERVICE/TACO AREA WITH NO ACTIVE SOURCE OF TEMPERATURE REGULATION. MANAGER STATED ITEMS WERE COOKED THIS MORNING AND WERE TO BE USED FOR PREPARED CONTAINER LUNCHES. INSTRUCTED MANAGER TO HOT HOLD TCS FOOD ITEMS AT OR ABOVE 135F AT ALL TIMES, OR RAPIDLY COOL WITHIN APPROPRIATE TIME CONSTRAINTS AND COLD HOLD BELOW 41F. MANAGER VOLUNTARILY DISCARDED AND DENATURED 45LBS WITH A VALUE OF $300 TO TRASH AT TIME OF INSPECTION. PRIORITY VIOLATION, 7-38-005. CITATION ISSUED. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD ITEMS AND BINS STORED ON THE FLOOR IN THE DRINK WALK IN COOLER ON MAIN FLOOR. INSTRUCTED MANAGER TO ELEVATE ALL ITEMS AT LEAST 6 INCHES FROM FLOOR.  | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED HANDLES OF HOT AND COLD WATER OF UTILITY SINK OFF STAIRS TO BE MISSING. SINK IS STILL OPERATIONAL WITH USE OF ATTACHED PLIERS. INSTRUCTED MANAGER TO SERVICE BROKEN/MISSING HANDLES AND MAINTAIN IN GOOD REPAIR.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED THE BATHROOM OFF STAIRS TO NOT HAVE A COVERED TRASH CAN. INSTRUCTED MANAGER TO ENSURE ALL UNISEX BATHROOMS ON SITE HAVE COVERED TRASH CASH. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED HAND TOWEL DISPENSER TO BE DAMAGED AT HAND SINK IN DELI AREA. TOWELS ARE DISPENSED BUT EXTREMELY SLOWLY AND CAREFULY. INSTRUCTED MANAGER TO REPAIR TO ALLOW FOR CONSISTENT ACCESS TO PAPER TOWELS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOILED FLOOR AND FOOD DEBRIS BUILD UP ON WALK IN COOLER IN BASEMENT. INSTRUCTED MANAGER TO DETAIL CLEAN BELOW SHELVES TO ENSURE ALL SPILLAGE AND FOOD DEBRIS ARE REMOVED.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MOPS STORED IN BUCKETS AND IN MOP SINK AT TIME OF INSPECTION. INSTRUCTED MANAGER TO INVERT ALL MOPS TO ALLOW FOR DRYING IN BETWEEN USE.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED SWEATER AND PERSONAL ITEMS STORED ON SHELVES IN WALK IN COOLER ON MAIN FLOOR AND ON SHELVES IN BASEMENT PREP AREA. INSTRUCTED MANAGER TO DESIGNATE AN AREA TO ENSURE ALL EMPLOYEE ITEMS ARE STORED IN AREAS AWAY FROM FOOD STORAGE AND PREP.",41.9655835157699,-87.6546434328009,UPTOWN SHOP SAVE INC,4605 N SHERIDAN RD,POINT (-87.6546434328009 41.9655835157699),UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549
"First Stop Food Mart, Inc.",2019-12-17,Pass W/ Conditions,TRUE,FALSE,FALSE,4425 N Sheridan Rd,CHICAGO,IL,60640.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICY/TRAINING ON SITE. INSTRUCTED FACILITY TO ESTABLISH AN APPROPRIATE EMPLOYEE HEALTH POLICY/TRAINING SYSTEM AND MAINTAIN WITH VERIFIABLE DOCUMENTS ON SITE. PRIORITY FOUNDATION VIOLATION 7-38-010. NO CITATION ISSUED  | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED FACILTY TO DEVELOP AND MAINTAIN A PROCEDURE /PLAN AND TO MAINTAIN ANY APPROPRIATE SUPPLIES ON SITE. PRIORITY FOUNDATION VIOLATION 7-38-005 NO CITATION ISSUED | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED 3 COMPARTMENT SINK IN ROOM WITHOUT EXPOSED HAND SINK. INSTALL EXPOSED HADN SINK JUST FOR HANDWASHING WITH HOT AND COLD RUNNIG WATER SOAP AND PAPER TOWELS. PRIORITY FOUNDATION VIOLATION 7-38-030 (C) | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED BACKFLOW PREVENTION DEVICE COULD NOT BE LOCATED ON WATER LINE OF COFFEE MACHINE.",41.9625763397584,-87.6546109729768,FIRST STOP FOOD MART INC,4425 N SHERIDAN RD,POINT (-87.6546109729768 41.9625763397584),UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549
"Belchi Gas & Food,Inc.",2019-07-23,Pass W/ Conditions,TRUE,FALSE,TRUE,755 W Lawrence Ave,CHICAGO,IL,60640.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED FACILTY TO DEVELOP AND MAINTAIN A PROCEDURE /PLAN AND TO MAINTAIN ANY APPROPRIATE SUPPLIES ON SITE. PRIORITY FOUNDATION VIOLATION 7-38-005 NO CITATION ISSUED. | 33. PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL - Comments: OBSERVED COOLER AT 55F. OBSERVED COOLER EMPTY WITH OUT OF ORDER SIGN ON COOLER. MANAGER PROVIDER A RECIEPT FOR NEW COOLER. COOLER WAS TAGGED. PRIORITY VIOLATION NO CITATION ISSUED. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED ALL COOLERS NEED THERMOMETERS INSTALL AND MAINTIAN. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED DRINKS AND PACKAGED FOOD STORED ON FLOOR. MUST STORE ALL DRINKS ADN PACKAGED FOOD AT LEAST 6 INCHES OFF FLOOR TO PREVENT CONTAMINATION. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED PACKAGED DRINKS STORED IN WASHROOM. NO FOOD PRODUCT CAN BE STORED IN WASHROOM. REMOVE AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED TOP COVER OF BACK OF TOILET MISSING. REPLACE AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED BOTTOM OF REACH IN COOLER IN REGISTER AREA UNCLEAN. CLEAN BOTTOM OF COOLER AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOOR NOT SMOOTH AND EASILY CLEANABLE. RESTORE RAW WOOD FLOOR TO A SMOOTH EASILY CLEANABLE SURFACE.",41.96905247538070,-87.6497886760537,BELCHI GAS FOODINC,755 W LAWRENCE AVE,POINT (-87.6497886760537 41.96905247538071),UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549
24 Seven Food Mart,2017-01-13,Pass W/ Conditions,TRUE,FALSE,TRUE,4343 N Clarendon Ave,CHICAGO,IL,60613.0,"2. FACILITIES TO MAINTAIN PROPER TEMPERATURE - Comments: FOUND REACH IN COOLER AT IMPROPER COLD HOLDING TEMPERATURES. REACH IN COOLER AT 47.0F. CRITICAL VIOLATION. 7-38-005. | 3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: FOUND POTENTIALLY HAZARDOUS FOOD AT IMPROPER COLD HOLDING TEMPERATURES. 26 POUNDS PACKAGES OF CHEESE AT 43.4-47.8, 8 POUNDS OF CHICKEN AND DELI MEAT LUNCHABLES AT 49.7F, 9 POUNDS OF DELI MEAT AT 44.3F, 6 POUNDS OF CREAM CHEESE AT 45.2F, 17 POUNDS OF CREAM CHEESE AT 46.2F, AND 10 POUNDS OF PUDDING AT 46.9F. CRITICAL VIOLATION. 7-38-005. APPROXIMATELY 76 POUNDS OF FOOD DISPOSED. VALUE AT 350 DOLLARS.  | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: FOUND FOLLOWING NOT CLEAN: SINKS, TABLES, COUNTERS, AND SHELVING UNITS. MUST CLEAN AND SANITIZE ALL MENTIONED. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FOUND FLOORS NOT CLEAN ALONG WALLS AT REAR OF PREMISES. MUST CLEAN AND SANITIZE. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: FOUND LEAKY DRAINAGE PIPING AT REAR EXPOSED HAND SINK. MUST REPAIR. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: FOUND CLUTTER AT REAR OF PREMISE.(OLD EQUIPMEMT, BOXES, ETC.) MUST REMOVE ALL CLUTTER AND ORGANIZE REAR STORAGE.",41.9616671368556,-87.649760569506,24 SEVEN FOOD MART,4343 N CLARENDON AVE,POINT (-87.649760569506 41.9616671368556),UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549
Kaneshie Supermarket,2015-01-23,Pass W/ Conditions,FALSE,TRUE,FALSE,4552 N Broadway,CHICAGO,IL,60640.0,"14. PREVIOUS SERIOUS VIOLATION CORRECTED, 7-42-090 - Comments: PREVIOUS SERIOUS VIOLATION FROM REPORT# 1515393 DATED 12-23-14 NOT CORRECTED: ""OBSERVED OVER 20 MOUSE DROPPINGS BEHIND THE FOOD STORAGE RACKS ALONG THE NORTH WALL OF FACILITY. INSTRUCTED TO REMOVE, CLEAN, AND SANITIZE INFECTED AREA. ADDITIONAL PEST CONTROL SERVICE IS NEEDED TO MINIMIZE OR ELIMINATE RODENT ACTIVITY.""    FACILITY REMOVED ALL PEST EVIDENCE AND TERMINIX PEST CONTROL COMPANY ARRIVED ON SITE DURING INSPECTION. VIOLATION ABATED. CRITICAL CITATION ISSUED 7-42-090.",41.9649925306647,-87.6573766547855,KANESHIE SUPERMARKET,4552 N BROADWAY,POINT (-87.6573766547855 41.9649925306647),UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549
Bangkok Video & Grocery Inc,2014-09-16,Pass W/ Conditions,TRUE,FALSE,TRUE,4617 N Clark St,CHICAGO,IL,60640.0,"1. SOURCE SOUND CONDITION, NO SPOILAGE, FOODS PROPERLY LABELED, SHELLFISH TAGS IN PLACE - Comments: SOURCE SOUND CONDITION. FOUND FOOD ON PREMISES FROM UNKNOWN FOOD SOURCE: COOKED FISH,HOME MADE SAUSAGE,RICE AND PORK,ALSO BEEF JERKY WITH SESAME SEEDS.SOME RECEIPTS ON PREMISES ONLY HAD FOOD NAME, QUANTITY, COST AND DATE OF WHEN PRODUCT WAS DROPPED OFF,OTHER RECEIPTS JUST THE AMOUNT OF THE COST.NO INFORMATION WERE FOOD CAME FROM. FOOD DISCARDED AND DENATURED,POUNDS 2.5, VALUE $35.FOOD IS TO BE OBTAINED FROM AN APPROVED SOURCE.  CRITICAL VIOLATION:7-38-005(B) | 3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: POTENTIALLY HAZARDOUS FOOD AT IMPROPER TEMPERATURE. FOUND 6 PACKAGED FOOD:COOKED RICE AND KABOB PORK AT TEMP OF 82.7F TO 87.7F;COOKED FISH AT TEMP OF 70F;FOOD WERE STORED ON TOP THE DISPLAY CASE AT ROOM TEMPERATURE. FOOD DISCARDED AND DENATURED.POUND 2,VALUE $30.COLD FOOD MUST MAINTAIN TEMP OF 40F AND BELOW,HOT 140F AND ABOVE.  CRITICAL VIOLATION:7-38-005(A) | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: EXTREMELY STAINED CARPET IN SELLING AREA,INSTRUCTED TO SHAMPOO SAID CARPET AND MAINTAIN OR REPLACE.SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT MATERIAL | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: NO STEAM THERMOMETERS PROVIDED ON PREMISES,INSTRUCTED TO PROVIDE TO BE ABLE TO CHECK FOOD TEMPERATURE UPON DELIVERY.",41.965827466539300,-87.6667035562743,BANGKOK VIDEO GROCERY INC,4617 N CLARK ST,POINT (-87.6667035562743 41.965827466539295),UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549
Jewel Food Store #3455,2025-02-20,Pass,FALSE,TRUE,TRUE,4355 N Sheridan Rd,CHICAGO,IL,60613.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RUSTY FOOD STORAGE SHELVING INSIDE DELI WALK-IN COOLER. MUST REPAIN OR REPLACE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAKING FAUCET BASE AT THE 3-COMPARTMENT SINK LOCATED IN REAR CLEANING AREA. MUST REPAIR LEAKING AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DUST AND DIRT BUILD UP ON FLOOR DRAINS INSIDE WALK-IN PRODUCE COOLER. MUST CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED STAINS AND DIRT ON CEILING IN PRODUCE CUTTING AREA. MUST REPAIR AND MAINTAIN.",41.9613977799035,-87.6545929748473,JEWEL FOOD STORE 3455,4355 N SHERIDAN RD,POINT (-87.6545929748473 41.9613977799035),UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549
