DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
"Mid City Food & Fuel,Inc.",2024-12-19,Pass W/ Conditions,TRUE,FALSE,TRUE,8950-8958 S Ashland Ave,CHICAGO,IL,60620.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PIC DOESN'T HAVE A CERTIFIED FOOD MANAGERS CERTIFICATE MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-012) | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CERTIFIED FOOD MANAGERS CERTIFICATE POSTED TO VIEW NOR ON DUTY WHILE TCS FOODS ARE BEING PREPARED, HANDLED, AND SERVED SUCH AS (SANDWICHES, COOKED GROUND BEEF, CHEESE SAUCE)MUST PROVIDE AND MAINTAIN. (PRIORITY FOUNDATION 7-38-012)(CITATION ISSUED) | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGN AT HAND SINK IN REAR PREP/DISH WASHING AREA MUST PROVIDED AND MAINTAINED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HAND WASHING SINK IN REAR PREP/DISH WASHING AREA NOT ACCESSIBLE OBSERVED SEVERAL BOTTLES & TOOLS INSIDE OF HAND SINK BASIN.ITEMS THAT WERE REMOVED DURING INSPECTION MUST BE ACCESSIBLE AT ALL TIMES.(PRIORITY FOUNDATION 7-38-030(C)(CITATION ISSUED) | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO SOAP AT HAND SINKS IN BOTH FRONT & REAR PREP AREA HAND SINKS SOAP WAS PROVIDED DURING INSPECTION MUST BE PROVIDE AND MAINTAINED AT ALL TIMES.(PRIORITY FOUNDATION 7-38-030(C)(CITATION ISSUED)(COS)(CONSOLIDATED VIOLATION) | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND DRYING DEVICES AT HAND SINKS IN BOTH FRONT & REAR PREP AREA HAND SINKS PAPER TOWELS WERE PROVIDED DURING INSPECTION MUST BE PROVIDE AND MAINTAINED AT ALL TIMES.(PRIORITY FOUNDATION 7-38-030(C)(CITATION ISSUED)(COS)(CONSOLIDATED VIOLATION) | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: MUST REPAIR OR REPLACE DIGITAL THERMOMETER DISPLAY NOT OPERABLE OR PROVIDE ADDITIONAL INSIDE OF UNIT TO MONITOR TEMPERATURE. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: MUST LABEL BULK FOOD STORAGE CONTAINERS IN LOWER CABINET ON SALES FLOOR WHEN NOT IN ORIGINAL PACKAGE. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: MUST LABEL PREPACKAGED SANDWICHES ON DISPLAY FOR SALE WITH PROPER INFO GIVEN. | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: MUST REMOVE THE SCOOP STORED INSIDE THE BULK FOOD STORAGE CONTAINER AND STORE IT PROPERLY. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST ELIMINATE CRATES USED FOR FOOD STORAGE THROUGHOUT REAR STORAGE AREA, WALK-IN COOLER & FREEZER, AND PROVIDE ADEQUATE SHELVING UNITS. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST REPAIR OR REPLACE MIDDLE STOPPER HANDLE AT 3- COMPARTMENT SINK NOT OPERABLE,EXTERIOR WALK IN COOLER DOOR PANEL IN POOR REPAIR & MISSING FAN GUARD COVER.LOWER VANITY SHELF UNDER HAND SINK ON SALES FLOOR IN POOR REPAIR. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST DEFROST ICE BUILD-UP IN ICE CREAM FREEZER.MUST CLEAN DUST BUILD-UP ON SERVICE COUNTER SHELVING UNITS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST REPAIR OR REPLACE DAMAGED, MISSING, AND LOOSE FLOOR TILE AT THE ENTRY DOOR, REAR & SERVICE COUNTER STORAGE AREA, AND STAINED CEILING TILES ON THE SALES FLOOR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN DUST BUILD UP FROM CEILING VENTS ON SALES FLOOR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN DEBRIS BUILD UP FROM FLOOR UNDER,AROUND,ALONG WALL BASES THROUGHOUT REAR PREP/STORAGE AREA,WALK IN COOLER AND FREEZER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN FOOD SPLATTER FROM WALLS IN THE REAR PREP AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST ELEVATE, REMOVE, AND ORGANIZE ARTICLES OFF OF THE FLOOR AND AWAY FROM WALLS IN THE REAR STORAGE AREA AND PREP AREA/STORAGE. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO FOOD HANDLERS TRAINING FOR EMPLOYEES MUST PROVIDE AND MAINTAIN.",41.7305933812543,-87.6630576298821,MID CITY FOOD FUELINC,89508958 S ASHLAND AVE,POINT (-87.6630576298821 41.7305933812543),WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,,72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163
Jewel Food Store #3176,2024-12-05,Pass W/ Conditions,FALSE,TRUE,TRUE,9400 S Ashland Ave,CHICAGO,IL,60620.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PIC DOESN'T HAVE A CERTIFIED FOOD MANAGERS CERTIFICATE.MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-012) | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CERTIFIED FOOD MANAGER ON DUTY WHILE TCS FOODS ARE BEING PREPARED,HANDLED AND SERVED SUCH AS (FISH,SLICING OF DELI MEATS,COOKING OF CHICKEN,ETC)MUST BE ON SITE AT ALL TIMES.(PRIORITY FOUNDATION 7-38-012)",41.7229412182097,-87.6628628712731,JEWEL FOOD STORE 3176,9400 S ASHLAND AVE,POINT (-87.6628628712731 41.7229412182097),WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,,72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163
Tasty Chicken & Fish Food Mart,2024-11-26,Pass W/ Conditions,TRUE,FALSE,TRUE,1120-1122 W 95Th St,CHICAGO,IL,60643.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTED TO PROVIDE HANDWASHING SIGNAGE AT ALL HANDWASHING SINKS, AND DETAIL CLEAN SOAP DISPENSER NOZZLES THROUGHOUT PREMISES. | 23. PROPER DATE MARKING AND DISPOSITION - Comments: OBSERVED READY-TO-EAT, TIME/TEMPERATURE CONTROL FOR SAFETY (TCS) FOODS (DELI MEAT) DATE MARKED TO INDICATE THE DATE IN WHICH THE FOOD MUST BE SOLD, DISCARDED, OR CONSUMED WITHIN 7 DAYS; DATE WAS 6 DAYS PAST DUE. DISCARDED APPROXIMATELY 5 CAKES AND 3 LBS OF YOGURT, VALUED AT $35. PRIORITY FOUNDATION VIOLATION. #7-38-005. CITATION ISSUED. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: ALL BULK FOOD CONTAINERS NEED TO BE PROPERLY LABELED WITH COMMON NAME.  | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: OBSERVED SCOOPS FOR DRY STORAGE CONTAINERS BEING STORED DIRECTLY INSIDE OF THE CONTAINER. INSTRUCTED TO PROPERLY STORE ALL UTENSILS BETWEEN USE.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARDBOARD AND ALUMINIUM USED AS LINER ON FOOD PREP EQUIPMENT AND TABLES. INSTRUCTED TO REMOVE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED TORN DOOR GASKET INSIDE OF ALL COOLERS THROUGHOUT PREMISES INSTRUCTED TO REPLACE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CUTTING BOARDS IN THE REAR PREP AREA WITH OPEN SEAMS AND DARK STAINS. INSTRUCTED TO REFINISH OR REPLACE DAMAGED OR STAINED CUTTING BOARDS AND MAINTAIN AT ALL TIMES.   | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED GREASE BUILDUP, FOOD DEBRIS, AND DIRT ON FLOOR UNDER COOKING EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN PREP, DISH WASHING, STORAGE AND BASEMENT AREAS. INSTRUCTED MANAGER TO CLEAN FLOORS UNDER ALL EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN ALL AREAS. OBSERVED DUST BUILDUP ON FAN IN WALK-IN COOLER, LIGHT SHIELDS IN COOKING AREA AND CEILING AND WALL VENTS  IN PREP AND STORAGE AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN ALL FANS, LIGHT SHIELDS AND CEILING/WALL VENTS.",41.7214660882639,-87.6515878591621,TASTY CHICKEN FISH FOOD MART,11201122 W 95TH ST,POINT (-87.6515878591621 41.7214660882639),WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,,72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163
Fresh Mart Express Inc.,2024-11-22,Pass W/ Conditions,FALSE,FALSE,TRUE,9455 S Ashland Ave,CHICAGO,IL,60620.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: observed no clean-up policy procedure and items for vomiting and diarrhea must provide and maintain.(priority foundation 7-38-005) | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED A GAP ALONG BOTTOM OF FRONT DOOR,REAR DOOR & BASEMENT IN POOR REPAIR LEAVING A LARGE GAP UNDERNEATH. MUST MAKE DOORS TIGHT FITTING. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST REPAIR OR REPLACE DAMAGED DOOR HANDLE ON 3- DOOR REACH IN COOLER AND WORN DOOR GASKETS. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST REMOVE RUST FROM SOME DISPLAY SHELVES ON SALES FLOOR.MUST APPLY A SEALANT OR PAINT RAW WOOD LEDGE ABOVE MOPSINK.LOWER VANITY AT 1- COMPARTMENT AND TOILET ROOM IN POOR REPAIR. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN DUST BUILD UP FROM SERVICE COUNTER SHELVING UNITS,VANITY IN TOILET ROOM AND CABINETS ABOVE AND UNDER 1- COMPARTMENT SINK,WINDOW SILL LEDGES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST REPAIR OR REPLACE DAMAGED FLOOR TILES ON SALES FLOOR & REAR DOOR. MUST SEAL HOLE IN FLOOR AROUND WIRES IN REAR AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST PROVIDE A HOOKING SYSTEM AT MOPSINK. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN DUST BUILD UP FROM WALL & CEILING VENT AND LIGHT SHIELD. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN DEBRIS FROM FLOOR UNDER DISPLAY SHELVES ON SALES FLOOR AND WATER FROM BASEMENT FLOOR AND KEEP DRY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST ELEVATE ARTICLES OFF FLOOR IN REAR STORAGE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: MUST REPAIR OR REPLACE BURNTOUT LIGHTS WHERE NEEDED.",41.7214216530356,-87.6625438076181,FRESH MART EXPRESS INC,9455 S ASHLAND AVE,POINT (-87.6625438076181 41.7214216530356),WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,,72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163
Citgo,2021-11-15,Pass W/ Conditions,TRUE,FALSE,TRUE,9906 S Vincennes Ave,CHICAGO,IL,60643.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNS AT HAND WASHING SINKS IN PREP AND WASHROOM AREAS. INSTRUCTED MANAGER TO PROVIDE HAND WASHING SIGNS AT ALL HAND WASHING SINKS USED BY EMPLOYEES. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAKING DRAINPIPE UNDER HAND WASHING SINK IN DISH WASHING AREA. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE IN WASHROOM. INSTRUCTED MANAGER TO PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER IN STAFF WASHROOM AND REAR STORAGE AREAS. INSTRUCTED MANAGER TO REMOVE ALL UNNECESSARY ARTICLES AND ORGANIZE ALL AREAS. | 64. MISCELLANEOUS / PUBLIC HEALTH ORDERS - Comments: OBSERVED MALE EMPLOYEE AND SEVERAL CUSTOMERS NOT WEARING FACE COVERINGS INSIDE ESTABLISHMENT. INDIVIDUALS REGARDLESS OF VACCINATION STATUS ARE REQUIRED TO WEAR A MASK SECURELY COVERING NOSE AND MOUTH WHEN INDOORS AND ANY PUBLIC PLACE. 7-28-060 CITATION ISSUED.",41.7138228240122,-87.6535702237826,CITGO,9906 S VINCENNES AVE,POINT (-87.6535702237826 41.7138228240122),WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,,72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163
Flavorful Gourmet Popcorn And More,2019-02-15,Pass W/ Conditions,TRUE,FALSE,TRUE,1329 W 99Th St,CHICAGO,IL,60643.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO SUPPLIES OR PROCEDURES FOR RESPONDING TO VOMITING OR DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE APPROPRIATE SUPPLIES AND PROCEDURES FOR CLEAN UP POLICY. PRIORITY FOUNDATION 7-38-005 | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED NO SHELVING FOR STORAGE. INSTRUCTED TO PROVIDE ADEQUATE SHELVING FOR FOOD STORAGE. ALL FOOD MUST BE ELEVATED SIX INCHES OFF FLOOR. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OBSERVED NO ATTACHED METAL DRAINBOARD ON 3-COMPARTMENT SINK. INSTRUCTED MANAGER TO PROVIDE DRAINBOARD.",41.713936774508300,-87.6562961891205,FLAVORFUL GOURMET POPCORN AND MORE,1329 W 99TH ST,POINT (-87.6562961891205 41.713936774508305),WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,,72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163
Discount Stop Inc.,2019-01-09,Pass W/ Conditions,TRUE,FALSE,TRUE,1450 W 95Th St,CHICAGO,IL,60643.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN UP POLICY FOR VOMITING OR DIARRHEAL EVENTS. INSTRUCTED MANAGER TO PROVIDE CLEAN UP POLICY. PRIORITY FOUNDATION 7-38-005 | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGN AT HAND WASHING SINK IN WASHROOM. INSTRUCTED MANAGER TO POST HAND WASHING SIGN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RAW WOOD SURFACES ON SHELVING UNITS IN SALES AREA, BASES AROUND FRONT COUNTER AND FLOOR BEHIND FRONT COUNTER. INSTRUCTED MANAGER TO SEAL ALL RAW WOOD SURFACES TO BE SMOOTH AND EASILY CLEANABLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE CLUTTER AND EQUIPMENT IN REAR STORAGE AREA. INSTRUCTED MANAGER TO REMOVE ALL UNUSED ARTICLES AND EQUIPMENT TO PREVENT PEST HARBORAGE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNSEALED CONCRETE FLOOR IN SALES AREA. INSTRUCTED MANAGER TO SEAL FLOORS AND MAINTAIN TO BE SMOOTH AND EASILY CLEANABLE.",41.7213579238604,-87.6598836157635,DISCOUNT STOP INC,1450 W 95TH ST,POINT (-87.6598836157635 41.7213579238604),WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,,72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163
Neighborhood Deli-Groc,2025-04-03,Pass,TRUE,FALSE,TRUE,9001-9003 S Ashland Ave,CHICAGO,IL,60620.0,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: MUST LABEL SQUEEZE BOTTLES WHEN FOOD IS NOT IN ORIGINAL PACKAGE. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: MUST ELEVATE BUCKETS OF FOOD OFF OF FLOOR IN WALK IN COOLER AND STORE ON ADEQUATE SHELVING UNITS. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST ELIMINATE CRATES TIED TOGETHER IN WALK IN COOLER AND PROVIDE ADEQUATE SHELVING UNITS FOR FOOD STORAGE TO BE EASILY CLEANABLE.MUST REMOVE RUST FROM EXTERIOR OF REAR REACH IN FREEZER & WALK IN COOLER SHELVING UNITS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN DEBRIS BUILD UP FROM UNUSED EQUIPMENT IN REAR PREP AREA.MUST DEFROST ICE BUILD UP IN REAR REACH IN UPRIGHT FREEZER. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments:  MUST PROVIDE A SELF CLOSING DEVICE ON TOILET ROOM DOOR LEADING INTO PREP/DISH WASHING AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST REPAIR OR REPLACE DAMAGED FLOOR TILES THROUGHOUT PREMISES AND STAINED CEILING TILES ON SALES FLOOR.",41.730209339333,-87.6627536829885,NEIGHBORHOOD DELIGROC,90019003 S ASHLAND AVE,POINT (-87.6627536829885 41.730209339333),WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,,72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163
Dollar Tree #5886,2024-08-19,Pass,TRUE,FALSE,TRUE,9341 S Ashland Ave,CHICAGO,IL,60620.0,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: 3-305.11 : OBSERVED FOOD PRODUCT STORED ON FLOOR OF WALK IN FREEZER MUST ELEVATE FOOD AND STORE PROPERLY. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C) : MUST CLEAN DUST & DEBRIS BUILD UP FROM SHELVING UNITS AT CASHIER BOOTHS,MERCHANDISE SHELVING UNITS ON SALES FLOOR ,WINDOW SILLS,REACH IN COOLERS AND FREEZERS. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments:  5-501.17 : MUST PROVIDE A GARBAGE CAN WITH LID IN STAFF AND CUSTOMERS TOILETROOMS | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.13 : MUST REPAIR OR REPLACE STAINED CEILING TILES IN HALLWAY OUTSIDE OF TOILET ROOMS AND SALES FLOOR,DAMAGED CONCRETE FLOOR IN REAR STORAGE AREA OF WALK WAY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.13 : MUST CLEAN DEBRIS FROM FLOOR UNDER SOME DISPLAY UNITS ON SALES FLOOR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-501.114 : MUST MAKE AISLES IN REAR STORAGE AREA FOR EASY ACCESSIBLILITY FOR CLEANING AROUND PALLETS AND U-BOATS",41.7235984413941,-87.6625853764112,DOLLAR TREE 5886,9341 S ASHLAND AVE,POINT (-87.6625853764112 41.7235984413941),WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,,72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163
"Y & H Food Market,Ltd.",2024-07-18,Pass,TRUE,FALSE,FALSE,9307 S Halsted St,CHICAGO,IL,60620.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-101.19 : MUST ELIMINATE CRATES USED FOR STORAGE THROUGHOUT PREMISES AND PROVIDE ADEQUATE SHELVING UNITS | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C) : MUST DEFROST ICE BUILD UP FROM ALL FREEZERS THROUGHOUT PREMISES.MUST CLEAN DUST BUILD UP FROM ALL DISPLAY SHELVES AND RACKS, REACH IN COOLERS . | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: : 6-201.13 : MUST REPAIR OR REPLACE DAMAGED ,BROKEN AND MISSING FLOOR TILES THROUGHOUT PREMISES.",41.724755900324,-87.6431562897176,Y H FOOD MARKETLTD,9307 S HALSTED ST,POINT (-87.6431562897176 41.724755900324),WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163,,,72.0,WASHINGTON HEIGHTS,79635752.8769,73.0,73.0,42222.598163
