DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Food 4 Less Midwest #552,2024-10-29,Pass W/ Conditions,FALSE,TRUE,TRUE,7030 S Ashland Ave,CHICAGO,IL,60636.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PIC DOESN'T HAVE A CERTIFIED FOOD MANAGERS CERTIFICATE MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-012) | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: 2-101.11	OBSERVED NO CERTIFIED FOOD MANAGER ON DUTY WHILE TCS FOODS ARE BEING PREPARED, HANDLED, AND SERVED, SUCH AS (SLICING DELI MEATS, BAKED GOODS, FRESH GROUND MEATS, ETC.)MUST BE ON SITE AT ALL TIMES. (PRIORITY FOUNDATION 7-38-012)(CITATION ISSUED) | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: 4-204.112(B) : MUST PROVIDE A THERMOMETER FOR CAKE DISPLAY COOLERS THAT AREN'T OPERABLE AT THIS TIME. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.11 : MUST REPAIR OR REPLACE WORN DOOR GASKETS FOR DAIRY- WALK IN COOLER & MAIN WALK IN FREEZER | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  4-601.11(C) : MUST CLEAN DEBRIS BUILD UP FROM EXTERIOR OF OVEN IN DELI. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11 : MUST CLEAN DUST BUILD UP FROM WALLS AND CEILING IN BAKERY PREP AREA. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments:  6-202.11 : MUST REPAIR OR REPLACE CRACKED LIGHT SHIELDS IN BAKERY DISH WASHING AREA,BURNTOUT LIGHTS IN BAKERY PREP AREA.",41.7657907704319,-87.663966886455,FOOD 4 LESS MIDWEST 552,7030 S ASHLAND AVE,POINT (-87.663966886455 41.7657907704319),WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,,66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069
Clark,2024-09-06,Pass W/ Conditions,TRUE,FALSE,FALSE,6112-6124 S Ashland Ave,CHICAGO,IL,60636.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PIC DOESN'T HAVE A CERTIFIED FOOD MANAGERS CERTIFICATE MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-012) | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CERTIFIED FOOD MANAGER ON DUTY WHILE TCS FOODS ARE BEING PREPARED,HANDLED AND SERVED SUCH AS (ITALIAN BEEF, COOKED GROUND BEEF,CHEESE SAUCE) AT THIS TIME.MUST BE ON SITE AT ALL TIMES.(PRIORITY FOUNDATION 7-38-012)(CITATION ISSUED)",41.7826789546245,-87.6644451430336,CLARK,61126124 S ASHLAND AVE,POINT (-87.6644451430336 41.7826789546245),WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,,66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069
D & A Food & Liquor,2024-08-13,Pass W/ Conditions,TRUE,FALSE,FALSE,1601 W Garfield Blvd,CHICAGO,IL,60636.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: : 2-501.11 : OBSERVED NO CLEAN-UP POLICY PROCEDURE AND ITEMS FOR VOMITING AND DIARRHEA MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-005) | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: : 6-301.14 : OBSERVED NO HAND WASHING SIGN AT HAND SINK IN TOILET ROOM.MUST PROVIDE AND MAINTAIN. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15 : OBSERVED A GAP ALONG BOTTOM OF FRONT DOOR MUST MAKE DOOR TIGHT FITTING TO PREVENT RODENT ENTRY. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-101.19 : MUST APPLY A SEALANT OR PAINT RAW WOOD SHELVING UNITS INSIDE OF WALK IN COOLER.MUST ELIMINATE CRATES USED FOR LIQUOR STORAGE AND PROVIDE ADEQUATE SHELVING UNITS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C) : MUST CLEAN DUST BUILD UP FROM WALK IN COOLER SHELVING UNITS,SLEEVES & FAN GUARD COVER,EXTERIOR OF ICE FREEZER,CEILING FAN & WINDOW SILLS IN LOBBY,LIQUOR SHELVES AND COUNTER COOLERS | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 5-501.17 : OBSERVED NO LID ON GARBAGE CAN IN UNISEX TOILET ROOM MUST PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-201.11 : MUST CLEAN DUST BUILD UP FROM WALL VENTS,WALLS AND CEILINGS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.16 : MUST SCRAPE CHIPPING PAINT FROM CEILING IN WALK IN COOLER AND WALLS IN LOBBY AREA TO BE SMOOTH AND EASILY CLEANABLE | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-501.13 : MUST CLEAN EXCESSIVE DUST AND DEBRIS BUILD UP FROM FLOOR UNDER,AROUND,ALONG WALL BASES AND SHELVING UNITS THROUGHOUT PREMISES INCLUDING WALK IN COOLER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-201.13 : MUST REPAIR OR REPLACE DAMAGED AND BROKEN FLOOR TILES THROUGHOUT INCLUDING WALK IN COOLER",41.7935543630008,-87.6646375511651,D A FOOD LIQUOR,1601 W GARFIELD BLVD,POINT (-87.6646375511651 41.7935543630008),WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,,66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069
Amstar,2024-08-13,Pass W/ Conditions,TRUE,FALSE,FALSE,5501 S Ashland Ave,CHICAGO,IL,60636.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments:  2-501.11 Inspector Comments: OBSERVED NO CLEAN-UP POLICY PROCEDURE AND ITEMS FOR VOMITING AND DIARRHEA MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-005) | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  4-101.19 : MUST ELIMINATE CRATES USED FOR FOOD STORAGE ON SALES FLOOR,ALL STORAGE AREAS AND WALK IN COOLER AND PROVIDE ADEQUATE SHELVING UNITS FOR STORAGE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C) : MUST CLEAN FOOD DEBRIS AND DUST BUILD UP FROM SALES FLOOR SHELVING UNITS,COUNTER TOPS UNDER AND SLUSHY MACHINE,COFFEE MACHINE.WALK IN COOLER- FANGUARD COVERS,SHELVING UNITS,POP SLEEVES.DISH WASHING AREA-MOP SINK, 3- COMP SINK, OVERHEAD SHELVING UNIT.STORAGE AREAS & SERVICE COUNTER- ALL SHELVING UNITS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-201.11 : MUST CLEAN EXCESSIVE SPLATTER AND DIRT FROM WALLS AND CEILINGS ON SALES FLOOR,PREP/DISH WASHING AREA,WALK IN COOLER, TOILET ROOM AND STORAGE AREAS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.13 : MUST REPAIR OR REPLACE STAINED CEILING TILES THROUGHOUT PREMISES,BROKEN FLOOR TILES NEAR REAR DOOR | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-501.13 : MUST CLEAN EXCESSIVE DIRT AND DEBRIS BUILD UP FROM FLOOR UNDER,AROUND,ALONG WALL BASES THROUGHOUT PREMISES,STORAGE,WALK IN COOLER AND WHERE NEEDED.",41.7935912941157,-87.6644276372214,AMSTAR,5501 S ASHLAND AVE,POINT (-87.6644276372214 41.7935912941157),WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,,66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069
Reemy'S Food Market & Tobacco,2025-04-07,Pass,FALSE,TRUE,TRUE,1548 W Marquette Rd,CHICAGO,IL,60636.0,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: 3-302.12 : MUST LABEL FOOD STORAGE CONTAINERS WHEN FOOD IS NOT IN ORIGINAL PACKAGE (SQUEEZE BOTTLES & SHAKERS) | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: 3-602.11(A; B:1-4,6,7; C; D) : MUST LABEL REPACKAGED CANDIES,CUT FRUIT AND PALLETES FOR SALE IN COLD HOLDING UNITS WITH PROPER INFORMATION GIVEN. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments:  6-202.15 : OBSERVED A GAP ALONG BOTTOM OF FRONT DOOR AND A DAMAGED REAR DOOR SWEEP MUST REPAIR OR REPLACE TO BE TIGHT FITTING | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  4-101.19 : MUST ELIMINATE CRATES USED TO PROP UP PREP TABLE MUST PROVIDE ADEQUATE SHELVING UNITS FOR STORAGE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-204.12 : OBSERVED NO BACKFLOW DEVICE TO BE SEEN FOR SERVICING ON ICE MACHINE MUST PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.13 : MUST REPAIR OR REPLACE MISSING & STAINED CEILING TILES,LOOSE AND DAMAGED WALL BASES ON SALES FLOOR & REAR STORAGE AREA,DAMAGED & MISSING FLOOR TILES IN PREP AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-501.13 : MUST CLEAN DEBRIS & DUST BUILD UP FROM FLOOR UNDER,AROUND AND ALONG WALL BASES IN PREP ,DISH ,WALK IN COOLER AND SALES FLOOR AREAS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-501.114 : MUST ELEVATE,REMOVE AND ORGANIZE ARTICLES OFF OF FLOOR IN REAR STORAGE AREA FROM SHELVING UNITS  | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13 : OBSERVED NO FOOD HANDLERS TRAINING FOR EMPLOYEE MUST PROVIDE AND MAINTAIN.",41.7723096322429,-87.6635403242408,REEMYS FOOD MARKET TOBACCO,1548 W MARQUETTE RD,POINT (-87.6635403242408 41.7723096322429),WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,,66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069
Damen Market Inc.,2025-03-19,Pass,FALSE,TRUE,TRUE,5700 S Damen Ave,CHICAGO,IL,60636.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15 : OBSERVED A GAP ALONG BOTTOM OF FRONT AND REAR DOORS AND NO SCREEN ON BASEMENT DOOR TO MUST MAKE TIGHT FITTING TO PREVENT INSECT ENTRY. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.11 : MUST REPAIR OR REPLACE DAMAGED INTERIOR DOOR PARTICIANS OF 2- DOOR PREP COOLER. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C) : MUST CLEAN GREASE AND FOOD DEBRIS BUILD UP FROM MEAT SLICER,FRYER CABINET,PIPES OF COOKING EQUIPMENT. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.16 : MUST SCRAPE CHIPPING PAINT FROM WALLS IN PREP & DISH WASHING AREAS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: : 6-201.11 : MUST CLEAN DIRT AND DEBRIS BUILD UP FROM DOOR & WALLS IN REAR STORAGE AREA | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-501.114 : MUST ELEVATE (RACKS) ON FLOOR IN BASEMENT AND MAINTAIN TO PREVENT RODENT HARBORAGE AREAS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-201.13 : MUST REPAIR OR REPLACE DAMAGED WALL TRIM IN PREP AREA,FLOOR TILES BROKEN IN TOILET ROOM AND WHERE NEEDED.MUST REMOVE EXCESSIVE CAULKING THROUGHOUT TO BE SMOOTH AND EASILY CLEANABLE ON SURFACES. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13 : OBSERVED NO FOOD HANDLERS TRAINING FOR EMPLOYEES MUST PROVIDE AND MAINTAIN.",41.7901783202844,-87.6743394384017,DAMEN MARKET INC,5700 S DAMEN AVE,POINT (-87.6743394384017 41.7901783202844),WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,,66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069
Go Green Community Fresh Market,2025-03-14,Pass,FALSE,TRUE,TRUE,1207 W 63Rd St,CHICAGO,IL,60636.0,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: MUST LABEL PACKAGED CUT FRUIT ON DISPLAY FOR SALE WITH PROPER INFORMATION GIVEN. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED A GAP IN BOTTOM CENTER DOUBLE REAR DOORS MUST MAKE DOOR TIGHT FITTING. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST REPAIR OR REPLACE MISSING DOOR HANDLE ON REACH IN FREEZER IN DRY FOOD STORAGE AREA. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST ELIMINATE CRATES USED FOR STORAGE IN PRODUCE WALK IN COOLER AND PROVIDE ADEQUATE SHELVING UNITS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN ICE BUILD UP ON INTERIOR SURFACE OF REACH IN FREEZER IN DRY FOOD STORAGE AREA.MUST CLEAN DEBRIS AND DUST BUILD UP FROM ROLLING CARTS,REGISTER SHELVING UNITS,STOVE, EXTERIOR OF DOUBLE OVENS & MICROWAVE IN STAFF BREAK ROOM. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN DEBRIS BUILD UP FROM FLOOR UNDER,AROUND AND ALONG WALL BASES IN KITCHEN,DRY FOOD STORAGE AREA,UNDER SOME DISPLAY SHELVES ON SALES FLOOR,REGISTERS AND FLOOR DRAIN UNDER 3- COMPARTMENT SINK. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST REPAIR OR REPLACE STAINED CEILING TILES IN DRY FOOD STORAGE AREA,DAMAGED FLOOR TILE IN 1ST TOILET ROOM ON 2ND FL. AROUND TOILET. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST ELEVATE,REMOVE OR ORGANIZE ARTICLES OFF OF FLOOR AND AWAY FROM WALLS IN 2ND FL. HOT WATER TANK AREA. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: MUST PROVIDE FOOD HANDLERS TRAINING FOR NEW EMPLOYEES AND MAINTAIN.",41.779495714401900,-87.6548185646425,GO GREEN COMMUNITY FRESH MARKET,1207 W 63RD ST,POINT (-87.6548185646425 41.779495714401904),WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,,66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069
Skip'S Food And Liquor,2024-09-03,Pass,TRUE,FALSE,FALSE,5515 S Damen Ave,CHICAGO,IL,60636.0,"43. IN-USE UTENSILS: PROPERLY STORED - Comments: OBSERVED IN USE KNIVES STORED BETWEEN WALL AND PIPES IN THE MEAT PREP AREA. INSTRUCTED TO STORE IN USE UTENSILS ON A CLEAN, SANITIZED SURFACE IN BETWEEN USES AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED DOOR OF REAR VEGETABLE WALK-IN COOLER TO BE IN POOR REPAIR WITH MISSING PANELS. INSTRUCTED TO REPAIR OR REPLACE WALK-IN COOLER DOOR AND MAINTAIN ALL EQUIPMENT IN GOOD REPAIR AND ADJUSTMENT. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DRYING MOPS STORED WITH MOP HEADS AGAINST FLOOR AND WALLS IN THE REAR AREA. INSTRUCTED TO RELOCATE MOPS SUCH THAT THEY DO NOT CONTAMINATE PHYSICAL FACILITIES WHILE DRYING AND MAINTAIN.",41.7930666308707,-87.6741214290078,SKIPS FOOD AND LIQUOR,5515 S DAMEN AVE,POINT (-87.6741214290078 41.7930666308707),WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,,66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069
Citgo,2024-08-26,Pass,TRUE,FALSE,FALSE,5901 S Ashland Ave,CHICAGO,IL,60636.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED GAP BETWEEN REAR AREA EXTERIOR DOOR AND FLOOR APPEOX. 1.0"" IN WIDTH. INSTRUCTED TO ELIMINATE GAPS TO PREVENT THE ENTRY OF RODENTS AND INSECTS AND MAINTAIN. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED TURKEY IN FOOD STORAGE CONTAINER DIRECTLY ON FLOOR IN THE WALK-IN COOLER. INSTRUCTED TO STORE FOOD AT LEAST 6"" ABOVE THE FLOOR AND MAINTAIN AT ALL TIMES. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERED CUTTING BOARDS WITH DEEP SCORING AND NO LONGER EASILY-CLEANABLE IN THE KITCHEN AREA. INSTRUCTED TO RESURFACE OR REPLACE CUTTING BOARDS SO THAT CUTTING SURFACES ARE EASILY-CLEANABLE AND MAINTAIN AT ALL TIMES.",41.7866577598914,-87.6642458654684,CITGO,5901 S ASHLAND AVE,POINT (-87.6642458654684 41.7866577598914),WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,,66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069
Ke Food Mart,2024-06-04,Pass,TRUE,FALSE,TRUE,1202 W 63Rd St,CHICAGO,IL,60636.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED A GAP ALONG BOTTOM OF FRONT DOOR AND A GAP IN RIGHT CORNER OF REAR DOOR MUST MAKE DOORS TIGHT FITTING. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST REMOVE CARDBOARD FROM CHIP DISPLAY UNITS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN DUST BUILD UP FROM SERVICE COUNTER SHELVING UNITS, CHIP DISPLAY SHELVES,WINDOW SILLS.MUST DEFROST ICE BUILD UP FROM ICE CREAM FREEZER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CUT DOWN TALL WEEDS OUTSIDE AROUND DUMPSTER AND CLEAN GROUND AROUND DUMPSTER.MUST ELEVATE,REMOVE AND ORGANIZE ARTICLES OFF OF FLOOR AND AWAY FROM WALLS IN REAR STORAGE AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN DUST BUILD UP & SPIDER WEBS FROM UPPER CEILING & CEILING VENTS ON SALES FLOOR | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST REPAIR OR REPLACE DAMAGED CEILING AT FRONT WINDOW ON SALES FLOOR,DAMAGED FLOOR TILES AT FRONT SERVICE COUNTER.MUST FINISH WALLS IN REAR STORAGE AREA TO BE SMOOTH AND EASILY CLEANABLE.",41.7797169766201,-87.6546512845945,KE FOOD MART,1202 W 63RD ST,POINT (-87.6546512845945 41.7797169766201),WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,,66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069
