DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Save A Lot,2024-12-27,Pass W/ Conditions,TRUE,FALSE,TRUE,414-424 S Pulaski Rd,CHICAGO,IL,60624.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON SITE DURING TIME OF INSPECTION WITH VALID ORIGINAL CERTIFICATE POSTED WHILE CHOPPING AND SLICING RAW BEEF. INSTRUCTED TO PROVIDE AT LEAST ONE CERTIFIED FOOD MANAGER WHILE OPERATING. PRIORITY FOUNDATION VIOLATION. #7-38-012. CITATION ISSUED.  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO PAPERTOWELS AVAILBLE AT HANDSINK LOCATED IN (IN USE) MEAT PREP AREA OR HANDSINK LOCATED IN REAR PREP/STORAGE AREA. INSTRUCTED TO PROVIDE AND MAINTAIN AT ALL TIMES FOR PROPER HANDWASHING. PRIORITY FOUNDATION VIOLATION. #7-38-030 (c). CITATION ISSUED.  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND CLEANSER AT EMPLOYEE/CUSTOMER HANDSINK LOCATED INSIDE TOILET ROOM. INSTRUCTED TO PROVIDE AND MAINTAIN AT ALL TIMES FOR PROPER HAND WASHING. PRIORITY FOUNDATION VIOLATION. #7-38-030 (C). SEE ABOVE VIOLATION FOR CITATION INFORMATION. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: OBSERVED SOILED WIPING CLOTHS STORED ON PREP TABLES THROUGHOUT MEAT PREP AREA. INSTRUCTED TO STORE SAID TOWELS IN SANITIZER BUCKET WITH SOLUTION AT LEAST 50PPM IN BETWEEN USE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOORS INSIDE WALK IN COOLERS, MEAT PREP INCLUDING FLOOR DRAINS, OFFICE AND GROCERY AISLES WITH DRIED FOOD DEBRIS AND TRASH THROUGHOUT. INTRUCTED TO REMOVE, CLEAN AND MAINTAIN.",41.8747401644184,-87.7256071101661,SAVE A LOT,414424 S PULASKI RD,POINT (-87.7256071101661 41.8747401644184),WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,,25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796
Rose Foods Market,2024-12-10,Pass W/ Conditions,FALSE,TRUE,TRUE,821 S Pulaski Rd Bldg,CHICAGO,IL,60624.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO WRITTEN POLICY AVAILABLE ON SITE OR NECCESARY ITEMS AVAILABLE ON SITE FOR RESPONDING TO VOMIT AND DIAARHEAL EVENTS THAT CAN OCCUR IN THE FOOD ESRTABLISHMENT. PRIORITY FOUNDATION VIOLATION. #7-38-005. NO CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MOPS IMPROPERLY STORED ON PREMISE. INSTRUCTED TO HANG DRY TO PREVENT PEST HARBORING.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BEVERAGES AND OTHER MISCELLANEOUS ITEMS STORED ON FLOOR IN GROCERTY AREA. INSTRUCTED TO REMOVE CRATES AND PROVIDE ADEQUATE SHELVING THAT IS SMOOTH AND EASILY CLEANABLE.",41.8702507407585,-87.725178901837,ROSE FOODS MARKET,821 S PULASKI RD BLDG,POINT (-87.725178901837 41.8702507407585),WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,,25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796
Kostner Food Basket,2023-05-11,Pass W/ Conditions,TRUE,FALSE,TRUE,22-24 S Kostner Ave,CHICAGO,IL,60624.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING CLEANSER AT HANDSINK IN RESTROOM. INSTRUCTED PERSON IN CHARGE TO PROVIDE AND MAINTAIN HANDWASHING CLEANSER AT ALL TIMES. PRIORITY FOUNDATION 7-38-030(C).(SOAP PROVIDED DURING INSPECTION) CITATION ISSUED.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED TWO-DOOR REACH IN COOLER IN PREP AREA TO HAVE A LOOSE GASKET ON RIGHT DOOR. INSTRUCTED PERSON IN CHARGE TO REPAIR AND MAINTAIN.",41.8798350837426,-87.7355964756099,KOSTNER FOOD BASKET,2224 S KOSTNER AVE,POINT (-87.7355964756099 41.8798350837426),WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,,25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796
Pulaski Food Enterprises,2024-12-24,Pass,FALSE,TRUE,TRUE,2 S Pulaski Rd,CHICAGO,IL,60624.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE THERMOMETERS FOR INSIDE COOLING UNITS ON PREMISE | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED PREP COOLING UNITS ON THE PREMISES WITH EXCESSIVE AMOUNTS OF DRIED FOOD DEBRIS ON INTERIOR AND EXTERIOR SURFACES. MUST REMOVE FOIL LINING FROM SHELVING UNITS AND MAINTAIN SMOOTH AND EASILY CLEAN SURFACES. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED 3-COMPARTMENT SINK PIPING UNDERNEATH SINK BASINS WITH LEAK DRIPPING INTO BUCKET. INSTRUCTED TO REPAIR AND MAINTAIN IN GOOD CONDITION. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED TOILET ROOM DOOR NOT SELF CLOSING. INSTRUCTED TO PROVIDE | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED 2 LARGE HOLES IN WALL IN REAR PREP/DISH AREA NEAR PLUMBING. INSTUCTED TO ENCLOSE SAID HOLES AND PROVIDE SMOOTH AND EASILY CLEANABLE WALLS. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: NO FOOD HANDLING CERTIFICATES ON PREMISE FOR REVIEW. MUST PROVIDE",41.8806769908738,-87.7258161269194,PULASKI FOOD ENTERPRISES,2 S PULASKI RD,POINT (-87.7258161269194 41.8806769908738),WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,,25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796
B L Matters Food Market,2024-10-03,Pass,FALSE,TRUE,TRUE,3952 W Madison St,CHICAGO,IL,60624.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED FRONT DOOR OF THE ESTABLISHMENT WAS NOT RODENT-PROOF. INSTRUCTED TO PROVIDE AND MAINTAIN IN ORDER TO PREVENT PEST ENTRY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED AN EXCESSIVE AMOUNT OF CONSTRUCTION DEBRIS IN THE REAR FACILITY STORAGE ROOM. INSTRUCTED TO REMOVE AND MAINTAIN PREMISES. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED THAT THE VENTILATION FAN IN THE EMPLOYEE TOILET ROOM WAS INOPERABLE. INSTRUCTED TO REPAIR AND MAINTAIN IN GOOD CONDITION.",41.8808508398769,-87.7246325281197,B L MATTERS FOOD MARKET,3952 W MADISON ST,POINT (-87.7246325281197 41.8808508398769),WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,,25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796
Mk Supermarket,2023-04-26,Pass,FALSE,TRUE,TRUE,3979 W Madison St,CHICAGO,IL,60624.0,,41.8806242671744,-87.7252565970456,MK SUPERMARKET,3979 W MADISON ST,POINT (-87.7252565970456 41.8806242671744),WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,,25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796
African Supermarket & Liquor,2023-01-25,Pass,TRUE,FALSE,FALSE,4156-4158 W Madison St,CHICAGO,IL,60624.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  OBSERVED HEAVILY WATER-STAINED CEILING TILES IN REAR DRY STORAGE AREA. INSTRUCTED PERSON IN CHARGE TO REPLACE STAINED TILES AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED VENILATION IN WASHROOM NOT WORKING WITH EXCESSIVE BUILD UP OF DUST AT TIME OF INSPECTION. INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN.",41.880779974869,-87.7303060140944,AFRICAN SUPERMARKET LIQUOR,41564158 W MADISON ST,POINT (-87.7303060140944 41.880779974869),WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,,25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796
Quick Stop Shop,2022-05-06,Pass,TRUE,FALSE,FALSE,3954 W Monroe St,CHICAGO,IL,60624.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RAW EXPOSED WOOD STAIRS AT ENTRANCE THAT LEADS TO BEHIND THE COUNTER AND BEHIND THE COUNTER AT THE SHELVING UNITS.  INSTRUCTED TO PAINT OR STAIN AS A MEANS OF MAKING EASY TO CLEAN AND MAINTAIN.   | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BAGS OF ITEMS NEAR REAR EXIT DOOR AND OTHER ITEMS.  INSTRUCTED TO CLEAR AND MAINTAIN AREA AS A MEANS OF PREVENTING PEST AND OR INSECT HARBORING.",41.8798740624997,-87.7253653180431,QUICK STOP SHOP,3954 W MONROE ST,POINT (-87.7253653180431 41.8798740624997),WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,,25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796
Double J'S One Stop Shop Inc.,2021-08-23,Pass,TRUE,FALSE,FALSE,735 S Pulaski Rd,CHICAGO,IL,60624.0,57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments:  NO PROOF OF FOOD HANDLER TRAINING FOR PREP AREA STAFF. MUST PROVIDE.,41.8715934057563,-87.725224138352,DOUBLE JS ONE STOP SHOP INC,735 S PULASKI RD,POINT (-87.725224138352 41.8715934057563),WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,,25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796
North Lawndale Meat & Fresh Product Market,2024-12-06,Out Of Business,TRUE,FALSE,FALSE,628 S Pulaski Rd,CHICAGO,IL,60624.0,,41.8726231598806,-87.7255482399807,NORTH LAWNDALE MEAT FRESH PRODUCT MARKET,628 S PULASKI RD,POINT (-87.7255482399807 41.8726231598806),WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,,25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796
Madison Food & Meat Market Inc.,2023-06-30,Out Of Business,TRUE,FALSE,FALSE,3857 W Madison St,CHICAGO,IL,60624.0,,41.8806501624938,-87.7230471534104,MADISON FOOD MEAT MARKET INC,3857 W MADISON ST,POINT (-87.7230471534104 41.8806501624938),WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,,25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796
Aldi Foods #91,2021-12-07,Out Of Business,TRUE,FALSE,FALSE,3835 W Madison St,CHICAGO,IL,60624.0,,41.8806594114589,-87.7221936688572,ALDI FOODS 91,3835 W MADISON ST,POINT (-87.7221936688572 41.8806594114589),WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,,25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796
Owen Food Market Inc,2021-03-05,Out Of Business,TRUE,FALSE,FALSE,135 S Pulaski Rd,CHICAGO,IL,60624.0,,41.878761567352,-87.7254556587144,OWEN FOOD MARKET INC,135 S PULASKI RD,POINT (-87.7254556587144 41.878761567352),WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796,,,25.0,WEST GARFIELD PARK,36092848.8151,26.0,26.0,26238.5419796
