DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Pullman Express Food & Deli,2024-08-23,Pass W/ Conditions,TRUE,FALSE,TRUE,11858 S State St,CHICAGO,IL,60628.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: OBSERVED NO PERSON IN CHARGE WITH VALID CHICAGO FOOD SANITATION CERTIFICATE. INSTRUCTED MANAGER TO DESIGNATE PERSON IN CHARGE DURING ALL HOURS OF OPERATION. PRIORITY FOUNDATION  | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CHICAGO FOOD SANITATION MANAGER ON SITE OR VALID CERTIFICATE POSTED WHEN TCS FOOD (BEEF 180.1F) PREPARED. A CHICAGO FOOD SANITATION MANAGER MUST BE ON SITE AND VALID CERTIFICATE POSTED AT ALL TIMES TCS FOOD PREPARED. PRIORITY FOUNDATION 7-38-012 CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGN AT HAND WASHING SINK IN DISH WASHING AREA. INSTRUCTED MANAGER TO PROVIDE HAND WASHING SIGNS AT ALL HAND WASHING SINLS USED BY EMPLOYEES. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED BULK CONTAINERS NOT LABELED IN PREP AREA. INSTRUCTED MAANGER TO LABEL ALL BULK CONTAINERS WITH COMMON NAME OF FOOD. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD ITEMS STORED ON FLOOR IN WALK-IN COOLER AND REAR STORAGE AREA. INSTRUCTED MANAGER TO ELEVATE ALL FOOD ITEMS SIX INCHES OFF FLOOR. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: OBSERVED SOILED WIPING CLOTHS STORED ON PREP TABLES. INSTRUCTED MANAGER TO STORE WIPING CLOTHS IN SANITIZING SOLUTION BETWEEN USES. | 45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED - Comments: OBSERVED SINGLE SERVICE UTENSILS NOT INVERTED IN PREP AREA. INSTRUCTED MANAGER TO INVERT ALL SINGLE SERVICE ARTICLES TO PROTECT FROM CONTAMINATION. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED FOOD SPILLS AND DEBRIS ON INTERIOR AND EXTERIOR SURFACES OF COOKING EQUIPMENT, PREP TABLES, COOLERS, FREEZERS, SINKS, BEVERAGE MACHINES. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAKING DRAINPIPE UNDER HAND WASHING SINK AND 3-COMPARTMENT SINK IN DISH WASHING AREA. OBSERVED TOILET NOT FLUSHING PROPERLY IN WASHROOM. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FOOD SPILLS ON WALLS UNDER REAR HAND WASHING SINK, FOOD SPILLS AND DEBRIS ON FLOOR INSIDE WALK-IN COOLER, UNDER ALL EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN PREP AND STORAGE AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED 3-COMPARTMENT SINK, UNUSED ARTICLES AND TRASH STORED OUTSIDE REAR DOOR. INSTRUCTED MANAGER TO REMOVE AND MAINTAIN PREMISES. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED GREASE BUILDUP INSIDE VENTILATION HOOD. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO FOOD HANDLER TRAINING AVAILABLE. ALL FOOD HANDLERS MUST PROVIDE FOOD HANDLER TRAINING.",41.6780682775512,-87.6228064913637,PULLMAN EXPRESS FOOD DELI,11858 S STATE ST,POINT (-87.6228064913637 41.6780682775512),WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008,,,52.0,WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008
"New Look Deli Grill Market,Inc",2023-05-08,Pass W/ Conditions,TRUE,FALSE,TRUE,333 W 119Th St,CHICAGO,IL,60628.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON SITE, WHILE THE TIME/TEMPERATURE CONTROL FOR SAFETY FOODS (CHICKEN) HAS BEEN PREPARED AND SERVED. INSTRUCTED A CITY OF CHICAGO CERTIFIED FOOD MANAGER MUST BE ON SITE AT ALL TIMES WHILE FOODS ARE BEING PREPARED AND SERVED.  PRIORITY FOUNDATION VIOLATION 7-38-012, CITATION ISSUED | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.13 OBSERVED A STICKY INSECT TRAP WITH A PLETHORA OF DEAD BUGS STORED ABOVE THE DRAINBOARD OF THE THREE-COMPARTMENT SINK. INSTRCUTED TO REPLACE AND RELOCATE SAID INSECT TRAP AND MAINTAIN. | 44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments: 4-903.11 (A;B;D) OBSERVED A CUTTING BOARD AND TONGS IMPROPERLY STORED ON TOP OF THE FAUCET HEAD OF THE THREE COMPAERTMENT SINK. ALSO, OBSERVED A RUBBER FLAT EDGE SPATULA IMPROPERLY STORED IN THE FRONT FOOD PREP AREA ON THE WALL IN BETWEEN A PIPE. INSTRUCTED TO PROPERLY STORE UTENSILS AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-202.11 OBSERVED ONE BLOWN OUT LIGHT BULB UNDER THE VENTILATION HOOD. INSTRUCTED TO REPLACE AND MAINTAIN. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13 OBSERVED NO FOOD HANDLER'S TRAINING CERTIFICATION FROM EMPLOYEES. INSTRUCTED THAT ALL EMPLOYEE MUST COMPLY WITH FOOD HANDLER'S TRAINING BY THE FOOD HANDLING REGULATION ENFORCEMENT ACT.",41.6778216210015,-87.6311268045155,NEW LOOK DELI GRILL MARKETINC,333 W 119TH ST,POINT (-87.6311268045155 41.6778216210015),WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008,,,52.0,WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008
Aldi Inc. #96,2020-05-21,Pass W/ Conditions,FALSE,TRUE,TRUE,821 W 115Th St,CHICAGO,IL,60643.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO EMPLOYEE CLEAN UP PROCEDURE FOR VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE ALL THE NECESSARY ITEMS INCLUDED IN POLICY INCLUDING DISPOSABLE GLOVES, FACE MASK, DISPOSABLE MOP AND APPROPRIATE SANITIZER FOR NOROVIRUS. PRIORITY FOUNDATION | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: NO THERMOMETER IN MEAT WALK IN COOLER. MUST INSTALL. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED RECEPTACLE IN WOMENS WASHROOM. INSTRUCTED TO PROVIDE.",41.6849606403516,-87.6430223095585,ALDI INC 96,821 W 115TH ST,POINT (-87.6430223095585 41.6849606403516),WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008,,,52.0,WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008
Mobil,2019-10-02,Pass W/ Conditions,TRUE,FALSE,TRUE,11501 S Halsted St,CHICAGO,IL,60628.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICY FOR EMPLOYEES. INSTRUCTED (PIC) TO PROVIDE FOR EMPLOYEE HEALTH. PRIORITY FOUNDATION | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN UP PROCEDURE FOR VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE WITH ALL NECESSARY ITEMS IN POLICY INCLUDING DISPOSABLE GLOVES, FACE MASK AND DISPOSABLE MOP. PRIORITY FOUNDATION | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments:  OBSERVED FRONT ENTRY DOOR NOT RODENT PROOFED AT THE BOTTOM AREAS APPROX 2- INCH GAP. INSTRUCTED TO REPAIR TO BE TIGHT-FITTING | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOORS NOT CLEAN OF DEBRIS UNDER HEAVY EQUIPMENT IN PREP AREA, AND LOWER WALLS IN PREP, WALLS IN WASHROOM. INSTRUCTED TO CLEAN/MAINTAIN. ALSO CLEAN/ REMOVE DEAD BUGS IN LIGHTSHIELDS IN PREP AREA | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: INSTRUCTED TO PROVIDE FOOD HANDLERS TRAINING FOR ALL EMPLOYEES.",41.685029586669300,-87.6420045321889,MOBIL,11501 S HALSTED ST,POINT (-87.6420045321889 41.685029586669295),WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008,,,52.0,WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008
"Ed'S Food Mart, Inc.",2018-12-27,Pass W/ Conditions,TRUE,FALSE,TRUE,11809 S Michigan Ave,CHICAGO,IL,60628.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO EMPLOYEE HEALTH POLICY FOR EMPLOYEES. INSTRUCTED TO PROVIDE POLICY. PRIORITY FOUNDATION. NO CITATION | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO EMPLOYEE CLEAN UP PROCEDURE FOR VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION. NO CITATION  | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: NO FOOD HANDLERS TRAINING FOR EMPLOYEES HANDLING FOODS IN DELI PREP AREA. INSTRUCTED TO PROVIDE.",41.6795837343151,-87.6204127649633,EDS FOOD MART INC,11809 S MICHIGAN AVE,POINT (-87.6204127649633 41.6795837343151),WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008,,,52.0,WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008
Mister Gerry'S,2024-12-05,Pass,TRUE,FALSE,TRUE,11859 S Michigan Ave Frnt,CHICAGO,IL,60628.0,"45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED - Comments: OBSERVED SINGLE SERVICE ARTICLES NOT INVERTED IN PREP AREA. INSTRUCTED MANAGER TO INVERT ALL SINGLE SERVICE ARTICLES TO PROTECT FROM CONTAMINATION. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED NO STOPPERS FOR 3-COMPARTMENT SINK. INSTRUCTED MANAGER TO PROVIDE ADEQUATE STOPPERS AND MAINTAIN . | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MOP HEAD STORED IN SOILED WATER IN MOP PAIL. INSTRUCTED MANAGER TO REMOVE AND PROPERLY HANG MOP TO PREVENT INSECT BREEDING.",41.6781066282589,-87.6203645100294,MISTER GERRYS,11859 S MICHIGAN AVE FRNT,POINT (-87.6203645100294 41.6781066282589),WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008,,,52.0,WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008
Carniceria El Porvenir,2024-12-02,Pass,TRUE,FALSE,TRUE,150 E Kensington Ave,CHICAGO,IL,60628.0,56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED VENTILATION HOOD NOT OPERABLE IN BASEMENT PREP AREA. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN.,41.6840631979591,-87.6187429679261,CARNICERIA EL PORVENIR,150 E KENSINGTON AVE,POINT (-87.6187429679261 41.6840631979591),WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008,,,52.0,WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008
Mobile,2024-11-21,Pass,TRUE,FALSE,FALSE,11501-11515 S Halsted St,CHICAGO,IL,60628.0,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD ITEMS STORED ON FLOOR BEHIND FRONT COUNTER, IN PREP AND STORAGE AREAS. INSTRUCTED MANAGER TO ELEVATE ALL ITEMS SIX INCHES OFF FLOOR. OBSERVED DRINKS STORED INSIDE WASHROOM. INSTRUCTED MANAGER TO REMOVE ALL FOOD AND DRINK ITEMS FROM WASHROOM. | 40. PERSONAL CLEANLINESS - Comments: OBSERVED FOOD HANDLERS NOT WEARING HAIR RESTRAINTS. ALL FOOD HANDLERS MUST WEAR EFFECTIVE HAIR RESTRAINTS. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED SOILED CARDBOARD ON DISPLAY SHELVES BEHIND FRONT COUNTER AND ON CHIP TRAYS IN SALES AREA. INSTRUCTED MANAGER TO REPLACE ALL SOILED CARBOARD AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED NO STOPPERS FOR 3-COMPARTMENT SINK. INSTRUCTED MANAGER TO PROVIDE ADEQUATE STOPPERS AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED FOOD SPILLS AND DEBRIS ON INTERIOR AND EXTERIOR SURFACES OF SINKS, SHELVING UNITS, COOLERS, AND FREEZERS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAKING FAUCET ON 3-COMPARTMENT SINK. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UUSED ARTICLES AND EQUIPMENT IN PREP AND STORAGE AREAS. INSTRUCTED MANAGER TO REMOVE ALL UNNECESSARY ITEMS TO PREVENT PEST HARBORGE.",41.685029586669300,-87.6420045321889,MOBILE,1150111515 S HALSTED ST,POINT (-87.6420045321889 41.685029586669295),WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008,,,52.0,WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008
Moodz Food & Deli,2024-11-06,Pass,TRUE,FALSE,TRUE,233 W 119Th St,CHICAGO,IL,60628.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments:  OBSERVED NUMEROUS DEAD ROACHES ON GLUEBOARD IN PREP AND SALES AREA. INSTRUCTED MANAGER TO REMOVE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  OBSERVED RAW WOOD SURFACES IN PREP, ALES AND STORAGE AREAS. INSTRUCTED MANAGER TO SEAL ALL RAW WOOD SURFACES TO MAKE SMOOTH AND EASILY CLEANABLE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  OBSERVED DEBRIS ON INTERIOR AND EXTERIOR SURFACES OF SHELVING UNITS, PREP TABLES, HOLDING UNITS, COOLERS, FREEZERS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments:  OBSERVED LEAKING FAUCET ON 3-COMPARTMENT SINK. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED NO RECEPTACLE AT THE HAND WASHING SINKS IN PREP AREA. INSTRUCTED MANAGER TO PROVIDE RECEPTACLES IN ALL AREAS WASTE IS COMMONLY DISCARDED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DAMAGED FLOOR TILES IN PREP, SALES AND STORAGE AREAS. INSTRUCTED MANAGER TO REPLACE ALL DAMAGED FLOOR TILES AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNUSED ARTICLES AND EQUIPMENT IN REAR PREP AND STORAGE AREAS. INSTRUCTED MANAGER TO REMOVE ALL UNNECESSARY ITEMS TO PREVENT PEST HARBORAGE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments:  OBSERVED VENTILATION HOOD NOT OPERABLE ABOVE FRYERS IN REAR PREP AREA. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments:  OBSERVED VENTILATION FAN NOT OPERABLE INSIDE WASHROOM. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments:  OBSERVED NO FOOD HANDLER TRAINING AVAILABLE. INSTRUCTED MANAGER TO PROVIDE FOOD HANDLER TRAINING FOR EMPLOYEES.",41.6778486792721,-87.6287189947171,MOODZ FOOD DELI,233 W 119TH ST,POINT (-87.6287189947171 41.6778486792721),WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008,,,52.0,WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008
Citgo,2024-03-22,Pass,TRUE,FALSE,FALSE,11500 S Halsted St,CHICAGO,IL,60628.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: FRONT DOOR NOT RODENT PROOFED. OBSERVED GAP AT BOTTOM OF DOOR. INSTRUCTED TO CORRECT AND MAINTAIN. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: BOTTOM, SIDES AND BACK OF SLUSHY MACHINE IN NEED OF DETAIL CLEANING TO REMOVE ALL SPLATTER AND BUILD UP. INSTRUCTED TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: LEAK AT P-TRAP ON 3 COMPARTMENT SINK INSTRUCTED TO CORRECT AND MAINTAIN | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: UNISEX WASHROOM MUST HAVE GARBAGE CAN LID INSTRUCTED TO CORRECT AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS THROUGHOUT IN NEED OF CLEANING TO REMOVE ALL DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: NO FOOD HANDLER CERTIFICATES ON SITE AT TIME OF INSPECTION. INSTRUCTED MANAGER TO OBTAIN AND MAINTAIN.",41.685026256307,-87.6422973669626,CITGO,11500 S HALSTED ST,POINT (-87.6422973669626 41.685026256307),WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008,,,52.0,WEST PULLMAN,99365198.0822,53.0,53.0,50023.8430008
