DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Devon Zabiha Market,2024-12-31,Pass W/ Conditions,FALSE,TRUE,TRUE,2907 W Devon Ave,CHICAGO,IL,60659.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO MANAGER WITH A VALID CITY OF CHICAGO FOOD CERTIFICATE ON SITE AT TIME OF INSPECTION. MANAGER WITH MANAGER TRAINING LETTER PRESENT DATED JUNE 15, 2024, BUT NO CITY OF CHICGAO CERTIFICATE PRESENT. INSTRUCTED CURRENT PERSON IN CHARGE THAT A MANAGER WITH A VALID CITY OF CHICAGO FOOD CERTIFICATE MUST BE PRESENT DURING ALL HOURS OF OPERATION WHILE TCS FOODS SUCH AS RAW BEEF AND CHICKEN ARE HANDLED AND SERVED. PRIORITY FOUNDATION VIOLATION, #7-38-012. CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN UP PROCEDURE OR KIT FOR VOMITING AND DIARRHEAL EVENTS AT TIME OF INSPECTION. INSTRUCTED TO PROVIDE AND PROVIDE THE CLEANING SUPPLIES KIT. PRIORITY FOUNDATION VIOLATION, 7-38-005. CITATION ISSUED. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: 3-305.11 - OBSERVED BOXES OF FOOD AND DRY GOOD STORED ON THE FLOOR IN THE MAIN STORE AREA AS WELL AS REAR PREP AREA. INSTRUCTED TO ELEVATE ALL FOOD ITEMS AT LEAST 6 INCHES OFF THE FLOOR. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-205.15 - OBSERVED HAND SINK AT FRONT PREPARATION AREA LEAKING FROM RIGHT SIDE/HOT WATER HANDLE WHEN IN USE. INSTRUCTED TO SERVICE AND MAINTAIN HAND SINK IN GOOD REPAIR.",41.9974013703903,-87.7023853822781,DEVON ZABIHA MARKET,2907 W DEVON AVE,POINT (-87.7023853822781 41.9974013703903),WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,,1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583
City Fresh Market,2024-11-15,Pass W/ Conditions,FALSE,TRUE,TRUE,3201 W Devon Ave,CHICAGO,IL,60659.0,"15. FOOD SEPARATED AND PROTECTED - Comments: OBSERVED RAW ANIMAL ORIGIN EGGS BEING STORED ON TOP SHELVING ABOVE TWO CAKES(READY TO EAT PRODUCTS)IN THE BASEMENT WALK-IN COOLER.ONE CAKE HAD UNKNOWN PARTICLES ON TOP  INSTRUCTED TO PROPERLY STORE ALL FOODS PROTECTED. MANAGEMENT REMOVED EGGS. PRIORITY VIOLATION 7-38-005.  CITATION ISSUED. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: SPLASH GUARD IS NEEDED BETWEEN  HANDWASHING SINK  AND PREP COUNTER AT  DELI SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT SURFACE. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: MUST STORE WIPING CLOTHS IN PREP AREAS IN SANITIZER BUCKET BETWEEN USES TO PREVENT CROSS CONTAMINATION. INSTRUCTED TO MAINTAIN. | 44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments:  MUST NOT STORE CLEAN CUTTING BOARD ON THE BACK-SPLASH OF THE THREE COMPARTMENT SINK. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  CONDENSER UNIT INSIDE THE WALK-IN COOLER IN BASEMENT, PIPE IS LEAKING.INSTRUCTED TO REPAIR. NO FOOD UNDER THE UNIT. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  BROKEN RUBBER GASKET  AT DOOR INSIDE WALK-IN FREEZER IN BASEMENT AREA.REPLACE    | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  MUST NOT USE MILK CRATES AS A MEANS OF ELEVATION FOR STORED ITEMS THROUGHOUT THE PREMISES | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: FOUND NO SANITIZING SOLUTION (EMPTY BOTTLES) AT THREE COMPARTMENT SINK IN THE KITCHEN, AND MEAT DEPARTMENT(PREP AREA), OBSERVED EMPLOYEE USING UNITS.UPON MY REQUEST SANITIZING SOLUTION WAS PROVIDED ON BOTH SAID SINK. PRIORITY FOUNDATION VIOLATION 7-38-005 CITATION ISSUED | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  MUST NOT USE CARDBOARD AS LINER FOR SHELVING THROUGHOUT,ALSO REMOVE ALUMINUM FOIL ON SHELVES,COOKING EQUIPMENT DELI ETC.  MUST BE SMOOTH AND CLEANABLE SURFACE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments:  MUST NOT USE RAW WOOD AS A MEANS OF ELEVATION UNDER PREP TABLE IN THE KITCHEN ACCROSS FROM THREE COMPARTMENT SINK. MUST PROVIDE A NON-ABSORBENT MATERIAL. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments:  MUST PROVIDE COVER FOR RECEPTACLES INSIDE UNISEX WASHROOMS AND WOMEN'S WASHROOM | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  MUST NOT USE CARDBOARD BOXES AS MATTING FOR FLOORS UNDER COOKIG EQUIPMENT?FRYER. MATTING MUST BE WASHABLE/CLEANABLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: DEBRIS ON FLOOR THROUGHOUT THE KITCHEN, WALK-IN COOLERS AND FREEZERS,ALSO THROUGHOUT BASEMENT STORAGE AREA.  . | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: BROKEN/HOLES ON WALLS INSIDE THE STAFF WASHROOM.BEHIND TOILET BOWL IN BASEMENT AREA.  MISSING CEILING TILES IN THE KICHEN(BASEMENT) ABOVE PREP TABLES.MUST REPLACE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: EMPLOYEES BAG,SWEATER ETC STORED AT  PREP  DELI AREA ,INSTRUCTED TO PROVIDE A SEPARATE AREA/LOCKER FOR EMPLOYEE PERSONAL ITEMS. NO EMPLOYEE PERSONAL ITEMS MUST BE STORED IN PREP AREA,PROVIDE A LOCKER ROOM. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments:  ADDITIONAL FOOD HANDLER TRAINING CERTIFICATE IS REQUIRED ON SITE,INSTRUCTED TO PROVIDE",41.9972784744174,-87.7094073571778,CITY FRESH MARKET,3201 W DEVON AVE,POINT (-87.7094073571778 41.9972784744174),WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,,1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583
"Morelia Supermarket, Inc.",2024-09-09,Pass W/ Conditions,FALSE,TRUE,TRUE,7300 N Western Ave,CHICAGO,IL,60645.0,"14. REQUIRED RECORDS AVAILABLE: SHELLSTOCK TAGS, PARASITE DESTRUCTION - Comments: NO 90 DAY SHELLFISH TAGS FOR FRESH OYSTERS SOLD ON PREMISES. INSTRUCTED MANAGER MUST PROVIDE 90 DAY SHELLFISH TAGS ON PREMISES FOR ALL FRESH SHELLFISH SOLD ON PREMISES. PRIORITY FOUNDATION 7-38-005. ALL FRESH OYSTERS VOLUNTARILY DISCARDED. WEIGHT- 3 LBS, VALUED AT $15.00. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NO COVERED TRASH RECEPTACLES IN WOMENS WASHROOM. MUST PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOOR TILES DAMAGED/MISSING AT MEAT PREP AREA AROUND 3-COMPARMENT SINK. MUST REPAIR DAMAGED FLOOR/MAKE FLOOR SMOOTH AND EASILY CLEANABLE AT SAID LOCATION.",42.0141839828524,-87.6903783498199,MORELIA SUPERMARKET INC,7300 N WESTERN AVE,POINT (-87.6903783498199 42.0141839828524),WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,,1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583
Ahsam Farms,2024-05-02,Pass W/ Conditions,TRUE,FALSE,TRUE,6226-6230 N California Ave,CHICAGO,IL,60659.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: 2-102.14(O) FOUND NO EMPLOYEE HEALTH POLICY/TRAINING ON SITE. INSTRUCTED TO PROVIDE A SIGNED EMPLOYEE HEALTH POLICY FOR EACH EMPLOYEE.  PRIORITY FOUNDATION VIOLATION 7-38-010 | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11 FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES, FACE MASKS, DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY THAT KILLS NOROVIRUS) PRIORITY FOUNDATION VIOLATION 7-38-005  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.14  INSTRUCTED TO PROVIDE HANDWASHING SIGNAGE AT HANDSINK IN PREP AND IN WASHROOMS | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: 4-204.112(B) INSTRUCTED TO PROVIDE THERMOMETER VISIBLE INSIDE ALL COOLERS. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 5-501.17  TOILET ROOM TRASH RECEPTACLE MUST BE COVERED. INSTRUCTED TO PROVIDE LID/COVER.",41.99478751723030,-87.6996920854363,AHSAM FARMS,62266230 N CALIFORNIA AVE,POINT (-87.6996920854363 41.99478751723031),WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,,1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583
Nor Jumah Mubarak,2024-04-19,Pass W/ Conditions,TRUE,FALSE,TRUE,2852 W Devon Ave,CHICAGO,IL,60659.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments:  FOUND NO PROCEDURE/PLAN AND KIT FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED FACILITY TO DEVELOP AND MAINTAIN A PROCEDURE/PLAN AND TO MAINTAIN ANY APPROPRIATE SUPPLIES ON SITE.  PRIORITY FOUNDATION VIOLATION 7-38-005.   | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: A MOP SINK IS REQUIRED ON SITE  WITH RUNNING HOT/COLD WATER,TO BE ABLE TO WASH  FLOOR. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: A BACKFLOW PREVENTER DIVICE IS REQUIRED AT MOP SINK ONCE IS INSTALLED. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: A SELF CLOSING DEVICE IS REQUIRED AT STAFF WASHROOM DOOR.INSTRUCTED TO PROVIDE",41.9976333355885,-87.7017660466215,NOR JUMAH MUBARAK,2852 W DEVON AVE,POINT (-87.7017660466215 41.9976333355885),WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,,1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583
World Fresh Market,2023-05-03,Pass W/ Conditions,FALSE,TRUE,FALSE,2434-2438 W Devon Ave,CHICAGO,IL,60659.0,36. THERMOMETERS PROVIDED & ACCURATE - Comments: FOUND NO FOOD STEM THERMOMETER AT PREMISES. PRIORITY FOUNDATION. CITATION ISSUED.7-38-005. MUST PROVIDE FOOD STEM THERMOMETER. STEM THERMOMETER WAS PROVIDED BY THE END OF INSPECTION.,41.9978179259567,-87.6912518855699,WORLD FRESH MARKET,24342438 W DEVON AVE,POINT (-87.6912518855699 41.9978179259567),WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,,1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583
Fresh Zabiha Halal Super Market,2021-12-15,Pass W/ Conditions,FALSE,TRUE,TRUE,2650 W Devon Ave,CHICAGO,IL,60659.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO VOMIT AND DIARRHEA CLEAN UP KIT AND PROCEDURE ON PREMISES. INSTRUCTED TO PROVIDE ALL NECESSARY SUPPLIES AS OUTLINED IN POLICY. PRIORITY FOUNDATION. 7-38-005.  | 16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVED PINK MINERAL BUILD UP INSIDE OF ICE MACHINE SHOOT. MUST DETAIL CLEAN. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED PACKAGED BASMATI RICE AND FLOUR ON SHELVES WITHOUT ANY LABEL. INSTRUCTED TO PROVIDE A LABEL WITH THE NAME OF PRODUCT, ADDRESS AND NET QUANTITY.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST DETAIL CLEAN AND MAINTAIN DIRTY CUTTING BOARDS WITH DARK STAINS AND DEEP GROOVES. | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: OBSERVED PIPE CONNECTED TO AIR CONDITIONING UNIT THAT WAS GOING INTO HAND WASHING SINK IN REAR. MUST REMOVE PIPE FROM HAND WASHING SINK.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED PEELING PAINT ON WALLS AND CEILINGS IN WALK IN FREEZER. MUST SCRAPE/REPAINT FOR SMOOTH AND EASY CLEANABILTIY.  | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED EXPIRED FOOD HANDLER CERTIFICATES DURING INSPECTION. INSTRUCTED TO PROVIDE FOOD HANDLER TRAINING FOR CURRENT EMPLOYEES.",41.997719324964,-87.6968098639641,FRESH ZABIHA HALAL SUPER MARKET,2650 W DEVON AVE,POINT (-87.6968098639641 41.997719324964),WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,,1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583
Wardah Halal Meat And Grocery Inc.,2021-10-27,Pass W/ Conditions,FALSE,TRUE,TRUE,2753 W Devon Ave,CHICAGO,IL,60659.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11  OBSERVED NO CLEAN UP SUPPLIES ON THE PREMISES TO RESPOND TO A VOMIT OR DIARRHEAL EVENT. MANAGEMENT INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION 7-38-005. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: 3-305.12   MUST PROVIDE STORAGE SHELVES IN THE WALK-IN COOLER TO STORE FOOD OFF OF THE FLOOR.",41.9974580270056,-87.6992149058397,WARDAH HALAL MEAT AND GROCERY INC,2753 W DEVON AVE,POINT (-87.6992149058397 41.9974580270056),WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,,1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583
Atrah,2021-01-05,Pass W/ Conditions,TRUE,FALSE,TRUE,2903-2905 W Devon Ave,CHICAGO,IL,60659.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11-OBSERVED NO KIT AND PROCEDURE ON SITE FOR RESPONDING TO VOMIT AND DIARRHEA. LEFT ONE PAGER AND INSTRUCTED TO MAINTAIN PROCEDURE AND KIT CONTAINING ALL NECESSARY SUPPLIES INCLUDING A SANITIZER RATED AS EFFECTIVE AGAINST NOROVIRUS ON SITE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15-OBSERVED FRONT IS NOT SELF CLOSING. INSTRUCTED TO REPAIR IN ORDER TO PREVENT ENTRY OF PESTS. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-205.15-OBSERVED LOOSE HANDLE ON WASHBOWL SINK LOCATED IN RESTROOM ACROSS FROM WALK-IN COOLER. INSTRUCTED TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114-OBSERVED UNUSED COOLER AND UNUSED PREP TABLE LOCATED IN REAR STORAGE AREA. INSTRUCTED TO REMOVE FROM PREMISES.",41.9974047380824,-87.7022166127088,ATRAH,29032905 W DEVON AVE,POINT (-87.7022166127088 41.9974047380824),WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,,1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583
Nohadra Grocery,2020-09-28,Pass W/ Conditions,FALSE,TRUE,TRUE,2959 W Devon Ave,CHICAGO,IL,60659.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO WRITTEN EMPLOYEE HEALTH POLICY ON THE PREMISES. MANAGEMENT INSTRUCTED TO PROVIDE A SIGNED EMPLOYEE HEALTH POLICY FOR EMPLOYEES. PRIORITY FOUNDATION VIOLATION 7-38-010,NO CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES, FACE MASKS, DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY THAT IS EFFECTIVE AGAINST NOROVIRUS). PRIORITY FOUNDATION VIOLATION 7-38-005,NO CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SINK LOCATED AT REAR NEXT TO THE 3-COMPARTMENT SINK.MUST INSTALL AND MAINTAIN HAND SINK SUPPLIED WITH HOT AND COLD RUNNING WATER WITH SOAP AND HAND PAPER TOWELS.PRIORITY FOUNDATION VIOLATION 7-38-030(C),NO CITATION ISSUED. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: PREPACKAGED FOODS (PASTRIES,SWEET TREATS ETC) ON DISPLAY NOT PROPERLY LABELED. MUST LABEL PACKAGES WITH FOOD NAME, INGREDIENTS, NET CONTENTS, SOURCE AND LIST OF ALLERGENS. PRIORITY FOUNDATION VIOLATION 7-38-005,NO CITATION ISSUED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED DAMAGED WEATHER STRIP WITH GAP AT BOTTOM RIGHT CORNER AT FRONT ENTRANCE DOOR.MUST MAKE AND MAINTAIN DOOR TIGHT FITTING ALL ACROSS THE BOTTOM TO PREVENT PEST ENTRY.",41.9973668669202,-87.7044502777975,NOHADRA GROCERY,2959 W DEVON AVE,POINT (-87.7044502777975 41.9973668669202),WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,,1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583
