DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Jewel Food Store #3376,2024-11-14,Pass W/ Conditions,FALSE,TRUE,TRUE,370 N Desplaines St,CHICAGO,IL,60661.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: Observed a puppy dog with a customer walking between food Isles, employees did not ask customer if the dog is a service animal, instructed manager not to allow dogs in store other than service animals. priority foundation violation 7-38-020. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: Only one sink stopper available at raw meat  3-comp sink, instructed to provide additional ones for proper utensils washing and sanitizing | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: Drip pan not draining at the Basement's walk-in cooler for condensating water, Instructed to repair and maintain.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Walls in basement  raw meat processing room in poor repair, walls are concaving and detached from walls, instructed to mount properly.",41.8889181735603,-87.6444779729297,JEWEL FOOD STORE 3376,370 N DESPLAINES ST,POINT (-87.6444779729297 41.8889181735603),WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956
Bari,2024-06-18,Pass W/ Conditions,TRUE,FALSE,FALSE,1120 W Grand Ave,CHICAGO,IL,60642.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER PRESENT WHILE TCS FOODS (SUB SANDWICHES) ARE BEING PREPARED AND SERVED.  MANAGEMENT INSTRUCTED THAT A CERTIFIED FOOD MANAGER MUST BE PRESENT AT ALL TIMES WHILE TCS FOODS PREPARED OR SERVED.  PRIORITY FOUNDATION VIOLATION 7-38-012.  CITATION ISSUED. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: 3-602.11  OBSERVED NO ADDRESS OF THE MANUFACTURER OF FROZEN DESSERTS (TIRAMISU BY ISABELLA). MANAGEMENT INSTRUCTED THAT ALL PACKAGED FOODS MUST BE PROPERLY LABELED. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-101.19  OBSERVED EXCESSIVE RUST AND A HOLE IN THE STAINLESS STEEL SHELF BELOW THE PREP TABLE IN THE REAR PREP/DISHWASHING AREA.  MANAGEMENT INSTRUCTED TO REPLACE THE PREP TABLE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-602.13  CLEAN THE TOP OF THE PREP TABLES IN THE BASEMENT FOOD PREP AREA. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-202.11  OBSERVED NO LIGHT SHIELD ON THE LIGHT FIXTURE IN THE DELI PREP AREA. MANAGEMENT INSTRUCTED TO PROVIDE.",41.8912101212336,-87.6555602414018,BARI,1120 W GRAND AVE,POINT (-87.6555602414018 41.8912101212336),WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956
Garden Gourmet Market,2022-06-29,Pass W/ Conditions,TRUE,FALSE,FALSE,1130 N Ashland,CHICAGO,IL,60622.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO CERTIFIED FOOD SERVICE MANAGER ON SITE, NO CERTIFICATE POSTED, FACILITY PORTIONS TCS FOOD FROM LARGE TO SMALL RETAIL CONTAINERS. INSTRUCTED TO OBTAIN. PRIORITY FOUNDATION VIOLATION 7-38-012 CITATION ISSUED. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED PACKAGED TCS (GUACAMOLE, SLAW, BLACK BEAN MIX) FOODS MISSING PROPER LABELING. INSTRUCTED TO PROVIDE LIST OF INGREDIENTS, WEIGHT, SELL BY DATE, ALLERGENS IF ANY, NAME AND ADDRESS OF FACILITY WERE IT WAS PACKAGED. THE PACKAGED FOOD WAS REMOVED AND DISCARDED VOLUNTARILY. PRIORITY FOUNDATION VIOLATION 7-38-005. CITATION ISSUED | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED MILK CRATES BEING USED AS SHELVING THROUGHOUT THE WALK-IN COOLER AND SALES FLOOR. MUST REMOVE AND PROVIDE SHELVING THAT IS 6"" OFF THE FLOOR AND PROVIDES FLOOR ACCESSIBILITY TO ENSURE ADEQUATE FACILITY CLEANING. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARDBOARD USED AS LINER ON SHELVES IN THE WALK-IN COOLER AND DISPLAY COOLERS. INSTRUCTED TO REMOVE.",41.9024759711108,-87.6676163046931,GARDEN GOURMET MARKET,1130 N ASHLAND,POINT (-87.6676163046931 41.9024759711108),WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956
Bp Amoco,2020-09-22,Pass W/ Conditions,TRUE,FALSE,FALSE,2405 W Augusta Blvd,CHICAGO,IL,60622.0,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: FOUND CASES OF SOFT DRINKS, BOTTLED WATER AND OTHER DRINKS STORED IN RESTROOM, INSTRUCTED NOT TO STORE ANY FOODS IN RESTROOM.",41.8992651595215,-87.6872088361512,BP AMOCO,2405 W AUGUSTA BLVD,POINT (-87.6872088361512 41.8992651595215),WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956
Ashland Market,2020-06-17,Pass W/ Conditions,FALSE,TRUE,TRUE,1051-1053 N Ashland Ave,CHICAGO,IL,60622.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE OWNER KEEPS HIS NON-SERVICE DOG IN THE STORE, INSTRUCTED MANAGER NOT TO ALLOW ANY LIVE ANIMAL IN FACILITY OTHER THAN SERVICE ANIMALS PRIORITY FOUNDATION VIOLATION. NO CITATION ISSUED.",41.9011921663376,-87.6672867252574,ASHLAND MARKET,10511053 N ASHLAND AVE,POINT (-87.6672867252574 41.9011921663376),WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956
Candy'S Grocery,2020-04-29,Pass W/ Conditions,TRUE,FALSE,FALSE,1366 W Ohio St,CHICAGO,IL,60642.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO CLEAN UP SUPPLIES OR PROCEDURES ONSITE FOR VOMITING OR DIARRHEA EVENTS. INSTRUCTED TO PROVIDE SUPPLIES AND POST PROCEDURES FOR EMPLOYEES TO FOLLOW. PRIORITY FOUNDATION. 7-38-005  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: FOUND BROKEN DOOR GASKET ON 6-DOOR REACH IN BEVERAGE COOLER, INSTRUCTED TO REPAIR GASKET AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST PROVIDE A COVERED RECEPTACLE IN THE STAFF TOILET ROOM, INSTRUCTED TO MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND STAINED CEILING TILES THROUGHOUT THE FACILITY, INSTRUCTED TO REPLACE AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND DUST ACCUMULATION ON CEILING VENTS THROUGHOUT FACILITY, INSTRUCTED TO CLEAN AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND CLUTTER BEHIND THE FRONT SERVICE COUNTER AND BEHIND THE REAR COLD HOLDING UNIT ON THE SALES FLOOR. INSTRUCTED TO ORGANIZE OR REMOVE CLUTTER; ELEVATE ITEMS 6"" OFF FLOOR TO PREVENT RODENT HARBORAGE.",41.892599704532,-87.6621486959697,CANDYS GROCERY,1366 W OHIO ST,POINT (-87.6621486959697 41.892599704532),WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956
West Town Wine & Spirits .,2019-10-10,Pass W/ Conditions,TRUE,FALSE,FALSE,2501-2503 W North Ave,CHICAGO,IL,60647.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: Inspector Comments: Violation Codes: 2-102.14(O) Inspector Comments: OBSERVED NO SIGNED EMPLOYEES HEALTH POLICIES.MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION-NO CITATION ISSUED | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: Inspector Comments: Violation Codes: 2-501.11 Inspector Comments: OBSERVED NO CLEAN-UP POLICY PROCEDURE AND ITEMS FOR VOMITING AND DIARRHEA.MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION-NO CITATION ISSUED | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: Inspector Comments: Violation Codes: 3-305.14 Inspector Comments: OBSERVED MISSING CEILING TILES AND WALLS IN REAR PREP /DISH WASHING AREA WHERE ICE MACHINE IS LOCATED TO PROTECT FOODS.MUST REPLACE/INSTALL MISSING CEILING TILES AND WALLS SMOOTH AND EASILY CLEANABLE.(PRIORITY FOUNDATION-NO CITATION ISSUED | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: Inspector Comments: Violation Codes: 4-501.11 Inspector Comments: MUST REPLACE MISSING FAN GUARD COVERS IN BEER WALK IN COOLER | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: Inspector Comments: Violation Codes: 5-501.17 Inspector Comments: MUST PROVIDE A GARBAGE CAN WITH A LID IN TOILET ROOM | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: nspector Comments: Violation Codes: 6-201.13 Inspector Comments: MUST REPAIR OR REPLACE DAMAGED CEILING IN POOR REPAIR ON SALES FLOOR NEAR FRONT DOOR. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: Inspector Comments: Violation Codes: 6-202.11 Inspector Comments: MUST PROVIDE ADEQUATE LIGHTING IN REAR STORAGE AREA.",41.910183819582,-87.6897270237984,WEST TOWN WINE SPIRITS,25012503 W NORTH AVE,POINT (-87.6897270237984 41.910183819582),WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956
Jewel Food Store #3241,2025-04-22,Pass,FALSE,TRUE,TRUE,1341 N Paulina St,CHICAGO,IL,60622.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RACKS IN DELI AREA WALK IN COOLER WITH AN ACCUMULATION OF RUST AND DEBRIS BUILD UP. INSTRUCTED TO CLEAN AND REPAINT RACKS OR REPLACE RACKS.",41.906243703085,-87.6698622812847,JEWEL FOOD STORE 3241,1341 N PAULINA ST,POINT (-87.6698622812847 41.906243703085),WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956
Mariano'S #8527 Ukranian Village,2025-03-19,Pass,FALSE,TRUE,TRUE,2021 W Chicago Ave,CHICAGO,IL,60622.0,,41.895785229598,-87.6779308925923,MARIANOS 8527 UKRANIAN VILLAGE,2021 W CHICAGO AVE,POINT (-87.6779308925923 41.895785229598),WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956
Taqueria El Jardin,2025-01-24,Pass,TRUE,FALSE,TRUE,1303 W Huron St,CHICAGO,IL,60642.0,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: CLEAN THE SHELES BELOW THE PREP TABLE IN THE CENTER OF THE KITCHEN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SEVERAL BROKEN FLOOR TILES IN THE DINING ROOM AND THE HALLWAY TO THE KITCHEN AREA.  MANAGEMENT INSTRUCTED TO REPLACE BROKEN FLOOR TILES AND REGROUT FLOOR TILES WHERE NEEDED.",41.8942599262721,-87.6597504137324,TAQUERIA EL JARDIN,1303 W HURON ST,POINT (-87.6597504137324 41.8942599262721),WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956
