DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Aldi,2021-06-18,Pass W/ Conditions,FALSE,TRUE,TRUE,6621 S Cottage Grove Ave,CHICAGO,IL,60637.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO VOMIT AND DIARRHEA CLEAN UP PROCEDURE OR SUPPLIES ON HAND IN THE EVENT OF A VOMIT OR DIARRHEAL INCIDENT ON PREMISES. PRIORITY FOUNDATION VIOLATION 7-38-005. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: INSTRUCTED THAT A WASTE RECEPTACLE WITH A COVER IS REQUIRED FOR THE WOMENS WASHROOM; MUST PROVIDE.",41.7743058811882,-87.6056480253388,ALDI,6621 S COTTAGE GROVE AVE,POINT (-87.6056480253388 41.7743058811882),WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,,41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443
65Th Foods Corp,2021-02-19,Pass W/ Conditions,FALSE,TRUE,TRUE,6458 S Stony Island Ave,CHICAGO,IL,60637.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO EMPLOYEE HEALTH POLICY ON PREMISES AS REQUIRED; MUST PROVIDE.  INSTRUCTED THE PERSON IN CHARGE TO PROVIDE DOCUMENTATION OF EMPLOYEES RESPONSIBILITY TO REPORT ANY ILLNESS TRANSMISSIBLE THROUGH FOOD.  PRIORITY FOUNDATION VIOLATION 7-38-010. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO VOMIT AND DIARRHEA CLEAN UP PROCEDURE ON PREMISES AS REQUIRED; MUST PROVIDE.  INSTRUCTED THE PERSON IN CHARGE THAT A VOMIT AND DIARRHEA CLEAN UP PROCEDURE MUST BE DOCUMENTED AND THE NECESSARY SUPPLIES ON HAND IN THE EVENT OF A VOMIT AND DIARRHEAL INCIDENT ON PREMISES.  PRIORITY FOUNDATION VIOLATION 7-38-005 ISSUED. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: MUST INSTALL A SPLASH GUARD BETWEEN THE UTILITY SINK AND THE EXPOSED HANDSINK IN PREP AREA. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: NO BACKFLOW PREVENTION DEVICE ON MOP SINK; INSTRUCTED TO INSTALL A BACKFLOW PREVENTION DEVICE.",41.77706522668,-87.5864809159125,65TH FOODS CORP,6458 S STONY ISLAND AVE,POINT (-87.5864809159125 41.77706522668),WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,,41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443
Family Dollar,2020-10-22,Pass W/ Conditions,TRUE,FALSE,FALSE,6349 S Cottage Grove Ave,CHICAGO,IL,60637.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURES AND SUPPLIES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED MANAGER TO PROVIDE CLEAN UP POLICY AND SUPPLIES. PRIORITY FOUNDATION 7-38-005 | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD ITEMS STORED ON FLOOR IN STORAGE AREAS. INSTRUCTED MANAGER TO ELEVATE ALL ITEMS SIX INCHES OFF FLOOR TO PREVET CONTAMINATION. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED ACCUMULATED DUST BUILDUUP ON SHELVING UNITS IN SALES, STORAGE, AND FRONT COUNTER AREAS. INSTRUCTED ANNGER TO CLEAN AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE IN WOMEN WASHROOM. INSTRUCTED MANAGER TO PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED ACCUMULATED DUST, DIRT, AND DEBRIS ON FLOORS IN WATER PUMP ROOM, REAR STORAGE, SECOND FLOOR STORAGE AND CLOSET AREAS. INSTRUCTED MANAGER TO CLEAN ALL FLOORS UNDER ALL EQUIPMENT, ALONG WALLS AND CORNERS, IN ALL AREAS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNUSED ARTICLES AND EQUIPMENT IN STORAGE AREAS. INSTRUCTED MANAGER TO REMOVE ALL UNNECESSARY ITEMS TO PREVENT PEST HARBORAGE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING AND STAINED CEILING TILES IN SALES AND STORAGE AREAS. INSTRUCTED MANAGER TO REPLACE AND MAINTAIN.",41.7789688616669,-87.605752077236,FAMILY DOLLAR,6349 S COTTAGE GROVE AVE,POINT (-87.605752077236 41.7789688616669),WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,,41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443
Twinspot,2025-03-20,Pass,TRUE,FALSE,TRUE,447 E 63Rd St,CHICAGO,IL,60637.0,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: INSTRUCTED TO LABEL ALL FOOD STORAGE CONTAINERS ON PREP TABLE AND ROLLING CART. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED THE RUBBER GASKET OF THE TWO DOOR COOLER ACROSS FROM THE COOKING EQUIPMENT IN POOR REPAIR ON THE LEFT DOOR; INSTRUCTED TO REPAIR OR REPLACE GASKET. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO CLEAN THE EXTERIOR SURFACES OF THE FRYER AND GRILL AND BOTTOM AREA OF GRILL TO REMOVE GREASE AND FOOD PARTICLES.    CLEAN ROLLING CART AND EXTEROR SURFACES OF BULK STORAGE CONTAINERS.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN THE FLOORS UNDER AROUND AND BEHIND EQUIPMENT WHERE NEEDED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND SOME UNNECESSARY ITEMS IN A STORAGE ROOM IN THE REAR; INSTRUCTED TO ORGANIZE AND MAINTAIN ROOM.",41.7801615764959,-87.6138051305085,TWINSPOT,447 E 63RD ST,POINT (-87.6138051305085 41.7801615764959),WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,,41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443
Daveens African Food And Grocery Llc,2024-10-21,Pass,FALSE,TRUE,TRUE,6421 S Dr Martin Luther King Jr Dr,CHICAGO,IL,60637.0,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NO COVERED WASTE RECEPTACLE IN EMPLOYEE WASHROOM; INSTRUCTED TO PROVIDE A WASTE RECEPTACLE WITH A COVER.",41.7777692883267,-87.615417280148,DAVEENS AFRICAN FOOD AND GROCERY LLC,6421 S DR MARTIN LUTHER KING JR DR,POINT (-87.615417280148 41.7777692883267),WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,,41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443
Parkway Super Market Inc.,2024-09-25,Pass,FALSE,TRUE,TRUE,6435 S Dr Martin Luther King Jr Dr,CHICAGO,IL,60637.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNNECESSARY ITEMS IN UNUSED WALK-IN COOLER AND NEAR FRONT ENTRANCE DOOR IN CORNER AREA; INSTRUCTED TO REMOVE/ORGANIZE AND MAINTAIN TO AVOID CLUTTER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WATER STAINED CEILING TILES IN VARIOUS AREAS OF THE STORE; INSTRUCTED TO REPLACE TILE WHERE NEEDED.",41.7773741059228,-87.6154079049465,PARKWAY SUPER MARKET INC,6435 S DR MARTIN LUTHER KING JR DR,POINT (-87.6154079049465 41.7773741059228),WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,,41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443
Jewel Food Store #3082,2024-06-21,Pass,FALSE,TRUE,TRUE,6014 S Cottage Grove Ave,CHICAGO,IL,60637.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNS AT HAND WASHING SINKS IN REAR STAFF WASHROOMS. INSTRUCTED MANAGER TO PROVIDE HAND WASHING SIGNS AT ALL HAND WASHING SINKS USED BY EMPLOYEES. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED BULK SEASONING NOT LABELED IN DELI REAR PREP AREA. INSTRUCTED MANAGER TO LABEL ALL BULK CONTAINERS WITH COMMON NAME OF FOOD. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED MILK CRATES USED AS SHELVING IN LIQUOR STORAGE ROOM. INSTRUCTED MANAGER TO PROVIDE ADEQUATE SHELVING FOR STORAGE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED FOOD DEBRIS ON INTERIOR AND EXTERIOR SURFACES OF COOKING EQUIPMENT, FRYERS, HOLDING UNITS, SHELVING UNITS, CABINETS, PREP TABLES, SINKS IN DELI, BAKERY, PRODUCE PREP AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAKING SPRAYER ON PREP SINK IN REAR DELI, LEAKING BACKFLOW DEVICE UNDER SCRAPE SINK NEAR DISH MACHINE IN DELI, LEAKING TOILET IN REAR WOMEN STAFF WASHROOM. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESS WATER, FOOD DEBRIS ON FLOORS UNDER ALL EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN DELI, MEAT AND PRODUCE AREAS. OBSERVED DUST BUILDUP ON CEILING VENTS IN DELI PREP AREA. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOILED MOP HEADS STORED ON FLOOR IN PREP AND STORAGE AREAS. INSTRUCTED MANAGER TO STORE MOP HEADS UPRIGHT TO PREVENT INSECT BREEDING.",41.7853874449588,-87.606183761008,JEWEL FOOD STORE 3082,6014 S COTTAGE GROVE AVE,POINT (-87.606183761008 41.7853874449588),WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,,41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443
"Food Market 123, Inc.",2024-02-14,Pass,FALSE,TRUE,TRUE,6357 S Cottage Grove Ave,CHICAGO,IL,60637.0,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO BACKFLOW DEVICE ON THE UTILITY SINK; INSTRUCTED TO INSTALL AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: THE WASHROOM DOOR IS NOT SELF CLOSING; INSTRUCTED TO INSTALL A SELF CLOSING DEVICE FOR THE WASHROOM DOOR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED A SECTION OF THE LOWER WALL AT THE BASEBOARD IN THE FURNACE ROOM THAT NEEDS TO BE SEALED; INSTRUCTED TO PROVIDE WALL COVING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DEBRIS (ROCKS AND OTHER DEBRIS) ON THE FLOOR BEHIND THE FURNACE; INSTRUCTED TO REMOVE FROM FLOOR.",41.7787431862918,-87.6057467699495,FOOD MARKET 123 INC,6357 S COTTAGE GROVE AVE,POINT (-87.6057467699495 41.7787431862918),WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,,41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443
"Woodlawn Super Fair, Llc",2018-05-23,Pass,FALSE,TRUE,TRUE,6319 S Vernon Ave,CHICAGO,IL,60637.0,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: OBSERVED 5 DOORS IN FROZEN FOOD AISLE WITH DAMAGED GASKETS. INSTRUCTED TO REPLACE. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: OBSERVED CALCIUM BUILDUP INSIDE ICE MACHINE AND FOOD DEBRIS ON DISPLAY SHELVES. INSTRUCTED TO REMOVE AND CLEAN.   | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: OBSERVED FOOD DEBRIS UNDER AND AROUND FOOD SHELVING UNITS THROUGHOUT THE STORE. INSTRUCTED TO CLEAN AND MAINTAIN. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED STAINS ON CEILING TILES IN MEAT PREP AREA. INSTRUCTED TO REPLACE. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: OBSERVED FOOD BOXES ON THE GROUND OF THE WALK IN COOLER. INSTRCUTED TO USE PROPER STORAGE UNITS AND ELEVATE 6 INCHES FROM THE GROUND    OBSERVED EMPTY CARDBOARD BOXES ON THE GROUND IN FRONT OF REAR STORAGE AREA. INSTRUCTED TO REMOVE.",41.7796646515297,-87.6142509360946,WOODLAWN SUPER FAIR LLC,6319 S VERNON AVE,POINT (-87.6142509360946 41.7796646515297),WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,,41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443
Rhodes Food Market,2017-07-21,Pass,FALSE,TRUE,TRUE,525 E Marquette Rd,CHICAGO,IL,60637.0,38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: FOUND NO UTILITY SINK ON PREMISES AS REQUIRED WITH HOT AND COLD RUNNING WATER AND A BACK FLOW PREVENTER DEVICE ATTACHED; MUST INSTALL.,41.7747404126613,-87.6120376627683,RHODES FOOD MARKET,525 E MARQUETTE RD,POINT (-87.6120376627683 41.7747404126613),WOODLAWN,57815179.512,42.0,42.0,46936.9592443,,,41.0,WOODLAWN,57815179.512,42.0,42.0,46936.9592443
