DBA Name,Address,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES,Action,Notes
Chicago Food Market Inc,2245 S Wentworth Ave,2024-01-11,Pass W/ Conditions,FALSE,TRUE,TRUE,CHICAGO,IL,60616.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON SITE DURING THE INSPECTION WHILE OPEN AND OPERATING. INSTRUCTED A CITY OF CHICAGO CERTIFIED FOOD MANAGER MUST BE ON SITE AT ALL TIMES WHILE OPEN AND OPERATING. PRIORITY FOUNDATION VIOLATION 7-38-012, CITATION ISSUED | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED ALL HANDWASHING SINKS WITHOUT HANDWASHING SIGNAGE. INSTRUCTED TO PROVIDE AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED SLIGHT DEBRIS ON THE SHELVING UNITS WHERE THE PREPACKAGED NOODLES AND COOKIES ARE STORED IN THE SHOPPING AISLE. INSTRUCTED TO CLEAN MORE FREQUENTLY AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED A LEAKING PIPE UNDER THE THREE COMPARTMENT SINK BEHIND THE FRONT MEAT PREP AREA. INSTRUCTED TO REPAIR LEAKING PIPES AND MAINTAIN.",41.8515957199464,-87.6318369065422,CHICAGO FOOD MARKET INC,2245 S WENTWORTH AVE,POINT (-87.6318369065422 41.8515957199464),33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,,,
Happy Market,2334 S Wentworth Ave,2025-01-02,Pass W/ Conditions,FALSE,TRUE,TRUE,CHICAGO,IL,60616.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: UPON ARRIVAL, OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON SITE WHILE OPEN AND OPERATING. INSTRUCTED A CITY OF CHICAGO CERTIFIED FOOD MANAGER MUST BE ON SITE AT ALL TIMES WHILE OPEN AND OPERATING.  PRIORITY FOUNDATION VIOLATION 7-38-012, CITATION ISSUED | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.14: OBSERVED NO HANDWASHING SIGNS AT EXPOSED HANDSINK IN THE BASEMENT OR IN EMPLOYEE WASHROOM; INSTRUCTED TO PROVIDE. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-501.112: OBSERVED DEAD ROACHES INSIDE THE MOP SINK BASIN IN THE BUTCHER AREA, STICKY TRAPS IN BASEMENT FLOORS, ON THE WALL NEAR THE HOOD IN THE BASEMENT PREP AREA. INSTRUCTED TO REMOVE DEAD ROACHES AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED SHELF UNDER FOOD PREP TABLE BEHIND BUTCHER AREA WITH RUST. ALSO, OBSERVED DEBRIS ON THE SHELVES IN THE SHOPPING AISLES. INSTRUCTED TO REMOVE RUST AND DEBRIS AND MAKE SURFACE SMOOTH AND EASILY CLEANABLE.",41.8499540019225,-87.632094195591,HAPPY MARKET,2334 S WENTWORTH AVE,POINT (-87.632094195591 41.8499540019225),33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,,,
Star Light Food Market,211 W 22Nd Pl,2024-11-19,Pass W/ Conditions,TRUE,FALSE,FALSE,CHICAGO,IL,60616.0,"22. PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED IMPROPER COLD HOLDING TEMPERATURES OF TCS FOODS. RAW PORK MARINATING IN A BIG BOWL ON THE FLOOR UNDER FOOD PREP TABLE IN REAR PREP/ DISHWASHING AREA (64.5F), RAW MARINATING QUAIL IN WALK-IN COOLER (59.9F), CONTAINERS OF WHOLE DUCKS FOUND IN WALK-IN FREEZER (62.4F-68.0F). APPROXIMATELY 210LBS AT $455 WORTH OF PRODUCT DISCARDED. MUST HAVE COLD HOLDING FOODS AT 41.0F OR BELOW PRIORITY 7-38-005, CITATION ISSUED | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO AMBIENT AIR THERMOMETER INSIDE THE HOT HOLDING UNIT IN THE REAR FOOD PREP AREA. INSTRUCTED TO PROVIDE AND MAINTAIN. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED NO LABELS ON THE DRY STORAGE CONTAINERS IN THE REAR FOOD PREP AREA ACROSS FROM THE WOK STATION. INSTRUCTED TO LABEL AND MAINTAIN. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED A BIG BOWL OF RAW PORK MARINATING ON THE FLOOR UNDER THE FOOD PREP TABLE IN THE REAR FOOD PREP/ DISHWASHING AREA. INSTRUCTED TO REFRAIN FROM STORING FOOD ITEMS ON THE FLOOR AND ATLEAST 6 INCHES OFF THE FLOOR AT ALL TIMES. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED A MISSING SLIDING DOOR FOR THE HOT HOLDING UNIT IN THE FRONT PREP AREA. INSTRUCTED TO PROVIDE MISSING DOOR TO ENSURE UNIT STAYS HOT AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE SHELVES IN THE FRONT HOT FOOD PREP/SERVICE AREA IN NEED OF CLEANING AND THE OUTERIOR OF THE MICROWAVE UNDER THE SERVICE COUNTER AT THE HOT FOOD PREP AREA IN NEED OF CLEANING.INSTRUCTED TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED THE PIPE UNDER THE HANDWASHING SINK IN THE REAR DISHWASHING/ FOOD PREP AREA LEAKING. INSTRUCTED TO REPAIR AND MAINTAIN. | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: OBSERVED IMPROPER CONVEYING OF SEWAGE AT THE THREE COMPARTMENT SINK, USED FOR WARE WASHING. WHEN RINSE BASIN WAS DRAINED WATER BACKED UP FROM FLOOR DRAIN AND BEGAN POOLING ON THE FLOOR IN THE PREP AREA. INFORMED PERSON IN CHARGE OF REQUIREMENTS OF CONVEYING SEWAGE. EMPLOYEES WERE ABLE REPAIR SINK BEFORE THE CONCLUSION OF THE INSPECTION. PRIORITY VIOLATION 7-38-030(C) CITATION ISSUED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CARDBOARD BOXES BEING USED ON THE FLOORS IN THE REAR PREP AREAS. INSTRUCTED TO REMOVE AND REPLACE WITH NON-SLIP MATS AND MAINTAIN.",41.8520525197972,-87.6325052811209,STAR LIGHT FOOD MARKET,211 W 22ND PL,POINT (-87.6325052811209 41.8520525197972),33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,,,
Wing Cheong Grocery Inc,2317 S Wentworth Ave,2024-11-21,Pass W/ Conditions,TRUE,FALSE,TRUE,CHICAGO,IL,60616.0,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CERTIFIED FOOD MANAGER WITH THE ORIGINAL CITY OF CHICAGO FOOD SERVICE MANAGER CERTIFICATE ON SITE, WHILE OPEN AND OPERATING. INSTRUCTED A CITY OF CHICAGO CERTIFIED FOOD MANAGER MUST BE ON SITE WITH THE ORIGINAL CITY OF CHICAGO FOOD SERVICE MANAGER CERTIFICATE POSTED AT ALL TIMES WHILE OPEN AND OPERATING. PRIORITY FOUNDATION VIOLATION 7-38-012, CITATION ISSUED  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.13: OBSERVED STICKY TRAPS FILLED WITH DEAD BUGS ON THE CEILINGS IN THE SHOPPING AISLES, ABOVE THE BUTCHER PREP TABLES, AND ABOVE THE FISH TANKS IN THE BASEMENT. INSTRUCTED TO REPLACE STICKY TRAPS AND REFRAIN FROM STORING INSECT STICKY TRAPS ABOVE FOOD PREP TABLES AND FISH TANKS. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: 3-305.11: OBSERVED MULTIPLE BINS OF FOOD ITEMS OPEN THROUGHOUT THE FACILTIY AND NOT COVERED. INSTRUCTED TO PROVIDE COVERS FOR THE ITEMS TO PREVENT CONTAMINATION.  | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: 3-304.14: OBSERVED WIPING TOWELS STORED ON THE HINGES OF THE EMPTY PAPER TOWEL ROLL RACK IN THE REAR DISHWAHSING AREA. INSTRUCTED TO REMOVE AND PROPERLY STORE WIPING CLOTHS.  | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: 4-301.12: OBSERVED MISSING THREE SINK STOPPERS FOR THE WAREWASHING SINK. INSTRUCTED TO PROVIDE AND MAINTAIN.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C): OBSERVED THE SHELVES IN THE SHOPPING AISLES IN NEED OF CLEANING. ALSO, OBSERVED THE PALLETS IN THE BASEMENT IN NEED OF CLEANING. INSTRUCTED TO CLEAN AND MAINTAIN MENTIONED SURFACES.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.12: OBSERVED THE CEILINGS IN THE BASEMENT WITH SPIDER WEBS THROUGHOUT, ESPECIALLY ABOVE FISH TANKS. OBSERVED THE WALLS AND PIPES IN THE REAR DISHWASHING/PREP AREA WITH DUST BUILD UP AND GREASE DROPLETS. INSTRUCTED TO CLEN AND MAINTAIN MENTIONED CEILINGS AND WALLS.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114: OBSERVED CARDBOARD BOXES ON THE FLOOR IN THE BUTCHER AREA. INSTRUCTED TO REMOVE UNNECCESSARY ITEMS AND MAINTAIN.",41.85046848380270,-87.6318159123554,WING CHEONG GROCERY INC,2317 S WENTWORTH AVE,POINT (-87.6318159123554 41.85046848380271),33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,,,
"Best Choice Oriental Grocery, Inc.",2403 S Wentworth Ave,2024-11-20,Pass,TRUE,FALSE,TRUE,CHICAGO,IL,60616.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED BOTH 3-COMPARTMENT SINKS IN REAR PREP: STOPPERS MISSING INSTRUCTED MANAGER MUST PROVIDE WORKING STOPPERS AT BOTH 3-COMPARTMENT SINK. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED MILK CRATES BEING USED AS SHELVING THROUGHOUT THE PREP AND STORAGE AREAS. MUST REMOVE AND PROVIDE SHELVING THAT IS 6"" OFF THE FLOOR AND PROVIDES FLOOR ACCESSIBILITY TO ENSURE ADEQUATE FACILITY CLEANING. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CUTTING BOARDS IN THE REAR PREP AREA WITH OPEN SEAMS AND DARK STAINS. INSTRUCTED TO REFINISH OR REPLACE DAMAGED OR STAINED CUTTING BOARDS AND MAINTAIN AT ALL TIMES. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE INTERIOR OF THE REACH IN COOLERS IN NEED OF CLEANING. INSTRUCTED TO DETAIL CLEAN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FAUCETS, HOT AND COLD-WATER HANDLES AT HANDSINKS IN FRONT AND REAR PREP HARD TO TURN, INSTRCUTED TO REPAIR OR REPLACE AND MAINTAIN | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: OBSERVED GREASE TRAP IN REAR PREP LEAKING FROM BROKEN BASE AND WITH NO LID, NOTED GREASE TRAP IN BASEMENT WITHOUT LID. INSTRUCTED TO REPAIR OR REPLACE AND MAINTAIN | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING AND DAMAGED FLOOR TILES FRONT PREP, REAR PREP AND BEHIND DISPAY CASES, THROUGHOUT FACILITY. INSTRUCTED TO REPAIR TO CREATE A SMOOTH AND EASILY CLEANABLE SURFACE. MUST MAINTAIN AT ALL TIMES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CHIPPED PAINT ON THE WALLS IN THE FRONT AND REAR PREP AND WALK IN COOLERS. INSTRUCTED TO RESURFACE AND REPAINT CHIPPED AREAS TO ENSURE WALLS ARE SEALED, SMOOTH AND EASILY CLEANABLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER STORED ON FLOOR IN BASEMENT AND REAR PREP AREAS AND IN REAR STORAGE AREA. INSTRUCTED MANAGER TO REMOVE ALL UNUSED ARTICLES AND EQUIPMENT TO PREVENT PEST HARBORAGE | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO PROOF OF TRAINING FOR ALL FOOD HANDLERS. INSTRUCTED TO PROVIDE AND MAINTAIN RECORDS AT ALL TIMES",41.8490554956367,-87.6317833332927,BEST CHOICE ORIENTAL GROCERY INC,2403 S WENTWORTH AVE,POINT (-87.6317833332927 41.8490554956367),33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,,,
Harmony Palace,2402 S Wentworth Ave,2024-01-05,Pass,TRUE,FALSE,FALSE,CHICAGO,IL,60616.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SIGNAGE AT THE HANDWASHING SINK IN THE PREP/DISHWASHING AREA. INSTRUCTED TO PROVIDE AND MAINTAIN. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED TWO SQUIRT BOTTLES WITH NOT LABELED WITH COMMON NAME OF FOOD ON THE COFFEE PREP TABLE. INSTRUCTED TO LABEL ALL FOOD ITEMS NOT IN THERE ORIGINAL PACKAGING AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 5-501.17: OBSERVED NO COVERED RECEPTACLE IN RESTROOM. INSTRUCTED PERSON IN CHARGE TO PROVIDE COVERED RECEPTACLE AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 6-501.18: OBSERVED PLUMBING FIXTURES ON SINK AND TOILET TO HAVE BUILD UP OF RESIDUE. INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114: OBSERVED BOXES STORED ON FLOOR IN SALES AREA. INSTRUCTED PERSON IN CHARGE TO MAINTAIN ALL ITEMS AT LEAST SIX INCHES FROM FLOOR.",41.8490523787276,-87.6320769188012,HARMONY PALACE,2402 S WENTWORTH AVE,POINT (-87.6320769188012 41.8490523787276),33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,,,
Hong Kong Market,520 W 24Th Pl,2015-02-18,Pass,FALSE,TRUE,TRUE,CHICAGO,IL,60616.0,,41.8482371659254,-87.6409555275199,HONG KONG MARKET,520 W 24TH PL,POINT (-87.6409555275199 41.8482371659254),33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,,,
"Hong Kong Seafood City, Inc.",2120 S Archer Ave,2015-11-17,Out Of Business,TRUE,FALSE,FALSE,CHICAGO,IL,60616.0,,41.8539906397247,-87.6327572621078,HONG KONG SEAFOOD CITY INC,2120 S ARCHER AVE,POINT (-87.6327572621078 41.8539906397247),33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,,,
J Freshmart,2411 S Wallace St,2023-09-22,Pass,FALSE,TRUE,FALSE,CHICAGO,IL,60616.0,,41.848945134619500,-87.6420905972054,J FRESHMART,2411 S WALLACE ST,POINT (-87.6420905972054 41.848945134619505),33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,,,
Park To Shop Supermarket,2425 S Wallace St,2024-06-10,Pass,FALSE,TRUE,TRUE,CHICAGO,IL,60616.0,,41.8485874803062,-87.641783804448,PARK TO SHOP SUPERMARKET,2425 S WALLACE ST,POINT (-87.641783804448 41.8485874803062),33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,,,
