DBA Name,Address,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES,Action,Notes
365 Supermarket Inc,6502-6504 S Western Ave,2020-09-28,Out Of Business,TRUE,FALSE,FALSE,CHICAGO,IL,60636.0,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN A SELF CLOSING DEVICE ON THE WASHROOM DOOR BEHIND THE DELI COUNTER.",41.77544940144930,-87.6836895389119,365 SUPERMARKET INC,65026504 S WESTERN AVE,POINT (-87.6836895389119 41.77544940144929),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,,
Abm Supermarket Inc.,2433 W 63Rd St,2022-04-18,Pass,TRUE,FALSE,FALSE,CHICAGO,IL,60629.0,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD ITEMS STORED ON FLOOR IN STORAGE AND SALES AREAS. INSTRUCTED MANAGER TO PROVIDE ADEQUATE SHELVING AND ELEVATE ALL FOOD ITEMS SIX INCHES OFF FLOOR.",41.7791298686193,-87.6849214962508,ABM SUPERMARKET INC,2433 W 63RD ST,POINT (-87.6849214962508 41.7791298686193),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,,
Adas Food Market Incorporated,3103 W 63Rd St,2022-03-31,Pass,TRUE,FALSE,FALSE,CHICAGO,IL,60629.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RAW WOOD USED AS SHELVING. INSTRUCTED MANAGER TO PROVIDE SEALED WOOD OR A CORROSION RESISTANT, NON ABSORBENT, EASILY CLEANABLE MATERIAL. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS BEHIND SALES COUNTER FOUND CONSTRUCTED OF UNAPPROVED BUILDING MATERIALS. FLOOR IS MADE OF RAW WOOD AND IS NOT SMOOTH AND EASILY CLEANABLE. INSTRUCTED MANAGER TO HAVE FLOOR SEALED OR PROVIDE A FLOOR CONSTRUCTED OF A NON-ABSORBENT AND EASILY CLEANABLE MATERIAL.",41.778895402750100,-87.7008518341484,ADAS FOOD MARKET INCORPORATED,3103 W 63RD ST,POINT (-87.7008518341484 41.778895402750095),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,,
Aldi Inc.#94,6025 S Western Ave,2023-09-12,Pass,FALSE,TRUE,TRUE,CHICAGO,IL,60636.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED ISSUES WHEN THE CONDENSER UNIT INSIDE THE WALK IN FREEZER WHICH IS CREATING FROST AND ICE BUILD UP ON THE RACKS, SHELVING, FAN COVER AND A SECTION OF THE FOOD DISPLAYED. MUST REPAIR AND MAINTAIN. ALSO INSTRUCTED MANAGER TO REMOVE FOOD PRODUCT IN THE CONCERNED AREA. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED A LEAKY PIPE UNDERNEATH THE 2 COMP SINK. MUST REPAIR AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: FLOORS NEED CLEANING THE WOMEN WASHROOM.",41.7839658422763,-87.6836233777584,ALDI INC94,6025 S WESTERN AVE,POINT (-87.6836233777584 41.7839658422763),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,,
Amen Supermarket Inc,2534 W 63Rd St,2022-06-27,Pass,TRUE,FALSE,FALSE,CHICAGO,IL,60629.0,56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED NO MECHANICAL VENTILATION IN RESTROOM. INSTRUCTED TO PROVIDE AND MAINTAIN,41.7793109323357,-87.6874550292145,AMEN SUPERMARKET INC,2534 W 63RD ST,POINT (-87.6874550292145 41.7793109323357),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,,
"April Food Market, Inc.",2340 W 69Th St,2014-03-20,Out Of Business,TRUE,FALSE,FALSE,CHICAGO,IL,60636.0,"36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: MUST PROVIDE A LIGHT SHIELD TO THE CEILING LIGHT FIXTURE TOILET ROOM.",41.7684530134848,-87.6824596048886,APRIL FOOD MARKET INC,2340 W 69TH ST,POINT (-87.6824596048886 41.7684530134848),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,,
"Carniceria La Hacienda, Inc.",3459 W 59Th St,2024-08-08,Pass,FALSE,TRUE,TRUE,CHICAGO,IL,60629.0,"44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments: KNIVES IMPROPERLY STORED INBETWEEN MEAT DISPLAY CASE AND WALL. INSTD TO STORE PROPERLY AND MAINTAIN | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: CUTTING BOARDS IN MEAT PREP AREA STAINED AND WITH DEEP, DARK GROOVES. INSTD TO REMOVE STAINS, GROOVES OR REPLACE CUTTING BOARD AND MAINTAIN",41.786024401014,-87.7106047774381,CARNICERIA LA HACIENDA INC,3459 W 59TH ST,POINT (-87.7106047774381 41.786024401014),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,,
Huerta'S Grocery Store,6509 S Kedzie Ave,2021-09-24,Pass,TRUE,FALSE,FALSE,CHICAGO,IL,60629.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: FRONT ENTRY DOOR IN NEED OF RODENT PROOFING. MUST CORRECT AND MAINTAIN.",41.7750464890029,-87.7028989286786,HUERTAS GROCERY STORE,6509 S KEDZIE AVE,POINT (-87.7028989286786 41.7750464890029),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,,
Mi Mexico Grocery,2601 W 59Th St,2025-02-20,Pass,FALSE,TRUE,TRUE,CHICAGO,IL,60629.0,"44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments: MULTI USE EQUIPMENT (TRAYS, POTS) IMPROPERLY STORED ON FLOOR IN REAR. INSTD TO ELEVATE AND STORE PROPERLY | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOOD HANDLER IN MEAT/DELI PREP AREA WITHOUT FOOD HANDLER TRAINING. INSTD TO OBTAIN TRAINING AND MAINTAIN VERIFICATION ON SITE | 58. ALLERGEN TRAINING AS REQUIRED - Comments:  MISSING ALLERGEN TRAINING FOR CITY OF CHICAGO CERTIFIED MANAGER. INSTD TO OBTAIN TRAINING AND MAINTAIN VERIFICATION ON SITE",41.7863763432096,-87.6887765140256,MI MEXICO GROCERY,2601 W 59TH ST,POINT (-87.6887765140256 41.7863763432096),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,,
Mozart Market,2835 W 63Rd St,2025-02-04,Pass,TRUE,FALSE,FALSE,CHICAGO,IL,60629.0,"41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: SPONGES AT 3 COMPARTMENT SINK AREA IN NEED OF CHANGING AND REFRESHING OFTEN. INSTRUCTED TO CORRECT AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: ALL CUTTING BOARDS IN NEED OF CLEANING AND OR REPLACING. INSTRUCTED TO CORRECT AND MAINTAIN.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: ALL SINKS IN NEED OF DETAIL CLEANING TO REMOVE ANY AND ALL DEBRIS. INSTRUCTED TO CORRECT AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: COVING NEEDED UNDER 3 COMPARTMENT SINK. INSTRUCTED TO CORRECT AND MAINTAIN. WALLS WHERE NEW DRY WALL HAS BEEN INSTALLED IN NEED OF FINISHING AND SEALING. CORRECT AND MAINTAIN  | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: ALL EMPLOYEES IN NEED OF FOOD HANDLER CERTIFICATE. INSTRUCTED TO OBTAIN AND MAINTAIN",41.7789866291016,-87.6947531059103,MOZART MARKET,2835 W 63RD ST,POINT (-87.6947531059103 41.7789866291016),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,,,
