DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES,Action,Notes
Aldi,6221 N Broadway,FALSE,TRUE,TRUE,CHICAGO,IL,60660.0,2024-02-13,Pass,,41.9952114602224,-87.6602779929087,ALDI,6221 N BROADWAY,POINT (-87.6602779929087 41.9952114602224),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,,,
Almita Super Market,5957 N Clark St,FALSE,TRUE,TRUE,CHICAGO,IL,60660.0,2024-11-19,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST NOT USE MILK CRATES AS A MEANS OF ELEVATION FOR ANY STORED ITEMS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INTERIOR OF THE COOKS LINE TWO DOOR COOLER WITH FOOD DEBRIS. MUST CLEAN AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INTERIOR AND EXTERIOR OF THE COOKS LINE WOODEN CABINETS WITH FOOD SPLATTER AND FOOD DEBRIS. MUST CLEAN AND MAINTAIN.----MUST NOT USE PAPER AS LINER ON THE TOP OF THE DISPLAY COOLER OR CARDBOARD AS LINER INSIDE THE COOLERS. MUST BE SMOOTH AND CLEANABLE FOR ALL.----RAW WOODEN SHELVING AT THE BACK SPLASH OF THE MEAT SECTION THREE COMPARTMENT SINK. MUST PAINT/SEAL TO BE SMOOTH AND CLEANABLE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FRONT PREP HAND WASHING SINK EXTREMELY SLOW DRAINING. MUST REPAIR TO PROPERLY DRAIN CLOGGING SINK.----LEAK FROM THE REAR HOT WATER TANK ONTO THE FLOOR. MUST REPAIR LEAK. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: NOTED UNCOVERED BUCKETS OF OLD GREASE AND MEAT CASINGS IN THE REAR OF THE MEAT PREP AREA. MUST REMOVE TO THE OUTDOOR GREASE/WASTE RECEPTACLE AND DISCARD DAILY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED WATER DAMAGED RAW WOODEN FLOORS AND BASEBOARDS UNDER AND AROUND THE REAR LEAKING HOT WATER TANK. MUST REPLACE WATER DAMAGED FLOORS. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: MISSING LIGHT SHIELD END CAPS ON THE LIGHTS ABOVE THE REAR MEAT PREP THREE COMPARTMENT SINK AND PREP AREA. MUST REPLACE OR PROVIDE SHATTER PROOF BULBS.",41.9901304942362,-87.6698533287788,ALMITA SUPER MARKET,5957 N CLARK ST,POINT (-87.6698533287788 41.9901304942362),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,,,
Andale Market,5232 N Clark St,TRUE,FALSE,FALSE,CHICAGO,IL,60640.0,2020-11-23,Pass,51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO MOP SINK WITH BACKFLOW PREVENTION DEVICE AT FAUCET. MUST PROVIDE.,41.9772129028891,-87.6685308496386,ANDALE MARKET,5232 N CLARK ST,POINT (-87.6685308496386 41.9772129028891),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,,,
Malibu Market,6033 N Sheridan Rd,FALSE,TRUE,TRUE,CHICAGO,IL,60660.0,2024-10-28,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  4-602.13--- MUST NOT USE CARDBOARD AS LINER FOR SHELVING INSIDE THE WALK-IN COOLER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: LARGE, DIRTY TWO DOOR SQUARE OVEN NOT BEING USED IN THE REAR STORAGE MUST BE REMOVED FROM THE PREMISES TO PREVENT PEST HARBORING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: --NOTED DIRTY, FOOD SPLATTERED WALLS AT THE REAR STORAGE REFRIGERATION UNIT. MUST CLEAN AND MAINTAIN.",41.9919287559455,-87.6552963955843,DAVIDS MARKET,6033 N SHERIDAN RD,POINT (-87.6552963955843 41.9919287559455),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,,,
Dream Food Market,5908 N Clark St,FALSE,TRUE,FALSE,CHICAGO,IL,60660.0,2021-10-08,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN AND KIT FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED FACILITY TO DEVELOP AND MAINTAIN A PROCEDURE/PLAN AND TO MAINTAIN ANY APPROPRIATE SUPPLIES ON SITE.  PRIORITY FOUNDATION VIOLATION 7-38-005.NO CITATION ISSUED | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments:   NO SELF CLOSING DEVICE AT STAFF WASHROOM  DOOR.INSTRUCTED TO PROVIDE | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: COVER IS NEEDED FOR RECEPTACLES IN WASHROOM",41.9886964566345,-87.6700248765415,DREAM FOOD MARKET,5908 N CLARK ST,POINT (-87.6700248765415 41.9886964566345),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,,,
Edgewater Produce,5509 N Clark St,FALSE,TRUE,TRUE,CHICAGO,IL,60640.0,2024-11-20,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: INSTRUCTED TO REFINISH OR REPLACE CUTTING BOARDS WITH DEEP SEAMS IN DELI/MEAT SECTION. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS ALONG THE WALLS AND IN ALL CORNERS IN REAR STORAGE AREA AND UNDERNEATH DISPLAY SHELVES IN THE DISPLAY AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN AND MAINTAIN CONDENSER FAN COVER WITH DUST ACCUMULATION IN PRODUCE WALK-IN COOLER AND INSIDE THE MEAT WALK-IN COOLER IN REAR AREA.",41.981971376999,-87.6683210322541,EDGEWATER PRODUCE,5509 N CLARK ST,POINT (-87.6683210322541 41.981971376999),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,,,
Hollywood Pantry,1301-1303 W Hollywood Ave,FALSE,TRUE,FALSE,CHICAGO,IL,60660.0,2020-04-24,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEA CLEAN UP KIT ON SITE DURING INSPECTION. INSTRUCTED MANAGER TO PROVIDE A PROCEDURE ALONG WITH THE NECESSARY SUPPLIES AS OUTLINED IN POLICY. PRIORITY FOUNDATION. 7-38-005. NO CITATION ISSUED.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO METAL STEM THERMOMETER ON SITE. MUST PROVIDE AND HAVE ON SITE AT ALL TIMES. PRIORITY FOUNDATION. 7-38-005. NO CITATION ISSUED.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE CLUTTER IN REAR WITH EXPIRED BEVERAGES IN BOXES. INSTRUCTED MANAGER MUST REMOVE AND CLEAN AREA.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXPOSED RAW WOODEN FLOORS IN BATHROOM. MUST INSTALL AND REPAIR FLOOR TILES IN BATHROOM. ALSO OBSERVED ABOUT 1/4 INCH GAP BETWEEN 2-DOOR FRONT ENTRANCE. MUST SEAL TO PREVENT ENTRY POINTS FOR PESTS.",41.985436451803,-87.6632112118758,HOLLYWOOD PANTRY,13011303 W HOLLYWOOD AVE,POINT (-87.6632112118758 41.985436451803),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,,,
Ins Market,1115 W Granville Ave,TRUE,TRUE,FALSE,CHICAGO,IL,60660.0,2020-03-19,Out Of Business,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEA CLEAN UP KIT AND PROCEDURE ON SITE DURING INSPECTION. INSTRUCTED TO PROVIDE ALL NECESSARY SUPPLIES AS OUTLINED IN POLICY. PRIORITY FOUNDATION. 7-38-005. NO CITATION ISSUED.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER IN FRONT OF MOP SINK FAUCET IN REAR AND IN BATHROOM. INSTRUCTED TO REMOVE AND CLEAN AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED TORN BASEBOARD NEAR FRONT ENTRANCE DOOR. INSTRUCTED TO REPAIR TO PREVENT ENTRY POINTS FOR PESTS.",41.9944587847764,-87.6589471663646,INS MARKET,1115 W GRANVILLE AVE,POINT (-87.6589471663646 41.9944587847764),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,,,
Jewel Food Store #3407,5516 N Clark St,FALSE,TRUE,TRUE,CHICAGO,IL,60640.0,2024-06-13,Pass W/ Conditions,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: Observed missing handwashing sign in ladies employee bathroom in basement. Instructed manager to provide signs for all hand sinks. | 14. REQUIRED RECORDS AVAILABLE: SHELLSTOCK TAGS, PARASITE DESTRUCTION - Comments: OBSERVED NO SHELLFISH TAG IN OYSTERS STORED AND DISPLAY INSIDE SEAFOOD DISPLAY COOLER. INSTRUCTED MANAGER, A SHELLFISH TAG MUST BE WITH THE PRODUCT AT ALL TIMES UNTIL EMPTIED AND MUST BE RETAINED FOR A PERIOD OF 90 DAYS. A SHELLSTOCK CERTIFICATION TAG SHALL BE MAINTAINED WITH THE PRODUCT WITH THE ORIGINAL CONTAINER UNTIL EMPTIED AND THEN RETAINED FOR A PERIOD OF 90 DAYS. SHELLFISH TAGS MUST BE DATED WITH THE DATE WHEN THE LAST SHELLFISH WAS USED OR CONSUMED FROM THE CONTAINER. OYSTERS DISCARDED. TOTAL VALUE:100.00 TOTAL WEIGHT: 5 LBS. PRIORITY FOUNDATION VIOLATION 7-38-005     CITATION ISSUED | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: Observed no thermometer present in walk in produce cooler. Instructed manager to provide a thermometer in each cold hold unit. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: Observed dust build up on the exterior of the condenser fan cover in walk in cooler in produce prep area. Instructed manager to clean and maintain area free of dust build up | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAK ON THE SIDE OF GREASE BOX UNDERNEATH 3 COMPARTMENT SINK IN DELI PREP AREA. INSTRUCTED TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WATER POOLING UNDERNEATH/BEHIND 3 COMPARTMENT SINK IN THE DELI PREP AREA, BAKERY PREP/DISHWASHING AREA AND IN BASEMENT PRODUCE PREP/DISHWASHING AREA. INSTRUCTED TO KEEP THE FLOORS DRY TO PREVENT PEST HARBORAGE,",41.9821898846136,-87.6686516279609,JEWEL FOOD STORE 3407,5516 N CLARK ST,POINT (-87.6686516279609 41.9821898846136),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,,,
Jewel Food Store #3443,5343 N Broadway,FALSE,TRUE,TRUE,CHICAGO,IL,60640.0,2024-09-17,Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTED TO PROVIDE HANDWASHING SIGNAGE AT HAND SINK INSIDE SECOND FLOOR  EMPLOYEE WASHROOM | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED DUST AND MOLD LIKE BUILD UP ON STORAGE RACKS INSIDE DELI WALK-IN COOLER. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN OPEN DELI DISPLAY COOLER GRATES WITH EXCESSIVE DUST BUILD-UP (DISPLAY AREA)  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN LIGHTSHIELDS WITH DUST ACCUMULATION ABOVE MEAT PREP/CUTTING ROOM AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DARK WATER POOLING UNDER AND BEHIND DISHMACHINE IN BAKERY DISHWASHING AREA. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN.",41.97942825492170,-87.659805854713,JEWEL FOOD STORE 3443,5343 N BROADWAY,POINT (-87.659805854713 41.97942825492169),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,,,
