DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES,Action,Notes
Cermak Produce,4234 N Kedzie Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60618.0,2025-04-09,Pass W/ Conditions,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED LARGE POTS BLOCKING ACCESS TO EXPOSED HANDWASHING SINK IN THE REAR COOKING AREA. INSTRUCTED THE PERSON IN CHARGE TO ENSURE ALL HANDWASHING SINKS REMAIN ACCESSIBLE FOR EMPLOYEES TO WASH THEIR HANDS. PRIORITY FOUNDATION VIOLATION 7-38-030(c), CITATION ISSUED. EMPLOYEE REMOVED POTS BLOCKING ACCESS TO HANDSINK DURING INSPECTION. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD ITEMS BEING STORED ON FLOOR IN DAIR WALK-IN COOLER. INSTRUCTED THE PERSON IN CHARGE TO ELEVATE ALL FOOD ITEMS SIX INCHES FROM FLOOR AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED TORN/DAMAGED RUBBER GASKETS ON DOOR OF CHICKEN WALK-IN COOLER IN THE REAR. INSTRUCTED THE PERSON IN CHARGE TO REPAIR OR REPLACE GASKET ABD MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARDBOARD BEING USED AS LINER ON STORAGE RACKS IN THE HOT FOODS WALK-IN COOLER. INSTRUCTED THE PERSON IN CHARGE TO REMOVE CARDBOARD AND ENSURE ALL NONFOOD-CONTACT SURFACES REMAIN SMOOTH AND EASILY CLEANABLE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED UNFINISHED WOOD ON THE SHELVING UNITS IN REAR COOKING AREA. INSTRUCTED THE PERSON IN CHARGE TO FINISH THE WOOD ON THE SHELVING UNITS, SO THAT THEY ARE SMOOTH AND EASILY CLEANABLE AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED ACCUMULATED GREASE AND FOOD DEBRIS ON INTERIOR AND EXTERIOR SURFACES OF COOKING EQUIPMENT, AND PREP TABLES IN REAR COOKING AREA. INSTRUCTED THE PERSON IN CHARGE TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED ACCUMULATED GREASE AND FOOD DEBRIS ON FLOOR IN REAR COOKING AREA. INSTRUCTED THE PERSON IN CHARGE TO CLEAN AND MAINTAIN.",41.9585967246828,-87.7083095758954,CERMAK PRODUCE,4234 N KEDZIE AVE,POINT (-87.7083095758954 41.9585967246828),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,,,
Charlies  Supermarket Inc.,2941 W Montrose Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60618.0,2024-12-16,Pass,,41.9611144263236,-87.7025869386463,CHARLIES SUPERMARKET INC,2941 W MONTROSE AVE,POINT (-87.7025869386463 41.9611144263236),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,,,
Club De Nutricion,3229 W Montrose Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60618.0,2013-12-31,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: RAW BARE WOOD UNDERNEATH THE FRONT COUNTER. INSTRUCTED TO SEAL OR PAINT. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: DAMAGED CEILING TILES IN THE REAR STORAGE AREA. MUST REPLACE. | 37. TOILET ROOM DOORS SELF CLOSING: DRESSING ROOMS WITH LOCKERS PROVIDED: COMPLETE SEPARATION FROM LIVING/SLEEPING QUARTERS - Comments: INSTRUCTED TO INSTALL A SELF CLOSING DEVICE ON THE WASHROOM DOOR. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: INSTRUCTED INSTALL A MOP SINK WITH COLD AND HOT RUNNING WATER UNDER CITY PRESSURE AND A BACK FLOW PREVENTIVE DEVICE ON THE MOP SINK FAUCET.",41.9610654924702,-87.7094095846285,CLUB DE NUTRICION,3229 W MONTROSE AVE,POINT (-87.7094095846285 41.9610654924702),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,,,
"Fat Boy Grocery And Deli, Inc.",4058 W Belmont Ave,TRUE,FALSE,TRUE,CHICAGO,IL,60641.0,2024-08-07,Pass,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO BACKFLOW PREVENTION DEVICE FOR UTILITY SINK IN THE REAR. INSTRUCTED THE PERSON IN CHARGE TO PROVIDE A BACKFLOW PREVENTION DEVICE LOCATED SO THAT IT MAY BE SERVICED AND MAINTAINED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNUSED EQUIPMENT AND UNNECESSARY ARTICLES ( 3-DOOR PREP COOLER, DISPLAY COOLER) IN REAR  INSTRUCTED THE PERSON IN CHARGE TO REMOVE ALL UNUSED, UNNECSSARY EQUIPMENT AND ARTICLES TO PREVENT PEST HARBORAGE AND MAINTAIN.",41.9391730925966,-87.7295234274928,FAT BOY GROCERY AND DELI INC,4058 W BELMONT AVE,POINT (-87.7295234274928 41.9391730925966),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,,,
J & C Food Market Inc,3404 W Irving Park Rd,TRUE,FALSE,FALSE,CHICAGO,IL,60618.0,2025-02-19,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CUTTING BOARDS IN THE REAR PREP AREA WITH OPEN SEAMS AND DARK STAINS. INSTRUCTED TO REFINISH OR REPLACE DAMAGED OR STAINED CUTTING BOARDS AND MAINTAIN AT ALL TIMES.   | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED RECEPTACLE FOR PROPER DISPOSAL OF SANITARY NAPKINS IN ALL-GENDER WASHROOM IN BASEMENT. INSTRUCTED TO PROVIDE COVERED WASTE RECEPTACLE.",41.953963260566300,-87.7131376540815,J C FOOD MARKET INC,3404 W IRVING PARK RD,POINT (-87.7131376540815 41.953963260566304),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,,,
"La Finca Market, Inc",3432-3434 W Irving Park Rd,TRUE,FALSE,FALSE,CHICAGO,IL,60618.0,2017-12-18,Pass,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: OBSERVED A FEW BROKEN FLOOR TILES IN REAR FOOD STORAGE AREA. MUST SEAL AND MAINTAIN.  | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED A FEW WATER DAMAGED CEILING TILES ABOVE STORAGE SHELVING IN REAR FOOD STORAGE AREA. MUST REPAIR AND MAINTAIN. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: OBSERVED VENTILATION NOT WORKING INSIDE THE 3 WASHROOOMS. MUST REPAIR AND MAINTAIN.",41.953947062790900,-87.7142689527486,LA FINCA MARKET INC,34323434 W IRVING PARK RD,POINT (-87.7142689527486 41.953947062790895),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,,,
One Stop Shop Food Market Inc.,3951 N Kimball Ave,TRUE,FALSE,TRUE,CHICAGO,IL,60618.0,2023-05-30,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: INSTRUCTED TO SEAL OR PAINT RAW WOOD WALL AROUND/INSIDE STORAGE CLOSET IN REAR STORAGE AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO REPLACE MISSING COVING/FLOOR BASEBOARD AROUND DISPLAY AREA (BEHIND DISPLAY COOLER) AND IN REAR STORAGE AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO RESEAL LOOSE WALL PANEL BEHIND MOPSINK.  INSTRUCTED TO SEAL OPENING AROUND PIPES BEHIND MOPSINK. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN VENT COVER WITH DUST ACCUMULATION INSIDE WASHROOM.",41.9535436902562,-87.7127434654104,ONE STOP SHOP FOOD MARKET INC,3951 N KIMBALL AVE,POINT (-87.7127434654104 41.9535436902562),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,,,
Super Savings Food,4422-4424 W Belmont Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60641.0,2020-04-30,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: No procedure for vomiting and diarrheal events. Instructed to provide and provide cleaning supplies kit. Priority Foundation 7-38-005. No citation issued. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: Front entrance door with 1/4 of an inch gap on the bottom of the door. Instructed to rodent/insects proofed the door. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: All stocks, canned/bottled soda, bottled water, canned juice stored on the floor inside the walk in cooler and on the floor by the display shelvings must be elevated 6""off the floor or provide raised shelving to store such items(no soda and milk crate). | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Damaged and water stained ceiling tiles throughout the store. Must replace and maintain.  Floor tiles in the front entrance door cracked/broken. Must replace/repair and maintain. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: Ventilation inside the washroom not working. Must repair and maintain.",41.9390585951025,-87.7380362452783,SUPER SAVINGS FOOD,44224424 W BELMONT AVE,POINT (-87.7380362452783 41.9390585951025),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,,,
"Tony'S Finer Foods Enterprises, Inc.",4137 N Elston Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60618.0,2025-04-07,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARDBOARD BEING USED AS LINER ON FLOOR IN REAR COOKING AREA. INSTRUCTED THE PERSON IN CHARGE TO REMOVE CARDBOARD AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED ACCUMULATED GREASE AND FOOD DEBRIS ON INTERIOR AND EXTERIOR SURFACES OF COOKING EQUIPMENT, PREP TABLES, AND COOLERS IN THE REAR COOKING, AND BAKERY AREAS. INSTRUCTED THE PERSON IN CHARGE TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED ACCUMULATED FOOD DEBRIS ON THE FLOOR IN ALL PREP AREAS. INSTRUCTED THE PERSON IN CHARGE TO CLEAN FLOORS IN ALL PREP AREAS AND MAINTAIN.",41.9561262014791,-87.7224828262917,TONYS FINER FOODS ENTERPRISES INC,4137 N ELSTON AVE,POINT (-87.7224828262917 41.9561262014791),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,,,
Tulcingo  Plaza,4038 N Pulaski Rd,TRUE,FALSE,FALSE,CHICAGO,IL,60641.0,2013-11-27,Pass,"30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: MEATS IN FREEEZER AND REFRIGERTOR MUST BE DATED AND LABELED. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: ALL RAW WOOD THUR-OUT PREMISES MUST BE SEALED.   | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments:  MISSING FLOOR TILES IN FRONT CUSTOMER AREA. MUST REPLACE MISSING TILES.   | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: MUST PROVIDE LIGHT SHIELDS OVER REFRIGATOR AND FREEZER.   | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments:  MUST PROVIDE REFRIGERATOR THERMOMETER.",41.9548151771892,-87.7277975309991,TULCINGO PLAZA,4038 N PULASKI RD,POINT (-87.7277975309991 41.9548151771892),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,,,
