DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES,Action,Notes
Belmont Harbor Market,401 W Belmont Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60657.0,2020-04-16,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 3-COMPARTMENT SINK ROOM FLOOR CLUTTERED. MUST ELEVATE ALL ITEMS OFF FLOOR OR REMOVE.",41.9400230855727,-87.6396056977224,BELMONT HARBOR MARKET,401 W BELMONT AVE,POINT (-87.6396056977224 41.9400230855727),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,,,
Jewel Food Store #3514,3531 N Broadway,FALSE,TRUE,TRUE,CHICAGO,IL,60657.0,2024-11-26,Pass,,41.9463846515541,-87.6465248633468,JEWEL FOOD STORE 3514,3531 N BROADWAY,POINT (-87.6465248633468 41.9463846515541),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,,,
Jewel Food Store#3632,3630 N Southport Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60613.0,2025-02-21,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST NOT USE MILK CRATES FOR PRODUCT ELEVATION. MUST USE APPROVED SHELVING AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DUST BUILD UP ON CEILING VENTILATION VENT INSIDE PRODUCE WALK-IN COOLER AND VENT BEHIND DELI FRONT COUNTER. MUST CLEAN AND MAINTAIN. OBSERVED DIRT AND DEBRIS ON FLOOR UNDERNEATH SHELVING IN THE 2ND FLOOR FOOD STORAGE AREA ALSO OBSRVED DIRT AND DEBRIS ON FLOOR INSIDE WALK-IN PRODUCE COOLER. MUST CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED A MISSING CEILING TILE IN REAR DISHWASHING AREA LOCATED ON THE 1ST FLOOR ALSO OBSERVED A WATER DAMAGED CEILING TILE ABOVE DAIRY DISPLAY COOLER. MUST REPAIR REPLACE AND MAINTAIN FACILITY IN A GOOD REPAIR.",41.948004550829700,-87.6641862307014,JEWEL FOOD STORE3632,3630 N SOUTHPORT AVE,POINT (-87.6641862307014 41.948004550829694),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,,,
Lakeside Market,801 W Irving Park Rd,TRUE,TRUE,FALSE,CHICAGO,IL,60613.0,2017-02-21,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: FOUND RAW WOOD SHELVING UNITS AT BASEMENT. MUST PAINT/SEAL. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: FOUND MISSING DARIN COVER FOR FLOOR DRAIN BY RESTROOM. MUST PROVIDE.",41.9544506579374,-87.6497373357853,LAKESIDE MARKET,801 W IRVING PARK RD,POINT (-87.6497373357853 41.9544506579374),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,,,
Mariano'S #8538,3030 N Broadway,FALSE,TRUE,TRUE,CHICAGO,IL,60657.0,2025-04-02,Pass,,41.9373384373094,-87.6444564715052,MARIANOS 8538,3030 N BROADWAY,POINT (-87.6444564715052 41.9373384373094),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,,,
New York Market,3660 N Lake Shore Dr,FALSE,TRUE,TRUE,CHICAGO,IL,60613.0,2024-09-09,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURE OR PLAN IN PLACE FOR CLEANING UP OF VOMITING AND DIARRHEA EVENTS AS WELL AS A KIT WITH ALL NECESSARY ITEMS AS STATED IN THE CHICAGO ORDINANCE. INSTRUCTED TO PROVIDE PROCEDURE AND KIT WITH APPROPRIATE SUPPLIES. PRIORITY FOUNDATION VIOLATION, 7-38-005. CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SIGNAGE AVAILABLE AT THE FRONT HANDWASHING SINK BEHIND THE CASHIER. MANAGER RECENTLY CHANGED THE FRONT PREPARATION SINK TO A HAND SINK. SOAP AND PAPER TOWELS WERE AVAILABLE AT TIME OF INSPECTION. INSTRUCTED MANAGER TO PROVIDE APPROPRIATE HANDWASHING SIGNAGE AT THE HAND SINK. | 35. APPROVED THAWING METHODS USED - Comments: OBSERVED BAG OF SMALL TACOS AND BAG OF WINGS THAWING ON TABLE IN REAR OF FACILITY. INSTRUCTED TO THAW ALL FROZEN ITEMS APPROPRIATELY UNDER REFRIGERATION OR AS STATED IN REGULATIONS. | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: OBSERVED ICE SCOOP STORED ON TOP OF ICE MACHINE IN UNPROTECTED AREA. INSTRUCTED MANAGER TO STORE ICE SCOOP IN CLEAN AND DRY LOCATION IN BETWEEN USE.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED GASKETS OF TWO DOOR STANDING FREEZER IN REAR TO BE HEAVILY TORN AND DAMAGED. INSTRUCTED MANAGER TO REPLACE TORN GASKETS IN STANDING FREEZER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MOP STORED IN BUCKET IN REAR OF FACILITY NEAR UTILITY SINK. INSTRUCTED TO STORE MOP TO ALLOW FOR DRYING IN BETWEEN USE.",41.9501725646257,-87.6445481581548,NEW YORK MARKET,3660 N LAKE SHORE DR,POINT (-87.6445481581548 41.9501725646257),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,,,
Park Place Market,3949 N Pine Grove Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60613.0,2022-05-17,Pass,,41.9542833927513,-87.6477825847281,PARK PLACE MARKET,3949 N PINE GROVE AVE,POINT (-87.6477825847281 41.9542833927513),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,,,
South Loop Market,2953-2955 N Sheffield Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60657.0,2025-02-11,Pass W/ Conditions,"23. PROPER DATE MARKING AND DISPOSITION - Comments: OBSERVED READY-TO-EAT, TIME/TEMPERATURE CONTROL FOR SAFETY (TCS) FOODS CHICKEN SALAD WITH CRANBERRYS, CHICKEN SALAD, VARIETY OF CHOPPED SALAD IN WALK-IN COOLER AND IN COFFEE STATION COOLER NOT DATE MARKED TO INDICATE THE PRODUCT'S NAME AND DATE IN WHICH THE FOOD MUST BE SOLD, DISCARDED OR CONSUMED WITHIN 7 DAYS. PERSON IN CHARGE DISCARDED AND DENATURED APPROXIMATELY 22 LBS VALUED AT $125. INSTRUCTED TO PROVIDE PROPER LABELS FOR DATE MARKING AND DISCARD DATE FOR REFRIGERATED, READY-TO-EAT, TCS FOODS HELD OVER 24HRS PLACED IN ALL COLD-HOLDING UNITS. PRIORITY FOUNDATION VIOLATION #7-38-005. CITATION ISSUED."" | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: NOTED BULK INGREDIENTS, GRANOLA/OATS AND DRY SEASONINGS IN CONTAINERS AT DELI MARKET WITH OUT LABELS. INSTRUCTED TO PROVIDE LABELS OF COMMON NAME OR ITEMS REMOVED FROM ITS ORIGINAL CONTAINER. | 40. PERSONAL CLEANLINESS - Comments: NOTED FOOD HANDLERS IN DELI MARKET WITH OUT PROPER HAIR RESTRAINTS. INSTRUCTED TO PROVIDE AND MAINTAIN HAIRNETS ON SITE FOR FOOD HANDLERS.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED CUTTING BOARDS IN DELI MARKET STAINED WITH DEEP CUTS. INSTRUCTED TO DEEP CLEAN AND RESTORE TO A SMOOTH AND EASY TO CLEAN SURFACE BY SANDING AND SEALING OR REPLACE AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CRATES BEING USED TO ELEVATE FOOD FROM GROUND IN WALK IN COOLER AND UNDERCOUNTER AT DELI MARKET COFFEE STATION. INSTRUCTED NOT TO USE CRATES, PROVIDE AND MAINTAIN PROPER SHELVING THAT IS NON-POROUS, SMOOTH AND EASY TO CLEAN AND A MINIMUM OF 6 INCHES FROM THE GROUND. ALSO NOTED FOIL USED AS SHELF LINER AT DELI MARKET. INSTRUCTED TO REMOVE AND USE PROPER LINERS THAT IS SOLID, NON-POROUS AND EASY TO CLEAN | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: NOTED COMPARTMENTS UNDER FRYERS AT DELI MARKET NOT CLEAN. INSTRUCTED TO DEEP CLEAN AND SANITIZE | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: NOTED LEAK FROM BASE OF WATER FAUCET AT 3 COMPARTMENT SINK AND AT MOP SINK, ALSO NOTED SLOW DRAIN AT MOP SINK. INSTRUCTED TO REPAIR. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NOTED NO COVERED RECEPTACLE IN REAR EMPLOYEE WASHROOM. INSTRUCTED TO PROVIDE WASTE BIN WITH LID. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: NOTED ENCLOSED REFUSE AREA IN NEED OF CLEANING. OBSERVED LEAVES AND DEBRIS CRATES AND SCRAP WOOD AND WOOD PALLETS ALONG THE WALLS. INSTRUCTED TO REMOVE ALL ITEMS. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED GREASE ON EXTERIOR SURFACE OF GREASE RECEPTACLE. INSTRUCTED TO DEEP CLEAN, SANITIZE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED EXCESSIVE CLUTTER IN REAR STORAGE AREA, AND IN EMPLOYEE WASHROOM FOOD PRODUCTS ON THE FLOOR. INSTRUCTED TO REMOVE ALL UNNECESSARY ITEMS. ALL KEPT ITEMS SHOULD BE STORED ON PROPER SHELVING. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO PROOF OF TRAINING FOR ALL FOOD HANDLERS. INSTRUCTED TO PROVIDE AND MAINTAIN RECORDS ON SITE AT ALL TIMES. | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: OBSERVED MOST RECENT INSPECTION SUMMARY REPORT NOT POSTED IN FACILITY. (SUMMARY POSTED BEHIND FRONT REGISTER IS DATED MAY 11, 2023 AND THE SUMMARY POSTED IN DELI MARKET IS DATED FEBRUARY 4, 2022 - THE MOST RECENT INSPECTION WAS JANUARY 24, 2024. INSTRUCTED MUST POST MOST RECENT INSPECTION SUMMARY REPORT IN PLAIN VIEW AT ALL TIMES. OPERATOR PROVIDED WITH TODAY'S SUMMARY DURING INSPECTION.  PRIORITY FOUNDATION VIOLATION 7-42-010(B).",41.9360391459856,-87.6538287232103,SOUTH LOOP MARKET,29532955 N SHEFFIELD AVE,POINT (-87.6538287232103 41.9360391459856),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,,,
Target Store T-3208,3204 N Clark St,FALSE,TRUE,TRUE,CHICAGO,IL,60657.0,2020-03-31,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 1/2 INCH GAP AT DOOR SWEEPS BETWEEN 1ST FLOOR ENTRANCE/EXIT DOUBLE DOORS. MUST RODENT PROOF SAID DOORS. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO RUNNING HOT WATER AT EMPLOYEES BREAK ROOM HANDWASH BOWL, WATER TEMPERATURE AT 66.0 F. INSTRUCTED MANAGER SAID HANDWASH BOWL MUST HAVE A MINIMUM HOT WATER TEMPERATURE OF 100.0 F. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: BALER ROOM FLOOR LITTERED UNDER SHELVES AND ALONG WALLS/CORNERS. MUST CLEAN FLOOR AND MAINTAIN.",41.9400872775583,-87.6509609305241,TARGET STORE T3208,3204 N CLARK ST,POINT (-87.6509609305241 41.9400872775583),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,,,
Target Store T-3214,3300 N Ashland Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60657.0,2024-07-30,Pass,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED DAIRY AND MILK ITEMS STORED IN MILK CRATES PLACED DIRECTLY ON THE FLOOR IN DAIRY WALK IN COOLER. INSTRUCTED MANAGER TO ELEVATE ALL ITEMS AT LEAST 6 INCHES FROM FLOOR.  | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED 3 COMPARTMENT SINK IN REAR DISH AREA IN STARBUCKS TO BE LEAKING WATER FROM LOOSE RIGHT-SIDE FAUCET. INSTRUCTED TO SERVICE FAUCET AND MAINTAIN IN GOOD REPAIR.",41.9415658577822,-87.6688604029088,TARGET STORE T3214,3300 N ASHLAND AVE,POINT (-87.6688604029088 41.9415658577822),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,,,
