DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES,Action,Notes
1400 Market Place,1400 N Lake Shore Dr,TRUE,FALSE,FALSE,CHICAGO,IL,60610.0,2024-07-26,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15: OBSERVED OPENINGS AT BASE OF DOUBLE EXIT DOORS IN DUMPSTER AREA. INSTRUCTED TO SEAL ALL OUTER OPENINGS TO PREVENT PEST ENTRANCE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.16: OBSERVED MOP DRYING IN BUCKET NEXT TO UTILITY SINK. INSTRUCTED TO INSTALL MOP DRYING RACK FOR PROPER DRAINAGE AND DRYING OF MOPS TO PREVENT PEST BREEDING  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-304.11: OBSERVED NO MECHANICAL VENTILATION INSTALLED IN WASHROOM AREA. INSTRUCTED TO INSTALL MECHANICAL VENTILATION OF SUFFICIENT CAPACITY IN WASHROOM.",41.9079094667367,-87.6259457782032,1400 MARKET PLACE,1400 N LAKE SHORE DR,POINT (-87.6259457782032 41.9079094667367),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,,,
Aldi Store #13,201 W Division St,TRUE,TRUE,FALSE,CHICAGO,IL,60610.0,2024-07-24,Pass,,41.903742982911100,-87.634551361798,ALDI STORE 13,201 W DIVISION ST,POINT (-87.634551361798 41.903742982911105),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,,,
Amazon Go,222 W Merchandise Mart Plz,FALSE,TRUE,TRUE,CHICAGO,IL,60654.0,2024-11-06,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FOOD DEBRIS ON FLOOR ON SIDES OF EQUIPMENT IN DISH/ PREP AREA, INSTRUCTED TO DETAIL CLEAN AND INCREASE CLEANING FREQUENCY OF FLOORS. MUST MAINTAIN AT ALL TIMES.",41.8880742810662,-87.6349552029274,AMAZON GO,222 W MERCHANDISE MART PLZ,POINT (-87.6349552029274 41.8880742810662),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,,,
Copperfields Market,70 W Huron St,TRUE,FALSE,FALSE,CHICAGO,IL,60654.0,2020-04-28,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO KIT AND PROCEDURE ON SITE FOR RESPONDING TO VOMIT AND DIARRHEA. LEFT TEMPLATE AND INSTRUCTED TO MAINTAIN A KIT WITH ALL NECESSARY SUPPLIES INCLUDING A SANITIZER RATED AS EFFECTIVE AGAINST NOROVIRUS AND PROCEDURE ON SITE FOR RESPONDING TO VOMIT AND DIARRHEA. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED.,41.8949481089098,-87.6308659470667,COPPERFIELDS MARKET,70 W HURON ST,POINT (-87.6308659470667 41.8949481089098),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,,,
East Delaware Pantry,200 E Delaware Pl,TRUE,FALSE,FALSE,CHICAGO,IL,60611.0,2022-03-17,Pass W/ Conditions,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments:  No certified food service manager on site, No certificate posted. facility slice deli meat on site, prepare and sell deli sandwiches that made on site. priority foundation violation 7-38-012. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO vomit and diarrhea clean kit/ no procedure  on site. instructed to obtain. | 16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: Inadequate utensils  washing and sanitizing, facility not washing  nor sanitizing multi-use utensils used in deli meat slicing and sandwich making, no 3-comp sink available to perform such required task. priority violation 7-38-025. manager removed meat slicer and all deli operation. per manager "" open food operation will be discontinued at once"". | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: refer to violation #16 for description.",41.8993547394438,-87.621791301926,EAST DELAWARE PANTRY,200 E DELAWARE PL,POINT (-87.621791301926 41.8993547394438),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,,,
Enrich Market,805 N La Salle Dr,FALSE,TRUE,TRUE,CHICAGO,IL,60610.0,2022-12-27,Pass,,41.8968027842495,-87.6325661023109,ENRICH MARKET,805 N LA SALLE DR,POINT (-87.6325661023109 41.8968027842495),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,,,
Galleria Market,340 W Superior St,FALSE,TRUE,TRUE,CHICAGO,IL,60610.0,2024-08-26,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED WOODEN PALLETS BEING USED IN THE BASEMENT WALK IN COOLING UNIT TO HOLD BUCKETS OF ITEMS.  INSTRUCTED TO REMOVE WOODEN PALLETS PROVIDE OTHER PROPER ELEVATED OPTIONS FOR STORING THE BUCKETS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FLOOR IN THE FOOD PREP AREA WITH A BUILD UP OF GREASE, DIRT AND DEBRIS UNDER AND BEHIND NON COOKING EQUIPMENT.  INSTRUCTED TO PULL ITEMS THAT CAN BE MOVED FROM THE WALL AND CLEAN BEHIND AND UNDER, FOR OTHER ITEMS THAT CANNOT BE MOVED TO CLEAN AND MAINTAIN UNDER AS WELL AS NEEDED AS A MEANS OF PREVENTING POSSIBLE PEST AND OR INSECT FEEDING, BREEDING AND HARBORING.",41.895662771878,-87.6372207149786,GALLERIA MARKET,340 W SUPERIOR ST,POINT (-87.6372207149786 41.895662771878),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,,,
Gold Coast Market,71-73 W Chicago Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60654.0,2023-03-17,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: EXTERIOR BACK EXIT DOOR NEAR BACK STORAGE ALLOWS FOR PESTS. EXTERIOR DOORS SHALL BE: SELF-CLOSING, SOLID AND TIGHT FITTING, AND LIMITED TO DESIGNATED USE. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: BOXES OF DRINKS ON THE FLOOR STORED IN THE BACK STORAGE AREA. FACILITY MUST ENSURE THAT ALL PRODUCTS ARE AT LEAST 6 INCHES ABOVE THE FLOOR. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: THE RESTROOM DOES NOT HAVE A TIGHT-FITTING AND SELF-CLOSING DOOR. ALL TOILET ROOMS LOCATED WITHIN A FOOD ESTABLISHMENT MUST BE ENCLOSED WITH A TIGHT-FITTING AND SELF-CLOSING DOOR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DEBRIS ON FLOOR IN BACK STORAGE AREA. FACILITY MUST CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CLUTTER UNNECESSARY ITEMS FOUND IN RESTROOM. THE PREMISES SHALL BE FREE OF ITEMS UNNECESSARY TO THE OPERATION OR MAINTENANCE OF THE ESTABLISHMENT. THIS INCLUDES EQUIPMENT THAT IS NONFUNCTIONAL OR NO LONGER USED.",41.8965294551304,-87.6309924394076,GOLD COAST MARKET,7173 W CHICAGO AVE,POINT (-87.6309924394076 41.8965294551304),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,,,
Jewel Food Store,424 W Division St,FALSE,TRUE,TRUE,CHICAGO,IL,60610.0,2024-09-04,Pass,,41.9038839611402,-87.639437201552,JEWEL FOOD STORE,424 W DIVISION ST,POINT (-87.639437201552 41.9038839611402),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,,,
Lake Shore Groceries,900 N Lake Shore Dr,TRUE,FALSE,FALSE,CHICAGO,IL,60611.0,2024-07-23,Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HAND SOAP AND HANDWASHING SIGNAGE PROVIDED AT REAR DELI AREA 3-COMPARTMENT SINK. INSTRUCTED TO REMOVE HAND SOAP AND OTHER HANDWASHING AIDS AND DEVICES FROM SINKS NOT DESIGNATED AS HANDWASHING SINKS AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED NONFOOD-CONTACT (EXTERIOR) SURFACES OF SANDWICH OVEN COVERED WITH PEELING AND FLAKING MANUFACTURER PLASTIC WRAP. INSTRUCTED TO REMOVE PLASTIC WRAP AND MAINTAIN SMOOTH AND EASILY-CLEANABLE NONFOOD-CONTACT SURFACES OF EQUIPMENT. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED NONFOOD-CONTACT SURFACES OF DELI MEAT SLICER (REAR PANEL, KNOB) AND COFFEE DISPENSER (EXTERIOR OF NOZZLES, REAR SPLASH PLATE) TO BE SOILED WITH DRIED FOOD DEBRIS AND OTHER SOILS. INSTRUCTED TO CLEAN NONFOOD-CONTACT SURFACES OF EQUIPMENT AT ADEQUATE FREQUENCY TO PREVENT BUILD UP OF SOIL AND MAINTAIN.",41.8992809909197,-87.6188945123018,LAKE SHORE GROCERIES,900 N LAKE SHORE DR,POINT (-87.6188945123018 41.8992809909197),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,,,
