DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES,Action,Notes
Campus Market,1523 W Taylor St,TRUE,FALSE,FALSE,CHICAGO,IL,60607.0,2023-05-01,Pass W/ Conditions,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON THE PREMISES WHILE TCS FOOD (CHICKEN) WAS HANDLED (ADDING TO HOT-HOLDING UNIT). INSTRUCTED MANAGEMENT THAT A CITY OF CHICAGO CERTIFIED FOOD MANAGER MUST BE PRESENT AT ALL TIMES WHILE TCS FOODS ARE BEING PREPARED OR SERVED. PRIORITY FOUNDATION 7-38-012. CITATION ISSUED. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT/DIARRHEA CLEANUP KIT OR WRITTEN PROCEDURES ON SITE AT TIME OF INSPECTION. INSTRUCTED MANAGEMENT TO PROVIDE. PRIORITY FOUNDATION 7-38-005. CITATION ISSUED.  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SINK IN THE REAR STORAGE ROOM. THAT ROOM HAS BEEN TRANSFORMED INTO A FOOD DISPENSING AREA. THIS AREA INCLUDES A THREE-COMPARTMENT SINK AND A FOOD WARMER/HOT-HOLDING UNIT LOCATED ON TOP OF A TABLE. INSTRUCTED MANAGEMENT THAT A HANDWASHING SINK MUST BE LOCATED INSIDE THIS AREA TO ALLOW FOR CONVENIENT USE BY EMPLOYEES. MUST INSTALL A HANDWASHING SINK IN SAID AREA. PRIORITY FOUNDATION 7-38-030(C). MANAGEMENT UNPLUGGED THE HOT-HOLDING UNIT AND WILL NOT USE THE REAR AREA FOR DISHWASHING OR FOOD PREP/DISPENSING. HOT-HOLDING UNIT IS TAGGED AND CANNOT BE USED UNTIL APPROVED BY CDPH. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED APPROXIMATELY 1-INCH GAPS AT THE BOTTOM AND SIDES OF THE FRONT ENTRY DOOR. INSTRUCTED MANAGEMENT TO SEAL GAPS TO PREVENT PEST/RODENT ENTRY AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST CLEAN ALL PLUMBING FEATURES INSIDE THE TOILET ROOM AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED WASTE RECEPTACLE INSIDE THE UNISEX WASHROOM. MUST PROVIDE AND MAINTAIN.",41.8691754848222,-87.6650663240853,CAMPUS MARKET,1523 W TAYLOR ST,POINT (-87.6650663240853 41.8691754848222),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,,,
Canal Market,300 N Canal St,TRUE,FALSE,FALSE,CHICAGO,IL,60606.0,2024-12-17,Pass,,41.8868410147166,-87.6400434773412,CANAL MARKET,300 N CANAL ST,POINT (-87.6400434773412 41.8868410147166),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,,,
Costco Wholesale # 1107,1430 S Ashland Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60608.0,2024-11-22,Pass,,41.8624024249274,-87.6664189681571,COSTCO WHOLESALE 1107,1430 S ASHLAND AVE,POINT (-87.6664189681571 41.8624024249274),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,,,
H Mart,711 W Jackson Blvd,FALSE,TRUE,TRUE,CHICAGO,IL,60661.0,2024-07-17,Pass W/ Conditions,"16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVED A FEW CUTTING BOARDS WITH DARK OPEN SEEMS IN THE REAR PRODUCE AREA AND FRONT FRESH FISH PREP/SERVING AREA. MUST REPLACE AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED THE SPRAYER AT THE 3 COMP REAR SINK WITH LEAKS IN THE MEAT WALK IN PREP COOLER.. MUST REPAIR AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED HOT WATER IN THE WOMEN WASHROOM AT 65.6F AND MEN WASHROOM AT 71F. INSTRUCTED MANAGER THAT HOT RUNNING WATER AT THE HAND SINK SHOULD MAINTAIN A PROPER TEMP OF 100F FOR PROPER HAND WASHING. PRIORITY CITAION ISSUED #7-38-030(C). | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE AIR VENT IN THE CEILING OF THE PRODUCE PREP COOLER DUSTY. MUST CLEAN AND MAINTAIN.",41.8778717386318,-87.6445094596491,H MART,711 W JACKSON BLVD,POINT (-87.6445094596491 41.8778717386318),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,,,
Jewel Food Store #2500,1340 S Canal St,FALSE,TRUE,TRUE,CHICAGO,IL,60607.0,2024-01-23,Pass W/ Conditions,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HANDS IN EMPLOYEE RESTROOM NOT STOCKED WITH HAND SOAP. INFORMED PERSON IN CHARGE THAT HAND SOAP MUST BE AVAILABLE AT HANDSINKS AT ALL TIMES. FOOD HANDLERS OBTAINED HAND SOAP FOR THE HAND SINK DURING THE TIME OF INSPECTION. PRIORITY FOUNDATION VIOLATION #7-38-030(C). CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO PAPER TOWELS AT THE HAND-SINK IN THE BAKERY PREP AREA. INFORMED PERSON IN CHARGE THAT PAPER TOWELS MUST BE AVAILABLE AT HAND SINKS AT ALL TIMES. FOOD HANDLER OBTAINED PAPER TOWEL FOR HAND SINK DURING TIME OF INSPECTION PRIORITY FOUNDATION VIOLATION #7-38-030(C). | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED LOOSE MEAT DEBRIS INSIDE THE MEAT PACKAGING MACHINE IN THE MEAT DEPARTMENT. INSTRUCTED TO DETAIL CLEAN AND INCREASE CLEANING FREQUENCY OF THIS PACKAGING MACINE. MUST MAINTAIN AT ALL TIMES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED GREASE BUILDUP ON THE FLOOR UNDER COOKING EQUIPMENT AT THE REAR DELI PREP AREA.  INSTRUCTED TO CLEAN AND MAINTAIN.",41.864521193743500,-87.6393040996356,JEWEL FOOD STORE 2500,1340 S CANAL ST,POINT (-87.6393040996356 41.864521193743506),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,,,
Jewel Food Store #3344,1220 S Ashland Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60608.0,2025-02-06,Pass W/ Conditions,10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 5-203.11 OBSERVED A PREP TABLE WITH CROCKPOTS OF CHOCOLATE (FOR PREPARING CHOCOLATE-COVERED STRAWBERRIES) SET UP IN AN AREA WITHOUT A HAND-WASHING SINK. INSTRUCTED TO PROVIDE A HAND WASHING SINK IN ALL AREAS OF FOOD PREP OR REMOVE THE CHOCOLATE-COVERED STRAWBERRIES PREP STATION TO A PREP AREA WITH AN ADEQUATE HAND WASHING SINK. THE MANAGER MOVED THE TABLE AND CROCKPOTS TO THE FRUIT PREP AREA WITH A HAND-WASHING SINK. PRIORITY FOUNDATION. CITATION ISSUED 7-38-030(C). | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.11 OBSERVED NO HAND WASHING CLEANSER AT THE HAND WASHING SINK LOCATED IN THE RAW MEAT PREP AREA. INSTRUCTED TO PROVIDE HAND WASHING CLEANSER AT ALL TIMES. THE MANAGER PROVIDED HAND WASHING CLEANSER DURING THE INSPECTION. PRIORITY FOUNDATION 7-38-030(C). CITATION ISSUED UNDER VIOLATION ABOVE.,41.8662541761428,-87.6665241401311,JEWEL FOOD STORE 3344,1220 S ASHLAND AVE,POINT (-87.6665241401311 41.8662541761428),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,,,
Mariano'S Fresh Market #8508,40 S Halsted St,FALSE,TRUE,TRUE,CHICAGO,IL,60661.0,2024-10-30,Pass,,41.8805542454142,-87.6474704057178,MARIANOS FRESH MARKET 8508,40 S HALSTED ST,POINT (-87.6474704057178 41.8805542454142),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,,,
Pete'S Fresh Market #10,2333 W Madison St,FALSE,TRUE,TRUE,CHICAGO,IL,60612.0,2024-08-01,Pass,"41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: 3-304.14  OBSERVED DIRTY, WET WIPING CLOTHS STORED ON THE PREP TABLES IN THE MAIN KITCHEN PREP AREA. MANAGEMENT INSTRUCTED TO STORE ALL WET WIPING CLOTHS IN A CONTAINER OF SANITIZER WHEN NOT IN USE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.12  REPLACE OR RESURFACE THE STAINED CUTTING BOARD IN THE PRODUCE PREP AREA. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-602.13  CLEAN THE INTERIOR OF THE DEEP FRYERS, DRY STORAGE SHELVES AND DIRTY DISHES STORAGE SHELVES, AND EXTERIOR OF BBQ SAUCE CONTAINERS IN THE MAIN KITCHEN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-205.15  REPAIR THE LEAKING DRAIN LINE UNDER THE EXPOSED HAND-WASHING SINK IN THE BAKERY PREP AREA.  OBSERVED A MISSING FAUCET HANDLE FOR THE HAND WASHING SINK IN THE EMPLOYEE WASHROOM. MUST REPAIR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.11  REPAIR THE FLOOR IN THE MEAT-CUTTING ROOM AND THE BAKERY AREA BEHIND THE BAKERY COOLER AND COUNTER.",41.8810693742222,-87.6853075527203,PETES FRESH MARKET 10,2333 W MADISON ST,POINT (-87.6853075527203 41.8810693742222),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,,,
Presidential Market Inc,555 W Madison St,TRUE,FALSE,FALSE,CHICAGO,IL,60661.0,2010-05-06,Pass,,41.8817375162117,-87.6418080251031,PRESIDENTIAL MARKET INC,555 W MADISON ST,POINT (-87.6418080251031 41.8817375162117),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,,,
Suarez Market,131 N Clinton St,FALSE,TRUE,TRUE,CHICAGO,IL,60661.0,2025-04-29,Pass,,41.8841875071278,-87.6411196668322,SUAREZ MARKET,131 N CLINTON ST,POINT (-87.6411196668322 41.8841875071278),27.0,NEAR WEST SIDE,158492466.554,28.0,28.0,53003.5929406,,,,
