DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES,Action,Notes
Aldi'S #47,1508 W 47Th St,FALSE,TRUE,TRUE,CHICAGO,IL,60609.0,2018-02-01,Pass W/ Conditions,"1. SOURCE SOUND CONDITION, NO SPOILAGE, FOODS PROPERLY LABELED, SHELLFISH TAGS IN PLACE - Comments: Observed thick, white, fuzzy, mold-like substance growing on peaches (in bags) in produce section of sales floor. Instructed must discard any foods that appear spoiled, expired, or denatured. Operator voluntarily discarded denatured peaches during inspection. Critical violation 7-38-005(a).  | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: Observed excessive debris in 2 compartment, and utility sinks in rear storage area. Must detail clean and sanitize. Must maintain same. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: Observed excessive staining on wall under trash compactor door. Must detail clean and sanitize. Must maintain same.  | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Observed slow draining 2 compartment and utility sink in rear storage area. Must repair and maintain same.  | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: Observed thermometers placed in rears of walk in coolers/ display cases. Instructed must provide thermometers in a conspicuous spot in all refrigeration units. Must maintain same.",41.808741388438700,-87.662911628538,ALDIS 47,1508 W 47TH ST,POINT (-87.662911628538 41.808741388438705),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,,,
Granado'S Supermercado,1855 W 47Th St,TRUE,FALSE,FALSE,CHICAGO,IL,60609.0,2024-04-15,Pass W/ Conditions,"22. PROPER COLD HOLDING TEMPERATURES - Comments: NOTED IMPROPER INTERNAL TEMPERATURES OF THE FOLLOWING TIME/TEMPERATURE CONTROL FOR SAFETY FOOD ITEMS INSIDE THE FOOD DISPLAY COOLER TO BE IMPROPER: GROUND BEEF AT 53.0 F, CHICKEN FAJITAS AT 49.3 F, PORK AT 48.3 F, BEEF FAJITAS AT 50.0 F AND CHICHEN GIZZARDS AT 45.3 F. MANAGER IMMEDIATELY AND VOLUNTARILY DISPOSED OF 50 LBS OF PRODUCTS WORTH $280.00 THROUGH DENATURING PROCESS. PRIORITY VIOLATION #7-38-005. CITATION ISSUED. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED A COUPLE OF LARGE FOOD CONTAINERS AND A PLASTIC BAG WITH DRY PRODUCTS. (OREGANO, PIMENTA, AND ONION POWDER) WITHOUT PROPER COMMON FOOD NAME MARKINGS. MUST LABEL BULK AND WORKING FOOD CONTAINERS WITH CONTENTS COMMON NAME. MUST LABEL FOOD STORAGE CONTAINERS WHEN FOOD IS NOT IN ORIGINAL PACKAGE.",41.8084242837601,-87.6720246337983,GRANADOS SUPERMERCADO,1855 W 47TH ST,POINT (-87.6720246337983 41.8084242837601),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,,,
Halsted Food & Fresh Meat,5058 S Halsted St,TRUE,FALSE,FALSE,CHICAGO,IL,60609.0,2017-04-19,Pass,"31. CLEAN MULTI-USE UTENSILS AND SINGLE SERVICE ARTICLES PROPERLY STORED: NO REUSE OF SINGLE SERVICE ARTICLES - Comments: INVERT ALL CARRYOUT CONTAINERS BEHIND FRONT COUNTER TO PROTECT FROM DUST, DIRT, CONTAMINATION.    | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: REMOVE ALL SOILED CARDBOARD CHIP DISPLAY SHELVES | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN INTERIOR AND EXTERIOR OF ALL COOLERS, FREEZERS, PREP TABLES, SLICERS, SHELVING UNITS, DISPLAY SHELVES, SHELVES BEHIND FRONT COUNTER, SINKS, ETC    | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN FLOORS UNDER ALL EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN PREP, SALES, AND STORAGE AREAS.    | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CLEAN VENTILATION FAN IN WASHROOM.     | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: ELEVATE ALL STOCK OFF FLOOR AND AWAY FROM WALLS FOR EASY CLEANING. STORE MOP HEAD UPRIGHT TO PREVENT INSECT BREEDING. REMOVE ALL UNUSED EQUIPMENT AND ARTICLES IN PREP AND STORAGE AREAS TO PREVENT PEST HARBORAGE.    | 42. APPROPRIATE METHOD OF HANDLING OF FOOD (ICE) HAIR RESTRAINTS AND CLEAN APPAREL WORN - Comments: ALL FOOD HANDLERS MUST WEAR PROPER HAIR RESTRAINTS.",41.8016284161795,-87.645492014632,HALSTED FOOD FRESH MEAT,5058 S HALSTED ST,POINT (-87.645492014632 41.8016284161795),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,,,
La Bonita Supermarket Inc,5257 S Ashland Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60609.0,2024-06-18,Pass,,41.7978225881267,-87.6645368782813,LA BONITA SUPERMARKET INC,5257 S ASHLAND AVE,POINT (-87.6645368782813 41.7978225881267),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,,,
La Rosita Foods,1503 W 47Th St,TRUE,FALSE,FALSE,CHICAGO,IL,60609.0,2011-06-17,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: All food and non-food contact equipment and utensils shall be smooth, easily cleanable, and durable, and shall be in good repair.MUST INSTALL SOAP/TOWEL DEVICE IN WASHROOM IN BASEMENT. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Ventilation: All plumbing fixtures, such as toilets, sinks, washbasins, etc., must be adequately trapped, vented, and re-vented and properly connected to the sewer in accordance with the plumbing chapter of the Municipal Code of Chicago and the Rules and Regulations of the Board of Health.NO HAND SINK IN WASHROOM IN BASEMENT  MUST INSTALL TO CITY PLUMBING WITH HOT/COLD WATER. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: All parts of the food establishment and all parts of the property used in connection with the operation of the establishment shall be kept neat and clean and should not produce any offensive odors. MUST REMOVE STORAGE /CLUTTER FROM WASHROOM",41.8085251605157,-87.6626837059219,LA ROSITA FOODS,1503 W 47TH ST,POINT (-87.6626837059219 41.8085251605157),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,,,
"Little Munchkins Produce,Inc",2022 W 51St St,FALSE,TRUE,TRUE,CHICAGO,IL,60609.0,2024-02-22,Pass W/ Conditions,"21. PROPER HOT HOLDING TEMPERATURES - Comments: OBSERVED THE FOLLOWING FOOD NOT MEETING REQUIRED TEMPERATURE OF 135F DEGREES OR ABOVE IN THE DESIGNATED HOT-HOLDING UNIT:  PASTA WITH HOT DOGS 118.5F. MANAGER IMMEDIATELY AND VOLUNTARILY DISPOSED OF 4 1/2 LBS OF PRODUCTS WORTH $40.00 THROUGH DENATURING PROCESS. PRIORITY VIOLATION #7-38-005. CITATION ISSUED. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED FOOD STORED IN FOOD-GRADE CONTAINERS IN ALL THE COOLERS WITHOUT PROPER LABELING OF NAME. INSTRUCTED THE PERSON IN CHARGE TO PROVIDE A LABEL REFLECTING THE FOOD ITEM'S NAME WHEN FOOD HAS BEEN REMOVED FROM ITS ORIGINAL PACKAGING. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD CONTAINERS AND BAGS OF FOOD STORED ON THE FLOOR IN THE WALK-IN COOLER, PREP AND STORAGE AREAS. INSTRUCTED MANAGER TO PROPERLY STORE AND PROTECT FOOD ITEMS FROM CONTAMINATION WHILE STORED BY ELEVATING AT LEAST SIX INCHES FROM THE FLOOR ON RAISED SHELVING UNITS. | 40. PERSONAL CLEANLINESS - Comments: OBSERVED FOOD HANDLERS PREPPING FOOD WITHOUT HAIR RESTRAINTS. INSTRUCTED PERSON IN CHARGE THAT ALL FOOD HANDLERS MUST WEAR A HAIR RESTRAINT. EMPLOYEE WERE PROVIDED WITH HAIR RESTRAINTS DURING THE INSPECTION. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED FROZEN FOOD STORED IN PLASTIC GROCERY BAGS IN THE CHEST FREEZER. MANAGEMENT INSTRUCTED TO USE PROPER FOOD-GRADE STORAGE BAGS AND CONTAINERS ONLY. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARDBOARD USED AS LINER ON THE SHELVES IN THE AISLE/GROCERY AND PRODUCE AREA. INSTRUCTED TO REMOVE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MOP IN A POSITION THAT DOES NOT ALLOW IT TO DRY PROPERLY AND PREVENT PEST HARBORAGE. MUST STORE MOP AFTER USE IN A MOUNTED POSITION THAT ALLOWS FOR AIR-DRYING WITHOUT SOILING AND PEST HARBORAGING. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED NO PROOF OF TRAINING FOR ALL FOOD HANDLERS. INSTRUCTED TO PROVIDE AND MAINTAIN RECORDS AT ALL TIMES.",41.8013292640119,-87.6755727327648,LITTLE MUNCHKINS PRODUCEINC,2022 W 51ST ST,POINT (-87.6755727327648 41.8013292640119),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,,,
One Stop Supermarket,1801 W 51St St,TRUE,FALSE,FALSE,CHICAGO,IL,60609.0,2011-09-26,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: All food and non-food contact equipment and utensils shall be smooth, easily cleanable, and durable, and shall be in good repair. NO TOWEL DEVICE FOR PAPER TOWEL,TISSUE IN WASHROOM.MUST INSTALL. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: The floors shall be constructed per code, be smooth and easily cleaned, and be kept clean and in good repair.FLOORS UNDER SHELVING BEHIND COUNTER NOT CLEAN. MUST CLEAN.",41.8011656006977,-87.6697039001276,ONE STOP SUPERMARKET,1801 W 51ST ST,POINT (-87.6697039001276 41.8011656006977),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,,,
Super Mercado El Guerro,1701 W 47Th St,FALSE,TRUE,TRUE,CHICAGO,IL,60609.0,2024-12-04,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.12 OBSERVED CUTTING BOARDS WITH OPEN SEAMS AND DARK STAINS IN THE MEAT PREP AREA. MUST REFINISH OR REPLACE DAMAGED OR STAINED CUTTING BOARDS.",41.808471238307,-87.6674545132944,SUPER MERCADO EL GUERRO,1701 W 47TH ST,POINT (-87.6674545132944 41.808471238307),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,,,
Supermercado La Raza Corp,1645 W 47Th St,TRUE,FALSE,TRUE,CHICAGO,IL,60609.0,2024-10-04,Pass,"41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: 4-901.12 NOTED DIRTY WIPING CLOTHS ON PREP TABLES AND RACKS AT REAR PREP AREAS NOT PROPERLY STORED. INSTRUCTED PROPERLY TO STORE ALL WASHCLOTHS IN A SANITIZING SOLUTION, ESPECIALLY WHEN NOT IN USE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-202.11 OBSERVED MISSING PROTECTIVE SHIELDING IN EMPLOYEES' BATHROOM. INSTRUCTED TO PROVIDE AND MAINTAIN.",41.8084778560859,-87.6667453512548,SUPERMERCADO LA RAZA CORP,1645 W 47TH ST,POINT (-87.6667453512548 41.8084778560859),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,,,
Walgreens #03074,4700 S Halsted St,TRUE,FALSE,FALSE,CHICAGO,IL,60609.0,2018-12-04,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: Must provide written procedure for vomit and diarrhea clean up. Priority foundation violation 7-38-005.  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: Observed 1-2 gap along bottom of right front entry door. Must keep all exterior doors tight fitting to prevent pest entry. Must maintain same.  | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: Observed items stored directly on the floor of walk in cooler. Must elevate all stock at least 6 inches above the floor to prevent contamination. Must maintain same. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED LIDS FOR REFUSE RECPTACLES NOT CLOSED,NOT TIGHT FITTED AND MISSING UNABLE TO CLOSE. MUST REPAIR AND MAINTAIN. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED GARBAGE AND REFUSE FULL AND REQUIRE MORE REMOVALS CONDITION FOR PEST HARBORAGE. MUST INCREASE THE FREQUENCY OF REFUSE REMOVAL AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Observed excessive dirt build and debris on floors under shelves in isles and on floors behind under equipment throughout the stores. Observed debris on floors of walk in freezer/cooler. Must throughout clean all floors throughout store but pulling shelves and equipment away from walls. Must maintain same.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Observed excessive clutter in cabinets in break room, photo counter, and under counter in beauty department. Must keep all cabinets clean and organized. Must maintain same.",41.80881503929610,-87.6456829531519,WALGREENS 03074,4700 S HALSTED ST,POINT (-87.6456829531519 41.80881503929609),60.0,NEW CITY,134636963.254,61.0,61.0,48133.595961,,,,
