DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES,Action,Notes
Adrian'S Fresh Market #3 Inc,3640 N Central Ave,FALSE,TRUE,TRUE,CCHICAGO,IL,60634.0,2025-04-11,Pass,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD ON FLOORS IN WALK IN FREEZER IN BASEMENT. MUST ELEVATE AT LEAST 6 INCHES FROM THE FLOOR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER IN BASEMENT WITH OVERSTOCK AND CRATES. MUST ORGANIZE AREA.",41.9471264511516,-87.7669470217559,ADRIANS FRESH MARKET 3 INC,3640 N CENTRAL AVE,POINT (-87.7669470217559 41.9471264511516),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,,,
Aldi,3930 N Kilpatrick Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60641.0,2024-10-02,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED TRASH RECEPTACLE IN THE WOMEN'S TOILET ROOM. INSTRUCTED THE PERSON IN CHARGE TO PROVIDE A COVERED TRASH RECEPTACLE FOR THE WOMEN'S TOILET ROOM AND MAINTAIN.",41.95255379501350,-87.7447318048088,ALDI,3930 N KILPATRICK AVE,POINT (-87.7447318048088 41.95255379501351),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,,,
Carniceria Y Fruteria El Milagrito,5960 W Lawrence Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60630.0,2024-01-31,Out Of Business,54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED BOTH EXPOSED HANDSINKS IN BUTCHER PREP AREA WITH NO WASTE RECEPTACLE. INFORMED  THE PERSON IN CHARGE THAT ANY AND ALL HANDWASHING SINK WHICH ARE PROVIDED WITH DISPOSABLE TOWELS SHALL ALSO BE PROVIDED WITH A WASTE RECEPTACLE. INSTRUCTED TO PROVIDE.,41.9677648001348,-87.777020204254,CARNICERIA Y FRUTERIA EL MILAGRITO,5960 W LAWRENCE AVE,POINT (-87.777020204254 41.9677648001348),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,,,
Cicero & Montrose Shell,4401 N Cicero Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60630.0,2019-02-26,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: FOUND NO EMPLOYEE HEALTH POLICY/TRAINING ON SITE. INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION VIOLATION 7-38-010 NO CITATION ISSUED | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN APPROPRIATE SUPPLIES OR KIT. PRIORITY FOUNDATION VIOLATION 7-38-005 NO CITATION ISSUED | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTED TO INSTALL HAND SINK WITH HOT AND COLD RUNNING WATER EQUIPPED WITH HAND SOAP AND HAND DRYING DEVICE OR PAPER TOWEL ADJACENT TO REAR DISHWASHING AREA. PRIORITY FOUNDATION VIOLATION 7-38-030 (C) NO CITATION ISSUED | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTED TO PROVIDE HAND WASHING SIGNAGE IN ALL HANDSINKS INCLUDING HANDSINK INSIDE WASHROOM. | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: INSTRUCTED TO PROPERLY STORED ICE SCOOP IN A CLEAN SEPARATE CONTAINER WITH HANDLES UP TO PREVENT CONTAMINATION.  | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments:  BACKFLOW PREVENTER DEVICE NOT LOCATED BEHIND ICE MACHINE. INSTRUCTED TO INSTALL SO THAT IT CAN BE LOCATED TO BE SERVICED AND MAINTAINED. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: INSTRUCTED TO CLEAN, REMOVE UNNECESSARY ARTICLES AND CLUTTER STORED IN REAR OUTSIDE GARBAGE AREA TO PREVENT PEST HARBORAGE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  INSTRUCTED TO REPLACE WATER STAINED AND MISSING CEILING TILES ABOVE REAR DISHWASHING AREA AND ABOVE FRONT DISPLAY AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN, REMOVE UNNECESSARY ARTICLES STORED IN REAR STORAGE/DISHWASHING AREA. USABLE ITEMS (FOOD AND NON-FOOD) MUST BE STORED 6"" OFF THE FLOOR FOR EASY ACCESS ON CLEANING INCLUDING INSIDE WALK-IN COOLER. NO MILK/SODA CRATES. MUST REORGANIZE.",41.9608058935051,-87.7473959971294,CICERO MONTROSE SHELL,4401 N CICERO AVE,POINT (-87.7473959971294 41.9608058935051),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,,,
Food Market Santa Fe,5001 W Addison St,TRUE,FALSE,FALSE,CHICAGO,IL,60641.0,2021-12-15,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO WRITTEN EMPLOYEE HEALTH POLICY ON THE PREMISES.INSTRUCTED TO PROVIDE A SIGNED EMPLOYEE HEALTH POLICY FOR EACH EMPLOYEE.PRIORITY FOUNDATION 7-38-010. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: INSTRUCTED TO REMOVE GLUE BOARDS WITH DEAD INSECTS IN BASEMENT STORAGE AREAS AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN THE INTERIOR OF THE MICROWAVE AND COOLERS THROUGHOUT.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS ALONG WALLS AND IN ALL CORNERS OF THE PREP/3 COMPARTMENT SINK AREA IN NEED FOR A DETAIL CLEANING INCLUDING INSIDE THE WALK-IN-COOLER TO REMOVE FOOD DEBRIS SPILLAGE AND SECTION OF CEILING WITH PEELING PAINT DEBRIS AT REAR NEAR THE 3-COMPARTMENT SINK MUST BE REPAIRED TO SMOOTH,EASILY CLEANABLE SURFACE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND ORGANIZE BASEMENT STORAGE AREAS AND REMOVE UNNECESSARY ARTICLES DUE TO POTENTIAL PEST HARBORAGE AND ELEVATE MOPS,BROOMS CLEANING EQUIPMENTS OFF THE FLOOR AT LEAST 6"" INCHES TO FACILITATE CLEANING. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: INSTRUCTED TO REPLACE BURNT-OUT LIGHT BULBS FOR THE LIGHT FIXTURE AT PREP/3-COMPARTMENT SINK AREA AND MAINTAIN ADEQUATE LIGHTING AT ALL TIMES.",41.9459501530377,-87.752134378082,FOOD MARKET SANTA FE,5001 W ADDISON ST,POINT (-87.752134378082 41.9459501530377),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,,,
Jewel Food Store #3262,4660 W Irving Park Rd,FALSE,TRUE,TRUE,CHICAGO,IL,60641.0,2025-04-01,Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SIGNAGE IN WOMEN'S FIRST FLOOR TOILET ROOM. INSTRUCTED TO PROVIDE AND MAINTAIN.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CUTTING BOARDS IN THE SEAFOOD PREP AREA WITH OPEN SEAMS AND DARK STAINS. INSTRUCTED TO REFINISH OR REPLACE DAMAGED OR STAINED CUTTING BOARDS AND MAINTAIN AT ALL TIMES.   | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED MILK CRATES BEING USED AS SHELVING THROUGHOUT THE PREP, WALK-INS, AND STORAGE AREAS. MUST REMOVE AND PROVIDE SHELVING THAT IS 6"" OFF THE FLOOR AND PROVIDES FLOOR ACCESSIBILITY TO ENSURE ADEQUATE FACILITY CLEANING.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FOOD DEBRIS, AND DIRT ON FLOOR UNDER COOKING EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN PREP, DISH WASHING, STORAGE AND BASEMENT AREAS. INSTRUCTED MANAGER TO CLEAN FLOORS UNDER ALL EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN ALL AREAS.",41.9535544384036,-87.745055311195,JEWEL FOOD STORE 3262,4660 W IRVING PARK RD,POINT (-87.745055311195 41.9535544384036),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,,,
Jewel Food Store #3282,4729 N Central Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60630.0,2024-08-12,Pass W/ Conditions,"16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVED HOT WATER SANITIZER DISH MACHINE IN BAKERY REMAINS TAGGED. DO NOT USE SIGN ON DISH MACHINE.ITIZING AT 180F OR 160 AT PLATES SURFACE. DISH MACHINE MUST BE SAN PRIORITY VIOLATION 7-38-025 NO CITATION ISSUED | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOORS IN BAKERY UNDER 3 COMPARTMENT SINK, NEAR GREASE TRAP AND BEHIND FRYERS WITH AN ACCUMLATION OF GREASE AND GRIME. DEEP CLEAN BAKERY FLOOR AND MAINTAIN FLOOR IN A CLEAN AND DRY CONDITION. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING CEILING TILE IN STAFF MENS WASHROOM.",41.9667971120006,-87.7672994806274,JEWEL FOOD STORE 3282,4729 N CENTRAL AVE,POINT (-87.7672994806274 41.9667971120006),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,,,
Jimenez Fresh Market,5330 W Belmont Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60641.0,2024-08-06,Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HANDSOAP AND PAPER TOWEL DISPENSER ATTACHED TO WALL ABOVE THE MOPSINK NEAR THE BAKERY PREP AREA. INSTRUCTED THE PERSON IN CHARGE TO REMOVE HANDSOAP AND PAER TOWEL DISPENSER FROM WALL ABOVE MOPSINK AND ENSURE EMPLOYEES ARE WASHING THEIR HANDS AT SINKS ONLY DESIGNATED FOR HANDWASHING. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED ASSORTED CAKE SLICES AND DESSERTS IN GRAB AND GO DISPLAY COOLER NOT PROPERLY LABELED WITH INGREDIENTS, NET WEIGHT, ALLERGENS, BUSINESS NAME AND ADDRESS. INSTRUCTED THE PERSON IN CHARGE TO PROPERLY LABEL ALL PACKAGED FOODS IN GRAB AND GO DISPLAY COOLER AND MAINTAIN. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED MULTIPLE BOXED FOOD ITEMS BEING STORED ON FLOOR IN REAR KITCHEN PREPARATION AREA. INSTRUCTED THE PERSON IN CHARGE TO ELEVATE ALL FOOD ITEMS SIX INCHES FROM FLOOR ON RAISED SHELVING UNITS AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED TORN GASKET ON THE OF DOOR OF THE MEAT WALK-IN COOLER IN THE REAR. INSTRUCTED THE PERSON IN CHARGE TO REPAIR AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARDBOARD BEING USED ON SHELVING UNITS IN REAR DRY STORAGE AREA. INSTRUCTED THE PERSON IN CHARGE TO REMOVE CARDBOARD AND ENSURE ALL NONFOOD CONTACT SURFACES REMAIN SMOOTH AND EASILY CLEANABLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MULTIPLE MSSING CEILING PANELS IN THE REAR KITCHEN PREP AREA. INSTRUCTED THE PERSON IN CHARGE TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED ACCUMULATED FOOD DEBRIS ON FLOOR THROUGHOUT THE BAKERY PREP AREA. INSTRUCTED THE PERSON IN CHARGE TO CLEAN FLOORS AND MAINTAIN.",41.9387619657918,-87.7604070714006,JIMENEZ FRESH MARKET,5330 W BELMONT AVE,POINT (-87.7604070714006 41.9387619657918),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,,,
Martha'S Fresh Market,5958 W Addison St,TRUE,FALSE,FALSE,CHICAGO,IL,60634.0,2024-05-02,Pass,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: 3-602.11 OBSERVED PACKAGED CAKE SLICES IN DESSERT REACH-IN DISPLAY COOLER NOT PROPERLY LABELED. INSTRUCTED THE PERSON IN CHARGE TO PROPERLY LABEL ALL PACKAGED FOOD ITEMS WITH IDENTITY, NET WEIGHT, INGREDIENTS, BUSINESS NAME AND ADDRESS WHERE MADE AND PACKAGED AND MAINTAIN.",41.9458827712537,-87.7763837161794,MARTHAS FRESH MARKET,5958 W ADDISON ST,POINT (-87.7763837161794 41.9458827712537),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,,,
Supermercado Martin,5155-5159 W Addison St,FALSE,TRUE,TRUE,CHICAGO,IL,60641.0,2025-03-26,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED FLY TRAPS AND RODENT BAIT STATIONS TRHOUGHOUT PREMISES NOT PROVIDED BY PEST CONTROL COMPANY. INSTRUCTED PIC PEST CONTROL BAIT STATIONS MUST BE PROVIDED BY A LICENSED PEST CONTROL TECHNICIAN.  | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: OBSERVED DIRTY WIPING CLOTHS IMPROPERLY STORED. INSTRUCTED TO STORE ALL WASHCLOTHS IN SANITIZING SOLUTION IN BETWEEN IN USE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CUTTING BOARDS IN THE REAR PREP AREA WITH OPEN SEAMS AND DARK STAINS. INSTRUCTED TO REFINISH OR REPLACE DAMAGED OR STAINED CUTTING BOARDS AND MAINTAIN AT ALL TIMES.   | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE INTERIOR OF ALL COOLERS THROUGHOUT IN NEED OF CLEANING. INSTRUCTED TO DETAIL CLEAN ACCUMULATED FOOD DEBRIS AND SPILLS.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED GREASE BUILDUP, FOOD DEBRIS, AND DIRT ON FLOOR UNDER COOKING EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN PREP, DISH WASHING, STORAGE AND BASEMENT AREAS. INSTRUCTED MANAGER TO CLEAN FLOORS UNDER ALL EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN ALL AREAS.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED UNFINISHED CONCRETE FLOORS IN THE WALK-IN COOLER. INSTRUCTED PERSON IN CHARGE THAT FLOORS EXCEPT IN DRY STORAGE AREA SHALL BE FINISHED AND SEALED TO PROVIDE A SMOOTH, NONABSORBENT AND EASILY CLEANABLE SURFACE. INSTRUCTED TO SEAL UNFINISHED FLOORS.",41.9458951008697,-87.7566458522565,SUPERMERCADO MARTIN,51555159 W ADDISON ST,POINT (-87.7566458522565 41.9458951008697),14.0,PORTAGE PARK,110196097.139,15.0,15.0,46520.6421377,,,,
