DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES,Action,Notes
Afc Sushi @ Jewel Osco # 3538,1763 W Howard St,FALSE,TRUE,TRUE,CHICAGO,IL,60626.0,2025-02-26,Pass,,42.0192885500881,-87.6750585093878,AFC SUSHI JEWEL OSCO 3538,1763 W HOWARD ST,POINT (-87.6750585093878 42.0192885500881),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,,
Devon Market,1440 W Devon Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60660.0,2024-07-23,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  4-101.19---MUST NOT USE MILK CRATES AS A MEANS OF ELEVATION FOR STORED ITEMS THROUGHOUT. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-201.11---- WATER DAMAGED CEILING TILES IN EGG DAIRY GROCERY AREA. MUST REPLACE.--MISSING WALL BETWEEN THE THREE COMPARTMENT SINK AND HAND WASHING SINK AT THE PASTRY PREP AREA. MUST REPAIR ALL TO BE SMOOTH AND CLEANABLE. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments:  2-102.13--- NO PROOF OF FOOD HANDLER TRAINING OR CERTIFICATES FOR ALL REQUIRED EMPLOYEES.",41.9982282537665,-87.6671044664687,DEVON MARKET,1440 W DEVON AVE,POINT (-87.6671044664687 41.9982282537665),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,,
La Azteca Produce,7067-7069 N Clark St,FALSE,TRUE,TRUE,CHICAGO,IL,60626.0,2024-07-01,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 5 DEAD FLIES AND 5 DEAD INSECTS ON SHELF NEXT TO AND ON MICROWAVE BEHIND BUTCHER DISPLAY COOLER. INSTRUCTED MANAGER TO REMOVE, CLEAN AND SANITIZE, AND MAINTAIN AREA FREE OF DEAD INSECTS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED BUILT UP FOOD DEBRIS AND GREASE THE EXTERIOR OF THE HEATING EQUIPMENT IN THE REAR STOVE/COOKING PREPARATION AREA. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN AREA FREE OF FOOD DEBRIS AND GREASE BUILD UP ON EXTERIOR OF EQUIPMENT AND STOVE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER, SHELVES, AND UNUSED CHAIRS STACKED AND STORED IN THE SIDE OFFICE NEXT TO BATHROOM. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN AREA FREE OF ALL UNNECCESARY ITEMS NOT FUNCTIONAL TO THE OPERATION OF THE FACILITY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED GRAINS AND FOOD DEBRIS SPILLED ON FLOOR IN THE SIDE OFFICE LOCATED NEXT TO BATHROOM. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN AREA FREE OF FOOD SPILLAGE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MOPS LEFT STORED IN BUCKET OF WATER IN BATHROOM AND IN BUCKET NEAR HAND SINK IN REAR BUTCHER PREPARATION AREA. INSTRUCTED MANAGER TO STORE MOP TO ALLOW DRYING IN BETWEEN USE.",42.0109629527029,-87.6742146577108,LA AZTECA PRODUCE,70677069 N CLARK ST,POINT (-87.6742146577108 42.0109629527029),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,,
Morse Fresh Market,1430 W Morse Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60626.0,2024-05-08,Pass,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED BOXES OF FOOD STORED IN WALK IN FREEZER IN REAR WITH ICE BUILD UP ON EXTERIOR OF BOXES. INSTRUCTED MANAGER TO REMOVED AND MAINTAIN AREA FREE OF ICE BUILD UP. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED INTERIOR OF THE STANDING TWO DOOR FREEZER IN PRODUCE PREP AREA TO HAVE FOOD DEBRIS ON BOTTOM SHELF. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN AREA FREE OF FOOD DEBRIS AND RESIUDE.",42.0079949199333,-87.6671741467185,MORSE FRESH MARKET,1430 W MORSE AVE,POINT (-87.6671741467185 42.0079949199333),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,,
Neighbor Market,1409 W Lunt Ave,TRUE,TRUE,FALSE,CHICAGO,IL,60659.0,2016-11-28,Pass,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: OBSERVED FLOORS NOT CLEAN IN THE REAR, NEAR THE TOILET ROOM. FLOOR IN TOILET ROOM NOT CLEAN. ALSO, PREMISES HAS TWO SIDES. FLOORS ON STORAGE SIDE OF THE PREMISES, ARE NOT CLEAN. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN.  | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED WALL TILES DETACHED, AND WALL NOT CLEAN, IN TOILET ROOM. ON THE STORAGE SIDE OF THE PREMISES (NORTH) WALLS HAVE HOLES THROUGHOUT. INSTRUCTED TO REPAIR CEILING TILES AND HOLES AND MAINTAIN.  | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: OBSERVED MISSING LIGHT ABOVE FRONT COUNTER. INSTRUCTED TO INSTALL WORKING LIGHT AND MAINTAIN.  | 37. TOILET ROOM DOORS SELF CLOSING: DRESSING ROOMS WITH LOCKERS PROVIDED: COMPLETE SEPARATION FROM LIVING/SLEEPING QUARTERS - Comments: OBSERVED TOILET ROOM DOOR NOT SELF CLOSING. INSTRUCTED TO REPAIR SELF CLOSING DEVICE ON DOOR AND MAINTAIN.  | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: OBSERVED EXCESSIVE CLUTTER IN REAR STORAGE AREA OF STORE, IN THE STORAGE AREA ON THE OTHER SIDE OF THE STORE, AND IN THE GATED AREA OFF THE REAR EXIT DOOR. INSTRUCTED TO ORGANIZE ITEMS. CLEAN AND ELEVATE ITEMS 6"" OFF FLOORS TO PREVENT RODENT HARBORAGE AND MAINTAIN.",42.0090082301552,-87.6662991853583,NEIGHBOR MARKET,1409 W LUNT AVE,POINT (-87.6662991853583 42.0090082301552),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,,
Paulina Super Market Inc,7622 N Paulina St,FALSE,TRUE,TRUE,CHICAGO,IL,60626.0,2020-06-08,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: PRODUCE CUTTING BOARD WITH EXCESS CUTS AND DARK STAINS, INSTRUCTED TO REPLACE/ REFINISH SAID CUTTING BOARD.SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT SURFACE.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: ALL MILK CRATES THAT ARE USED FOR FOOD AND NON-FOOD ELEVATION MUST BE REMOVED AND PROVIDE RAISED SHELVES 6"" OFF THE FLOOR. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED RUSTY AND DIRTY SHELVES INSIDE DISPLAY COOLERS WITH HOT DOG AND ALSO THE DAIRY DISPLAY COOLER. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN OR REPLACE | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED ICE BUILD UP INSIDE THE WALK IN FREEZER ON FLOOR, SHELVES AND CEILING OF FREEZER. ALSO NOTED ICE BUILD UP INSIDE THE DISPLAY FREEZER.ON THE FLOOR AND SHELVES. INSTRUCTED TO REPAIR AND MAINTAIN THE CONDENSATION UNITS. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST PROVIDE LID FOR RECEPTACLES INSIDE THE WASHROOMS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: DEBRIS ON FLOOR THROUGHOUT THE PREMISES INCLUDED UNDER SHELVES, ALONG BASEBOARD WALLS AND BEHIND EQUIPMENT SPECIALLY AT REAR AREA,INCLUDED HALLWAY. ELEVATE ITEMS 6""OFF THE FLOOR.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED HEAVY CLUTTER AT THE REAR ESTABLISHMENT ON PALETTES AND FLOORS AT THE REAR FOOD/DRY STORAGE AREA . INSTRUCTED TO DETAIL CLEAN, ORGANIZE AND REMOVE ALL UNNECESSARY OR UNUSED ARTICLES AND EQUIPMENT TO PREVENT HIDING PLACES FOR PEST.",42.0200873149518,-87.6732345632377,PAULINA SUPER MARKET INC,7622 N PAULINA ST,POINT (-87.6732345632377 42.0200873149518),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,,
Rogers Market,1409-1411 W Lunt Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60626.0,2023-10-19,Pass,,42.0090082301552,-87.6662991853583,ROGERS MARKET,14091411 W LUNT AVE,POINT (-87.6662991853583 42.0090082301552),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,,
Morse Fresh Market,1445 W Morse Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60626.0,2016-03-18,Pass,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED WALLS IN REAR PREP AREA WITH PEELING PAINT AND HOLES IN WALLS. DUCT TAPE ON FRONT WALL NEXT TO FRONT ENTRANCE DOOR, AND STAINED CEILING TILES IN FRONT AND REAR PREP AREAS. INSTRUCTED TO REPAIR WALLS, DISCONTINUE USE OF DUCT TAPE AND REPAIR OR REPLACE CEILING TILES AND MAINTAIN. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: OBSERVED LIGHT SHEILDS IN REAR WITH UNKNOWN DEBRIS INSIDE. INSTRUCTED TO CLEAN AND MAINTAIN. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: DOOR KNOB MISSING ON REAR EXIT DOOR. INSTRUCTED TO REPLACE AND MAINTAIN.",42.0077666619412,-87.6676986141875,ROSA MARIANO,1445 W MORSE AVE,POINT (-87.6676986141875 42.0077666619412),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,,
"Summit Grocery Rogers Park, Inc",7300 N Rogers Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60626.0,2024-11-25,Pass,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: SPLASH GUARD IS NEEDED BETWEEN PREP TABLE AND HANDWASHING SINK IN THE PREP AREA SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT SURFACE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: FOUND INTERIOR OF MICROWAVE WITH METAL EXPOSED(HOLES ON THE TOP OF THE UNIT). INSTRUCTED TO REMOVE AND REPLACE AT ONCE | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: HANDWASHING SINK IN PREP AREA SLOWLY DRAINING,ALSO PIPES UNDER THE OPEN COOLER UNIT IN CUSTOMERS SERVING AREA ARE LEAKING ON FLOOR.REPAIR ISSUES.",42.0137736925998,-87.6803007317008,SUMMIT GROCERY ROGERS PARK INC,7300 N ROGERS AVE,POINT (-87.6803007317008 42.0137736925998),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,,
Supermercado Chapala,7117 N Clark St,FALSE,TRUE,TRUE,CHICAGO,IL,60626.0,2025-02-25,Pass W/ Conditions,"16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments:  INTERIOR OF ICE MACHINE COMPARTMENTS NOT CLEAN (INTERIOR TOP AND BIN). ICE IS USED FOR HUMAN CONSUMPTION. INSTRUCTED TO CLEAN, SANITIZE AND MAINTAIN UNIT. | 22. PROPER COLD HOLDING TEMPERATURES - Comments: WE OBSERVED TCS FOOS AT IMPROPER TEMPERATURE:RICOTTA CHEESE(4.69LB VALUE 15.99) AT TEMP OF 44.3F TO 45.1F;2 PIECES OF POLISH HAM (4.99LB; VALUE 85.03)AT TEMP OF 44.8F TO 45.3F,PRODUCTS WERE STORED AT DISPLAY IN BUTCHERS'S AREA. ALSO OBSERVED COOKED FOOD STORED INSIDE THE WALK-IN COOLER  AT IMPROPER TEMPERATURE: COOKED BEEF TONGUE(16 LB;VALUE 95.84) AT TEMP OF 47.5F TO 48.9F.COOKED AND SLICED TRIPE(25 LB;VALUE 39.75) AT TEMP OF 50.7F TO 60.9F.PER MANAGER STATEMENT .COOKED FOOD WAS COOKED ON 2-24-25.NO TIME AND TEMPERATURE LOG PROVIDED. MAINTAIN COLD FOOD AT TEMP OF 41F AND BELOW.FOOD DISCARDED AND DENATURED BY OWNER. POUNDS 51;VALUE 237 PRIORITY VIOLATION:7-38-005,CITATION ISSUED | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: DRY FOOD IN PLASTIC CONTAINER AT REAR STORAGE AREA NOT LABELED WITH COMMON NAME:FLOUR,SUGAR,ETC. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: REMOVE DEAD INSECTS FROM UNDER THE SHELVES  AND ALONG BASEBOARD WALLS IN REAR STORAGE AREA.CLEAN AND MAINTAIN | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: MUST STORE WIPING CLOTHS IN PREP AREAS IN SANITIZER BUCKET BETWEEN USES TO PREVENT CROSS CONTAMINATION. INSTRUCTED TO MAINTAIN. | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: ICE SCOOP MUST BE STORED IN A CLEAN CONTAINER BETWEEN USE TO MINIMIZE SOURCE OF CONTAMINATION | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  BROKEN RUBBER GASKETS INSIDE OF THREE DOOR REACH-IN COOLERS IN SELLING AREA ACROSS FROM PRODUCE SHEVES.  REPAIR/REPLACE | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  MUST NOT USE DUCT TAPE AS A MEANS OF REPAIR ON THE DOOR/GLASS OF DISPLAY COOLER AT BUTCHER'S AREA(NORTH SITE OF UNIT) SURFACE MUST BE SMOOTH AND CLEANABLE.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: SOME CUTTING BOARDS IN BUTCHER'S AREA WITH DARK STAINS AND DEEP CUTS,MUST REFINISH OR REPLACE SAID CUTTING BOARDS | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  ACCUMULATED GREASE AND FOOD DEBRIS ON  UTILITY CONNECTIONS AND EQUIPMENT SURFACES  MUST CLEAN AND MAINTAIN.UNDER TWO CARNITAS POTS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  REPLACE  BROKEN FLOOR TILES  INSIDE THE WALK-IN COOLER AT REAR STORAGE AREA.",42.0119757995118,-87.6743840577693,SUPERMERCADO CHAPALA,7117 N CLARK ST,POINT (-87.6743840577693 42.0119757995118),0.0,ROGERS PARK,51259902.4506,1.0,1.0,34052.3975757,,,,
