DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES,Action,Notes
71St Grocery Inc.,1908-1910 E 71St St,FALSE,TRUE,TRUE,CHICAGO,IL,60649.0,2014-07-25,Pass,38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: NO HOT RUNNING WATER AT MOP SINK. MUST PROVIDE AND MAINTAIN HOT RUNNING WATER AT MOP SINK.,41.76633472128870,-87.5783620427752,71ST GROCERY INC,19081910 E 71ST ST,POINT (-87.5783620427752 41.76633472128871),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,,,
Crandon Supermarket,2238 E 71St St,TRUE,FALSE,FALSE,CHICAGO,IL,60649.0,2016-09-19,Ouf Of Business,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN THE INTERIOR OF ALL COOLERS AND FREEZERS TO REMOVE SPILLS AND DEBRIS. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS NEED CLEANING THROUGH OUT REAR TO REMOVE DEBRIS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: NOTED CEILING TILES IN POOR REPAIR. MUST REPLACE AND MAINTAIN.  | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: MUST REMOVE CLUTTER THROUGH OUT REAR STORAGE AREA TO PREVENT HARBORAGE.",41.76641249742670,-87.5698056651574,CRANDON SUPERMARKET,2238 E 71ST ST,POINT (-87.5698056651574 41.76641249742671),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,,,
Ekiosa Market Llc,2234 E 75Th St,TRUE,FALSE,FALSE,CHICAGO,IL,60649.0,2024-09-13,Ouf Of Business,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED PRE PACKAGED SPICES ON SELLING SHELF WITHOUT PROPER LABELS; INSTRUCTED TO LABEL PROPERLY WITH COMMON NAME, INGREDIENTS, NAME OF MANUFACTURER, PACKER, DISTRIBUTOR, NAME AND PLACE OF BUSINESS AND ANY ALLERGENS. ALSO OBSERVED PREPACKAGED FROZEN MEATS IN FREEZERS NOT LABELED INCLUDING FISH, TURKEY, BEEF; INSTRUCTED TO LABEL ALL PREPACKAGED FROZEN MEATS AS REQUIRED. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: NO UTILITY SINK ON PREMISES AS REQUIRED FOR DISPOSING OF WASTE WATER WHEN MOPPING AND CLEANING; INSTRUCTED TO INSTALL A MOP SINK WITH HOT AND COLD RUNNING WATER AND A BACKFLOW DEVICE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED HOLES IN THE WALLS AROUND THE FAUCET KNOBS AND ABOVE THE FAUCETS OF THE TWO SHOWERS FOUND IN THE REAR AREA; INSTRUCTED TO SEAL ALL OPENINGS IN WALL.",41.7590594116518,-87.5698772654043,EKIOSA MARKET LLC,2234 E 75TH ST,POINT (-87.5698772654043 41.7590594116518),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,,,
G & D Food Market,7106 S Jeffery Ave,FALSE,TRUE,FALSE,CHICAGO,IL,60649.0,2023-11-29,Pass,51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: COLD WATER HANDLE LEAKS ON THE 3 COMPARTMENT SINK. INSTRUCTED TO CORRECT AND MAINTAIN.,41.7658677487362,-87.5764394613729,G D FOOD MARKET,7106 S JEFFERY AVE,POINT (-87.5764394613729 41.7658677487362),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,,,
Jeffery Big Market Inc.,2016 E 71St St,FALSE,TRUE,TRUE,CHICAGO,IL,60649.0,2024-11-26,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO CLEAN THE INTERIORS OF REFRIGERATION UNITS WHERE NEEDED, THE MEAT SLICER AND MEAT GRINDER AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE WALL COVING ALONG THE BASE OF THE WALL IN THE REAR STORAGE AREA IN POOR REPAIR; INSTRUCTED TO REATTACH TO WALLBASE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN THE FLOORS UNDER THE SHELVES IN THE STORAGE AREA AND ON THE SELLING FLOOR, CLEAN IN BUTCHER AREA UNDER EQUIPMENT AND IN BOTH THE WALK-IN COOLER AND FREEZER. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED AN EXPIRED FOOD HANDLER TRAINING CERTIFICATE; MUST OBTAIN A VALID CERTIFICATE.  THE FOOD HANDLER ON SITE IN THE BUTCHER AREA HAS NO FOOD HANDLER TRAINING CERTIFICATE; MUST OBTAIN A CERTIFICATE.",41.7663585634322,-87.5755671311993,JEFFERY BIG MARKET INC,2016 E 71ST ST,POINT (-87.5755671311993 41.7663585634322),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,,,
Jewel Food Store #3030,7530 S Stony Island Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60649.0,2024-08-21,Pass,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED FAUCET KNOB AT HANDWASHING SINK IN THE BAKERY AREA IN POOR REPAIR; REPAIR OR REPLACE KNOB FOR HOT WATER.  OBSERVED LEAKING FROM ONE FAUCET AT THE THREE COMPARTMENT SINK IN DELI AREA; INSTRUCTED PERSON IN CHARGE TO REPAIR AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NORTH FACING UNISEX RESTROOM WITHOUT COVERED RECEPTACLE. INSTRUCTED PERSON IN CHARGE PROVIDE RECEPTACLES WITH LIDS.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING CEILING TILE IN SOUTH FACING RESTROOM. INTRUCTED PERSON IN CHARGE TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SMALL PUDDLES OF WATER ON FLOOR OF PRODUCE WALK IN COOLER; INSTRUCTED TO REMOVE STANDING WATER. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED BUILD-UP IN VENTILATION HOOD OVER EQUIPMENT IN HOT FOODS AREA. INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN.",41.7578056585432,-87.5862682580187,JEWEL FOOD STORE 3030,7530 S STONY ISLAND AVE,POINT (-87.5862682580187 41.7578056585432),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,,,
Local Market,2101 E 71St St,FALSE,TRUE,TRUE,CHICAGO,IL,60649.0,2024-08-21,Pass,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: FOUND BULK STORAGE CONTAINERS IN THE BAKERY AREA NOT LABELED; INSTRUCTED TO LABEL CONTAINER WITH THE NAME OF THE PRODUCT INSIDE OF THE CONTAINER. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  INSTRUCTED TO CLEAN AND MAINTAIN THE FOLLOWING: INTERIOR BOTTOM OF FRYERS TO REMOVE GREASE, EXTERIOR SURFACES OF FRYERS AND OTHER COOKING EQUIPMENT, PREP TABLES AND SOME SHELVES INSIDE OF WALK-IN UNITS. INSTRUCTED TO CLEAN VENT FAN COVERS IN WALK-IN UNITS WHERE NEEDED TO REMOVE DUST. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED THE EXPOSED HANDSINK IN THE BAKERY SERVING AREA DRAINING SLOWLY; INSTRUCTED TO CORRECT. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN THE FLOOR DRAINS UNDER SINKS WHERE NEEDED. INSTRUCTED TO CLEAN THE FLOORS UNDER COOKING EQUIPMENT WHERE NEEDED TO REMOVE GREASE, CLEAN BEHIND PROOFER IN BAKERY TO REMOVE STANDING WATER, CLEAN IN WALK-IN UNITS UNDER SHELVES WHERE NEEDED. INSTRUCTED TO CLEAN WALLS AND CEILING VENTS AROUND AND BEHIND EQUIPMENT WHERE NEEDED IN THE KTICHEN AREAS. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: INSTRUCTED TO CLEAN THE VENTS IN THE HOODED SYSTEM ABOVE COOKING EQUIPMENT IN REAR KITCHEN AREA.",41.7659900011406,-87.5737873366541,LOCAL MARKET,2101 E 71ST ST,POINT (-87.5737873366541 41.7659900011406),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,,,
Manny'S Grocery,7627 S Jeffery Blvd,FALSE,TRUE,TRUE,CHICAGO,IL,60649.0,2024-12-02,Pass,,41.756236797394,-87.5759402030761,MANNYS GROCERY,7627 S JEFFERY BLVD,POINT (-87.5759402030761 41.756236797394),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,,,
Ok Mini Grocery Store,2342 E 75Th St,TRUE,FALSE,FALSE,,IL,60649.0,2013-05-03,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: ALL RAW WOOD SHELVES MUST BE SEALED/REPAIRED | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: OPENINGS IN FLOORS IN STORAGE AREAS.MUST SEAL | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST SEAL ALL OPENINGSON PREMISES BEHIND FRONT COUNTER AND STORAGE AREAS OR INSTALL BASEBOARDS.   | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: NO MOP SINK ON PREMISE.MUST INSTALL MOP SINK ON PREMISES TO CITY PLUMBING,(HOT/COLD RUNNING WATER).",41.7590891156594,-87.5671107787444,OK MINI GROCERY STORE,2342 E 75TH ST,POINT (-87.5671107787444 41.7590891156594),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,,,
"Yafay Food Market, Inc",1851 E 71St St,TRUE,FALSE,FALSE,CHICAGO,IL,60649.0,2013-03-21,Pass,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OPENING IN CEILING AROUND LIGHT IN REAR STORAGE ROOM.MUST SEAL/REPAIR.",41.7659357438171,-87.5793992372092,YAFAY FOOD MARKET INC,1851 E 71ST ST,POINT (-87.5793992372092 41.7659357438171),42.0,SOUTH SHORE,81812716.3958,43.0,43.0,44249.6461173,,,,
