DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES,Action,Notes
Aldi'S,4500 N Broadway,FALSE,TRUE,TRUE,CHICAGO,IL,60640.0,2024-02-05,Pass,"54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED LEAVES AND DEBRIS ON GROUND UNDER AND AROUND GARBAGE DUMPSTER IN REAR OUTSIDE AREA . INSTRUCTED TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS ALONG THE WALLS AND IN ALL CORNERS IN REAR STORAGE AREA ESPECIALLY UNDER AND AROUND STORAGE SHELVES.",41.9637889642516,-87.6566064923759,ALDIS,4500 N BROADWAY,POINT (-87.6566064923759 41.9637889642516),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,,
"Argyle Grocery, Inc",1131 W Argyle St,TRUE,FALSE,FALSE,CHICAGO,IL,60640.0,2020-04-20,Pass,57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOUND NO FOOD HANDLER TRAINING CERTIFICATE ON PREMISES.MUST PROVIDE FOODHANDLER TRAINING CERTIFICATE DUE TO WASHING AND SANITIZING COFFEE POTS/UTENSILS.,41.9731464382128,-87.6590363284839,ARGYLE GROCERY INC,1131 W ARGYLE ST,POINT (-87.6590363284839 41.9731464382128),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,,
G&S Supermarket,5012 N Sheridan Rd,TRUE,FALSE,FALSE,CHICAGO,IL,60640.0,2024-12-17,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: INSTRUCTED TO SEAL OR PAINT RAW WOOD STORAGE SHELF TN REAR STORAGE AREA. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: INSTRUCTED TO REPAIR CLOGGED (UNUSED) 3 COMPARTMENT SINK OR REMOVE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: BACKFLOW PREVENTER DEVICE NOT LOCATED AT MOPSINK FAUCET. INSTRUCTED TO INSTALL SO THAT IT CAN BE LOCATED TO BE SERVICED AND MAINTAINED.",41.9737147387465,-87.6550860838922,GS SUPERMARKET,5012 N SHERIDAN RD,POINT (-87.6550860838922 41.9737147387465),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,,
Gns Market,4092 N Broadway,TRUE,FALSE,FALSE,CHICAGO,IL,60613.0,2020-06-26,Pass,10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNS OR POSTERS NEAR HAND WASHING SINK IN REAR DISH AREA AND TOILET ROOM. MUST PROVIDE AND MAINTAIN,41.9568939589568,-87.6521996078294,GNS MARKET,4092 N BROADWAY,POINT (-87.6521996078294 41.9568939589568),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,,
Jewel Food Store #3455,4355 N Sheridan Rd,FALSE,TRUE,TRUE,CHICAGO,IL,60613.0,2025-02-20,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RUSTY FOOD STORAGE SHELVING INSIDE DELI WALK-IN COOLER. MUST REPAIN OR REPLACE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAKING FAUCET BASE AT THE 3-COMPARTMENT SINK LOCATED IN REAR CLEANING AREA. MUST REPAIR LEAKING AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DUST AND DIRT BUILD UP ON FLOOR DRAINS INSIDE WALK-IN PRODUCE COOLER. MUST CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED STAINS AND DIRT ON CEILING IN PRODUCE CUTTING AREA. MUST REPAIR AND MAINTAIN.",41.9613977799035,-87.6545929748473,JEWEL FOOD STORE 3455,4355 N SHERIDAN RD,POINT (-87.6545929748473 41.9613977799035),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,,
Kaneshie Supermarket,4552 N Broadway,TRUE,FALSE,FALSE,CHICAGO,IL,60640.0,2015-01-23,Pass W/ Conditions,"14. PREVIOUS SERIOUS VIOLATION CORRECTED, 7-42-090 - Comments: PREVIOUS SERIOUS VIOLATION FROM REPORT# 1515393 DATED 12-23-14 NOT CORRECTED: ""OBSERVED OVER 20 MOUSE DROPPINGS BEHIND THE FOOD STORAGE RACKS ALONG THE NORTH WALL OF FACILITY. INSTRUCTED TO REMOVE, CLEAN, AND SANITIZE INFECTED AREA. ADDITIONAL PEST CONTROL SERVICE IS NEEDED TO MINIMIZE OR ELIMINATE RODENT ACTIVITY.""    FACILITY REMOVED ALL PEST EVIDENCE AND TERMINIX PEST CONTROL COMPANY ARRIVED ON SITE DURING INSPECTION. VIOLATION ABATED. CRITICAL CITATION ISSUED 7-42-090.",41.9649925306647,-87.6573766547855,KANESHIE SUPERMARKET,4552 N BROADWAY,POINT (-87.6573766547855 41.9649925306647),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,,
Lakeside Maati Market,4725 N Sheridan Rd,TRUE,FALSE,FALSE,CHICAGO,IL,60640.0,2025-04-10,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES,  FACE MASKS,  DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY  THAT KILLS NOROVIRUS) .PRIORITY FOUNDATION VIOLATION 7-38-005       | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE THERMOMETER VISIBLE INSIDE ALL REACH-IN DISPLAY COOLER. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: BACKFLOW PREVENTER DEVICE NOT LOCATED AT THE MOPSINK FAUCET. INSTRUCTED TO INSTALL SO THAT IT CAN BE LOCATED TO BE SERVICED AND MAINTAINED. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: TOILET ROOM DOOR MUST BE SELF CLOSING. INSTRUCTED TO INSTALL SELF CLOSING DEVICE.",41.9680754167857,-87.6546623542131,LAKESIDE MAATI MARKET,4725 N SHERIDAN RD,POINT (-87.6546623542131 41.9680754167857),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,,
M & M Grocery,4533 N Sheridan Rd,TRUE,FALSE,FALSE,CHICAGO,IL,60640.0,2014-12-23,Pass,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: REPLACE BROKEN AND WATER DAMANGED CEILING TILES ABOVE THE REAR STORAGE AREA AND MAINTAIN. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: FOUND THE FAUCET HEAD ATTACHED TO THE WASHBOWL SINK IN POOR REPAIR. INSTRUCTED TO RE-ATTACH FAUCET HEAD TO THE SINK PROPERLY AND MAINTAIN.",41.9646620400544,-87.6546333588421,M M GROCERY,4533 N SHERIDAN RD,POINT (-87.6546333588421 41.9646620400544),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,,
Makola African Supermarket,1017-1019 W Wilson Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60640.0,2021-03-04,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST NOT USE DUCT TAPE AS A MEANS OF REPAIR AT CHEST FREEZER DOOR BY THE BUTCHER'S AREA. REMOVE, SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT MATERIAL.",41.9653136450107,-87.6555286541184,MAKOLA AFRICAN SUPERMARKET,10171019 W WILSON AVE,POINT (-87.6555286541184 41.9653136450107),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,,
Old World Market,5129-5135 N Broadway,FALSE,TRUE,TRUE,CHICAGO,IL,60640.0,2020-06-12,Pass,51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: BACKFLOW PREVENTION DEVICE NOT LOCATED FOR ICE MACHINE WATERLINE.MUST PROVIDE WHERE IT CAN BE LOCATED AND SERVICED.,41.9754753986347,-87.6596970116944,OLD WORLD MARKET,51295135 N BROADWAY,POINT (-87.6596970116944 41.9754753986347),2.0,UPTOWN,65095642.7289,3.0,3.0,46972.7945549,,,,
