DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES,Action,Notes
Ada Foods,1281 W 71St St,TRUE,FALSE,FALSE,CHICAGO,IL,60636.0,2013-03-19,Out Of Business,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOOR AT FRONT COUNTER LINE WITH RAW WOOD AND CARPET. INSTD TO HAVE SURFACE, SMOOTH, EVEN EASILY SURFACE.FLOOR THRU-OUT UNDER AND BEHIND HEAVY EQUIPMENT NOT CLEAN. CLEAN SAME AND MAINTAIN.",41.7648941814026,-87.657307804757,ADA FOODS,1281 W 71ST ST,POINT (-87.657307804757 41.7648941814026),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,,,
Damen Market Inc.,5700 S Damen Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60636.0,2025-03-19,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15 : OBSERVED A GAP ALONG BOTTOM OF FRONT AND REAR DOORS AND NO SCREEN ON BASEMENT DOOR TO MUST MAKE TIGHT FITTING TO PREVENT INSECT ENTRY. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.11 : MUST REPAIR OR REPLACE DAMAGED INTERIOR DOOR PARTICIANS OF 2- DOOR PREP COOLER. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C) : MUST CLEAN GREASE AND FOOD DEBRIS BUILD UP FROM MEAT SLICER,FRYER CABINET,PIPES OF COOKING EQUIPMENT. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.16 : MUST SCRAPE CHIPPING PAINT FROM WALLS IN PREP & DISH WASHING AREAS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: : 6-201.11 : MUST CLEAN DIRT AND DEBRIS BUILD UP FROM DOOR & WALLS IN REAR STORAGE AREA | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-501.114 : MUST ELEVATE (RACKS) ON FLOOR IN BASEMENT AND MAINTAIN TO PREVENT RODENT HARBORAGE AREAS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-201.13 : MUST REPAIR OR REPLACE DAMAGED WALL TRIM IN PREP AREA,FLOOR TILES BROKEN IN TOILET ROOM AND WHERE NEEDED.MUST REMOVE EXCESSIVE CAULKING THROUGHOUT TO BE SMOOTH AND EASILY CLEANABLE ON SURFACES. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13 : OBSERVED NO FOOD HANDLERS TRAINING FOR EMPLOYEES MUST PROVIDE AND MAINTAIN.",41.7901783202844,-87.6743394384017,DAMEN MARKET INC,5700 S DAMEN AVE,POINT (-87.6743394384017 41.7901783202844),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,,,
"Five Nine Food & Groceries, Llc",1434 W 59Th St,TRUE,FALSE,FALSE,CHICAGO,IL,60636.0,2021-01-26,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: O EMPLOYEE HEALTH POLICY ON PREMISES AS REQUIRED; MUST PROVIDE. INSTRUCTED THE PERSON IN CHARGE TO PROVIDE DOCUMENTATION OF EMPLOYEES RESPONSIBILITY TO REPORT ANY ILLNESS TRANSMISSIBLE THROUGH FOOD. PRIORITY FOUNDATION VIOLATION 7-38-010. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE BASEMENT DOOR NOT COMPLETELY RODENT PROOFED AT THE BOTTOM AS REQUIRED; MUST RODENT PROOF DOOR AS REQUIRED TO AVOID RODENT ENTRY. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO BACK FLOW PREVENTION DEVICE AT UTILITY SINK AS REQUIRED; MUST INSTALL AT UTILITY SINK. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: BSERVED A HOLE IN THE LOWER WALL BY THE GREASE RECEPTOR AT THE THREE COMP SINK; INSTRUCTED TO SEAL HOLE IN WALL. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: INSTRUCTED THAT ALL EMPLOYEES THAT ARE NOT CITY OF CHICAGO FOOD SERVICE MANAGERS MUST OBTAIN THE REQUIRED FOOD HANDLER TRAINING.",41.786907444811700,-87.6609044048142,FIVE NINE FOOD GROCERIES LLC,1434 W 59TH ST,POINT (-87.6609044048142 41.786907444811696),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,,,
Food 4 Less Midwest #552,7030 S Ashland Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60636.0,2024-10-29,Pass W/ Conditions,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PIC DOESN'T HAVE A CERTIFIED FOOD MANAGERS CERTIFICATE MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-012) | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: 2-101.11	OBSERVED NO CERTIFIED FOOD MANAGER ON DUTY WHILE TCS FOODS ARE BEING PREPARED, HANDLED, AND SERVED, SUCH AS (SLICING DELI MEATS, BAKED GOODS, FRESH GROUND MEATS, ETC.)MUST BE ON SITE AT ALL TIMES. (PRIORITY FOUNDATION 7-38-012)(CITATION ISSUED) | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: 4-204.112(B) : MUST PROVIDE A THERMOMETER FOR CAKE DISPLAY COOLERS THAT AREN'T OPERABLE AT THIS TIME. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.11 : MUST REPAIR OR REPLACE WORN DOOR GASKETS FOR DAIRY- WALK IN COOLER & MAIN WALK IN FREEZER | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  4-601.11(C) : MUST CLEAN DEBRIS BUILD UP FROM EXTERIOR OF OVEN IN DELI. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11 : MUST CLEAN DUST BUILD UP FROM WALLS AND CEILING IN BAKERY PREP AREA. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments:  6-202.11 : MUST REPAIR OR REPLACE CRACKED LIGHT SHIELDS IN BAKERY DISH WASHING AREA,BURNTOUT LIGHTS IN BAKERY PREP AREA.",41.7657907704319,-87.663966886455,FOOD 4 LESS MIDWEST 552,7030 S ASHLAND AVE,POINT (-87.663966886455 41.7657907704319),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,,,
Go Green Community Fresh Market,1207 W 63Rd St,FALSE,TRUE,TRUE,CHICAGO,IL,60636.0,2025-03-14,Pass,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: MUST LABEL PACKAGED CUT FRUIT ON DISPLAY FOR SALE WITH PROPER INFORMATION GIVEN. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED A GAP IN BOTTOM CENTER DOUBLE REAR DOORS MUST MAKE DOOR TIGHT FITTING. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST REPAIR OR REPLACE MISSING DOOR HANDLE ON REACH IN FREEZER IN DRY FOOD STORAGE AREA. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST ELIMINATE CRATES USED FOR STORAGE IN PRODUCE WALK IN COOLER AND PROVIDE ADEQUATE SHELVING UNITS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN ICE BUILD UP ON INTERIOR SURFACE OF REACH IN FREEZER IN DRY FOOD STORAGE AREA.MUST CLEAN DEBRIS AND DUST BUILD UP FROM ROLLING CARTS,REGISTER SHELVING UNITS,STOVE, EXTERIOR OF DOUBLE OVENS & MICROWAVE IN STAFF BREAK ROOM. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN DEBRIS BUILD UP FROM FLOOR UNDER,AROUND AND ALONG WALL BASES IN KITCHEN,DRY FOOD STORAGE AREA,UNDER SOME DISPLAY SHELVES ON SALES FLOOR,REGISTERS AND FLOOR DRAIN UNDER 3- COMPARTMENT SINK. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST REPAIR OR REPLACE STAINED CEILING TILES IN DRY FOOD STORAGE AREA,DAMAGED FLOOR TILE IN 1ST TOILET ROOM ON 2ND FL. AROUND TOILET. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST ELEVATE,REMOVE OR ORGANIZE ARTICLES OFF OF FLOOR AND AWAY FROM WALLS IN 2ND FL. HOT WATER TANK AREA. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: MUST PROVIDE FOOD HANDLERS TRAINING FOR NEW EMPLOYEES AND MAINTAIN.",41.779495714401900,-87.6548185646425,GO GREEN COMMUNITY FRESH MARKET,1207 W 63RD ST,POINT (-87.6548185646425 41.779495714401904),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,,,
Rainbow Grocery,2003 W 69Th St,TRUE,FALSE,FALSE,CHICAGO,IL,60636.0,2010-01-05,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: All food and non-food contact surfaces of equipment and all food storage utensils shall be thoroughly cleaned and sanitized daily. FOLLOWING NEED CLEANING: INTERIOR AND EXTERIOR OF ALL SHELVES, COOLERS, COUNTERS    | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: The floors shall be constructed per code, be smooth and easily cleaned, and be kept clean and in good repair. REPLACE DAMAGED AND MISSING FLOOR TILES IN ALL AREAS. FLOORS NEED CLEANING UNDER ALL EQUIPMENT ALONG WALLS AND IN ALL CORNERS IN SALES, STORAGE AND BASEMENT AREAS.   | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned. REPLACE ALL MISSING AND STAINED CEILING TILES IN ALL AREAS. SEAL ALL OPENINGS IN WALLS AND CEILINGS AROUND PIPE FITTINGS AND ELECTRICAL OUTLETS IN ALL AREAS.   | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: All parts of the food establishment and all parts of the property used in connection with the operation of the establishment shall be kept neat and clean and should not produce any offensive odors. REMOVE ALL LITTER OUTSIDE ALONG SOUTH WALL OF BUILDING. DISCARD ALL UNUSED EQUIPMENT AND UNNECESSARY ARTICLES IN REAR STORAGE AND BASEMENT AREAS TO PREVENT PEST HARBORAGE. PROPERLY ORGANIZE ALL STORAGE AREAS.",41.7683283348007,-87.6738193840268,RAINBOW GROCERY,2003 W 69TH ST,POINT (-87.6738193840268 41.7683283348007),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,,,
Reemy'S Food Market & Tobacco,1548 W Marquette Rd,TRUE,FALSE,FALSE,CHICAGO,IL,60636.0,2025-04-07,Pass,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: 3-302.12 : MUST LABEL FOOD STORAGE CONTAINERS WHEN FOOD IS NOT IN ORIGINAL PACKAGE (SQUEEZE BOTTLES & SHAKERS) | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: 3-602.11(A; B:1-4,6,7; C; D) : MUST LABEL REPACKAGED CANDIES,CUT FRUIT AND PALLETES FOR SALE IN COLD HOLDING UNITS WITH PROPER INFORMATION GIVEN. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments:  6-202.15 : OBSERVED A GAP ALONG BOTTOM OF FRONT DOOR AND A DAMAGED REAR DOOR SWEEP MUST REPAIR OR REPLACE TO BE TIGHT FITTING | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  4-101.19 : MUST ELIMINATE CRATES USED TO PROP UP PREP TABLE MUST PROVIDE ADEQUATE SHELVING UNITS FOR STORAGE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-204.12 : OBSERVED NO BACKFLOW DEVICE TO BE SEEN FOR SERVICING ON ICE MACHINE MUST PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.13 : MUST REPAIR OR REPLACE MISSING & STAINED CEILING TILES,LOOSE AND DAMAGED WALL BASES ON SALES FLOOR & REAR STORAGE AREA,DAMAGED & MISSING FLOOR TILES IN PREP AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-501.13 : MUST CLEAN DEBRIS & DUST BUILD UP FROM FLOOR UNDER,AROUND AND ALONG WALL BASES IN PREP ,DISH ,WALK IN COOLER AND SALES FLOOR AREAS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-501.114 : MUST ELEVATE,REMOVE AND ORGANIZE ARTICLES OFF OF FLOOR IN REAR STORAGE AREA FROM SHELVING UNITS  | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13 : OBSERVED NO FOOD HANDLERS TRAINING FOR EMPLOYEE MUST PROVIDE AND MAINTAIN.",41.7723096322429,-87.6635403242408,REEMYS FOOD MARKET TOBACCO,1548 W MARQUETTE RD,POINT (-87.6635403242408 41.7723096322429),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,,,
Right Price Food Inc.,5508 S Ashland Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60636.0,2012-07-09,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: RAW WOOD STORAGE SHELVES AND DOOR FRAMES THRU-OUT. SEAL/PAINT SAME WITH NON-TOXIC PAINT. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: PROVIDE WALLBASE IN TOILET ROOM. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: THERMOMETER MISSING IN COOLER. REPLACE SAME.",41.7933488471862,-87.6647143555539,RIGHT PRICE FOOD INC,5508 S ASHLAND AVE,POINT (-87.6647143555539 41.7933488471862),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,,,
Saveway Supermarket,1632 W 63Rd St,TRUE,FALSE,FALSE,CHICAGO,IL,60636.0,2013-12-12,Out Of Business,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: REPLACE MISSING/DAMAGED FLOOR TILES WHERE NECESSARY. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: REPLACE/REPAIR WEATHER DAMAGED CEILING TILES WHERE NECESSARY. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: REPLACE MISSING LIGHT SHIELD AT CEILING ABOVE MEAT DISPLAY COOLER. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: REMOVE CLUTTER AND UNNECESSARY ARTICLES AT REAR STORAGE CLOSET, ORGANIZE AND MAINTAIN AT ALL TIMES.",41.7795437608936,-87.6655225851676,SAVEWAY SUPERMARKET,1632 W 63RD ST,POINT (-87.6655225851676 41.7795437608936),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,,,
Taylor'S Market,1424 W 61St St,TRUE,FALSE,FALSE,CHICAGO,IL,60636.0,2013-01-15,Pass,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: OBSERVED CONSTRUCTION SUPPLIES ON FLOORS IN BASEMENT AREA.",41.7832709325304,-87.66060264181,TAYLORS MARKET,1424 W 61ST ST,POINT (-87.66060264181 41.7832709325304),66.0,WEST ENGLEWOOD,87947691.9478,67.0,67.0,40195.2033069,,,,
