DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES,Action,Notes
A & J Grocery,6406 N Claremont Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60645.0,2011-08-08,Out Of Business,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN IN DETAIL THE WASHBOWL SINK AND AND THE 3 COMPT SINK. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST CLEAN IN DETAIL THE FLOOR UNDER THE PALLETS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST REMOVE THE PEELING PAINT ON THE WALLS INSIDE THE WASHROOM.",41.9980082543106,-87.68881990085,A J GROCERY,6406 N CLAREMONT AVE,POINT (-87.68881990085 41.9980082543106),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,,,
Al-Amin Grocery,6403 N Artesian Ave,TRUE,FALSE,TRUE,CHICAGO,IL,60645.0,2025-02-18,Pass,"40. PERSONAL CLEANLINESS - Comments: ALL FOOD HANDLERS MUST WEAR EFFECTIVE HAIR RESTRAINT INCLUDING BEARD RESTRAINT.  | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: PREP AREA WIPING CLOTHS MUST BE HELD IN A CONTAINER WITH A SANITIZING SOLUTION BETWEEN USE. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST NOT USE PLASTIC GROCERY BAGS AS FOOD CONTAINERS IN COOLERS AND FREEZERS. MUST USE FOOD GRADE DISPOSABLE BAGS OR WASHABLE CONTAINERS. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST NOT USE MILK CRATES AS A MEANS OF ELEVATION FOR STORED ITEMS THROUGHOUT THE FACILITY INCLUDING INSIDE THE WALK-IN COOLER AND FREEZER.",41.997858852382,-87.6909619346818,ALAMIN GROCERY,6403 N ARTESIAN AVE,POINT (-87.6909619346818 41.997858852382),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,,,
Aldi Inc # 62,6220 N California Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60659.0,2023-09-08,Pass,,41.9946209587747,-87.699686862371,ALDI INC 62,6220 N CALIFORNIA AVE,POINT (-87.699686862371 41.9946209587747),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,,,
Anmol Meat & Grocery,2906-2910 W Devon Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60659.0,2022-01-11,Pass,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE THERMOMETER VISIBLE INSIDE WALK-IN COOLER. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: INSTRUCTED TO RODENT PROOF BOTTOM OF FRONT ENTRANCE DOOR AND BOTTOM DOOR OF PRODUCE WALK-IN COOLER IN REAR AREA. | 44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments: NOTED KIFE STORED INBETWEEN WALL AND 3 COMPARTMENT SINK. INSTRUCTED TO PROVIDE (MAGNETIC) KNIFE RACK FOR PROPER KNIFE STORAGE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: BACKFLOW PREVENTER DEVICE NOT LOCATED AT MOPSINK.                 INSTRUCTED TO INSTALL SO THAT IT CAN BE LOCATED TO BE SERVICED AND MAINTAINED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO REPLACE MISSING CEILING TILE INSIDE EMPLOYEE WASHROOM. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN AND MAINTAIN WALL WITH DRIED SPILLAGE BEHIND/ABOVE 3 COMPARTMENT SINK.",41.9976208212622,-87.7023932524334,ANMOL MEAT GROCERY,29062910 W DEVON AVE,POINT (-87.7023932524334 41.9976208212622),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,,,
Ashar International Market,5723 N California Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60659.0,2023-06-08,Out Of Business,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND UNUSED ELECTRIC OVEN AT REAR OF STORE THAT MUST BE REMOVED. MUST REMOVE.",41.9857175874769,-87.6990964296331,ASHAR INTERNATIONAL MARKET,5723 N CALIFORNIA AVE,POINT (-87.6990964296331 41.9857175874769),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,,,
Cermak Fresh Market,6623 N Damen Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60645.0,2024-10-15,Pass,,42.002223375062100,-87.6801288279813,CERMAK FRESH MARKET,6623 N DAMEN AVE,POINT (-87.6801288279813 42.002223375062094),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,,,
Chin Lan Asian Food Market,2515 W Peterson Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60659.0,2019-10-03,Pass,,41.9903687224566,-87.6927982885938,CHIN LAN ASIAN FOOD MARKET,2515 W PETERSON AVE,POINT (-87.6927982885938 41.9903687224566),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,,,
City Fresh Market,3201 W Devon Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60659.0,2024-11-15,Pass W/ Conditions,"15. FOOD SEPARATED AND PROTECTED - Comments: OBSERVED RAW ANIMAL ORIGIN EGGS BEING STORED ON TOP SHELVING ABOVE TWO CAKES(READY TO EAT PRODUCTS)IN THE BASEMENT WALK-IN COOLER.ONE CAKE HAD UNKNOWN PARTICLES ON TOP  INSTRUCTED TO PROPERLY STORE ALL FOODS PROTECTED. MANAGEMENT REMOVED EGGS. PRIORITY VIOLATION 7-38-005.  CITATION ISSUED. | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: SPLASH GUARD IS NEEDED BETWEEN  HANDWASHING SINK  AND PREP COUNTER AT  DELI SURFACE MUST BE SMOOTH,CLEANABLE AND NON-ABSORBENT SURFACE. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: MUST STORE WIPING CLOTHS IN PREP AREAS IN SANITIZER BUCKET BETWEEN USES TO PREVENT CROSS CONTAMINATION. INSTRUCTED TO MAINTAIN. | 44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments:  MUST NOT STORE CLEAN CUTTING BOARD ON THE BACK-SPLASH OF THE THREE COMPARTMENT SINK. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  CONDENSER UNIT INSIDE THE WALK-IN COOLER IN BASEMENT, PIPE IS LEAKING.INSTRUCTED TO REPAIR. NO FOOD UNDER THE UNIT. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  BROKEN RUBBER GASKET  AT DOOR INSIDE WALK-IN FREEZER IN BASEMENT AREA.REPLACE    | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  MUST NOT USE MILK CRATES AS A MEANS OF ELEVATION FOR STORED ITEMS THROUGHOUT THE PREMISES | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: FOUND NO SANITIZING SOLUTION (EMPTY BOTTLES) AT THREE COMPARTMENT SINK IN THE KITCHEN, AND MEAT DEPARTMENT(PREP AREA), OBSERVED EMPLOYEE USING UNITS.UPON MY REQUEST SANITIZING SOLUTION WAS PROVIDED ON BOTH SAID SINK. PRIORITY FOUNDATION VIOLATION 7-38-005 CITATION ISSUED | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  MUST NOT USE CARDBOARD AS LINER FOR SHELVING THROUGHOUT,ALSO REMOVE ALUMINUM FOIL ON SHELVES,COOKING EQUIPMENT DELI ETC.  MUST BE SMOOTH AND CLEANABLE SURFACE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments:  MUST NOT USE RAW WOOD AS A MEANS OF ELEVATION UNDER PREP TABLE IN THE KITCHEN ACCROSS FROM THREE COMPARTMENT SINK. MUST PROVIDE A NON-ABSORBENT MATERIAL. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments:  MUST PROVIDE COVER FOR RECEPTACLES INSIDE UNISEX WASHROOMS AND WOMEN'S WASHROOM | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  MUST NOT USE CARDBOARD BOXES AS MATTING FOR FLOORS UNDER COOKIG EQUIPMENT?FRYER. MATTING MUST BE WASHABLE/CLEANABLE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: DEBRIS ON FLOOR THROUGHOUT THE KITCHEN, WALK-IN COOLERS AND FREEZERS,ALSO THROUGHOUT BASEMENT STORAGE AREA.  . | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: BROKEN/HOLES ON WALLS INSIDE THE STAFF WASHROOM.BEHIND TOILET BOWL IN BASEMENT AREA.  MISSING CEILING TILES IN THE KICHEN(BASEMENT) ABOVE PREP TABLES.MUST REPLACE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: EMPLOYEES BAG,SWEATER ETC STORED AT  PREP  DELI AREA ,INSTRUCTED TO PROVIDE A SEPARATE AREA/LOCKER FOR EMPLOYEE PERSONAL ITEMS. NO EMPLOYEE PERSONAL ITEMS MUST BE STORED IN PREP AREA,PROVIDE A LOCKER ROOM. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments:  ADDITIONAL FOOD HANDLER TRAINING CERTIFICATE IS REQUIRED ON SITE,INSTRUCTED TO PROVIDE",41.9972784744174,-87.7094073571778,CITY FRESH MARKET,3201 W DEVON AVE,POINT (-87.7094073571778 41.9972784744174),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,,,
"Daallo Meat & Grocery, Inc",2742 W Devon Ave,TRUE,FALSE,TRUE,CHICAGO,IL,60659.0,2021-12-22,Pass,10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.14-OBSERVED NO EMPLOYEE HAND WASHING SIGNAGE AT HAND SINK AT BUTCHER PREP AREA. MUST PROVIDE.,41.997682115657,-87.6989131591067,DAALLO MEAT GROCERY INC,2742 W DEVON AVE,POINT (-87.6989131591067 41.997682115657),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,,,
Delobian Foods Market,7424 N Western Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60645.0,2017-11-27,Pass W/ Conditions,"1. SOURCE SOUND CONDITION, NO SPOILAGE, FOODS PROPERLY LABELED, SHELLFISH TAGS IN PLACE - Comments: NOTED LIVE INSECTS ACTIVITY INSIDE BAGS OF LOCAL RICE AND AFRICAN YAM FLOUR PRODUCTS STORED AT THE REAR DRY STORAGE AREA. ALSO NOTED SAME INSECTS ON THE FLOOR AND SHELF AROUND BAGS. MANAGER IMMEDIATELY AND VOLUNTARILY DISPOSED OF 140 LBS OF PRODUCTS WORTH $100.00 THROUGH DENATURING PROCESS.INSTRUCTED TO MONITORS FOOD ITEMS.  CRITICAL VIOLATION #7-38-005(A)	 | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: INSTRUCTED TO REPAIR CRACK FLOOR TILE AT THE REAR BY THE REFRIGERATION UNITS. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: NOTED STAINED CEILING TILES AT THE REAR DRY STORAGE. INSTRUCTED TO CLEAN, REPAIR AND MAINTAIN.",42.0154026285731,-87.6900694530959,DELOBIAN FOODS MARKET,7424 N WESTERN AVE,POINT (-87.6900694530959 42.0154026285731),1.0,WEST RIDGE,98429094.8621,2.0,2.0,43020.6894583,,,,
