DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES,Action,Notes
Aldi Inc #64,1753 N Milwaukee Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60647.0,2024-11-01,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND FLOORS NOT CLEAN BY REAR INDOOR COMPACTOR AREAS.MUST CLEAN.",41.9133424682325,-87.6818224808126,ALDI INC 64,1753 N MILWAUKEE AVE,POINT (-87.6818224808126 41.9133424682325),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,,
Ashland Market,1051-1053 N Ashland Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60622.0,2020-06-17,Pass W/ Conditions,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE OWNER KEEPS HIS NON-SERVICE DOG IN THE STORE, INSTRUCTED MANAGER NOT TO ALLOW ANY LIVE ANIMAL IN FACILITY OTHER THAN SERVICE ANIMALS PRIORITY FOUNDATION VIOLATION. NO CITATION ISSUED.",41.9011921663376,-87.6672867252574,ASHLAND MARKET,10511053 N ASHLAND AVE,POINT (-87.6672867252574 41.9011921663376),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,,
Carniceria Guanjuato #3,1436 N Ashland Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60622.0,2024-12-02,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED THE CUTTING BOARD IN THE RESTURAUNT SIDE WITH DEEP GROOVES AND BADLY DENTED IN.  INSTRUCTED THAT THEY MUST REPLACE THE CUTTING BOARD AS A MEANS OF PREVENTING POSSIBLE CROSS CONTAMINATION OF FOODS.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE LOWER REACH IN UNITS IN THE COOKING SIDE WITH A BUILD UP OF FOOD DEBRIS ON THE FLOOR BOTTOM AND IN THE GROOVES OF THE DOOR GASKETS.",41.9081153739375,-87.6677638335029,CARNICERIA GUANJUATO 3,1436 N ASHLAND AVE,POINT (-87.6677638335029 41.9081153739375),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,,
Cermak Produce No.4,2701 W North Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60647.0,2024-08-09,Pass,,41.910132240414300,-87.6946003938662,CERMAK PRODUCE NO4,2701 W NORTH AVE,POINT (-87.6946003938662 41.910132240414306),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,,
Farmers Pride Produce,756 N Western Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60612.0,2024-07-22,Pass,37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: 3-602.11  OBSERVED PREPACKAGED FRUITS STORED IN THE PREP COOLER NOT LABELED WITH THE NAME AND ADDRESS OF THE FACILITY. MANAGEMENT INSTRUCTED TO LABEL ALL PREPAPACKAGED FOODS PROPERLY.,41.8956320521575,-87.6869868676061,FARMERS PRIDE PRODUCE,756 N WESTERN AVE,POINT (-87.6869868676061 41.8956320521575),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,,
Green Grocer Chicago,1402 W Grand Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60642.0,2024-10-31,Pass,,41.8911361775635,-87.6624294283033,GREEN GROCER CHICAGO,1402 W GRAND AVE,POINT (-87.6624294283033 41.8911361775635),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,,
Jewel Food Store #3241,1341 N Paulina St,FALSE,TRUE,TRUE,CHICAGO,IL,60622.0,2025-04-22,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RACKS IN DELI AREA WALK IN COOLER WITH AN ACCUMULATION OF RUST AND DEBRIS BUILD UP. INSTRUCTED TO CLEAN AND REPAINT RACKS OR REPLACE RACKS.",41.906243703085,-87.6698622812847,JEWEL FOOD STORE 3241,1341 N PAULINA ST,POINT (-87.6698622812847 41.906243703085),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,,
Jewel Food Store #3376,370 N Desplaines St,FALSE,TRUE,TRUE,CHICAGO,IL,60661.0,2024-11-14,Pass W/ Conditions,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: Observed a puppy dog with a customer walking between food Isles, employees did not ask customer if the dog is a service animal, instructed manager not to allow dogs in store other than service animals. priority foundation violation 7-38-020. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: Only one sink stopper available at raw meat  3-comp sink, instructed to provide additional ones for proper utensils washing and sanitizing | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: Drip pan not draining at the Basement's walk-in cooler for condensating water, Instructed to repair and maintain.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Walls in basement  raw meat processing room in poor repair, walls are concaving and detached from walls, instructed to mount properly.",41.8889181735603,-87.6444779729297,JEWEL FOOD STORE 3376,370 N DESPLAINES ST,POINT (-87.6444779729297 41.8889181735603),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,,
Mariano'S #8527 Ukranian Village,2021 W Chicago Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60622.0,2025-03-19,Pass,,41.895785229598,-87.6779308925923,MARIANOS 8527 UKRANIAN VILLAGE,2021 W CHICAGO AVE,POINT (-87.6779308925923 41.895785229598),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,,
Municipal Foods,2559 W Division St,FALSE,TRUE,TRUE,CHICAGO,IL,60622.0,2022-06-03,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  OBSERVED CLUTTER STORED ON FLOOR NEAR IN REAR STORAGE AREA, HALLWAY, NEAR DOCK AREA AND REAR STAFF LOUNGE. INSTRUCTED MANAGER TO REMOVE ALL UNUSED ARTICLES AND EQUIPMENT TO PREVENT PEST HARBORAGE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  OBSERVED GREASE BUILDUP, FOOD DEBRIS, AND DIRT ON FLOOR UNDER COOKING EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN PREP, AND STORAGE AREAS. INSTRUCTED MANAGER TO CLEAN FLOORS UNDER ALL EQUIPMENT, ALONG WALLS AND IN ALL CORNERS IN ALL AREAS. OBSERVED DUST BUILDUP ON LIGHT SHIELDS IN COOKING AREA AND CEILING AND WALL VENTS IN PREP AND STORAGE AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN ALL FANS, LIGHT SHIELDS AND CEILING/WALL VENTS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  OBSERVED WATER STAINED CEILING TILES IN THE REAR STORAGE, DELI AND BACK OFFICE AREA. INSTRUCTED TO REPLACE THE STAINED CEILING TILES.",41.9028592342106,-87.6918885843129,MUNICIPAL FOODS,2559 W DIVISION ST,POINT (-87.6918885843129 41.9028592342106),23.0,WEST TOWN,127562904.597,24.0,24.0,55203.7186956,,,,
