DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Supermercado Rivera Inc.,4334-4338 W 51St St,FALSE,TRUE,TRUE,CHICAGO,IL,60632.0,2024-09-19,Pass,,41.8005853774409,-87.7320860841275,SUPERMERCADO RIVERA INC,43344338 W 51ST ST,POINT (-87.7320860841275 41.8005853774409),56.0,ARCHER HEIGHTS,55922505.7212,57.0,57.0,31880.0210295,,
Sweetdreams Cake Supplies Inc.,4059 W 47Th St Ste 4,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2022-07-27,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: Inspector Comments: MUST OBTAIN AND MAINTAIN A VOMIT AND DIARRHEA CLEAN UP KIT. (PRIORITY FOUNDATION VIOLATION 7-38-005) | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Inspector Comments: INSTRUCTED TO ELEVATE ITEMS OFF OF FLOOR IN UTILITY ROOM AND NEXT TO FREEZER, MAINTAIN.",41.8077320413866,-87.7259680261449,SWEETDREAMS CAKE SUPPLIES INC,4059 W 47TH ST STE 4,POINT (-87.7259680261449 41.8077320413866),56.0,ARCHER HEIGHTS,55922505.7212,57.0,57.0,31880.0210295,,
Dunajec Inc,5060 S Archer Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2021-10-13,Out Of Business,,41.8012668867269,-87.7269192477888,DUNAJEC INC,5060 S ARCHER AVE,POINT (-87.7269192477888 41.8012668867269),56.0,ARCHER HEIGHTS,55922505.7212,57.0,57.0,31880.0210295,,
World'S Finest Chocolate Inc.,4319 S Pulaski Rd,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2020-06-19,Pass,57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments:  2-102.13: NO FOOD HANDLER TRAINING FOR EMPLOYEES. INSTD TO OBTAIN TRAINING AND MAINTAIN VERIFICATION,41.814596358647900,-87.7236920943091,WORLDS FINEST CHOCOLATE INC,4319 S PULASKI RD,POINT (-87.7236920943091 41.814596358647904),56.0,ARCHER HEIGHTS,55922505.7212,57.0,57.0,31880.0210295,,
Gold Coast Car Wash&Oil Change,4815 S Archer Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2020-06-19,Pass,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11: NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION 7-38-005.  | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments:  2-102.13: NO FOOD HANDLER TRAINING FOR EMPLOYEES. INSTD TO OBTAIN TRAINING AND MAINTAIN VERIFICATION,41.805830857573,-87.7174666731224,GOLD COAST CAR WASHOIL CHANGE,4815 S ARCHER AVE,POINT (-87.7174666731224 41.805830857573),56.0,ARCHER HEIGHTS,55922505.7212,57.0,57.0,31880.0210295,,
Archer B. P.,4710 S Archer Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2020-06-08,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments:  2-102.14(O): NO EMPLOYEE HEALTH POLICY IN PLACE. INSTD TO PROVIDE A VERIFIABLE EMPLOYEE ACKNOWLEDGED HEALTH POLICY AND MAINTAIN. PRIORITY FOUNDATION. 7-38-010 | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 5-204.11: NO HANDWASH SINK IN WAREWASHING AREA WHERE 3-COMPARTMENT SINK LOCATED. INSTD TO PROVIDE HANDWASH SINK UNDER CITY PLUMBING (100F-120F) IN SAME AREA. PRIORITY FOUNDATION 7-38-030(C)   | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13: NO FOOD HANDLER TRAINING FOR ALL EMPLOYEES. INSTD TO OBTAIN TRAINING AND MAINTAIN VERIFICATION FOR ALL EMPLOYEES.",41.8080130051881,-87.7143796234157,ARCHER B P,4710 S ARCHER AVE,POINT (-87.7143796234157 41.8080130051881),56.0,ARCHER HEIGHTS,55922505.7212,57.0,57.0,31880.0210295,,
Pulaski Food & Discount,4614-4618 S Pulaski Rd,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2020-05-13,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION 7-38-005.   | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HAND DRYING PROVISION (PAPER TOWELS) AT HANDWASH SINKS IN TOILET ROOM. INSTD TO PROVIDE AT ALL TIMES. PRIORITY FOUNDATION 7-38-030(c).    | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: MISSING FOOD TEMPERATURE MEASURING DEVICE. INSTD TO PROVIDE AND MAINTAIN SAME. PRIORITY FOUNDATION 7-38-005 | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: REAR EXIT DOOR NOT RODENT PROOF, DUCT TAPE AT BOTTOM OF DOOR. INSTD TO RODENT PROOF DOOR WITH PROPER MATERIAL AND HAVE TIGHT FITTING | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MISSING COVERED RECEPTACLE IN TOILET ROOM. INSTD TO PROVIDE AND MAINTAIN.",41.8092129248302,-87.7237801596567,PULASKI FOOD DISCOUNT,46144618 S PULASKI RD,POINT (-87.7237801596567 41.8092129248302),56.0,ARCHER HEIGHTS,55922505.7212,57.0,57.0,31880.0210295,,
El Rodeo Super Mercado,4101 W 47Th St,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2017-03-21,Out Of Business,,41.8077304081017,-87.7260904940538,EL RODEO SUPER MERCADO,4101 W 47TH ST,POINT (-87.7260904940538 41.8077304081017),56.0,ARCHER HEIGHTS,55922505.7212,57.0,57.0,31880.0210295,,
Milano'S Meats & Produce,4718 S Pulaski Rd,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2014-06-30,Out Of Business,,41.8072738930509,-87.7237147648604,MILANOS MEATS PRODUCE,4718 S PULASKI RD,POINT (-87.7237147648604 41.8072738930509),56.0,ARCHER HEIGHTS,55922505.7212,57.0,57.0,31880.0210295,,
Supermercado Rivera Inc.,4334 W 51St St,FALSE,TRUE,TRUE,CHICAGO,IL,60632.0,2013-10-21,Out Of Business,,41.8005853774409,-87.7320860841275,SUPERMERCADO RIVERA INC,4334 W 51ST ST,POINT (-87.7320860841275 41.8005853774409),56.0,ARCHER HEIGHTS,55922505.7212,57.0,57.0,31880.0210295,,
