DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Great Wall Gifts And Grocery,2806 S Wentworth Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60616.0,2024-05-30,Out Of Business,,41.842375576238,-87.6319361342811,GREAT WALL GIFTS AND GROCERY,2806 S WENTWORTH AVE,POINT (-87.6319361342811 41.842375576238),33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,
J Freshmart,2411 S Wallace St,FALSE,TRUE,TRUE,CHICAGO,IL,60616.0,2023-09-22,Pass,,41.848945134619500,-87.6420905972054,J FRESHMART,2411 S WALLACE ST,POINT (-87.6420905972054 41.848945134619505),33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,
Tea King Garden Co.,2243 S Wentworth Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60616.0,2023-04-03,Out Of Business,,41.8516492338834,-87.6318383233022,TEA KING GARDEN CO,2243 S WENTWORTH AVE,POINT (-87.6318383233022 41.8516492338834),33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,
Sea Cucumber City,247 W Cermak Rd,TRUE,FALSE,FALSE,CHICAGO,IL,60616.0,2022-12-21,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11 OBSERVED NO ADEQUATE SUPPLIES ON SITE FOR VOMIT AND DIARRHEA CLEAN UP. INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION 7-38-005. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: 3-601.11 OBSERVED SOME DRY FOOD PRODUCTS WITHOUT PROPER LABELS IDENTIFYING PRODUCT, NOTED SOME PACKAGES WITH ""MISC ITEM"" ON THE LABEL AND THE PACKAGE IN CHINESE. INSTRUCTED TO PROPERLY IDENTIFY ITEMS WITH ACCURATE NAME OF PRODUCT ON THE LABEL. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-203.13 OBSERVED NO UTILITY SINK AVAILABLE ON THE PREMISES. INSTRUCTED TO PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.13 OBSERVED WALLS NOT COVED IN THE TOILET ROOM AND THERE IS A ONE INCH GAP BETWEEN THE WALL AND THE FLOOR. INSTRUCTED TO MAKE TIGHT FITTING ANF PROVIDE COVING.",41.8527166342235,-87.6338567236615,SEA CUCUMBER CITY,247 W CERMAK RD,POINT (-87.6338567236615 41.8527166342235),33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,
Mayflower Food,2104-2108 S Archer Ave Unit A,FALSE,TRUE,FALSE,CHICAGO,IL,60616.0,2022-08-16,Out Of Business,,41.8542653039159,-87.6321895067634,MAYFLOWER FOOD,21042108 S ARCHER AVE UNIT A,POINT (-87.6321895067634 41.8542653039159),33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,
Snack Station,2002 S Wentworth,TRUE,FALSE,FALSE,CHICAGO,IL,60616.0,2022-05-12,Pass,,41.855281703774,-87.6319926422941,SNACK STATION,2002 S WENTWORTH,POINT (-87.6319926422941 41.855281703774),33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,
Wing Lee Co,2246 S Wentworth Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60616.0,2021-12-01,Out Of Business,,41.8515439239467,-87.6321297298933,WING LEE CO,2246 S WENTWORTH AVE,POINT (-87.6321297298933 41.8515439239467),33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,
Rong Shing Trading,2112 S Archer Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60616.0,2021-06-22,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11 OBSERVED NO WRITTEN PROCEDURE OR ADEQUATE SUPPLIES ON SITE TO PROPERLY RESPOND TO VOMIT AND DIARRHEA EVENTS THAT CAN POTENTIALLY OCCUR INSIDE OF THE FACILITY. INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION 7-38-005.,41.8541279732427,-87.6324733990682,RONG SHING TRADING,2112 S ARCHER AVE,POINT (-87.6324733990682 41.8541279732427),33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,
"Loco Savings, Inc.",224 W 31St St,TRUE,FALSE,FALSE,CHICAGO,IL,60616.0,2020-12-16,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE NOR A CLEAN UP KIT FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS ON SITE. INSTRUCTED TO PROVIDE AND MAINTAIN BOTH. PRIORITY FOUNDATION VIOLATION 7-38-005 NO CITATION ISSUED | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: THE VENTILATION IN THE TOILET ROOM IS NOT WORKING. INSTRUCTED TO FIX AND MAINTAIN.,41.8383313733737,-87.6327427028918,LOCO SAVINGS INC,224 W 31ST ST,POINT (-87.6327427028918 41.8383313733737),33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,
Oberois Indian Food & Grocery Inc.,255 W 31St St,FALSE,TRUE,FALSE,CHICAGO,IL,60616.0,2018-06-20,Out Of Business,,41.8380981211101,-87.6338718325893,OBEROIS INDIAN FOOD GROCERY INC,255 W 31ST ST,POINT (-87.6338718325893 41.8380981211101),33.0,ARMOUR SQUARE,27766196.0954,34.0,34.0,31948.5988398,,
