DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Falcon Fuel,7858 S Western Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60620.0,2024-12-30,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.11  MUST PROVIDE SINK STOPPERS FOR 3- COMPARTMENT SINK. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C)  MUST CLEAN DEBRIS & DUST BUILD UP FROM WALK IN COOLER, SHELVING UNITS, DRINK SLEEVES, SERVICE COUNTER SHELVING UNITS. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: 5-501.115 Inspector Comments: MUST REMOVE UNNECESSARY ARTICLES FROM OUTSIDE GARBAGE CORRAL AND LEAVES FROM GROUND CLEAN AND MAINTAIN AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.13  MUST REPAIR OR REPLACE DAMAGED FLOOR TILES BEHIND SERVICE COUNTER, STAINED CEILING TILES ON SALES FLOOR, OPENINGS IN WALLS UNDER REAR HAND SINK AND 3- 3-COMPARTMENT SINK IN DISH WASHING AREA AND BEHIND TOILET. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.13  MUST CLEAN DEBRIS AND DUST BUILD UP FROM FLOOR UNDER, AROUND, ALONG WALL BASES ON SALES FLOOR, WALK IN COOLER, REAR STORAGE AREA. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13  OBSERVED NO FOOD HANDLERS TRAINING FOR EMPLOYEES MUST PROVIDE AND MAINTAIN.",41.7501917279248,-87.6829967215591,FALCON FUEL,7858 S WESTERN AVE,POINT (-87.6829967215591 41.7501917279248),69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317,,
8245 Kedzie Mart,8245 S Kedzie Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60652.0,2024-12-27,Pass,,41.7429852521848,-87.7020642848133,8245 KEDZIE MART,8245 S KEDZIE AVE,POINT (-87.7020642848133 41.7429852521848),69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317,,
80  Armanetti Liqours,8010 S Kedzie Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60652.0,2022-10-14,Pass,,41.7476158378868,-87.7024796621383,80 ARMANETTI LIQOURS,8010 S KEDZIE AVE,POINT (-87.7024796621383 41.7476158378868),69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317,,
Kwik Mart Inc,4047 W 79Th St,TRUE,FALSE,FALSE,CHICAGO,IL,60652.0,2020-08-07,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSWRVED NO EMPLOYEE PROCEDURE FOR VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE WITH ALL THE NECESSARY ITEMS INPOLICY INCLUDING DISPOSABLE GLOVES, FACE MASK, DISPOSABLE MOP AND APPROPRIATE SANITIZER FOR NOROVIRUS. PRIORITY FOUNDATION | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SINK LOCATION IN 3- COMPARTMENT SINK AREA. INSTRUCTED TO INSTALL WITH SOAP AND TOWEL DEVICE.PRIORITY FOUNDATION | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED STORAGE SHELVING UNITS INSIDE OF WALK IN COOLER NOT CLEAN OF DEBRIS. INSTRUCTED TO CLEAN/MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO BACKFLOW PREVENTER DEVICE ON MOP SINK FAUCET. MUST INSTALL.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOORS NOT CLEAN OF DEBRIS BEHIND PACKAGED CHIP STAND AT WINDOW. INSTRUCTED TO CLEAN/MAINTAIN.",41.7492940125151,-87.7238522903057,KWIK MART INC,4047 W 79TH ST,POINT (-87.7238522903057 41.7492940125151),69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317,,
"S & H Convenient Store,Inc.",3352 W 79Th St,TRUE,FALSE,FALSE,CHICAGO,IL,60652.0,2020-07-15,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED UNCLEAN SHELVES OF DEBRIS INSIDE COOLER, RACKS INSIDE COOLER AND POP SHELVING UNIT. INSTRUCTED TO CLEAN/ MAINTAIN.",41.7499098721164,-87.7069683456674,S H CONVENIENT STOREINC,3352 W 79TH ST,POINT (-87.7069683456674 41.7499098721164),69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317,,
Lucky Mart,2900 W 87Th St,TRUE,FALSE,FALSE,CHICAGO,IL,60652.0,2020-06-18,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO EMPLOYEE PROCEDURE FOR CLEAN UP FOR VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE WITH ALL THE NECESSARY ITEMS INCLUDING DISPOSABLE GLOVES, FACE MASK, DISPOSABLE MOP WITH APPROPRIATE SANITIZER TO KILL THE NOROVIRUS. PRIORITY FOUNDATION. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CEILING TILES  DAMAGED IN MOP ROOM. INSTRUCTED TO REPLACE.",41.7354282095845,-87.6947814949046,LUCKY MART,2900 W 87TH ST,POINT (-87.6947814949046 41.7354282095845),69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317,,
More & More Candy Store,8250 S Kedzie Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60652.0,2019-09-19,No Entry,,41.742812220652300,-87.7023526827231,MORE MORE CANDY STORE,8250 S KEDZIE AVE,POINT (-87.7023526827231 41.742812220652304),69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317,,
The Honey Baked Ham,8105 S Cicero Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60652.0,2019-04-29,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED APPROX 1/4 IN. GAP AT THE BOTTOM OF THE FRONT DOUBLE DOORS, AND 1/4 IN GAP AT THE BOTTOM LEFT HAND SIDE OF THE RECEIVING DOUBLE DOORS IN THE REAR AREA. INSTRUCTED THAT DOORS SHOULD BE TIGHT FITTING TO PREVENT PEST HARBORAGE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOORS THROUGHOUT THE FACILITY IN POOR REPAIR. INSTRUCTED THAT FLOORS SHOULD BE SMOOTH AND EASILY CLEANABLE, AND MAINTAIN.",41.7454144247178,-87.7410805149297,THE HONEY BAKED HAM,8105 S CICERO AVE,POINT (-87.7410805149297 41.7454144247178),69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317,,
Abarrotes El Jinete,3776 W 79Th St,TRUE,FALSE,FALSE,CHICAGO,IL,60652.0,2017-12-11,Out Of Business,,41.7497502007653,-87.7173270106382,ABARROTES EL JINETE,3776 W 79TH ST,POINT (-87.7173270106382 41.7497502007653),69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317,,
Gee Jays,8550 -8558 S Pulaski Rd,TRUE,FALSE,FALSE,CHICAGO,IL,60652.0,2013-07-10,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: FRONT BEER COOLER EXCESSIVE ICE AT COMPRESSORS NEED TO REMOVE AND REPAIR. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: REMOVE STANDING WATER FROM FRONT WINE COOLER. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: REMOVE WATER INSIDE LIGHT SHIELD FRONT BEER KEG COOLER.",41.7369653212892,-87.721652118145,GEE JAYS,8550 8558 S PULASKI RD,POINT (-87.721652118145 41.7369653212892),69.0,ASHBURN,135460337.208,70.0,70.0,54818.1546317,,
