DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Franks Deli & Grocery 2,1841 W 87Th St,TRUE,FALSE,FALSE,CHICAGO,IL,60620.0,2025-02-28,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C) : MUST CLEAN DEBRIS BUILD UP FROM GRILL TABLE, TABLE TOP OVEN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114 : MUST ELEVATE,REMOVE AND ORGANIZE ARTICLES OFF OF FLOOR AND AWAY FROM WALLS IN REAR STORAGE AND REAR HALLWAY.",41.7355944024503,-87.669540853794,FRANKS DELI GROCERY 2,1841 W 87TH ST,POINT (-87.669540853794 41.7355944024503),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
Save A Lot #21653,7908 S Halsted St,TRUE,FALSE,FALSE,CHICAGO,IL,60620.0,2025-01-27,Out Of Business,,41.7503223874082,-87.6441824060583,SAVE A LOT 21653,7908 S HALSTED ST,POINT (-87.6441824060583 41.7503223874082),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
Clark,8106 S Racine Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60620.0,2024-12-19,Out Of Business,,41.746594707551100,-87.6537811741079,CLARK,8106 S RACINE AVE,POINT (-87.6537811741079 41.746594707551104),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
Krj Neighborhood Store Llc,8313 S Racine Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60620.0,2024-07-03,Pass,,41.7427877336951,-87.6533842507542,KRJ NEIGHBORHOOD STORE LLC,8313 S RACINE AVE,POINT (-87.6533842507542 41.7427877336951),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
Bubbles  Treats,8052 S Ashland Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60620.0,2024-03-15,Not Ready,,41.7469722323747,-87.6634970356182,BUBBLES TREATS,8052 S ASHLAND AVE,POINT (-87.6634970356182 41.7469722323747),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
83Rd One Stop,8318 S Ashland Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60620.0,2023-10-03,Pass,,41.7424738545655,-87.6633854799856,83RD ONE STOP,8318 S ASHLAND AVE,POINT (-87.6633854799856 41.7424738545655),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
Gulf,8645-8657 S Ashland Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60620.0,2023-01-27,Out Of Business,,41.7362789520655,-87.6629299592214,GULF,86458657 S ASHLAND AVE,POINT (-87.6629299592214 41.7362789520655),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
Dena'S Food,7749 S Halsted St,TRUE,FALSE,FALSE,CHICAGO,IL,60620.0,2021-06-28,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED DEBRIS ON SHELVING UNITS IN SALES AREA. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO BACKFLOW DEVICE ON UTILITY SINK. INSTRUCTED MANAGER TO PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED OPENINGS ALONG BASEBOARDS IN WASHROOM, STORAGE, AND UTILITY AREAS. INSTRUCTED MANAGER TO SEAL OPENINGS AND MAINTAIN.",41.7528304182505,-87.6439505247547,DENAS FOOD,7749 S HALSTED ST,POINT (-87.6439505247547 41.7528304182505),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
Falcon Fuel,7902-7908 S Ashland Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60620.0,2021-05-27,Pass,54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED EXCESS LITTER AND POP CRATES ON GROUND AROUND DUMSPTER. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED VENTILATION FAN NOT OPERABLE IN WASHROOM. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN.,41.750205470353,-87.6635777861479,FALCON FUEL,79027908 S ASHLAND AVE,POINT (-87.6635777861479 41.750205470353),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
Abc Choice,7903 S Ashland,TRUE,FALSE,FALSE,CHICAGO,IL,60620.0,2020-08-21,Out Of Business,,41.7502122170197,-87.6632847593253,ABC CHOICE,7903 S ASHLAND,POINT (-87.6632847593253 41.7502122170197),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
Falcoln Fuel,8247-8259 S Halsted St,TRUE,FALSE,FALSE,CHICAGO,IL,60620.0,2020-05-28,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: Violation Codes: 2-501.11 Inspector Comments: OBSERVED NO CLEAN-UP POLICY PROCEDURE AND ITEMS FOR VOMITING AND DIARRHEA.MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-005) | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: Violation Codes: 4-501.11 Inspector Comments: MUST PROVIDE SINK STOPPERS FOR 3- COMPARTMENT SINK. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: Inspector Comments: MUST CLEAN DEBRIS BUILD UP FROM WINDOW SILLS,WALK IN COOLER -FAN GUARD COVERS,SHELVING UNITS AND SLEEVES.MUST DEFROST ICE CREAM FREEZER. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: Violation Codes: 5-501.17 Inspector Comments: MUST PROVIDE A GARBAGE CAN WITH LID IN TOILET ROOM. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Violation Codes: 6-201.11 Inspector Comments: MUST CLEAN DEBRIS AND DIRT BUILD UP FROM WALLS THROUGHOUT PREMISES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Violation Codes: 6-201.16 Inspector Comments: MUST REMOVE GRAFFITI FROM DOOR IN TOILET ROOM. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Violation Codes: 6-501.114 Inspector Comments: MUST ELEVATE,REMOVE AND ORGANIZE CLUTTER FROM ALONG WALL BASES IN REAR STORAGE AREA AND DISH WASHING AREAS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Violation Codes: 6-201.13 Inspector Comments: MUST REPAIR OR REPLACE LOOSE WALL BASE IN DISH WASHING AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: Violation Codes: 6-501.13 Inspector Comments: MUST CLEAN DEBRIS BUILD UP FROM FLOOR IN WALK IN COOLER AND REAR STORAGE AREAS",41.7437936590446,-87.6436976027491,FALCOLN FUEL,82478259 S HALSTED ST,POINT (-87.6436976027491 41.7437936590446),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
82 Discount Mart,8160 S Racine Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60620.0,2020-04-10,Out Of Business,,41.745126247535100,-87.6537406848881,82 DISCOUNT MART,8160 S RACINE AVE,POINT (-87.6537406848881 41.745126247535104),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
West Eng Chr Comm Sch Store,8302 S Carpenter St,TRUE,FALSE,FALSE,CHICAGO,IL,60620.0,2019-11-26,No Entry,,41.7431195496088,-87.6500419480296,WEST ENG CHR COMM SCH STORE,8302 S CARPENTER ST,POINT (-87.6500419480296 41.7431195496088),70.0,AUBURN GRESHAM,105065353.602,71.0,71.0,46757.7217161,,
