DBA Name,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Magic Food,60206022 W NORTH AVE,FALSE,TRUE,TRUE,6020-6022 W North Ave,CHICAGO,IL,60639.0,2025-04-02,Pass W/ Conditions,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HANDWASHING SINK INACCESSIBLE AT THE REAR/DISHWASHING AREA IN OPERABLE DUE TO IT BEING TURNED OFF. INSTRUCTED TO REPAIR OR REPLACE AND MAINTAIN. PRIORITY FOUNDATION VIOLATION 7-38-030(c)CITATION ISSUED | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND SOAP AVAILABLE AT HANDSINK IN PREP/DISWASHING AREA. INSTRUCTED TO PROVIDE HANDSOAP AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-030 (C) CITATION COMBINED WITH ABOVE | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO PAPER TOWELS AT EXPOSED HAND WASHING SINK BY THE WASHROOM AND THE WASHBOWL IN THE WASHROOM. INSTRUCTED TO MAINTAIN PAPER TOWELS AT ALL EXPOSED HAND WASHING SINKS AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-030(C). CITATION COMBINED WITH ABOVE VIOLATION.   | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED FOOD ITEMS STORED ON FLOOR IN WALK-IN COOLER. INSTRUCTED MANAGER TO ELEVATE ALL FOOD SIX INCHES OFF FLOOR.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED SOME USE OF MILK CRATES FOR ELEVATION AT THE  DISHWASHING AREA, AND DRY STORAGE AREA. INSTRUCTED NOT TO USE MILK CRATES FOR ELEVATION TO PREVENT HIDING PLACES FOR PEST. MUST PROVIDE APPROPRIATE SHELVING FOR STORAGE. ALL FOOD ITEMS MUST ALSO BE STORED 6"" AWAY FROM THE WALL  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED WASHROOM DOOR NOT SELF-CLOSING. INSTRUCTED MANAGER TO REPAIR SELF-CLOSING DEVICE ON WASHROOM DOOR.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DEBRIS ON FLOORS ALONG WALLS AND CORNERS IN UTILITY AND STORAGE AREAS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED SOME MISSING LIGHT SHIELDS. INSTRUCTED TO REPLACE | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED DIRT BUILD UP IN SOME VENT IN THE FACILITY. INSTRUCTED TO CLEAN AND MAINTAIN",41.9093567851251,-87.7761236827794,MAGIC FOOD,POINT (-87.7761236827794 41.9093567851251),24.0,AUSTIN,199254203.427,25.0,25.0,75226.4749167,FALSE,
Marathon Fuel &  Mini Mart,5201 W DIVISION ST,TRUE,TRUE,TRUE,5201 W Division St,CHICAGO,IL,60651.0,2025-03-26,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEAL SPILL KIT AND NO CORRESPONDING CLEAN UP PROCEDURE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS ON SITE AT THE TIME OF INSPECTION. INSTRUCTED FACILITY TO PROVIDE.  PRIORITY FOUNDATION VIOLATION. 7-38-005. CITATION ISSUED.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO AMBIENT AIR THERMOMETERS INSIDE REAR DISPLAY/WALK IN COOLERS. INSTRUCTED TO PROVIDE TO PROPERLY MONITOR THE AMBIENT AIR TEMPERATURE OF EQUIPMENT.  | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED IMPROPER STORAGE OF CASES OF SODA POPS, WATER AND BANANAS IN A BOX STORED ON THE FLOOR IN THE WALK-IN COOLER, STORAGE AREA AND BEHIND THE CASHIER COUNTER AREA. INSTRUCTED TO PROPERLY BY ELEVATING AT LEAST SIX INCHES FROM THE FLOOR ON RAISED SHELVING UNITS. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO TRASH CAN COVER IN THE EMPLOYEE WASHROOM. INSTRUCTED TO PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED IMPROPER STORAGE OF MOP IN THE UTILITY SINK AREA. INSTRUCTED TO STORE PROPERLY.",41.9021386350137,-87.7558329875026,MARATHON FUEL MINI MART,POINT (-87.7558329875026 41.9021386350137),24.0,AUSTIN,199254203.427,25.0,25.0,75226.4749167,FALSE,
Nicholas High Quality Meats Inc,4619 W HARRISON ST,TRUE,TRUE,TRUE,4619 W Harrison St,CHICAGO,IL,60644.0,2025-03-11,Pass,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: NOTED MISSING THERMOMETER INSIDE MEAT DISPLAY COOLER IN PREP. INSRUCTED TO PROVIDE AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED ALL MEAT COOLING UNITS IN NEED OF CLEANING TO REMOVED DRIED DEBRIS ON INTERIOR AND EXTERIOPR SURFACES OF EQUIPMENT. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED UNISEX TOILET ROOM DOOR NOT SELF CLOSING. INSTRUCTED TO PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE AMOUNTS OF DRIED FOOD DEBRIS AND TRASH BEHIND FREEZER CHEST LOCATED IN REAR PREP AREA AS WELL AS ALONGSIDE WALK IN FREEZER/STORAGE SPACE.",41.873125222131900,-87.7409157773875,NICHOLAS HIGH QUALITY MEATS INC,POINT (-87.7409157773875 41.873125222131904),24.0,AUSTIN,199254203.427,25.0,25.0,75226.4749167,FALSE,
R&M2 Food Mart,5450 W HARRISON ST,TRUE,TRUE,TRUE,5450 W Harrison St,CHICAGO,IL,60644.0,2025-02-26,Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.14 OBSERVED HANDSINKS WITHOUT HANDWASHING SIGNAGE. INSTRUCTED TO PROVIDE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-203.13 OBSERVED MOP SINK INOPERABLE DURING TIME OF INSPECTION. INTRUCTED TO REPAIR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.13	 OBSERVED BROKEN/ MISSING TILE BASE THROUGHOUT REAR UNUSED PREP AREA/STORAGE AREA THROUGHOUT. INSTRUCTED TO PROVIDE AND MAINTAIN TO PREVENT PEST BREEDING SITES. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.11 OBSERVED FLOORING IN FRONT BEHIND 3 DOOR COOLING UNITS NEAR FRONT DOOR, IN REAR GROCERY AREA UNDERNEATH DISPLAY COOLERS, NOTED DRYWALL IN DISREPAIR ALONG NORTH WALL OF STORE WHERE COOLING UNITS ARE STORED, EXCESSIVE PEELING PAINT AND HOLES IN WALL IN REAR STORAGE AREA THROUGHOUT ABOVE SHELVING RACKS. INSTRUCTED TO PROVIDE SMOOTH AND EASILY CLEANABLE WALLS AND FLOORING THROUGHOUT PREMISE. MUST MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114 OBSERVED EXCESSIVE AMOUNTS OF TRASH, UNUSED EQUIPMENT, AND MISCELLANEUS ITEMS STORED IN BACK YARD AREA THROUGHOUT. INSTRUCTED TO REMOVE ALL SAID ITEMS TO PREVENT HIDING SPACES FOR PEST. MUST MAINTAIN PREMISE | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-201.17	 OBSERVED MISSING CEILING TILES THROUGHOUT GROCERY AND REAR PREP. INSTRUCTED TO REPLACE.",41.8729758537878,-87.7614499842626,RM2 FOOD MART,POINT (-87.7614499842626 41.8729758537878),24.0,AUSTIN,199254203.427,25.0,25.0,75226.4749167,FALSE,
Safout,5401 W AUGUSTA BLVD,TRUE,TRUE,TRUE,5401 W Augusta Blvd,CHICAGO,IL,60651.0,2025-02-25,Pass,"39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED CARDBOARDS LINING THE SHELVES IN THE COLD HOLD UNIT CONTAINING DRINKS LIKE SODA POP, WATER AND JUICES. INSTRUCTED TO REMOVE/DISPOSE OF CARDBOARDS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED OPENING/HOLE ON THE WALL AT PIPES/VENTS AT THE REAR OF THE FACILITY ABOVE THE FURNACE CLOSET AREA. INSTRUCTED TO SILL/COVER OPENINGS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED IMPROPER STORAGE OF MOP IN THE REAR OF THE FACILITY NEAR THE UTILITY SINK. INSTRUCTED TO STORE MOP PROPERLY IN BETWEEN USAGE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED NO LIGHBULB COVERINGS/SHIELDING OVER LIGHTBULBS IN THE EMPLOYEE WASHROOM AND FURNACE CLOSET AREA. INSTRUCTED TO PROVIDE COVERINGS/SHIELDING",41.8984293309892,-87.7609111954894,SAFOUT,POINT (-87.7609111954894 41.8984293309892),24.0,AUSTIN,199254203.427,25.0,25.0,75226.4749167,FALSE,
Moses Butcher Shop,5057 W DIVISION ST,FALSE,TRUE,TRUE,5057 W Division St,CHICAGO,IL,60651.0,2025-02-25,Pass W/ Conditions,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HANDWASHING SINK IN REAR FOOD PREPARATION/DELI AREA NOT ACCESSIBLE WITH SMALL BUCKET OF WATER IN THE SINK. INSTRUCTED TO REMOVE AND THAT SINK MUST BE ACCESSIBLE FOR HANDWASHING ONLY.  PRIORITY FOUNDATION VIOLATION #7-38-030(C). CITATION ISSUED. | 40. PERSONAL CLEANLINESS - Comments: OBSERVED FOOD HANDLER WITH NO HAIR NET/RESTRAINT IN THE FOOD PREP/DELI AREA. INSTRUCTED TO PROVIDE. | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: OBSERVED IMPROPER STORAGE OF ICE SCOOP IN THE BACK AREA AT THE ICE MACHINE. INSTRUCTED TO STORE PROPERLY IN BETWEEN USAGE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WATER-STAINED CEILING TILE IN ISLES 3 AND MISSING CEILING TILE IN THE FRONT AREA OF THE FACILITY OVER THE CHECK OUT AREAS. INSTRUCTED TO REPLACE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED OLD/UNUSED EQUIPMENT IN AN UNUSED PART OF THE BACK FOOD PREPARATION AREA. INSTRUCTED TO REMOVE/DISCARD AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED DIRTY OVERHEAD VENTS IN ISLES 1 AND 2. INSTRUCTED TO CLEAN AND MAINTAIN.",41.9021664421014,-87.7531823487098,MOSES BUTCHER SHOP,POINT (-87.7531823487098 41.9021664421014),24.0,AUSTIN,199254203.427,25.0,25.0,75226.4749167,FALSE,
Citgo,51035117 W MADISON ST,TRUE,FALSE,TRUE,5103-5117 W Madison St,CHICAGO,IL,60644.0,2025-01-22,Pass,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED MISSING THERMOMETERS IN COOLING UNITS THROUGHOUT GROCERY. INSTRUCTED TO PROVIDE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED ALL HEAVY EQUIPMENT (COOLERS, PREP TABLES, SLICERS, PRESSURE COOKERS, AND PLUMBING FIXTURES LOCATED IN PREP AREA WITH ACCUMULATED DRIED FOOD DEBRIS AND DEAD INSECTS BUILT UP ON INTERIOR AND EXTERIOR SURFACES. INSTRUCTED TO CLEAN TO PREVENT PEST HARBORAGE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED HOT WATER NOZZLE ON WASHBOWL LOCATED IN TOILET ROOM #2 IN DISREPAIR. INSTRUCTED TO REPAIR AND MAINTAIN IN GOOD CONDITION. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOORS INSIDE WALK IN COOLER IN NEED OF CLEANING. MUST REMOVE ALL ITEMS STORED ON FLOOR AND ELEVATE AT LEAST 6 INCHES.",41.880292815356,-87.7527682825168,CITGO,POINT (-87.7527682825168 41.880292815356),24.0,AUSTIN,199254203.427,25.0,25.0,75226.4749167,FALSE,
Market Pam Tropical,5540 W NORTH AVE,TRUE,FALSE,TRUE,5540 W North Ave,CHICAGO,IL,60639.0,2025-01-14,Pass W/ Conditions,10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED HANDWASHING SINK INACCESSIBLE AT THE EMPLOYEE WASHROOM IN OPERABLE DUE TO IT LEAKING WHEN IN USE AND THE COLD WATER TURNED OFF. INSTRUCTED TO REPAIR OR REPLACE AND MAINTAIN. PRIORITY FOUNDATION VIOLATION 7-38-030(c)a. PLUMMER ARRIVED ON SITE TO FIX LEAK WHILE I WENT ON LUNCH,41.909499044958,-87.7647109791247,MARKET PAM TROPICAL,POINT (-87.7647109791247 41.909499044958),24.0,AUSTIN,199254203.427,25.0,25.0,75226.4749167,FALSE,
The Bayouk Group,5824 W DIVISION ST, TRUE,FALSE,FALSE,5824 W Division St,CHICAGO,IL,60651.0,2025-01-13,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED STAINED CEILING TILE IN THE FRONT LOBBY AREA AND REAR CLOSET AREA. INSTRUCTED TO REPLACE AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED LIGHTBULB OUT IN THE FRONT LOBBY AREA. INSTRUCTED TO REPLACE BULB AND MAINTAIN.",41.9021636153519,-87.7716665155311,THE BAYOUK GROUP,POINT (-87.7716665155311 41.9021636153519),24.0,AUSTIN,199254203.427,25.0,25.0,75226.4749167,,
T & L Convenience Store And Restaurant,5038 W MADISON ST,TRUE,FALSE,TRUE,5038 W Madison St,CHICAGO,IL,60644.0,2025-01-10,Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNAGE AT HANDSINKS. INSTRUCTED TO PROVIDE AND MAINTAIN.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED BOTH TOILET ROOM DOORS NOT SELF CLOSING. INSTRUCTED TO PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE ITEMS (UNUSED/USED EQUIPMENT, TOTES AND BOXES OF MISCELLANEUS, ITEMS STORED IN STORAGE ROOM ON 1ST FLOOR NEAR FACILITY ENTRANCE, BASEMENT ON FLOORS THROUGHOUT, UPSTAIRS OFFICE SPACE AND REAR STORAGE BY EXIT DOOR OF FACILITY. INSTRUCTED TO REMOVE ALL UNNECESARY ITEMS, PROVIDE ADEQUATE SHELVING UNITS FOR STORAGE AND ELEVATE ALL ITEMS AT LEAST 6 INCHES OFF FLOOR AND MAINTAIN PREMISE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BROKEN AND CRUMBLED WALL ON RIGHT SIDE OF FRONT DOOR ENTRANCE INSTRUCTED TO ENCLOSE TO PREVENT PEST ENTRY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SMALL GAP BETWEEN THE WALL AND FLOOR THROUGHOUT PREP AREAS INSTRUCTED TO PROVIDE WALL BASE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED MISSING BULBS IN REAR PREP/STORAGE AREA THROUGHOUT. INSTRUCTED TO PROVIDE AND MAINTAIN.",41.880525101359,-87.7517400897556,T L CONVENIENCE STORE AND RESTAURANT,POINT (-87.7517400897556 41.880525101359),24.0,AUSTIN,199254203.427,25.0,25.0,75226.4749167,FALSE,
