DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
J J Mini Store,3343 N Pulaski Rd,TRUE,FALSE,FALSE,CHICAGO,IL,60641.0,2025-03-25,Pass,51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED DRAINPIPE LEAKING UNDER SINK IN CUST THREE-COMPARTMENT SINK IN REAR WAREWASHING AREA. INSTRUCTED TO REPAIR LEAKING DRAINPIPE.,41.9422241656108,-87.7271320000302,J J MINI STORE,3343 N PULASKI RD,POINT (-87.7271320000302 41.9422241656108),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
"Belmont Haus, Llc",3008 W Belmont Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60618.0,2024-02-02,Pass,,41.9394713843458,-87.7031020283674,BELMONT HAUS LLC,3008 W BELMONT AVE,POINT (-87.7031020283674 41.9394713843458),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
Target Store #1437,2939 W Addison St,FALSE,TRUE,TRUE,CHICAGO,IL,60618.0,2023-11-27,Pass,,41.9465389829682,-87.7020848861415,TARGET STORE 1437,2939 W ADDISON ST,POINT (-87.7020848861415 41.9465389829682),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
Getir,2882 N Milwaukee Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60618.0,2022-10-11,Pass,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED MISSING THERMOMETER INSIDE THE SOUR CREAM 2 DOOR STAND-UP COOLER.INSTRUCTED TO PROVIDE AND MAINTAIN AN ACCURATE VISIBLE THERMOMETER. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED OPENING GAP AT BOTTOM OF FRONT ENTRANCE DOORS.INSTRUCTED TO MAKE DOORS TIGHT FITING ALL ACROSS THE BOTTOMS TO PREVENT PEST ENTRY AND MAINTAN.",41.9336398523814,-87.7151290709629,GETIR,2882 N MILWAUKEE AVE,POINT (-87.7151290709629 41.9336398523814),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
Jo'S Hallmark,2943 W Addison St,TRUE,FALSE,FALSE,CHICAGO,IL,60618.0,2020-04-24,Out Of Business,,41.9465403958975,-87.7022412642198,JOS HALLMARK,2943 W ADDISON ST,POINT (-87.7022412642198 41.9465403958975),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
Salud Es Vida Herbalife,3240 N Milwaukee Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60618.0,2019-01-18,Out Of Business,,41.9399241709803,-87.7254431040074,SALUD ES VIDA HERBALIFE,3240 N MILWAUKEE AVE,POINT (-87.7254431040074 41.9399241709803),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
Honey Baked Ham Co,3018 W Belmont Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60618.0,2018-09-28,Out Of Business,,41.9394690604149,-87.7034960962328,HONEY BAKED HAM CO,3018 W BELMONT AVE,POINT (-87.7034960962328 41.9394690604149),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
"Mid Town Produce, Inc.",3042 N Milwaukee Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60618.0,2018-05-23,Pass,,41.9363986184994,-87.7196543561156,MID TOWN PRODUCE INC,3042 N MILWAUKEE AVE,POINT (-87.7196543561156 41.9363986184994),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
Entenmann'S Thrift Bakery,2945 W Addison St,TRUE,FALSE,FALSE,CHICAGO,IL,60618.0,2016-12-27,Out Of Business,,41.9465411022822,-87.7023194532625,ENTENMANNS THRIFT BAKERY,2945 W ADDISON ST,POINT (-87.7023194532625 41.9465411022822),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
Latambenita,2871 N Milwaukee Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60618.0,2016-12-22,Out Of Business,,41.933550147124100,-87.7145181203719,LATAMBENITA,2871 N MILWAUKEE AVE,POINT (-87.7145181203719 41.933550147124095),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
Marathon,2811 N Sacramento Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60618.0,2014-12-17,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST REPAIR BROKEN EXPOSED HAND SINK CABINET DOOR.  MUST REMOVE EXCESSIVE FROST/ICE BUILD-UP AT THE ICE BOX FREEZER BOX.  MUST CLEAN AND SANITIZE INTERIOR OF MICROWAVE OVEN USED FOR STAFF MEALS. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: MUST REPAIR BROKEN LIGHT SHIELD ABOVE THE EXPOSED HAND SINK.  MUST PROVIDE A LIGHT SHIELD/OR SHATTER PROOF BULB FOR THE LIGHT FIXTURE ABOVE THE SODA RACK AT 1ST REACH-IN COOLER DOOR FROM THE RIGHT.",41.9324360286258,-87.702385426077,MARATHON,2811 N SACRAMENTO AVE,POINT (-87.702385426077 41.9324360286258),20.0,AVONDALE,55290595.473,21.0,21.0,34261.9334038,,
