DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Walmart #5617,4626 W Diversey Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60639.0,2025-04-03,Pass W/ Conditions,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO PERSON ON SITE WITH AN ORIGINAL CITY OF CHICAGO FOOD SANITATION CERTIFICATE POSTED ON SITE. INSTRUCTED TO HAVE A PERSON ON SITE WITH AN ORIGINAL CITY OF CHICAGO FOOD SANITATION CERTIFICATE POSTED ON SITE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION. 7-38-012. CITATION ISSUED. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED FOOD DEBRIS ON INTERIOR AND EXTERIOR SURFACES OF COOLERS, FREEZERS. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DEBRIS ON FLOORS ALONG WALLS AND CORNERS THROUGHOUT FACILITY. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN.",41.931688919351,-87.7430169468309,WALMART 5617,4626 W DIVERSEY AVE,POINT (-87.7430169468309 41.931688919351),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
Romero Especies,2415 N Cicero Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60639.0,2025-01-16,Pass,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments:  OBSERVED NO KIT AND PROCEDURE ON SITE FOR RESPONDING TO VOMIT AND DIARRHEA AT TIME OF INSPECTION. INSTRUCTED TO MAINTAIN KIT CONTAINING ALL NECESSARY SUPPLIES INCLUDING A SANITIZER RATED AS EFFECTIVE AGAINST NOROVIRUS ON SITE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO DOOR OR SELF CLOSING DOOR AT WASHRROM. INSTRUCTED TO PROVIDE AND MAINTAIN",41.9247444266305,-87.7461709278712,ROMERO ESPECIES,2415 N CICERO AVE,POINT (-87.7461709278712 41.9247444266305),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
Target #1924,6525 W Diversey Ave,FALSE,TRUE,TRUE,CHICAGO,IL,60707.0,2024-12-20,Pass,"43. IN-USE UTENSILS: PROPERLY STORED - Comments: OBSERVED ICE SCOOP IMPROPERLY STORED INSIDE OF ICE MACHINE. INSTRUCTED HOW TO PROPERLY STORE ICE SCOOP IN BETWEEN USE.  | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED LEAKING DRAINPIPE AT THREE-COMPARTMENT SINK IN REAR WAREWASHIGN AREA AND LEAKING DRIANPIPE AT HANDSINK IN FAMILY RESTROOM IN FRONT NEAR ENTRANCE. INSTRUCTED TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED ACCUMULATED FOOD DEBRIS AND SPILLAGE UNDER DRY SHELVING UNITS IN REAR STORAGE AREA. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN.",41.9308339152397,-87.789133787544,TARGET 1924,6525 W DIVERSEY AVE,POINT (-87.789133787544 41.9308339152397),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
Supermercado El Taxquenito,6309 W Grand Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60639.0,2024-11-26,Out Of Business,,41.9218942299317,-87.7833975200501,SUPERMERCADO EL TAXQUENITO,6309 W GRAND AVE,POINT (-87.7833975200501 41.9218942299317),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
Dulceria Tonito Inc.,5825 W Fullerton Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60639.0,2024-05-30,Pass,,41.9237762278319,-87.7720055834756,DULCERIA TONITO INC,5825 W FULLERTON AVE,POINT (-87.7720055834756 41.9237762278319),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
El Faro Foods,4807 W Armitage Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60639.0,2024-05-07,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEA CLEAN UP KIT/PROCEDURE ON SITE. MUST PROVIDE WRITTEN PROCEDURE FOR THE CLEAN UP OF VOMIT AND DIARRHEAL EVENTS, AND CORRESPONDING EQUIPMENT OUTLINE IN PROCEDURE. PRIORITY FOUNDATION VIOLATION 7-38-005. CITATION ISSUED.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST PROVIDE A COVERED GARBAGE RECEPTACLE INSIDE THE RESTROOM.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED WASHROOM DOOR NOT SELF-CLOSING. INSTRUCTED MANAGER TO REPAIR SELF-CLOSING DEVICE ON WASHROOM DOOR.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOILED MOP HEAD NOT PROPERLY STORED. INSTRUCTED MANAGER TO HANG MOP HEADS TO PREVENT INSECT BREEDING.",41.9168204437551,-87.7464385556138,EL FARO FOODS,4807 W ARMITAGE AVE,POINT (-87.7464385556138 41.9168204437551),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
Anytime Nutrition,6323 W Belmont Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60634.0,2024-05-06,Pass,,41.9382315473627,-87.7844347797433,ANYTIME NUTRITION,6323 W BELMONT AVE,POINT (-87.7844347797433 41.9382315473627),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
Nutrition House,4616 W Diversey Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60639.0,2023-08-29,Pass,"57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: MUST PROVIDE FOOD HANDLER TRAINING FOR EMPLOYEE WHO HANDLES FOOD, EQUIPMENT AND UTENSILS.",41.9316952085912,-87.7426248716753,NUTRITION HOUSE,4616 W DIVERSEY AVE,POINT (-87.7426248716753 41.9316952085912),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
"Angelo'S Kool Zone, Inc.",6336 W Grand Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60639.0,2023-03-20,Pass,,41.922374478959700,-87.784187295374,ANGELOS KOOL ZONE INC,6336 W GRAND AVE,POINT (-87.784187295374 41.922374478959696),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
Everyday Friday Deals Chicago Inc.,5719 W Diversey Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60639.0,2023-01-04,Pass,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO VISIBLE BACKFLOW PREVENTER DEVICE ON MOP SINK FAUCET. MUST INSTALL. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE CLUTTER BY BATHROOM HALLWAY NEAREST TO REAR RECEIVING DOOR. ALSO OBSERVED EXCESSIVE CLUTTER BLOCKING MOP SINK. MUST ORGANIZE OR REMOVE UNECCESSARY ITEMS FROM PREMISES.",41.9311212237607,-87.7695541837342,EVERYDAY FRIDAY DEALS CHICAGO INC,5719 W DIVERSEY AVE,POINT (-87.7695541837342 41.9311212237607),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
All In 1 Discount Inc,5719-5725 W Diversey Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60639.0,2023-01-04,Out Of Business,,41.9311212237607,-87.7695541837342,ALL IN 1 DISCOUNT INC,57195725 W DIVERSEY AVE,POINT (-87.7695541837342 41.9311212237607),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
Isla Tropical,2335 N Cicero Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60639.0,2021-11-04,Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNS OR POSTERS NEAR HAND WASHING SINKS. MUST PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN FLOOR BEHIND REFRIGERATION UNITS IN THE 1ST FLOOR AND BASEMENT.",41.9234909575079,-87.7461323368238,ISLA TROPICAL,2335 N CICERO AVE,POINT (-87.7461323368238 41.9234909575079),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
Walgreen #03948,5140 W Diversey Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60639.0,2021-10-13,Pass W/ Conditions,"56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED VENTILATION IN TOILET ROOMS NOT WORKING. MUST REPAIR VENTILATION AND MAINTAIN. | 59. PREVIOUS PRIORITY FOUNDATION VIOLATION CORRECTED - Comments: PREVIOUS PRIORITY VIOLATION #50 NOT CORRECTED FROM REPORT#2534523 ON 10/08/2021. OBSERVED INADEQUATE AVAILABILITY OF HOT WATER THROUGHOUT PREMISES. THE HOT WATER AT THE TOILET ROOMS HAND WASHING SINKS AND HAND WASHING SINK LOCATED IN THE PHARMACY WAS RANGING BETWEEN AT 69.2F TO 76.7F MANAGEMENT INSTRUCTED TO PROVIDE ADEQUATE SUPPLY OF HOT WATER ABOVE 100F AT ALL HANDWASHING SINKS AT ALL TIMES. PRIORITY VIOLATION 7-42-090(C). CITATION ISSUED. WATER HEATER SERVICED BY PLUMBER WHILE ON SITE, WATER TEMPERATURE OBSERVED AT 105F, COS.",41.9315206229623,-87.7556129920862,WALGREEN 03948,5140 W DIVERSEY AVE,POINT (-87.7556129920862 41.9315206229623),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
Falcon Fuel,5701-5713 W Fullerton Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60639.0,2020-12-11,Out Of Business,,41.9238316713867,-87.7684788436671,FALCON FUEL,57015713 W FULLERTON AVE,POINT (-87.7684788436671 41.9238316713867),18.0,BELMONT CRAGIN,109099414.689,19.0,19.0,43311.707379,,
