DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Wlly'S Lucky Mart,3758 S Wallace St,TRUE,FALSE,FALSE,CHICAGO,IL,60609.0,2021-05-03,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO SIGNED EMPLOYEES HEALTH POLICIES.MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-010) | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN-UP PROCEDURE AND ITEMS FOR VOMITING AND DIARRHEA.MUST PROVIDE AND MAINTAIN.(PRIORITY FOUNDATION 7-38-005) | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGN AT HAND SINK IN TOILET ROOM.MUST PROVIDE AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN SOILED SLEEVES IN REACH IN COOLER. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST PROVIDE A GARBAGE CAN WITH LID IN UNISEX TOILET ROOM. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: MUST PROVIDE VENTILATION IN TOILET ROOM.",41.8254337044972,-87.6412525275409,WLLYS LUCKY MART,3758 S WALLACE ST,POINT (-87.6412525275409 41.8254337044972),59.0,BRIDGEPORT,58291519.2767,60.0,60.0,32732.7183268,,
Morgan Crossing Food Store Inc.,3205 S Morgan St,TRUE,FALSE,FALSE,CHICAGO,IL,60608.0,2020-06-18,Out Of Business,,41.8361377960998,-87.6509517297204,MORGAN CROSSING FOOD STORE INC,3205 S MORGAN ST,POINT (-87.6509517297204 41.8361377960998),59.0,BRIDGEPORT,58291519.2767,60.0,60.0,32732.7183268,,
Vite Mart,908 W 31St St,TRUE,FALSE,FALSE,CHICAGO,IL,60608.0,2020-06-10,Out Of Business,,41.8381171080882,-87.6492477697445,VITE MART,908 W 31ST ST,POINT (-87.6492477697445 41.8381171080882),59.0,BRIDGEPORT,58291519.2767,60.0,60.0,32732.7183268,,
Los Girasoles,1012 W 31St St,TRUE,FALSE,FALSE,CHICAGO,IL,60608.0,2020-06-10,Out Of Business,,41.8380819114594,-87.6517808787218,LOS GIRASOLES,1012 W 31ST ST,POINT (-87.6517808787218 41.8380819114594),59.0,BRIDGEPORT,58291519.2767,60.0,60.0,32732.7183268,,
Voss Pharmacy Inc,3303 S Halsted St,TRUE,FALSE,FALSE,CHICAGO,IL,60608.0,2020-04-17,Out Of Business,,41.834299825516,-87.6460455245442,VOSS PHARMACY INC,3303 S HALSTED ST,POINT (-87.6460455245442 41.834299825516),59.0,BRIDGEPORT,58291519.2767,60.0,60.0,32732.7183268,,
"S & R Food, Inc.",1314 W 31St St,TRUE,FALSE,FALSE,CHICAGO,IL,60608.0,2018-08-23,Pass W/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO POLICY IN PLACE FOR EMPLOYEE HEALTH. MUST PROVIDE. PRIORITY FOUNDATION VIOLATION 7-38-010. NO CITATION ISSUED. GIVEN 90 DAYS TO COMPLY. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. MUST PROVIDE. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED. GIVEN 90 DAYS TO COMPLY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED PEELING PAINT AT REAR CEILING OF DISPLAY FLOOR. REMOVE PEELING PAINT/RE-PAINT AND MAINTAIN.",41.8379789284766,-87.6591393660995,S R FOOD INC,1314 W 31ST ST,POINT (-87.6591393660995 41.8379789284766),59.0,BRIDGEPORT,58291519.2767,60.0,60.0,32732.7183268,,
Save A Lot,3418 S Halsted St,TRUE,FALSE,FALSE,CHICAGO,IL,60608.0,2016-07-08,Out Of Business,,41.8321436051392,-87.646283964173,SAVE A LOT,3418 S HALSTED ST,POINT (-87.646283964173 41.8321436051392),59.0,BRIDGEPORT,58291519.2767,60.0,60.0,32732.7183268,,
Vp,659 W 31St St,TRUE,FALSE,FALSE,CHICAGO,IL,60616.0,2015-07-08,Pass,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: MISSING DRAIN BOARD AT 3-COMP SINK. | 37. TOILET ROOM DOORS SELF CLOSING: DRESSING ROOMS WITH LOCKERS PROVIDED: COMPLETE SEPARATION FROM LIVING/SLEEPING QUARTERS - Comments: MISSING DOOR CLOSER FOR TOILET ROOM DOOR. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MISSING VACUUM BREAKER AT ICE MAKER.",41.8379674215249,-87.6437854128382,VP,659 W 31ST ST,POINT (-87.6437854128382 41.8379674215249),59.0,BRIDGEPORT,58291519.2767,60.0,60.0,32732.7183268,,
Supermercado La Familia,1314 W 31Th St,FALSE,TRUE,FALSE,CHICAGO,IL,60608.0,2014-02-06,Out Of Business,,41.8379789284766,-87.6591393660995,SUPERMERCADO LA FAMILIA,1314 W 31TH ST,POINT (-87.6591393660995 41.8379789284766),59.0,BRIDGEPORT,58291519.2767,60.0,60.0,32732.7183268,,
Sweet Food & Gifts,3362 S Halsted St,TRUE,FALSE,FALSE,CHICAGO,IL,60608.0,2013-11-20,Out Of Business,,41.8329264495986,-87.6463032504384,SWEET FOOD GIFTS,3362 S HALSTED ST,POINT (-87.6463032504384 41.8329264495986),59.0,BRIDGEPORT,58291519.2767,60.0,60.0,32732.7183268,,
Melody Corporation,3012 S Halsted St,TRUE,FALSE,FALSE,CHICAGO,IL,60608.0,2013-08-08,Out Of Business,,41.8394325544833,-87.6464593729589,MELODY CORPORATION,3012 S HALSTED ST,POINT (-87.6464593729589 41.8394325544833),59.0,BRIDGEPORT,58291519.2767,60.0,60.0,32732.7183268,,
Outlet Kingdom,3449 S Halsted St,TRUE,FALSE,FALSE,CHICAGO,IL,60608.0,2010-09-27,Out Of Business,,41.8310749436536,-87.6459711121892,OUTLET KINGDOM,3449 S HALSTED ST,POINT (-87.6459711121892 41.8310749436536),59.0,BRIDGEPORT,58291519.2767,60.0,60.0,32732.7183268,,
