DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Thorntons #322,3450 S California Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60608.0,2024-08-29,Pass,,41.8304028226018,-87.6949524678679,THORNTONS 322,3450 S CALIFORNIA AVE,POINT (-87.6949524678679 41.8304028226018),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
La Palma Supermercado,4173 S Archer Ave,FALSE,TRUE,FALSE,CHICAGO,IL,60632.0,2024-08-22,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED LOOSE GASKET ON WALK-IN COOLER DOOR LOCATED IN MEAT DEPARTMENT. INSTRUCTED PERSON IN CHARGE TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DEBRIS ON THE FLOOR BEHIND TORTILLAS STORED IN FRONT OF THE BUTCHER DISPLAY. INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN.",41.8175793076882,-87.6983205863067,LA PALMA SUPERMERCADO,4173 S ARCHER AVE,POINT (-87.6983205863067 41.8175793076882),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
Supermercado La Gloria,4117-4125 S Kedzie Ave,FALSE,TRUE,FALSE,CHICAGO,IL,60632.0,2024-05-09,Pass,,41.8184505699864,-87.7042322506512,SUPERMERCADO LA GLORIA,41174125 S KEDZIE AVE,POINT (-87.7042322506512 41.8184505699864),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
"F & G Food And Meat Inc,",2501 W Pershing Rd,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2023-09-18,Out Of Business,,41.822816514786,-87.6874113043304,F G FOOD AND MEAT INC,2501 W PERSHING RD,POINT (-87.6874113043304 41.822816514786),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
Lupita'S Supermercado,4301 S Archer Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2023-06-05,Out Of Business,,41.8153006936609,-87.7020416007806,LUPITAS SUPERMERCADO,4301 S ARCHER AVE,POINT (-87.7020416007806 41.8153006936609),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
Supermercado Chapultepec #2,4159 S Campbell Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2022-10-12,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: FOUND APPROXIMATELY 1/4""-1/2"" GAP ON RIGHT SIDE OF FRONT DOOR. INSTRUCTED TO REPAIR TO MAKE TIGHT FITTING TO PREVENT PEST ENTRY, MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: FOUND NO GARBAGE CAN IN RESTROOM. MUST PROVIDE COVERED CAN GARBAGE IN UNISEX RESTOOM, MAINTAIN.",41.8175613849099,-87.6870150743272,SUPERMERCADO CHAPULTEPEC 2,4159 S CAMPBELL AVE,POINT (-87.6870150743272 41.8175613849099),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
Sam'S Store,4459 S Washtenaw Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2022-09-14,Out Of Business,,41.8120444506217,-87.6917274992602,SAMS STORE,4459 S WASHTENAW AVE,POINT (-87.6917274992602 41.8120444506217),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
El Mexicano,3935 S California Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2021-07-02,Out Of Business,,41.8217559030011,-87.6944789275142,EL MEXICANO,3935 S CALIFORNIA AVE,POINT (-87.6944789275142 41.8217559030011),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
"Perez, Inc",4129 S Archer Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2021-01-13,Out Of Business,,41.818377048534500,-87.6970221392229,PEREZ INC,4129 S ARCHER AVE,POINT (-87.6970221392229 41.818377048534494),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
Bange'S,3801 S Kedzie Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2020-11-16,Out Of Business,,41.8243609744336,-87.7043002159913,BANGES,3801 S KEDZIE AVE,POINT (-87.7043002159913 41.8243609744336),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
"Omar Discount, Inc.",3247 W 47Th St,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2020-09-24,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: **PREMISES HAS NO CLEAN UP PROCEDURE OR SUPPLIES. INSTRUCTED MANAGER TO COMPLY WITH THE NEW CODE OR CITATIONS WILL FOLLOW. PRIORITY FOUNDATION VIOLATION #7-38-010.**,41.8079861736049,-87.7058933097144,OMAR DISCOUNT INC,3247 W 47TH ST,POINT (-87.7058933097144 41.8079861736049),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
"Marino'S Distribution , Inc.",3939 S Kedzie Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2020-05-15,Out Of Business,,41.8214581635269,-87.7043501602701,MARINOS DISTRIBUTION INC,3939 S KEDZIE AVE,POINT (-87.7043501602701 41.8214581635269),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
Marathon,3541-3543 S California Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2020-05-14,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11: NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINST NOROVIRUS INCLUDING DISINFECTANT. PRIORITY FOUNDATION 7-38-005. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: 4-302.12: MISSING FOOD TEMPERATURE MEASURING DEVICE. INSTD TO PROVIDE AND MAINTAIN SAME. PRIORITY FOUNDATION 7-38-005,41.8288879866846,-87.6946374867525,MARATHON,35413543 S CALIFORNIA AVE,POINT (-87.6946374867525 41.8288879866846),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
Romano Grocery,3856 S Washtenaw Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2020-05-13,Out Of Business,,41.8229418535831,-87.6923053161781,ROMANO GROCERY,3856 S WASHTENAW AVE,POINT (-87.6923053161781 41.8229418535831),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
"Family Min Mart Ii, Inc.",4207 S Sacramento Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2020-05-13,Out Of Business,,41.816987523557,-87.699247714145,FAMILY MIN MART II INC,4207 S SACRAMENTO AVE,POINT (-87.699247714145 41.816987523557),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
La Esquinita Grocery Store Inc.,3058 W 40Th St,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2020-05-08,Out Of Business,,41.8209482675726,-87.7018796245544,LA ESQUINITA GROCERY STORE INC,3058 W 40TH ST,POINT (-87.7018796245544 41.8209482675726),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
Theresa Grocery,3355 W 38Th St,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,2020-05-07,Out Of Business,,41.8242252093449,-87.7090753386069,THERESA GROCERY,3355 W 38TH ST,POINT (-87.7090753386069 41.8242252093449),57.0,BRIGHTON PARK,75892790.3114,58.0,58.0,36537.1343061,,
