DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Speedy Convenient,2801 W 63Rd St,TRUE,FALSE,FALSE,CHICAGO,IL,60629.0,2025-02-05,Out Of Business,,41.7790050459017,-87.6934501185802,SPEEDY CONVENIENT,2801 W 63RD ST,POINT (-87.6934501185802 41.7790050459017),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
"Maya Superstore, Inc.",3536 W 63Rd St,TRUE,FALSE,FALSE,CHICAGO,IL,60629.0,2024-12-19,Out Of Business,,41.7789401249448,-87.7118685722898,MAYA SUPERSTORE INC,3536 W 63RD ST,POINT (-87.7118685722898 41.7789401249448),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Quality Food & Beverage,2553-2557 W 71St St,TRUE,FALSE,FALSE,CHICAGO,IL,60629.0,2024-11-07,Pass,,41.7645150033853,-87.6878180546179,QUALITY FOOD BEVERAGE,25532557 W 71ST ST,POINT (-87.6878180546179 41.7645150033853),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Don Gollo Supermercado,6113-6115 S Kedzie Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60629.0,2024-10-31,Out Of Business,,41.782214883276,-87.7030817676818,DON GOLLO SUPERMERCADO,61136115 S KEDZIE AVE,POINT (-87.7030817676818 41.782214883276),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Sams Food Incorporated,6401 S Kedzie Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60629.0,2024-08-13,Pass,,41.777100788075,-87.7029475418966,SAMS FOOD INCORPORATED,6401 S KEDZIE AVE,POINT (-87.7029475418966 41.777100788075),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Fatboy,2501 W 63Rd St,TRUE,FALSE,FALSE,CHICAGO,IL,60629.0,2024-07-02,Pass,,41.7791127110995,-87.6861499611284,FATBOY,2501 W 63RD ST,POINT (-87.6861499611284 41.7791127110995),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Chicago Lawn Mart #2,2904 W 63Rd St,TRUE,FALSE,FALSE,CHICAGO,IL,60629.0,2024-05-03,Out Of Business,,41.7791873430049,-87.6960622799327,CHICAGO LAWN MART 2,2904 W 63RD ST,POINT (-87.6960622799327 41.7791873430049),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Richmond Mart,2941 W 59Th St,TRUE,FALSE,FALSE,CHICAGO,IL,60629.0,2023-07-24,Pass,,41.7862314969016,-87.697649162745,RICHMOND MART,2941 W 59TH ST,POINT (-87.697649162745 41.7862314969016),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Midwest Premium Foods Inc.,3106 W 63Rd St,TRUE,FALSE,FALSE,CHICAGO,IL,60629.0,2022-11-17,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURES AND SUPPLIES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED MANAGER TO PROVIDE. PRIORITY FOUNDATION 7-38-005 | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNS AT HAND WASHING SINKS. INSTRUCTED MANAGER TO PROVIDE HAND WASHING SIGNS AT ALL HAND WASHING SINKS USED BY EMPLOYEES. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED NO MECHANICAL VENTILATION IN WASHROOM. INSTRUCTED MANAGER TO PROVIDE.,41.7791137947917,-87.7010388765019,MIDWEST PREMIUM FOODS INC,3106 W 63RD ST,POINT (-87.7010388765019 41.7791137947917),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Midwest Quality Meats Inc,3104 W 63Rd St,TRUE,FALSE,FALSE,CHICAGO,IL,60629.0,2022-07-11,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO PROCEDURES AND SUPPLIES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED MANGER TO PROVIDE CLEAN UP PROCEDURE AND SUPPLIES. PRIORITY FOUNDATION 7-38-005 | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED DAMAGED FAUCET HANDLETS AND WASHBOWL AND PLUMBERS PUTTY AROUND DRAINS INSIDE HAND WASHING AND 3-COMPARTMENT SINK. INSTRUCTED MANAGER TO REPAIR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED OPENINGS IN WALLS AROUND PIPE FITTINGS IN WASHROOM NEAR TOILET AND UTILITY SINK. INSTRUCTED MANAGER TO SEAL ALL OPENINGS AND MAINTAIN . | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED NO MECHANICAL VENTILATION IN WASHROOM. INSTRUCTED MANAGER TO PROVIDE.",41.779114580963,-87.7009447270081,MIDWEST QUALITY MEATS INC,3104 W 63RD ST,POINT (-87.7009447270081 41.779114580963),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
Huerta'S Grocery Store,6509 S Kedzie Ave,FALSE,TRUE,FALSE,CHICAGO,IL,60629.0,2021-09-24,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: FRONT ENTRY DOOR IN NEED OF RODENT PROOFING. MUST CORRECT AND MAINTAIN.",41.7750464890029,-87.7028989286786,HUERTAS GROCERY STORE,6509 S KEDZIE AVE,POINT (-87.7028989286786 41.7750464890029),65.0,CHICAGO LAWN,98279465.1151,66.0,66.0,40073.0998382,,
