DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Gopuff,3118 N Harlem Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60634.0,2025-03-27,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.11-OBSERVED MISSING CEILING TILE BY REAR PACKAGE AREA ABOVE BEVERAGES. MUST INSTALL CEILING TILE.",41.9369515972434,-87.8068573205792,GOPUFF,3118 N HARLEM AVE,POINT (-87.8068573205792 41.9369515972434),16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337,,
Josephs Finest Meats Inc,7101 W Addison St,TRUE,FALSE,FALSE,CHICAGO,IL,60634.0,2025-01-10,Pass,,41.9452249446671,-87.8033645481086,JOSEPHS FINEST MEATS INC,7101 W ADDISON ST,POINT (-87.8033645481086 41.9452249446671),16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337,,
Go Grocer,7555 W Irving Park Rd,TRUE,FALSE,FALSE,CHICAGO,IL,60634.0,2024-07-15,Pass,,41.9524297188003,-87.8168323370774,GO GROCER,7555 W IRVING PARK RD,POINT (-87.8168323370774 41.9524297188003),16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337,,
Pulaski Polish Deli & Bakery,7141-7145 W Addison St,TRUE,FALSE,FALSE,CHICAGO,IL,60634.0,2022-02-01,Out Of Business,,41.945191110996900,-87.8049973028806,PULASKI POLISH DELI BAKERY,71417145 W ADDISON ST,POINT (-87.8049973028806 41.945191110996895),16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337,,
Lobsterboys,6620 W Dakin St,TRUE,FALSE,FALSE,CHICAGO,IL,60634.0,2021-09-14,Pass,,41.9517216446776,-87.7921192145901,LOBSTERBOYS,6620 W DAKIN ST,POINT (-87.7921192145901 41.9517216446776),16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337,,
Stevenson Oil,3200 N Harlem Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60634.0,2021-08-10,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11--OBSERVED NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES, FACE MASKS, DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY THAT IS EFFECTIVE AGAINST NOROVIRUS). PRIORITY FOUNDATION VIOLATION 7-38-005,NO CITATION ISSUED. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15--OBSERVED GAP APPROX:1/4"" OPENING AT BOTTOMS OF OVERHEAD GARAGE DOORS ON SIDE DRY STORAGE AREA.INSTRUCTED TO PEST PROOF SAID DOORS ALL ACROSS THE BOTTOMS TO PREVENT PEST ENTRY. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C)--INSTRUCTED TO DETAIL CLEAN THE DRIED SPILLAGE INSIDE REFRIGERATION UNITS. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-205.15--OBSERVED CONSTANT WATER LEAK AT BASE OF HOT HANDLE OF HANDSINK INSIDE WASHROOM.INSTRUCTED TO REPAIR PLUMBING LEAK AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 5-501.17--OBSERVED NO COVERED WASTE RECEPTACLE PROVIDED IN THE UNISEX WASHROOM. MUST PROVIDE. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: 5-501.115--INSTRUCTED TO BETTER MAINTAIN THE EXTERIOR REAR BEHIND THE PREMISES AND REMOVE JUNKED MATERIALS/TIRES/FURNITURE DEBRIS. | 59. PREVIOUS PRIORITY FOUNDATION VIOLATION CORRECTED - Comments: PREVIOUS PRIORITY FOUNDATION VIOLATION NOT CORRECTED FROM INSPECTION REPORT#2523533 DATED:08/03/2021 ADDITIONAL APPROX:20 RODENT(MICE)DROPPINGS WERE FOUND IN REAR CLUTTERED UTILITY MOP SINK CLOSET AREA ALONG THE REAR WALL BASE AND CORNERS OF REAR SAID ROOM.MANAGEMENT IMMEDIATELY REMOVED PEST ACTIVITY AND CLUTTERED ITEMS AT THIS TIME.PEST CONTROL SERVICE IS RECCOMENDED.PRIORITY VIOLATION 7-42-090,CITATION ISSUED.(COS).",41.9380844682217,-87.8068967488788,STEVENSON OIL,3200 N HARLEM AVE,POINT (-87.8068967488788 41.9380844682217),16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337,,
Addison Superette,6122 W Addison St,TRUE,FALSE,FALSE,CHICAGO,IL,60634.0,2020-05-14,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments:  FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES, FACE MASKS, DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY THAT KILLS NOROVIRUS).  PRIORITY FOUNDATION VIOLATION 7-38-005 NO CITATION ISSUED  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTED TO PROVIDE HAND WASHING SIGNAGE AT HAND SINK INSIDE WASHROOM. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: TOILET ROOM RECEPTACLE MUST BE COVERED. INSTRUCTED TO PROVIDE COVER/LID. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN AND MAINTAIN FLOORS ALONG THE WALLS AND IN ALL CORNERS INSIDE WALK-IN COOLER AND FLOORS IN REAR STORAGE AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN AND MAINTAIN CONDENSER FAN COVER WITH DUST ACCUMULATION INSIDE WALK-IN COOLER. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO REMOVE UNNECESSARY ARTICLES AND UNUSED ITEMS IN REAR STORAGE AREA TO PREVENT PEST HARBORAGE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: INSTRUCTED TO CLEAN AND MAINTAIN VENT COVER WITH EXCESSIVE DUST ACCUMULATION INSIDE WASHROOM. | 61. SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC - Comments: FOUND NO INSPECTION SUMMARY REPORT(05-12-20) POSTED. INSTRUCTED MANAGER, A SUMMARY REPORT MUST BE DISPLAYED AND VISIBLE TO THE PUBLIC. PRIORITY FOUNDATION VIOLATION 7-42-010 (B) NO CITATION ISSUED",41.9458466992721,-87.7798937051867,ADDISON SUPERETTE,6122 W ADDISON ST,POINT (-87.7798937051867 41.9458466992721),16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337,,
Addison Mart,7532 W Addison St,TRUE,FALSE,FALSE,CHICAGO,IL,60634.0,2018-12-20,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEA POLICY ON PREMISES. INSTRUCTED TO HAVE A VOMIT AND DIARRHEA POLICY ON SITE INCLUDING CHEMICALS NEEDED. PRIORITY FOUNDATION VIOLATION, 7-38-005. NO CITATION ISSUED.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WET MOP SITTING ON FLOOR NEXT TO THE MOP SINK. INSTRUCTED TO ALWAYS KEEP MOP UPSIDE DOWN WHEN DRYING MOP HEAD. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MISSING TILE IN THE REAR MIDDLE OF THE FLOOR. INSTRUCTED TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED VARIOUS ITEMS SUCH AS STORE SHELVES, BOXES, AND OTHER UNUSED ITEMS STORED ON TOP OF COOLING EQUIPMENT AND IN THE REAR OF ESTABLISHMENT. INSTRUCTED TO REMOVE ALL CLUTTER AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED VENTILATION SYSTEM NOT WORKING IN THE REAR WASHROOM. INSTRUCTED TO REPAIR AND MAINTAIN.",41.9452073989746,-87.8156165700954,ADDISON MART,7532 W ADDISON ST,POINT (-87.8156165700954 41.9452073989746),16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337,,
Convenient Etc,3723 N Harlem Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60634.0,2017-11-09,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN INTERIOR SURFACES OF ALL STORAGE CABINETS. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS ALONG THE WALLS AND IN ALL CORNERS IN REAR STORAGE AREA. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN CEILING VENT COVER WITH HEAVY DUST ACCUMULATION ABOVE DISPLAY AREA. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: INSTRUCTED TO REPAIR SLOW DRAINING EXPOSED HAND SINK IN FRONT DISPLAY AREA. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: INSTRUCTED TO PROVIDE THERMOMETER VISIBLE INSIDE ALL COOLERS WITH POTENTIALLY HAZARDOUS FOODS (MILK, LUNCH MEAT, EGGS ETC). | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: INSTRUCTED TO CLEAN AND REORGANIZE REAR STORAGE AREA. FOOD AND NON FOOD ITEMS MUST BE STORED 6"" OFF THE FLOOR FOR EASY ACCESS ON CLEANING.",41.9477943066538,-87.8069466465535,CONVENIENT ETC,3723 N HARLEM AVE,POINT (-87.8069466465535 41.9477943066538),16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337,,
Middle Eastern Flair,8235 W Irving Park Rd,TRUE,FALSE,FALSE,CHICAGO,IL,60634.0,2017-08-10,Out Of Business,,41.9520185576681,-87.8331668433558,MIDDLE EASTERN FLAIR,8235 W IRVING PARK RD,POINT (-87.8331668433558 41.9520185576681),16.0,DUNNING,103595001.175,17.0,17.0,54555.9925337,,
