DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Granville Groceries,2024-04-02,Pass,TRUE,FALSE,FALSE,1065 W Granville Ave,CHICAGO,IL,60660.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST NOT USE PLASTIC SODA CRATES AS A MEANS OF ELEVATION FOR STORED ITEMS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED HOLES IN SEVERAL BASEBOARDS IN THE WASHROOM AND GROCERY AREA. MUST SEAL----DIRTY FLOORS NOTED UNDER GROCERY STORAGE AREAS. MUST CLEAN.----EXPANDING SPRAY FOAM USED AS SEALANT THROUGHOUT THE PREMISES MUST BE REMOVED/SMOOTHED TO BE SMOOTH AND CLEANABLE.----WATER DAMAGED CEILING TILES THROUGHOUT THE REAR STORAGE AREAS MUST BE REPLACE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: ALL UNNECESSARY STORED ITEMS IN THE WASHROOM HALLWAY AND THE FAR REAR STORAGE ROOM MUST BE REMOVED FROM THE PREMISES TO PREVENT RODENT HARBORING AND ALL OTHER ITEMS MUST BE STORED ELEVATED AND ORGANIZED.",41.99446931501550,-87.6581252871824,GRANVILLE GROCERIES,1065 W GRANVILLE AVE,POINT (-87.6581252871824 41.99446931501551),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
Getir,2023-06-06,Pass,TRUE,FALSE,FALSE,5430 N Clark St,CHICAGO,IL,60640.0,,41.9807961888814,-87.6685025874381,GETIR,5430 N CLARK ST,POINT (-87.6685025874381 41.9807961888814),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
Original Baker'S Delight Carry,2022-05-26,Out Of Business,TRUE,FALSE,FALSE,5841-5847 N Clark St,CHICAGO,IL,60660.0,,41.9883030455084,-87.6696674864018,ORIGINAL BAKERS DELIGHT CARRY,58415847 N CLARK ST,POINT (-87.6696674864018 41.9883030455084),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
Am Moon Mart Inc.,2022-01-31,Pass W/ Conditions,TRUE,FALSE,FALSE,5605 N Broadway,CHICAGO,IL,60660.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: : 2-102.14(O)-- NO WRITTEN EMPLOYEE HEALTH POLICY ON SITE. MUST PROVIDE. PRIORITY FOUNDATION VIOLATION. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: : 2-501.11-- NO WRITTEN CLEANING PROCEDURE FOR A VOMIT/DIARRHEA EVENT OR ANY OF THE REQUIRED EQUIPMENT. MUST PROVIDE. PRIORITY FOUNDATION VIOLATION. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: : 5-203.13-- NO UTILITY SERVICE SINK ON THE PREMISES. MUST PROVIDE. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments:  6-304.11-- NO VENTILATION IN THE WASHROOM. MUST PROVIDE.",41.983830789181,-87.6599274889629,AM MOON MART INC,5605 N BROADWAY,POINT (-87.6599274889629 41.983830789181),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
"S & T, Inc.",2020-03-25,Out Of Business,TRUE,FALSE,FALSE,1101 W Granville Ave,CHICAGO,IL,60660.0,,41.9944657079491,-87.6583928132111,S T INC,1101 W GRANVILLE AVE,POINT (-87.6583928132111 41.9944657079491),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
Phone Tech,2020-03-20,Out Of Business,TRUE,FALSE,FALSE,1737 W Devon Ave,CHICAGO,IL,60660.0,,41.9979146446163,-87.6733647058842,PHONE TECH,1737 W DEVON AVE,POINT (-87.6733647058842 41.9979146446163),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
Thorndale Mart Inc,2020-03-18,Pass W/ Conditions,TRUE,FALSE,FALSE,1104 W Thorndale Ave,CHICAGO,IL,60660.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEA CLEAN UP KIT AND PROCEDURE ON SITE. INSTRUCTED TO PROVIDE ALL NECESSARY SUPPLIES AS OUTLINED IN POLICY. 7-38-005. NO CITATION ISSUED.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO METAL STEM THERMOMETER ON SITE DURING INSPECTION. MUST PROVIDE AT ALL TIMES. PRIORITY FOUNDATION. 7-38-005. NO CITATION ISSUED.  | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO VISIBLE BACK FLOW PREVENTER DEVICE ON MOP SINK FAUCET IN REAR. MUST PROVIDE.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED NO MECHANICAL VENTILATION IN EMPLOYEE BATHROOM IN REAR. TO KEEP ROOMS FREE OF EXCESSIVE HEAT, STEAM, CONDENSATION, VAPORS, OBNOXIOUS ODORS, SMOKE AND FUMES, MECHANICAL VENTILATION OF SUFFICIENT CAPACITY MUST BE PROVIDED.",41.9901627575226,-87.6584831456096,THORNDALE MART INC,1104 W THORNDALE AVE,POINT (-87.6584831456096 41.9901627575226),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
City Olive,2019-11-29,Out Of Business,TRUE,FALSE,FALSE,5644 N Clark St,CHICAGO,IL,60660.0,,41.9847718586985,-87.6691823819015,CITY OLIVE,5644 N CLARK ST,POINT (-87.6691823819015 41.9847718586985),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
Pars-Persian Store,2017-12-14,Out Of Business,TRUE,FALSE,FALSE,5252 N Clark St,CHICAGO,IL,60640.0,,41.9778007703114,-87.6685037350446,PARSPERSIAN STORE,5252 N CLARK ST,POINT (-87.6685037350446 41.9778007703114),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
Golden Bucks,2016-12-29,Out Of Business,TRUE,FALSE,FALSE,6333 N Clark St,CHICAGO,IL,60660.0,,41.9973443318491,-87.6702424786541,GOLDEN BUCKS,6333 N CLARK ST,POINT (-87.6702424786541 41.9973443318491),76.0,EDGEWATER,48449990.8397,77.0,77.0,31004.8309456,,
