DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Morgan Food Corp Llc,2025-02-20,Pass,FALSE,TRUE,FALSE,6600 S Morgan St,CHICAGO,IL,60621.0,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INTERIOR OF THE ICE CREAM FREEZERS IN FRONT OF STORE WITH THICK ICE BUILD UP. INSTRUCTED TO ELIMINATE ICE BUILD UP AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: THE WALLS AND CONDUITS IN THE KITCHEN AREA WITH GREASE, DIRT AND DUST BUILD UP. INSTRUCTED TO CLEAN AND MAINTAIN.  -FLOORS IN THE CORNERS WITH DIRT AND DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN FLOORS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: WATER STAINED CEILING TILES IN FRONT OF STORE. INSTRUCTED TO REPLACE AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: MECHANICAL VENTILATION IN TOILET ROOM DOES NOT WORK. INSTRUCTED TO FIX AND MAINTAIN VENTILATION.",41.7741289538265,-87.6496459973338,MORGAN FOOD CORP LLC,6600 S MORGAN ST,POINT (-87.6496459973338 41.7741289538265),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Kings Food Grocery Store,2024-10-29,Pass, TRUE,FALSE,FALSE,6600 S Halsted St,CHICAGO,IL,60621.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE FRONT DOORS WITH WORN WEATHER STRIPPINGS. MUST REPLACE AND MAINTAIN TO PREVENT ENTRY POINTS FOR PESTS.",41.7742481164465,-87.6447897745678,KINGS FOOD GROCERY STORE,6600 S HALSTED ST,POINT (-87.6447897745678 41.7742481164465),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
"#1 Deli, Inc",2024-03-28,Out Of Business,TRUE,FALSE,FALSE,6901 S Normal Blvd,CHICAGO,IL,60621.0,,41.7688661883223,-87.6370954561606,1 DELI INC,6901 S NORMAL BLVD,POINT (-87.6370954561606 41.7688661883223),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Avir Corporation,2023-09-11,Out Of Business,TRUE,FALSE,FALSE,5659 S Racine Ave,CHICAGO,IL,60636.0,,41.7906163809618,-87.6546358212013,AVIR CORPORATION,5659 S RACINE AVE,POINT (-87.6546358212013 41.7906163809618),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Jimmy'S Mart,2022-03-11,Out Of Business,TRUE,FALSE,FALSE,501 W 59Th St,CHICAGO,IL,60621.0,,41.7870406509681,-87.637720981653,JIMMYS MART,501 W 59TH ST,POINT (-87.637720981653 41.7870406509681),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Samer Food,2021-07-26,Out Of Business,TRUE,FALSE,FALSE,6250 S Morgan St,CHICAGO,IL,60621.0,,41.779988169949,-87.6497987033206,SAMER FOOD,6250 S MORGAN ST,POINT (-87.6497987033206 41.779988169949),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Family Choice,2020-07-16,Out Of Business,TRUE,FALSE,FALSE,1145-1149 W 63Rd St,CHICAGO,IL,60621.0,,41.779507834886,-87.65384957608,FAMILY CHOICE,11451149 W 63RD ST,POINT (-87.65384957608 41.779507834886),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Direct Pay,2020-05-13,Out Of Business,TRUE,FALSE,FALSE,7323 S Halsted St,CHICAGO,IL,60621.0,,41.7608538512798,-87.644156338259,DIRECT PAY,7323 S HALSTED ST,POINT (-87.644156338259 41.7608538512798),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Halsted Food,2020-05-13,Out Of Business,TRUE,FALSE,FALSE,7349 S Halsted,CHICAGO,IL,60621.0,,41.7601198673875,-87.644137230067,HALSTED FOOD,7349 S HALSTED,POINT (-87.644137230067 41.7601198673875),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
"S & M Grocery, Inc.",2020-04-30,Out Of Business,TRUE,FALSE,FALSE,6610 S Halsted St,CHICAGO,IL,60621.0,,41.7739575785559,-87.644782643732,S M GROCERY INC,6610 S HALSTED ST,POINT (-87.644782643732 41.7739575785559),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Peoples Choice Grocer,2020-04-01,Out Of Business,TRUE,FALSE,FALSE,5647 S Princeton Ave,CHICAGO,IL,60621.0,,41.7912811378719,-87.6327630953701,PEOPLES CHOICE GROCER,5647 S PRINCETON AVE,POINT (-87.6327630953701 41.7912811378719),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Parkside Food Store Inc,2020-03-30,Out Of Business,TRUE,FALSE,FALSE,1158 W Marquette Rd,CHICAGO,IL,60621.0,,41.7724435945988,-87.654251921594,PARKSIDE FOOD STORE INC,1158 W MARQUETTE RD,POINT (-87.654251921594 41.7724435945988),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
"Moon Star Grocery, Inc.",2020-03-24,Out Of Business,TRUE,FALSE,FALSE,735 W 69Th St,CHICAGO,IL,60621.0,,41.7687497633152,-87.6432109522502,MOON STAR GROCERY INC,735 W 69TH ST,POINT (-87.6432109522502 41.7687497633152),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
"A.N.A., Grocery, Inc",2019-03-01,Pass W/ Conditions,TRUE,FALSE,FALSE,7159 S Racine Ave,CHICAGO,IL,60636.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO EMPLOYEE HEALTH POLICY ON SITE AT THE TIME OF INSPECTION. INSTRUCTED TO OBTAIN AND MAINTAIN. PRIORITY FOUNDATION #7-38-010. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO VOMIT OR DIARRHEA PROCEDURE ON SITE AT TIME OF INSPECTION. INSTRUCTED TO OBTAIN AND MAINTAIN. PRIORITY FOUNDATION #7-38-005. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SINK IN THE DISH WASHING AREA. INSTRUCTED TO PROVIDE AND MAINTAIN. PRIORITY FOUNDATION VIOLATION 7-38-030(c) | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: FOUND NO WIPING CLOTHS OR SANITIZING SOLUTIONS ON SITE. INSTRUCTED TO PROVIDE AND MAINTAIN | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: CORRECTED | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO MOP SINK. INSTRUCTED TO INSTALL AND MAINTAIN | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: NO GREASE TRAP ON THE 3 COMPARTMENT SINK. INSTRUCTED TO PROVIDE AND MAINTAIN",41.7632861918812,-87.65392394509,ANA GROCERY INC,7159 S RACINE AVE,POINT (-87.65392394509 41.7632861918812),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Morgan Foods,2016-10-21,Out Of Business,TRUE,FALSE,FALSE,954 W 71St St,CHICAGO,IL,60621.0,,41.7652417787505,-87.6490423200478,MORGAN FOODS,954 W 71ST ST,POINT (-87.6490423200478 41.7652417787505),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Gateway,2015-06-01,Out Of Business,TRUE,FALSE,FALSE,7301 S Halsted St,CHICAGO,IL,60621.0,,41.7614740865699,-87.644172982848,GATEWAY,7301 S HALSTED ST,POINT (-87.644172982848 41.7614740865699),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Save-A-Lot #885,2013-12-02,Out Of Business,TRUE,FALSE,FALSE,6858 S Aberdeen St,CHICAGO,IL,60621.0,,41.7688194559218,-87.6519340408041,SAVEALOT 885,6858 S ABERDEEN ST,POINT (-87.6519340408041 41.7688194559218),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Marquette One Stop,2012-09-18,Pass,TRUE,FALSE,FALSE,1000 W Marquette Rd,CHICAGO,IL,60621.0,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: REAR 4 DOOR COOLER OBSERVED ONE DOOR WITH BROKEN GLASS NEED TO REPAIR. NEED TO REMOVE CARDBOARD FROM REAR SODA COOLER STORAGE SHELVES. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN INTERIOR OF ALL COOLERS. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN FLOOR IN BASEMENT UNDER STORAGE SHELVES REAR STORAGE ROOM. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: REPLACE WATER DAMAGED CEILING TILES. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: MUCH CLUTTER IN BASEMENT, REAR STORAGE AREA, AND SIDE STORAGE AREA REMOVE ALL ITEMS NOT BEING USED.",41.7725135004675,-87.6495182315927,MARQUETTE ONE STOP,1000 W MARQUETTE RD,POINT (-87.6495182315927 41.7725135004675),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
Halsted Grocery,2012-06-04,Pass,TRUE,FALSE,FALSE,6043 S Halsted St,CHICAGO,IL,60621.0,"36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: PROVIDE LIGHT OUT IN REAR.",41.7837526348135,-87.6447408799381,HALSTED GROCERY,6043 S HALSTED ST,POINT (-87.6447408799381 41.7837526348135),67.0,ENGLEWOOD,85652323.0826,68.0,68.0,42316.8442973,,
