DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Danny'S Mini Store,2024-12-13,Pass,TRUE,FALSE,FALSE,5050 S Kedzie Ave,CHICAGO,IL,60632.0,41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: OBSERVED WORN AND TATERRED SPONGES ON SITE. INSTRUCTED TO REPLACE OFTEN  | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: LEAK AT 3 COMPRTMENT SINK P-TRAP. INSTRUCTED TO CORRECT AND MAINTAIN.,41.80112410900550,-87.7039203783261,DANNYS MINI STORE,5050 S KEDZIE AVE,POINT (-87.7039203783261 41.80112410900551),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Rosa'S Supermercado,2024-10-15,Pass,TRUE,FALSE,FALSE,3324 W 55Th St,CHICAGO,IL,60632.0,"16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVED PINK SLIME-LIKE SUBSTANCE ON THE INTERIOR OF THE ICE MACHINE (ICE USED ONLY FOR MEAT COOLING WITHOUT DIRECT CONTACT). INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED WALL IN BATHROOM WITH DAMAGE NEAR TOILET. INSTRUCTED PERSON IN CHARGE TO REPAIR TO BE SMOOTH AND EASILY CLEANABLE.",41.7935713499645,-87.7071723986113,ROSAS SUPERMERCADO,3324 W 55TH ST,POINT (-87.7071723986113 41.7935713499645),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
"M K Poultry, Inc.",2023-03-01,Pass,TRUE,FALSE,FALSE,2600 W 51St St,CHICAGO,IL,60632.0,,41.8011812825416,-87.6891853115497,M K POULTRY INC,2600 W 51ST ST,POINT (-87.6891853115497 41.8011812825416),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Hidalisco Fruteria Y Mas,2020-05-19,Pass,TRUE,FALSE,FALSE,5228 S Kedzie Ave,CHICAGO,IL,60632.0,,41.7981059717502,-87.7038328968123,HIDALISCO FRUTERIA Y MAS,5228 S KEDZIE AVE,POINT (-87.7038328968123 41.7981059717502),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
St. Michael 52Nd Inc.,2020-05-14,Pass W/ Conditions,TRUE,FALSE,FALSE,5226-5240 S Western Ave,CHICAGO,IL,60609.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEA EVENTS. MUST PROVIDE WITH CLEAN UP KIT. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED. | 41. WIPING CLOTHS: PROPERLY USED & STORED - Comments: MUST PROPERLY STORE WIPING CLOTHS IN CHEMICAL SANITIZING SOLUTION WHEN NOT IN USE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST PROVIDE COVERED RECEPTACLES IN WASHROOM USED BY FEMALE EMPLOYEES.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN FLOOR IN WALK-IN COOLER AND REAR DISH WASHING AREA OF LITTER AND DEBRIS.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST REMOVE UNNECESSARY ITEMS AND CLUTTER IN REAR STORAGE/DISH WASHING AREA. MUST ORGANIZE AND MAINTAIN AT ALL TIMES.",41.79850486598410,-87.6843018392966,ST MICHAEL 52ND INC,52265240 S WESTERN AVE,POINT (-87.6843018392966 41.79850486598409),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Dulceria La Capital Inc.,2020-05-13,Out Of Business,TRUE,FALSE,FALSE,2559 W 51St St,CHICAGO,IL,60632.0,,41.800964200195100,-87.6890558339489,DULCERIA LA CAPITAL INC,2559 W 51ST ST,POINT (-87.6890558339489 41.800964200195104),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Allstar,2020-05-12,Pass W/ Conditions,TRUE,FALSE,FALSE,5301-5311 S Kedzie Ave,CHICAGO,IL,60632.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11: NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION 7-38-005  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments:  4-302.12 NO FOOD TEMPERATURE MEASURING DEVICE (EX METAL STEM THERMOMETER). INSTD TO PROVIDE AND MAINTAIN ON SITE. PRIORITY FOUNDATION 7-38-005 | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.12: FLOOR THROUGH OUT PREMISES NOT CLEAN, EXCESSIVE BLACK DEBRIS NOTED. INSTD TO DETAIL CLEAN AND MAINTAIN.",41.7971233813485,-87.7035116064011,ALLSTAR,53015311 S KEDZIE AVE,POINT (-87.7035116064011 41.7971233813485),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Reem Pharmacy,2020-05-07,Pass W/ Conditions,TRUE,FALSE,FALSE,5456 - 5460 S Kedzie Ave,CHICAGO,IL,60632.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments:   NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION 7-38-005  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HANDWASH CLEANSER AT HANDWASH SINK IMMEDIATLEY OUTSIDE OF TOILET ROOM. INSTD TO PROVIDE AT ALL TIMES. PRIORITY FOUNDATION 7-38-030(C). | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HAND DRYING PROVISION AT HANDWASH SINK IMMEDIATELY OUTSIDE OF TOILET ROOM. INSTD TO PROVIDE AT ALL TIMES. PRIORITY FOUNDATION 7-38-030(C) | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: NO FOOD TEMPERATURE MEASURING DEVICE (EX METAL STEM THERMOMETER). INSTD TO PROVIDE AND MAINTAIN ON SITE. PRIORITY FOUNDATION 7-38-005,41.7936153866162,-87.7037043921038,REEM PHARMACY,5456 5460 S KEDZIE AVE,POINT (-87.7037043921038 41.7936153866162),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
"Kedzie Food & Discount, Inc.",2020-04-15,Out Of Business,TRUE,FALSE,FALSE,5200 S Kedzie Ave,CHICAGO,IL,60632.0,,41.7988996514821,-87.7038579977165,KEDZIE FOOD DISCOUNT INC,5200 S KEDZIE AVE,POINT (-87.7038579977165 41.7988996514821),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Fruteria Martinez,2019-08-01,Pass W/ Conditions,TRUE,FALSE,FALSE,3002 W 59Th St,CHICAGO,IL,60629.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS ON SITE. INSTRUCTED TO IMPLEMENT A PROCEDURE AND PROVIDE ALL NECESSARY SUPPLIES FOR HANDLING THESE EVENTS. PRIORITY FOUNDATION VIOLATION 7-38-005 NO CITATION ISSUED,41.786434168184700,-87.6986277541351,FRUTERIA MARTINEZ,3002 W 59TH ST,POINT (-87.6986277541351 41.786434168184705),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Groceries Flores,2017-11-14,Pass,TRUE,FALSE,FALSE,5200 S California Ave,CHICAGO,IL,60632.0,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OBSERVED THE CEILING ABOVE THE MEAT CASE, AND THE WALL(SOUTH) NOT CLEAN, INSTRUCTED TO CLEAN.",41.7990696309711,-87.6940941032688,GROCERIES FLORES,5200 S CALIFORNIA AVE,POINT (-87.6940941032688 41.7990696309711),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
E&C Grocery Store,2015-10-08,Out Of Business,TRUE,FALSE,FALSE,2624 W 59Th St,CHICAGO,IL,60629.0,,41.7865779377663,-87.6898796761981,EC GROCERY STORE,2624 W 59TH ST,POINT (-87.6898796761981 41.7865779377663),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Kedzie Auto Repair And Mini Mr,2015-06-16,Out Of Business,TRUE,FALSE,FALSE,5301 S Kedzie Ave,CHICAGO,IL,60632.0,,41.7971233813485,-87.7035116064011,KEDZIE AUTO REPAIR AND MINI MR,5301 S KEDZIE AVE,POINT (-87.7035116064011 41.7971233813485),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Super Mercado La Fiesta,2014-02-27,Out Of Business,TRUE,FALSE,FALSE,5425-5427 S Kedzie Ave,CHICAGO,IL,60632.0,,41.7945379806497,-87.7034409539312,SUPER MERCADO LA FIESTA,54255427 S KEDZIE AVE,POINT (-87.7034409539312 41.7945379806497),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Vida Y Salud,2014-02-21,Out Of Business,TRUE,FALSE,FALSE,5450 S Kedzie Ave,CHICAGO,IL,60632.0,,41.793791519702,-87.7037106045897,VIDA Y SALUD,5450 S KEDZIE AVE,POINT (-87.7037106045897 41.793791519702),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Cregendo Saludable,2013-11-15,Out Of Business,TRUE,FALSE,FALSE,2824 W 55Th St,CHICAGO,IL,60632.0,,41.7937804727462,-87.6949602765734,CREGENDO SALUDABLE,2824 W 55TH ST,POINT (-87.6949602765734 41.7937804727462),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Estar Bien,2012-04-12,Pass,TRUE,FALSE,FALSE,5223 S Kedzie Ave,CHICAGO,IL,60632.0,,41.7982809821787,-87.70354492861,ESTAR BIEN,5223 S KEDZIE AVE,POINT (-87.70354492861 41.7982809821787),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Marathon,2012-01-19,Out Of Business,TRUE,FALSE,FALSE,5230 S Western Ave,CHICAGO,IL,60609.0,,41.7983916569014,-87.6842988034857,MARATHON,5230 S WESTERN AVE,POINT (-87.6842988034857 41.7983916569014),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Valero On Western,2011-04-20,Pass,TRUE,FALSE,FALSE,5035 S Western Blvd,CHICAGO,IL,60609.0,"38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: The flow of air discharged from kitchen fans shall always be through a duct to a point above the roofline. Ventilation: All plumbing fixtures, such as toilets, sinks, washbasins, etc., must be adequately trapped, vented, and re-vented and properly connected to the sewer in accordance with the plumbing chapter of the Municipal Code of Chicago and the Rules and Regulations of the Board of Health. MUST REPAIR LEAKY PIPE UNDER FIRST COMP OF 3-COMP SINK.",41.8019315737204,-87.6835340328932,VALERO ON WESTERN,5035 S WESTERN BLVD,POINT (-87.6835340328932 41.8019315737204),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
Cs  Posible,2010-12-21,Out Of Business,TRUE,FALSE,FALSE,5407 S Kedzie Ave,CHICAGO,IL,60632.0,,41.7951078594644,-87.7034595589183,CS POSIBLE,5407 S KEDZIE AVE,POINT (-87.7034595589183 41.7951078594644),62.0,GAGE PARK,61284896.1132,63.0,63.0,32294.1959107,,
