DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Falcon Fuel / Sals Philly And Seafood,2025-04-24,Out Of Business,TRUE,FALSE,FALSE,7100-7114 S Vincennes Ave,CHICAGO,IL,60621.0,,41.7654659278609,-87.6280736816003,FALCON FUEL SALS PHILLY AND SEAFOOD,71007114 S VINCENNES AVE,POINT (-87.6280736816003 41.7654659278609),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
Fezo Grocery Inc.,2024-12-31,Pass,TRUE,FALSE,FALSE,342 E 71St St,CHICAGO,IL,60619.0,,41.7657891412205,-87.6167913943788,FEZO GROCERY INC,342 E 71ST ST,POINT (-87.6167913943788 41.7657891412205),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
Penningtons Foods And Snacks Galore,2024-12-04,Out Of Business,TRUE,FALSE,FALSE,410 E 79Th St,CHICAGO,IL,60619.0,,41.751234332866,-87.6144710222988,PENNINGTONS FOODS AND SNACKS GALORE,410 E 79TH ST,POINT (-87.6144710222988 41.751234332866),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
Mana,2024-11-20,Pass,TRUE,FALSE,FALSE,434 E 71St St,CHICAGO,IL,60619.0,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: LEAK AT THE FAUCET ON THE 3-COMPARTMENT SINK. INSTRUCTED TO FIX AND MAINTAIN GOOD PLUMBING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: WATER STAINED CEILING TILES IN THE DISH WASHING AREA. INSTRUCTED TO REPLACE AND MAINTAIN.  -MISSING FLOOR TILES IN THE DISH WASHIN AREA. INSTRUCTED TO PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CLUTTER IN THE STORAGE AND REAR AREA. INSTRUCTED TO ELIMINATE CLUTTER AND ORGANIZE ALL AREAS. MAINTAIN SAME. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: CARPETED AREA AND FLOORS IN THE CORNERS AND UNDER/AROUND THE HEAVY EQUIPMENT WITH DIRT AND DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN FLOORS. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOOD HANDLER ON SITE WITH NO PROOF THAT THEY MET THE FOOD HANDLER'S REQUIREMENTS. INSTRUCTED TO OBTAIN AND MAINTAIN A VALID FOOD HANDLER'S CERTIFICATE.",41.7658442147471,-87.6139149652518,MANA,434 E 71ST ST,POINT (-87.6139149652518 41.7658442147471),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
Aladdin'S Food,2024-10-29,Out Of Business,TRUE,FALSE,FALSE,7465 S Vincennes,CHICAGO,IL,60621.0,,41.75818264439630,-87.6311955617936,ALADDINS FOOD,7465 S VINCENNES,POINT (-87.6311955617936 41.75818264439631),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
Grand Palace,2024-10-25,Pass,TRUE,FALSE,FALSE,7131-7133 S State St,CHICAGO,IL,60619.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE WEATHER STRIP AT THE BOTTOM OF THE FRONT DOOR WORN. MUST REPLACE AND MAINTAIN TO PREVENT POSSIBLE ENTRY POINT FOR PESTS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST DEFROST AND CLEAN THE INTERIOR OF THE ICE CREAM DISPLAY FREEZER. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST PROVIDE AND MAINTAIN A GARBAGE CAN WITH A LID IN THE WASHROOM AS REQUIRED.",41.7645736328826,-87.6247399650523,GRAND PALACE,71317133 S STATE ST,POINT (-87.6247399650523 41.7645736328826),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
Challenge Wholesale,2024-09-06,Out Of Business,TRUE,FALSE,FALSE,7128-7130 S Vincennes Ave,CHICAGO,IL,60621.0,,41.7645850955036,-87.6284877345731,CHALLENGE WHOLESALE,71287130 S VINCENNES AVE,POINT (-87.6284877345731 41.7645850955036),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
Cottage Fuel,2024-03-18,Pass,TRUE,FALSE,FALSE,7560 S Cottage Grove Ave,CHICAGO,IL,60619.0,54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED THE OUTSIDE AREA WITH DEBRIS AND TRASH INSIDE/OUTSIDE AND AROUND THE CORRAL. INSTRUCTED TO CLEAN AND MAINTAIN THE AREA.,41.7568458985063,-87.6054946369598,COTTAGE FUEL,7560 S COTTAGE GROVE AVE,POINT (-87.6054946369598 41.7568458985063),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
Candyland Warehouse,2024-01-05,Pass,TRUE,FALSE,FALSE,7105-7109 S State St,CHICAGO,IL,60619.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED AN OPENING IN THE CEILING WITH A BLACK LIKE SUBSTANCE ONF THE WALL COMING FROM THE OPENING IN THE TOILET ROOM. ALSO OBSERVED A HOLE IN THE WALL TO THE RIGHT OF THE REAR EXIT DOOR. INSTRUCTED TO REPAIR SAID CEILING AND WALL, REMOVE THE BALCK LIKE SUBSTANCE AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER ON THE FLOOR UNDER THE WATER FOUNTAIN NEAR THE MOP SINK. INSTRUCTED TO DECLUTTER SAID AREA AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE FLOORS UNDER THE SHELVING UNITS DIRECTLY BEHIND THE SERVICE COUNTER WITH DEBRIS BUILD UP AND TRASH. ALSO OBSERVED GRAVEL UNDER THE SHELVING UNITS WITH THE BOXES OF CHIPS STORED NEAR THE EXIT DOOR IN THE DISPLAY ASILES. INSTRUCTED TO CLEAN SAID FLOORS AND MAINTAIN.",41.7652876014804,-87.6247547504987,CANDYLAND WAREHOUSE,71057109 S STATE ST,POINT (-87.6247547504987 41.7652876014804),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
Half Moon Grocery Inc.,2022-11-25,Pass W/ Conditions,TRUE,FALSE,FALSE,360 E 79Th St,CHICAGO,IL,60619.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEA CLEAN UP KIT OR PROCEEDURES. INSTRUCTED MANAGER TO PROVIDE. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO AMBIENT AIR TEMPERATURE THERMOMETER IN ANY COOLER. INSTRUCTED MANAGER TO PROVIDE. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED OUTER FRONT DOOR WITH 1/2 INCH GAPS IN IT. INSTRUCTED MANAGER TO SEAL DOOR.",41.751212743874,-87.615751191394,HALF MOON GROCERY INC,360 E 79TH ST,POINT (-87.615751191394 41.751212743874),68.0,GREATER GRAND CROSSING,98853167.7093,69.0,69.0,54645.3302996,,
