DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Sinaloa Grocery Store Inc. #2,2023-05-17,Pass,TRUE,FALSE,FALSE,4457 W Diversey Ave,CHICAGO,IL,60639.0,51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-205.15--OBSERVED HOT WATER FAUCET KNOB NOT TURNING ON AT MOP SINK FAUCET. MUST REPAIR. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-204.12--OBSERVED NO VISIBLE BACK FLOW PREVENTER DEVICE AT MOP SINK. MUST INSTALL.,41.9315219883516,-87.7391066390288,SINALOA GROCERY STORE INC 2,4457 W DIVERSEY AVE,POINT (-87.7391066390288 41.9315219883516),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
La Guerrerense,2023-05-16,Pass,TRUE,FALSE,FALSE,4149 W Armitage Ave,CHICAGO,IL,60639.0,,41.9170000027784,-87.7309892645132,LA GUERRERENSE,4149 W ARMITAGE AVE,POINT (-87.7309892645132 41.9170000027784),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
Sinaloa Grocery Store Inc,2023-05-03,Pass,TRUE,FALSE,FALSE,4454 W Diversey Ave,CHICAGO,IL,60639.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED PINATAS STORED IN TOILET ROOM. INSTRUCTED TO REMOVE.",41.9317425710897,-87.7390332945289,SINALOA GROCERY STORE INC,4454 W DIVERSEY AVE,POINT (-87.7390332945289 41.9317425710897),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
Lifted Mart Corp.,2022-08-11,Pass,TRUE,FALSE,FALSE,2057- 2059 N Pulaski Rd,CHICAGO,IL,60639.0,,41.9188912639404,-87.7264653149867,LIFTED MART CORP,2057 2059 N PULASKI RD,POINT (-87.7264653149867 41.9188912639404),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
El Paraizo Terrenal,2020-08-11,Out Of Business,TRUE,FALSE,FALSE,4459 W Armitage Ave,CHICAGO,IL,60639.0,,41.9169082589033,-87.7387164742258,EL PARAIZO TERRENAL,4459 W ARMITAGE AVE,POINT (-87.7387164742258 41.9169082589033),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
Nutrition'S Guaman,2020-07-17,Out Of Business,TRUE,FALSE,FALSE,4019 W Armitage Ave,CHICAGO,IL,60639.0,,41.917045522183300,-87.7274427108034,NUTRITIONS GUAMAN,4019 W ARMITAGE AVE,POINT (-87.7274427108034 41.917045522183294),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
Lucky One Food Store Corp.,2020-01-03,Pass W/ Conditions,TRUE,FALSE,FALSE,1854 N Pulaski Rd,CHICAGO,IL,60639.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11 OBSERVED NO CLEAN UP PROCEDURE AND SUPPLIES ON THE PREMISES TO RESPOND TO VOMIT AND DIARRHEAL EVENTS. MANAGEMENT INSTRUCTED TO PROVIDE BOTH. PRIORITY FOUNDATION 7-38-005. NO CITATION ISSUED.,41.9151973447116,-87.7266492302329,LUCKY ONE FOOD STORE CORP,1854 N PULASKI RD,POINT (-87.7266492302329 41.9151973447116),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
Lucky Groceries,2018-12-18,Pass W/ Conditions,TRUE,FALSE,FALSE,4200 W Armitage Ave,CHICAGO,IL,60639.0,,41.9172122971141,-87.7315109191742,LUCKY GROCERIES,4200 W ARMITAGE AVE,POINT (-87.7315109191742 41.9172122971141),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
R & M Grocery Inc.,2017-02-23,Pass,TRUE,FALSE,FALSE,1948 N Pulaski Rd,CHICAGO,IL,60639.0,,41.9167900767426,-87.7266915944718,R M GROCERY INC,1948 N PULASKI RD,POINT (-87.7266915944718 41.9167900767426),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
Stock N Save,2016-09-07,Pass,TRUE,FALSE,FALSE,4535 W Armitage Ave,CHICAGO,IL,60639.0,38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: OBSERVED NO BACK FLOW PREVENTION DEVICE FOR HOSE CONNECTION. USE OF WATERHOSE PROHIBITED IN THE ABSENCE OF AN AIR GAP.,41.9168895902993,-87.7402105389093,STOCK N SAVE,4535 W ARMITAGE AVE,POINT (-87.7402105389093 41.9168895902993),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
Marathon,2016-02-19,Out Of Business,TRUE,FALSE,FALSE,2003 N Pulaski Rd,CHICAGO,IL,60639.0,,41.9172748673216,-87.726417732306,MARATHON,2003 N PULASKI RD,POINT (-87.726417732306 41.9172748673216),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
Quickiss,2014-09-30,Out Of Business,TRUE,FALSE,FALSE,4245 W Armitage Ave,,IL,60639.0,,41.916968141610500,-87.7332747911865,QUICKISS,4245 W ARMITAGE AVE,POINT (-87.7332747911865 41.916968141610496),19.0,HERMOSA,32602059.4055,20.0,20.0,27179.0174378,,
