DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Hermosa Bodega,2025-04-14,Pass,TRUE,FALSE,FALSE,4100 W North Ave,CHICAGO,IL,60639.0,,41.9099608832475,-87.728874960377,HERMOSA BODEGA,4100 W NORTH AVE,POINT (-87.728874960377 41.9099608832475),22.0,HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299,,
The Bodega,2025-01-04,No Entry,TRUE,FALSE,FALSE,1000 N Hamlin Ave,CHICAGO,IL,60651.0,,41.8991505862318,-87.7214622859742,THE BODEGA,1000 N HAMLIN AVE,POINT (-87.7214622859742 41.8991505862318),22.0,HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299,,
Speedway #8320,2024-10-15,Pass W/ Conditions,TRUE,FALSE,FALSE,3554 W North Ave,CHICAGO,IL,60647.0,"1. PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: PERSON IN CHARGE WITH NO CITY OF CHICAGO SANITATION CERTIFICATE.MUST PROVIDE. | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments:  FOUND NO CITY OF CHICAGO SANITATION MANAGER CERTIFICATE POSTED.PRIORITY FOUNDATION.CITATION ISSUED.7-38-012.MUST PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOOR DRAIN NOT CLEAN AT DRY STORAGE AREAS.MUST CLEAN.",41.9101080822488,-87.7163634777977,SPEEDWAY 8320,3554 W NORTH AVE,POINT (-87.7163634777977 41.9101080822488),22.0,HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299,,
Ha Grocery,2024-10-10,Pass,TRUE,FALSE,FALSE,3509 W Chicago Ave,CHICAGO,IL,60651.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED DISPOSABLE PAPER TOWELS AND HANDWASHING SIGNAGE NOTIFYING FOOD EMPLOYEES TO WASH HANDS PROVIDED AT UTILITY SINK IN REAR AREA. INSTRUCTED TO REMOVE DISPOSABLE PAPER TOWELS AND HANDWASHING SIGNAGE AND NOT TO PROVIDE HANDWASHING AIDS AND DEVICES TO SINKS NOT USED FOR HANDWASHING AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED TOILET ROOM DOOR IN REAR AREA TO BE NOT SELF-CLOSING WHILE OPENING INTO THE RETAIL FOOD ESTABLISHMENT. INSTRUCTED TO INSTALL SELF-CLOSING MECHANISM TO TOILET ROOM DOOR AND MAINTAIN TOILET ROOMS ENCLOSED WITH TIGHT-FITTING AND SELF-CLOSING DOORS. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: OBSERVED FOOD EMPLOYEES MISSING FOOD HANDLER TRAINING AND NO CERTIFICATE(S) ON-SITE AT TIME OF LICENSE INSPECTION. INSTRUCTED TO PROVIDE FOOD HANDLER TRAINING FOR ALL FOOD EMPLOYEES AND MAINTAIN CERTIFICATES ON-SITE AT ALL TIMES.",41.8953702124333,-87.7142251886216,HA GROCERY,3509 W CHICAGO AVE,POINT (-87.7142251886216 41.8953702124333),22.0,HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299,,
La Esmeralda Deli,2024-07-19,Pass,TRUE,FALSE,FALSE,1147 N Pulaski Rd,CHICAGO,IL,60651.0,51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO BACK FLOW DEVICE AT THE UTILITY SINK. INSTRUCTED TO PROVIDE.,41.9021993479963,-87.7261416235182,LA ESMERALDA DELI,1147 N PULASKI RD,POINT (-87.7261416235182 41.9021993479963),22.0,HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299,,
Sami Boy 2,2024-01-23,Pass,TRUE,FALSE,FALSE,3730 W Division St,CHICAGO,IL,60651.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO VERIFIABLE EMPLOYEE HEALTH POLICY ON SITE AT TIME OF INSPECTION. LEFT TEMPLATE AND INSTRUCTED TO MAINTAIN COPIES OF VERIFIABLE HEALTH POLICY SIGNED BY ALL EMPLOYEES ON SITE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-010. NO CITATION ISSUED | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE FRONT EXIT DOOR NOT COMPLETELY RODENT PROOFED AS REQUIRED. MUST COMPLETELY RODENT PROOF DOOR BY SEALING 1/4 GAP AT THE BOTTOM OF THE DOOR.  | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED WASHROOM DOOR NOT SELF-CLOSING. INSTRUCTED MANAGER TO REPAIR SELF-CLOSING DEVICE ON WASHROOM DOOR.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOILED MOP HEADS NOT PROPERLY STORED. INSTRUCTED MANAGER TO HANG MOP HEADS TO PREVENT INSECT BREEDING.",41.9028321134033,-87.7202778317596,SAMI BOY 2,3730 W DIVISION ST,POINT (-87.7202778317596 41.9028321134033),22.0,HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299,,
"North Ave Retails, Llc",2024-01-02,Out Of Business,TRUE,FALSE,FALSE,4317 W North Ave,CHICAGO,IL,60639.0,,41.909668990319,-87.7345224450444,NORTH AVE RETAILS LLC,4317 W NORTH AVE,POINT (-87.7345224450444 41.909668990319),22.0,HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299,,
Supply 4 Less,2023-12-21,Pass,TRUE,FALSE,FALSE,3750 W Chicago Ave,CHICAGO,IL,60651.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SIGNAGE AT HANDWASHING SINK IN WASHROOM. INSTRUCTED TO POST HANDWASHING SIGNAGE AT HANDWASHING SINK. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO VISIBLE THERMOMETER IN SMALL ONE DOOR COOLER IN RETAIL. INSTRUCTED TO PROVIDE VISIBLE THERMOMETER IN SMALL ONE DOOR COOLER IN RETAIL. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED BOXES OF CELLULAR SUPPLIES STORED ON FLOOR IN RETAIL AND CHEMICALS STORED ON FLOOR UNDER UTILITY SINK. INSTRUCTED TO PROVIDE SHELVING TO ELEVATE ALL FOOD AND NONFOOD ITEMS AT LEAST SIX INCHES OFF OF FLOOR FOR EASE OF CLEANABILITY AND TO PREVENT AREAS FOR PEST HARBORAGE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED DEBRIS AT INTERIOR BASE OF ONE DOOR SMALL COOLER. INSTRUCTED TO CLEAN AND MAINTAIN.  OBSERVED BLACK SUBSTANCE ON SHELVES OF TWO DOOR FREEZER. INSTRUCTED TO CLEAN AND MAINTAIN.  OBSERVED SPLASHES AT BASE OF TWO DOOR FREEZER. INSTRUCTED TO CLEAN AND MAINTAIN.  OBSERVED DUST ON FAN COVERS IN INTERIOR OF TWO DOOR FREEZER. INSTRUCTED TO CLEAN AND MAINTAIN. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED NO BACKFLOW PREVENTION DEVICE ON UTILITY SINK. INSTRUCTED TO INSTALL BACKFLOW PREVENTION DEVICE ON UTILITY SINK SO THAT IT SHALL BE EASILY LOCATED AND SERVICED. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO SELF CLOSING DEVICE ON WASHROOM DOOR. INSTRUCTED TO INSTALL SELF CLOSING DEVICE ON WASHROOM DOOR AND MAINTAIN. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED RECEPTACLE IN WASHROOM. INSTRUCTED TO PROVIDE COVERED RECEPTACLE IN WASHROOM AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED HOLES IN TOP AREAS OF WALLS OF WASHROOM ON SOUTHSIDE AND EASTSIDE. INSTRUCTED TO SMOOTHLY REPAIR HOLES FOR EASE OF CLEANABILITY. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SPLASHES ON WALLS ABOVE HANDWASHING SINK AND STAINS ON DOOR OF WASHROOM. INSTRUCTED TO CLEAN WALLS IN WASHROOM AND DOOR OF WASHROOM.  OBSERVED COBWEBS ON WALL IN ROOM WITH UTILITY SINK AND ON WALL ABOVE WALL VENT OUTSIDE OF UTILITY ROOM. INSTRUCTED TO CLEAN AND MAINTAIN.  OBSERVED DEBRIS ON INTERIOR OF LIGHT SHIELDS IN RETAIL AREA. INSTRUCTED TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED MOP STORED IN BUCKET IN UTILITY ROOM. INSTRUCTED TO INSTALL MOP DRYING RACK FOR PROPER DRYING AND DRAINING OF MOPS TO PREVENT PEST BREEDING. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED DUST ON WALL VENT OUTSIDE OF UTILITY ROOM. INSTRUCTED TO CLEAN AND MAINTAIN.",41.89552669968510,-87.720795748723,SUPPLY 4 LESS,3750 W CHICAGO AVE,POINT (-87.720795748723 41.89552669968511),22.0,HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299,,
Kimball Kwik Mart,2023-08-17,Out Of Business,TRUE,FALSE,FALSE,1700 N Kimball Ave,CHICAGO,IL,60647.0,,41.9119586910537,-87.711891787058,KIMBALL KWIK MART,1700 N KIMBALL AVE,POINT (-87.711891787058 41.9119586910537),22.0,HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299,,
1200 Herb'N Deli,2023-07-14,Pass,TRUE,FALSE,FALSE,4200 W Division St,CHICAGO,IL,60651.0,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED WASHROOM DOOR NOT SELF-CLOSING. INSTRUCTED MANAGER TO REPAIR SELF-CLOSING DEVICE ON WASHROOM DOOR. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED SOILED MOP HEAD NOT PROPERLY STORED. INSTRUCTED MANAGER TO HANG MOP HEADS TO PREVENT INSECT BREEDING.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNUSED EQUIPMENT AND UNNECESSARY ARTICLES IN STORAGE AREA. INSTRUCTED MANAGER TO REMOVE ALL UNUSED, UNNECSSARY EQUIPMENT AND ARTICLES TO PREVENT PEST HARBORAGE.",41.9026986955035,-87.7313510556215,1200 HERBN DELI,4200 W DIVISION ST,POINT (-87.7313510556215 41.9026986955035),22.0,HUMBOLDT PARK,100480876.502,23.0,23.0,48583.0643299,,
