DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Miko'S,2024-12-31,No Entry,TRUE,FALSE,FALSE,4125 N Kimball Ave,CHICAGO,IL,60618.0,,41.956450402202,-87.7128452298273,MIKOS,4125 N KIMBALL AVE,POINT (-87.7128452298273 41.956450402202),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,
Our Food Store,2024-11-19,Out Of Business,TRUE,FALSE,FALSE,3901 N Kedzie Ave,CHICAGO,IL,60618.0,,41.9522008883931,-87.7078220211701,OUR FOOD STORE,3901 N KEDZIE AVE,POINT (-87.7078220211701 41.9522008883931),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,
Los Primos Grocery,2024-03-14,Pass,TRUE,FALSE,FALSE,3247-3249 W Montrose Ave,CHICAGO,IL,60618.0,,41.9610557557808,-87.7101207980141,LOS PRIMOS GROCERY,32473249 W MONTROSE AVE,POINT (-87.7101207980141 41.9610557557808),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,
Drake Quick Stop,2023-12-01,Pass,TRUE,FALSE,FALSE,4001 W Montrose Ave,CHICAGO,IL,60641.0,51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments:  FOUND NO BACKFLOW PREVENTION DEVICES AT MOP SINK FAUCET.MUST PROVIDE WHERE IT CAN BE LOCATED AND SERVICED.,41.9608363053089,-87.7278861090304,DRAKE QUICK STOP,4001 W MONTROSE AVE,POINT (-87.7278861090304 41.9608363053089),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,
Dell Cove Spice Co.,2021-12-13,Out Of Business,TRUE,FALSE,FALSE,4302 N Pulaski Rd,CHICAGO,IL,60641.0,,41.9592197920604,-87.7279249597053,DELL COVE SPICE CO,4302 N PULASKI RD,POINT (-87.7279249597053 41.9592197920604),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,
E & D   Mart,2020-05-29,Out Of Business,TRUE,FALSE,FALSE,4682 N Elston Ave,CHICAGO,IL,60630.0,,41.9661244639246,-87.7374680616412,E D MART,4682 N ELSTON AVE,POINT (-87.7374680616412 41.9661244639246),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,
Alsham Mart,2020-04-02,Out Of Business,TRUE,FALSE,FALSE,4362 N Elston Ave,CHICAGO,IL,60641.0,,41.9600325671454,-87.7286147518113,ALSHAM MART,4362 N ELSTON AVE,POINT (-87.7286147518113 41.9600325671454),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,
Polana Inc,2018-09-07,Pass W/ Conditions,TRUE,FALSE,FALSE,3450 N Kostner Ave,CHICAGO,IL,60641.0,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: 2-102.14 (A)    FOUND NO EMPLOYEE HEALTH POLICY/TRAINING ON SITE. INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION VIOLATION 7-38-012 (a)    NO CITATION ISSUED | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11   FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN APPROPRIATE SUPPLIES. PRIORITY FOUNDATION VIOLATION 7-38-005   NO CITATION ISSUED | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-204.12  BACKFLOW PREVENTER DEVICE NOT LOCATED AT UTILITY SINK. INSTRUCTED TO INSTALL SO THAT IT CAN BE LOCATED TO BE SERVICED AND MAINTAINED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114 INSTRUCTED TO CLEAN, REMOVED UNNECESSARY ARTICLES STORED ON SIDE AND REAR OF WALK-IN FREEZER AND ON TOP OF WALK-IN FREEZER TO PREVENT PEST HARBORAGE. USABLE ITEMS MUST BE STORED 6"" OFF THE FLOOR FOR EASY ACCESS ON CLEANING.",41.9440432011966,-87.7373142625044,POLANA INC,3450 N KOSTNER AVE,POINT (-87.7373142625044 41.9440432011966),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,
Daniel Grocery,2018-03-20,Pass,TRUE,FALSE,FALSE,3101 W Irving Park Rd,CHICAGO,IL,60618.0,"36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: THE LIGHT FIXTURES IN THE WALK-IN COOLERS ARE MISSING END CAPS. INSTRUCTED TO PROVIDE MISSING END CAPS TO PROPERLY PROTECT LIGHT FIXTURES ABOVE REFRIGERTATED FOOD AND BEVERAGE ITEMS AT ALL TIMES. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: OBSERVED THE WASHBOWL SINK IN THE EMPLOYEE WASHROOM IS SLOW DRAINING. INSTRUCTED TO CONTACT A PLUMBER TO REPAIR SINK AND MAINTAIN.",41.9538254213712,-87.7056341372698,DANIEL GROCERY,3101 W IRVING PARK RD,POINT (-87.7056341372698 41.9538254213712),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,
Elston Grocers,2016-09-06,Out Of Business,TRUE,FALSE,FALSE,4348 N Elston Ave,CHICAGO,IL,60641.0,,41.9597503529509,-87.7282045456101,ELSTON GROCERS,4348 N ELSTON AVE,POINT (-87.7282045456101 41.9597503529509),15.0,IRVING PARK,89611382.3106,16.0,16.0,49083.2240938,,
