DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Heart Of Middle East Mart Inc.,2025-04-04,Pass,TRUE,FALSE,FALSE,3526 N Halsted St,CHICAGO,IL,60657.0,,41.9462132276784,-87.6495991200709,HEART OF MIDDLE EAST MART INC,3526 N HALSTED ST,POINT (-87.6495991200709 41.9462132276784),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,
"Sushi Avenue, Inc.",2025-01-13,Pass,TRUE,FALSE,FALSE,3201-3225 N Ashland Ave,CHICAGO,IL,60657.0,,41.9397446157345,-87.6685161010639,SUSHI AVENUE INC,32013225 N ASHLAND AVE,POINT (-87.6685161010639 41.9397446157345),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,
Fresh Stop,2025-01-09,Pass,TRUE,FALSE,FALSE,930 W Belmont Ave,CHICAGO,IL,60657.0,56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: 6-303.11//NOTED HALLWAY LIGHT TO REAR NOT WORKING. INSTRUCTED TO REPLACE AND MAINTAIN ADEQUATE LIGHTING.,41.9400398968501,-87.6527558788004,FRESH STOP,930 W BELMONT AVE,POINT (-87.6527558788004 41.9400398968501),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,
Life Spring Health Food,2024-10-29,Pass,TRUE,FALSE,FALSE,3178 N Clark St,CHICAGO,IL,60657.0,,41.9397051625988,-87.6506501341374,LIFE SPRING HEALTH FOOD,3178 N CLARK ST,POINT (-87.6506501341374 41.9397051625988),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,
Levy Restaurants At Wrigley Field,2024-05-17,Pass,TRUE,FALSE,FALSE,1060 W Addison St,CHICAGO,IL,60613.0,,41.947317489015,-87.6564179476465,LEVY RESTAURANTS AT WRIGLEY FIELD,1060 W ADDISON ST,POINT (-87.6564179476465 41.947317489015),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,
Go! Grocer,2024-01-08,Pass,TRUE,FALSE,FALSE,2930 N Sheridan Rd,CHICAGO,IL,60657.0,,41.9352934991878,-87.639535461576,GO GROCER,2930 N SHERIDAN RD,POINT (-87.639535461576 41.9352934991878),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,
Naiboa Latin Store,2023-11-02,Out Of Business,TRUE,FALSE,FALSE,3349 N Clark St,CHICAGO,IL,60657.0,,41.9430317687271,-87.6529952571188,NAIBOA LATIN STORE,3349 N CLARK ST,POINT (-87.6529952571188 41.9430317687271),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,
Lake Shore Commissary,2023-03-13,Pass W/ Conditions,TRUE,FALSE,FALSE,3950 N Lake Shore Dr,CHICAGO,IL,60613.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: MANAGEMENT UNABLE TO PROVIDE A PROCEDURE FOR CLEANING UP VOMITING AND DIARRHEA.INSTRUCTED TO HAVE ONE INCLUDING THE CHEMICALS AND SUPPLIES NEEDED. PRIORITY FOUNDATION VIOLATION #7-38-005. CITATION ISSUED.,41.954344718652,-87.6453496205995,LAKE SHORE COMMISSARY,3950 N LAKE SHORE DR,POINT (-87.6453496205995 41.954344718652),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,
Getir,2022-10-11,Pass,TRUE,FALSE,FALSE,3052 N Lincoln Ave,CHICAGO,IL,60657.0,,41.9371903152622,-87.6654098078433,GETIR,3052 N LINCOLN AVE,POINT (-87.6654098078433 41.9371903152622),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,
Cool Stuff,2022-07-18,Pass,TRUE,FALSE,FALSE,3733 N Clark St,CHICAGO,IL,60613.0,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments:  OBSERVED NO BACKFLOW PREVENTION DEVICE ON THE MOP SINK IN THE EMPLOYEE WASHROOM. INSTRUCTED TO PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BROKEN DOWN CARDBOARD BOXES AT THE REAR STORAGE AREA ALONG THE SIDE OF THE FREEZER CHEST. INSTRUCTED TO REMOVE ALL UNNECESSARY ITEMS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BLACK CRATES ON THE FLOOR OF THE WALK-IN COOLER MAKING THE COOLER INACCESSIBLE. INSTRUCTED TO CLEAR THE WALK-IN COOLER FLOOR.",41.9498494022262,-87.6584739643204,COOL STUFF,3733 N CLARK ST,POINT (-87.6584739643204 41.9498494022262),5.0,LAKE VIEW,87214799.2728,6.0,6.0,51973.0968677,,
