DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Vom Fass,2024-02-06,Out Of Business,TRUE,FALSE,FALSE,4755 N Lincoln Ave,CHICAGO,IL,60625.0,,41.9681025378943,-87.688073118404,VOM FASS,4755 N LINCOLN AVE,POINT (-87.688073118404 41.9681025378943),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
Goosefoot Food & Wine,2023-08-21,Pass,TRUE,FALSE,FALSE,2654 W Lawrence Ave,CHICAGO,IL,60625.0,,41.9686635861527,-87.696026989939,GOOSEFOOT FOOD WINE,2654 W LAWRENCE AVE,POINT (-87.696026989939 41.9686635861527),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
Amy'S Candy Bar,2023-02-17,Pass,TRUE,FALSE,FALSE,4704 N Damen Ave,CHICAGO,IL,60625.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CLUTTER THROUGHOUT KITCHEN. INSTRUCTED MANAGER TO DECLUTTER AND REMOVE UNNECESSARY ITEMS.",41.9670994303031,-87.6792863466879,AMYS CANDY BAR,4704 N DAMEN AVE,POINT (-87.6792863466879 41.9670994303031),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
Buyk,2021-12-22,Pass W/ Conditions,TRUE,FALSE,FALSE,1956-1960 W Lawrence Ave,CHICAGO,IL,60640.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO VOMIT AND DIARRHEAL CLEANUP PROCEDURE/SPILL KIT. 7-38-005.PRIORITY VIOLATION.NO CITATION ISSUED. MUST PROVIDE. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO BACKFLOW PREVENTION DEVICES AT MOP SINK FAUCET. MUST PROVIDE WHERE IT CAN BE LOCATED AND SERVICED. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: FOUND MALE AND FEMALE RESTROOMS DOOR NOT SELF CLOSING. MUST PROVIDE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: FOUND WOMAN'S RESTROOM WITHOUT TRASH CAN WITH LID.MUST PROVIDE.",41.9688761450661,-87.6784041745759,BUYK,19561960 W LAWRENCE AVE,POINT (-87.6784041745759 41.9688761450661),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
Taza Mart,2021-12-08,Pass,TRUE,FALSE,FALSE,5356 N Lincoln Ave,CHICAGO,IL,60625.0,,41.979348645796,-87.6928302822955,TAZA MART,5356 N LINCOLN AVE,POINT (-87.6928302822955 41.979348645796),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
Foster Pantry,2020-09-18,Pass W/ Conditions,TRUE,FALSE,FALSE,1972 W Foster Ave,CHICAGO,IL,60640.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO VOMIT AND DIARRHEAL CLEAN UP PROCEDURE.(SPILL KIT). PRIORITY FOUNDATION. NO CITATION ISSUED. 7-38-005. MUST PROVIDE.  | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO BACKFLOW PREVENTION DEVICES AT MOP SINK FAUCET. MUST PROVIDE.,41.9761438580632,-87.6793304977363,FOSTER PANTRY,1972 W FOSTER AVE,POINT (-87.6793304977363 41.9761438580632),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
Celtica Gifts,2020-05-12,Pass W/ Conditions,TRUE,FALSE,FALSE,1940 W Montrose Ave,CHICAGO,IL,60613.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: THE PERSON IN CHARGE UNABLE TO PROVIDE PROCEDURE FOR EMPLOYEE TO FOLLOW WHEN RESPONDING TO VOMIT AND DIARRHEA EVENTS. INSTRUCTED TO PROVIDE PROCEDURE WITH THE NECESSARY ITEMS GLOVES, MASKS, DISPOSABLE MOPS AND APPROPRIATE SANITIZER.  PRIORITY FOUNDATION VIOLATION. 7-38-005. NO CITATION ISSUED.",41.961581815478500,-87.6775640398022,CELTICA GIFTS,1940 W MONTROSE AVE,POINT (-87.6775640398022 41.961581815478496),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
Diala Grocery,2020-04-21,Pass W/ Conditions,TRUE,FALSE,FALSE,1935 W Foster Ave,CHICAGO,IL,60640.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO VOMIT AND DIARRHEA CLEAN UP POLICY/VOMIT SPILL KIT. PRIORITY FOUNDATION. NO CITATION ISSUED.7-38-005. MUST PROVIDE.,41.9759453108431,-87.6778086487862,DIALA GROCERY,1935 W FOSTER AVE,POINT (-87.6778086487862 41.9759453108431),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
Town'S Limits Cantina,2020-03-11,Out Of Business,TRUE,FALSE,FALSE,1838 W Lawrence Ave,CHICAGO,IL,60640.0,,41.9689058016781,-87.6761351984025,TOWNS LIMITS CANTINA,1838 W LAWRENCE AVE,POINT (-87.6761351984025 41.9689058016781),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
Fmp Pharmacy Scms,2019-08-28,Pass W/ Conditions,TRUE,FALSE,FALSE,5215 N California Ave,CHICAGO,IL,60625.0,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO CLEAN-UP OF VOMITING AND DIARRHEA PROCEDURE AND CLEAN-UP KIT ON PREMISES DURING INSPECTION. INSTRUCTED TO HAVE SAID PROCEDURE ALONG WITH REQUIRED EQUIPMENT FOR CLEAN-UP. PRIORITY FOUNDATION VIOLATION. NO CITATION ISSUED. 7-38-005 | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: NOTED NO THERMOMETERS INSIDE REFRIGERATION UNIT CONSPICUOUSLY POSTED TO MONITOR THE AMBIENT TEMPERATURE OF EQUIPMENT. INSTRUCTED TO EQUIP ALL REFRIGERATION UNITS WITH ACCURATE AND WORKING THERMOMETERS,41.9763462148235,-87.6987944230491,FMP PHARMACY SCMS,5215 N CALIFORNIA AVE,POINT (-87.6987944230491 41.9763462148235),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
Foster Pantry,2019-01-28,Out Of Business,TRUE,FALSE,FALSE,5139 N Damen Ave,CHICAGO,IL,60625.0,,41.9759697825203,-87.6792536619616,FOSTER PANTRY,5139 N DAMEN AVE,POINT (-87.6792536619616 41.9759697825203),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
"Brew Camp, Inc.",2017-11-20,Out Of Business,TRUE,FALSE,FALSE,4639 N Damen Ave,CHICAGO,IL,60625.0,,41.9662901971199,-87.6789676391411,BREW CAMP INC,4639 N DAMEN AVE,POINT (-87.6789676391411 41.9662901971199),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
Lebail,2016-09-20,Out Of Business,TRUE,FALSE,FALSE,2812 W Foster Ave,CHICAGO,IL,60625.0,,41.9759236789884,-87.699499441816,LEBAIL,2812 W FOSTER AVE,POINT (-87.699499441816 41.9759236789884),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
New Damen Foods,2015-02-20,Pass,TRUE,FALSE,FALSE,4635 N Damen Ave,CHICAGO,IL,60625.0,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CHIPPING PAINT ON WALL IN BATHROOM, NEEDS REPAIRED, | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: LIGHT SHIELD COVER ABOVE DISPLAY SHELVES IN POOR REPAIR, MUST REPLACE AND BETTER MAINTAIN,  | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: SMELLY SEWER ODORS ON PREMISES, INSTRUCTED TO REMOVE,",41.9661728682841,-87.6789646808181,NEW DAMEN FOODS,4635 N DAMEN AVE,POINT (-87.6789646808181 41.9661728682841),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
Joey'S Soda And Snacks Llc,2014-12-16,Out Of Business,TRUE,FALSE,FALSE,1946 W Montrose Ave,CHICAGO,IL,60613.0,,41.96157888518470,-87.6778283232765,JOEYS SODA AND SNACKS LLC,1946 W MONTROSE AVE,POINT (-87.6778283232765 41.96157888518471),3.0,LINCOLN SQUARE,71352328.2399,4.0,4.0,36624.6030848,,
