DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Foodsmart,2025-03-19,Pass,TRUE,FALSE,FALSE,2901 W Armitage Ave,CHICAGO,IL,60647.0,49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: FOUND FOLLOWING NOT CLEAN:INTERIOR/EXTERIOR OF COOLERS AND DRAIN PAN OF SODA MACHINE.MUST CLEAN.,41.917358545106,-87.699341068678,FOODSMART,2901 W ARMITAGE AVE,POINT (-87.699341068678 41.917358545106),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Target Stores T-942,2024-12-31,Pass,FALSE,TRUE,TRUE,2656 N Elston Ave,CHICAGO,IL,60647.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND FLOORS NOT CLEAN AT PRODUCE PACKAGING AREAS.MUST CLEAN.",41.929848996596900,-87.684643783527,TARGET STORES T942,2656 N ELSTON AVE,POINT (-87.684643783527 41.929848996596895),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Foodsmart,2024-12-30,Pass,TRUE,FALSE,FALSE,3413-3419 W Diversey Ave,CHICAGO,IL,60647.0,,41.9318534676552,-87.7128261800949,FOODSMART,34133419 W DIVERSEY AVE,POINT (-87.7128261800949 41.9318534676552),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
"Sushi Avenue, Inc.",2024-11-06,Pass,TRUE,FALSE,FALSE,2500 N Elston Ave,CHICAGO,IL,60647.0,"7. NO DISCHARGE FROM EYES, NOSE, AND MOUTH",41.9269309588488,-87.6804079040704,SUSHI AVENUE INC,2500 N ELSTON AVE,POINT (-87.6804079040704 41.9269309588488),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Super Mercado Barrera,2024-09-23,Pass,TRUE,FALSE,FALSE,2336 N Milwaukee Ave,CHICAGO,IL,60647.0,,41.9235566759215,-87.6986467664773,SUPER MERCADO BARRERA,2336 N MILWAUKEE AVE,POINT (-87.6986467664773 41.9235566759215),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Armitage Produce Inc,2024-08-27,Pass,TRUE,FALSE,FALSE,2007 N Kimball Ave,CHICAGO,IL,60647.0,57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments:  FOUND FOODHANDLERS AT PREMISES WITH NO FOODHNADLER TRAINING CERTIFICATES.MUST PROVIDE.,41.9175624188997,-87.7117551086784,ARMITAGE PRODUCE INC,2007 N KIMBALL AVE,POINT (-87.7117551086784 41.9175624188997),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Target -T3317,2024-08-12,Pass,FALSE,TRUE,TRUE,2434 N Sacramento Ave,CHICAGO,IL,60647.0,,41.9258624560365,-87.7024903773536,TARGET T3317,2434 N SACRAMENTO AVE,POINT (-87.7024903773536 41.9258624560365),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Yaba'S Food And Grill,2024-07-23,Pass,TRUE,FALSE,FALSE,3011 W Armitage Ave,CHICAGO,IL,60647.0,51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: FOUND NO BACKFLOW PREVENTION DEVICES AT MOP SINK FAUCET.MUST PROVIDE WHERE IT CAN BE LOCATED AND SERVICED.,41.9173247938891,-87.7029121345982,YABAS FOOD AND GRILL,3011 W ARMITAGE AVE,POINT (-87.7029121345982 41.9173247938891),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Binny'S Beverage Depot,2024-07-23,Pass,TRUE,FALSE,FALSE,2409 N Elston Pkwy,CHICAGO,IL,60647.0,,41.925908414758,-87.6758363498004,BINNYS BEVERAGE DEPOT,2409 N ELSTON PKWY,POINT (-87.6758363498004 41.925908414758),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Ahm Wireless,2024-04-02,Out Of Business,TRUE,FALSE,FALSE,3500 W Armitage Ave,CHICAGO,IL,60647.0,,41.9174306097448,-87.7136074460565,AHM WIRELESS,3500 W ARMITAGE AVE,POINT (-87.7136074460565 41.9174306097448),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Familia Foods 1 Inc,2023-11-14,Pass,TRUE,FALSE,FALSE,2158 N Hamlin Ave,CHICAGO,IL,60647.0,57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: 2-102.13  OBSERVED A FOOD HANDLING EMPLOYEE WITHOUT A FOOD HANDLER CERTIFICATE.  MANAGEMENT INSTRUCTED THAT ALL FOOD HANDLING EMPLOYEES MUST SHOW PROOF OF TRAINING.,41.9208358985128,-87.7219227474709,FAMILIA FOODS 1 INC,2158 N HAMLIN AVE,POINT (-87.7219227474709 41.9208358985128),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Ciales Poultry Meats & Fish,2023-10-03,Pass,TRUE,FALSE,FALSE,2141 W Armitage Ave,CHICAGO,IL,60647.0,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: REMOVE THE DIRTY AND ROTTED WOOD SUPPORTS AND PLATFORM UNDER THE WASHER AND DRYER IN THE BASEMENT. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: REPAIR THE WATER LEAK FROM THE SUPPLY HOSE TO THE WASHER LOCATED IN THE BASEMENT.",41.9175641969242,-87.6817169445995,CIALES POULTRY MEATS FISH,2141 W ARMITAGE AVE,POINT (-87.6817169445995 41.9175641969242),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Foodsmart,2023-05-16,Out Of Business,TRUE,FALSE,FALSE,3415 W Diversey Ave,CHICAGO,IL,60647.0,,41.9318527752171,-87.7129012496545,FOODSMART,3415 W DIVERSEY AVE,POINT (-87.7129012496545 41.9318527752171),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
"Arw Foods, Inc.",2022-06-07,Pass,TRUE,FALSE,FALSE,3635 W Armitage Ave,CHICAGO,IL,60647.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED OPENING AROUND REAR EXIT DOOR.  INSTRUCTED TO SEAL AS A MEANS OF PREVENTING POSSIBLE PEST AND OR INSECT HARBORING.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED CARD BOARD LINING FLOOR UNDER SHELVING INSTRUCTED TO REMOVE FROM FLOOR.  MUST MAKE AREA EASY TO CLEAN AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED A BUILD UP OF DIRT AND DEBRIS IN WALK IN BEVERAGE COOLER. INSTRUCTED TO CLEAN AND MAINTAIN.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED A BUILD UP OF DIRT, DUST AND DEBRIS THROUGHOUT SALES FLOOR, BEHIND GAMING MACHINES AND SHELVING.  INSTRUCTED TO CLEAN AND MAINTAIN ALL AREAS | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED LOWER CEILING AREA IN FRONT OF BEVERAGE COOLER MISSING EXPOSING WOOD AND SMALL OPENINGS.  INSTRUCTED TO SEAL/COVER AS A MEANS OF PREVENTING POSSIBLE PEST AND INSECT HARBORING.",41.9171553786955,-87.718210254122,ARW FOODS INC,3635 W ARMITAGE AVE,POINT (-87.718210254122 41.9171553786955),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
E2 Grocery,2022-04-28,Not Ready,TRUE,FALSE,FALSE,2869 W Dickens Ave,CHICAGO,IL,60647.0,,41.9194599879139,-87.6999847130826,E2 GROCERY,2869 W DICKENS AVE,POINT (-87.6999847130826 41.9194599879139),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Buyk,2022-02-09,Pass,TRUE,FALSE,FALSE,3545-3551 W Armitage Ave,CHICAGO,IL,60647.0,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOOR AND WALLS ARE NOT FINISHED IN THE UTILITY ROOM.  MUST PROVIDE A CLEANABLE FLOOR COVERING AND WALL SURFACE IN THE UTILITY ROOM.",41.9171876289404,-87.7153767642993,BUYK,35453551 W ARMITAGE AVE,POINT (-87.7153767642993 41.9171876289404),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Buyk,2021-12-22,Pass W/ Conditions,TRUE,FALSE,FALSE,1860 N Milwaukee Ave,CHICAGO,IL,60647.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED PROCEDURE, FOUND NO CLEANING MATERIALS TO CLEAN UP SAID INCIDENT ON SITE. FACILITY MUST PROVIDE PROCEDURES AND CLEANING MATERIALS (GLOVES, MASK, DISPOSABLE MOP, DISINFECTANT RATED FOR NOROVIRUS) FOR EMPLOYEES TO FOLLOW AND USE WHEN RESPONDING TO VOMITING OR DIARRHEAL EVENTS. INSTRUCTED MANAGER TO PROVIDE. PRIORITY FOUNDATION VIOLATION. 7-38-005.",41.9151803503952,-87.6851052193086,BUYK,1860 N MILWAUKEE AVE,POINT (-87.6851052193086 41.9151803503952),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Buyk,2021-12-17,Pass,TRUE,FALSE,FALSE,2774 N Milwaukee Ave,CHICAGO,IL,60647.0,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED 1/4"" GAP UNDERNEATH AND BETWEEN DOUBLE DOORS IN REAR OF FACILITY. INSTRUCTED TO SEAL AND MAKE DOOR TIGHT FITTING TO PREVENT PEST ACTIVITY. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: EMPLOYEE WASHROOM DOOR IS NOT SELF-CLOSING. INSTRUCTED TO PROVIDE SELF-CLOSING DEVICE TO PREVENT CONTAMINATION OF HANDS.",41.9315274782105,-87.7116712244413,BUYK,2774 N MILWAUKEE AVE,POINT (-87.7116712244413 41.9315274782105),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Borinken Cakes,2021-07-26,Pass W/ Conditions,TRUE,FALSE,FALSE,3313 W Fullerton Ave,CHICAGO,IL,60647.0,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO VOMIT AND DIARRHEA CLEANING PROCEDURE ON PREMISES. INSTRUCTED MANAGER MUST PROVIDE A VOMIT AND DIARRHEA CLEANING PROCEDURE WITH ALL NECESSARY ITEMS AS OUTLINED IN POLICY ON PREMISES. PRIORITY FOUNDATION 7-38-005. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED  1/4 INCH GAP AT FRONT DOOR SWEEP. MUST RODENT PROOF SAID DOOR. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: NO MOP SINK ON PREMISES. INSTRUCTED MANAGER MUST PROVIDE A MOP SINK/SERVICE SINK ON PREMISES.",41.9245633165387,-87.7111455374545,BORINKEN CAKES,3313 W FULLERTON AVE,POINT (-87.7111455374545 41.9245633165387),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Danny'S Buy Low,2020-01-14,Out Of Business,TRUE,FALSE,FALSE,2220-2222 N Western Ave,CHICAGO,IL,60647.0,,41.9223735812296,-87.6877109539564,DANNYS BUY LOW,22202222 N WESTERN AVE,POINT (-87.6877109539564 41.9223735812296),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Dill Pickle Food Co-Op,2018-04-30,Out Of Business,TRUE,FALSE,FALSE,3039 W Fullerton Ave,CHICAGO,IL,60647.0,,41.9246378443719,-87.7038036034084,DILL PICKLE FOOD COOP,3039 W FULLERTON AVE,POINT (-87.7038036034084 41.9246378443719),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Supermercados Villavicencio,2017-08-02,Out Of Business,TRUE,FALSE,FALSE,3647-3651 W Diversey Ave,CHICAGO,IL,60647.0,,41.9317757879931,-87.7191028381685,SUPERMERCADOS VILLAVICENCIO,36473651 W DIVERSEY AVE,POINT (-87.7191028381685 41.9317757879931),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
Afc Sushi @Strack & Van Til #4,2017-06-23,Out Of Business,TRUE,FALSE,FALSE,2627 N Elston Ave,CHICAGO,IL,60647.0,,41.9294892739952,-87.6836878248938,AFC SUSHI STRACK VAN TIL 4,2627 N ELSTON AVE,POINT (-87.6836878248938 41.9294892739952),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
H & Z Grocery Store,2016-09-29,Out Of Business,TRUE,FALSE,FALSE,3638 W Wrightwood Ave,CHICAGO,IL,60647.0,,41.9283452513727,-87.7186708995361,H Z GROCERY STORE,3638 W WRIGHTWOOD AVE,POINT (-87.7186708995361 41.9283452513727),21.0,LOGAN SQUARE,100057566.7,22.0,22.0,49213.4217488,,
