DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Manhattan Mart Inc,2025-02-25,No Entry,TRUE,FALSE,FALSE,424 S Clark St,CHICAGO,IL,60605.0,,41.8763592119695,-87.630880628516,MANHATTAN MART INC,424 S CLARK ST,POINT (-87.630880628516 41.8763592119695),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
Franklin Newsstand Inc.,2024-11-21,Out Of Business,TRUE,FALSE,FALSE,225 W Wacker Dr,CHICAGO,IL,60606.0,,41.8867092220261,-87.6347108994595,FRANKLIN NEWSSTAND INC,225 W WACKER DR,POINT (-87.6347108994595 41.8867092220261),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
R.R.K.P Inc.,2024-05-08,Pass,TRUE,FALSE,FALSE,175 W Jackson Blvd,CHICAGO,IL,60604.0,,41.8780144872495,-87.6331890300144,RRKP INC,175 W JACKSON BLVD,POINT (-87.6331890300144 41.8780144872495),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
Urban Grocery,2024-03-01,Out Of Business,TRUE,FALSE,FALSE,729 S State St,CHICAGO,IL,60605.0,,41.8723918681968,-87.6273961222428,URBAN GROCERY,729 S STATE ST,POINT (-87.6273961222428 41.8723918681968),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
Gateway News Stand,2024-01-09,Pass,TRUE,FALSE,FALSE,161 N Clark St,CHICAGO,IL,60601.0,36. THERMOMETERS PROVIDED & ACCURATE - Comments: NO VISIBLE THERMOMETER LOCATED INSIDE OF 2 DOOR SLIDE COOLERS. INSTRUCTED TO PROVIDE.,41.8847797046264,-87.6308006674863,GATEWAY NEWS STAND,161 N CLARK ST,POINT (-87.6308006674863 41.8847797046264),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
Whimsical Candy,2023-12-21,Out Of Business,TRUE,FALSE,FALSE,175 N Franklin St,CHICAGO,IL,60606.0,,41.8852107266755,-87.6352512095139,WHIMSICAL CANDY,175 N FRANKLIN ST,POINT (-87.6352512095139 41.8852107266755),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
Chokshi & Associates Inc.,2023-12-15,Pass,TRUE,FALSE,FALSE,180 N La Salle St,CHICAGO,IL,60601.0,,41.8854443881431,-87.6325821348462,CHOKSHI ASSOCIATES INC,180 N LA SALLE ST,POINT (-87.6325821348462 41.8854443881431),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
Sam121 Inc.,2023-09-22,Pass,TRUE,FALSE,FALSE,14 W Jackson Blvd,CHICAGO,IL,60604.0,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-203.13 OBSERVED NO UTILITY SINK INSIDE OF THE FACILITY. INSTRUCTED TO PROVIDE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: 5-501.17 OBSERVED NO COVERED RECEPTACLE INSIDE OF THE TOILET ROOM. INSTRUCTED TO PROVIDE.",41.8782875066053,-87.6281764199461,SAM121 INC,14 W JACKSON BLVD,POINT (-87.6281764199461 41.8782875066053),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
Target,2023-06-08,Pass,FALSE,TRUE,TRUE,1 S State St,CHICAGO,IL,60603.0,,41.8819951976355,-87.6276472452298,TARGET,1 S STATE ST,POINT (-87.6276472452298 41.8819951976355),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
Getir,2022-10-11,Pass,TRUE,FALSE,FALSE,125 W Harrison St,CHICAGO,IL,60605.0,,41.8743986218402,-87.6315078399537,GETIR,125 W HARRISON ST,POINT (-87.6315078399537 41.8743986218402),31.0,LOOP,46335565.4586,32.0,32.0,39428.6729962,,
